id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,furin,1,5.1523,0.4487
99464-64-9,furin,1,4.5862,0.4097
23180-57-6,furin,0,4.5632,0.9196
50-27-1,furin,0,4.5971,1.5628
2627-69-2,furin,1,4.6909,1.3087
58186-27-9,furin,1,4.2893,0.4458
93793-83-0,furin,0,4.9395,0.968
39133-31-8,furin,1,5.1354,0.9468
34552-84-6,furin,0,4.3386,1.186
112885-42-4,furin,0,4.5438,0.8594
51803-78-2,furin,1,4.8037,2.3106
141505-33-1,furin,0,4.5575,1.3728
183320-51-6,furin,1,4.1998,1.0289
101477-54-7,furin,0,4.8971,2.4852
50-02-2,furin,0,4.8922,1.7652
96829-58-2,furin,0,4.747,0.8962
98-96-4,furin,0,4.7751,5.6441
541-15-1,furin,0,4.3611,1.9177
65277-42-1,furin,1,4.2454,0.6958
70-00-8,furin,0,4.4568,1.267
39809-25-1,furin,0,4.5273,1.0355
54-42-2,furin,0,4.9933,1.8717
124832-27-5,furin,0,4.8351,2.2934
5536-17-4,furin,0,4.9488,2.2944
147-94-4,furin,1,5.8053,4.9433
99011-02-6,furin,0,4.9384,1.6099
70288-86-7,furin,1,4.3522,0.0325
59277-89-3,furin,0,4.5581,1.1721
82410-32-0,furin,0,4.8013,1.3708
104227-87-4,furin,0,4.6846,1.6598
50-91-9,furin,0,4.5756,1.0137
79-57-2,furin,0,4.7228,2.0208
6153-64-6,furin,0,4.6891,1.9665
518048-05-0,furin,0,4.5346,1.2595
161735-79-1,furin,0,4.8889,1.3758
13492-01-8,furin,1,4.816,2.2836
549-18-8,furin,0,4.5981,1.515
79794-75-5,furin,0,4.7873,1.3462
79307-93-0,furin,1,4.503,1.5401
100299-08-9,furin,1,4.6159,1.7784
980-71-2,furin,0,4.603,1.1887
122883-93-6,furin,1,4.8078,1.3512
76824-35-6,furin,0,4.6593,1.3376
154-69-8,furin,1,4.2967,1.1411
2192-20-3,furin,0,4.7757,1.6997
132-20-7,furin,0,4.6005,1.3431
25332-39-2,furin,1,4.9619,1.6503
1104-22-9,furin,0,4.4741,1.0763
76963-41-2,furin,0,4.3139,1.7049
521-78-8,furin,0,4.6652,1.5271
14976-57-9,furin,1,4.5897,0.2935
10347-81-6,furin,1,4.7964,2.8244
100643-71-8,furin,1,4.3478,1.7147
132-18-3,furin,0,4.7294,1.2283
83881-52-1,furin,0,4.8926,2.4445
2508-72-7,furin,1,3.5723,2.1298
66357-59-3,furin,0,4.723,0.87
140462-76-6,furin,0,4.5845,1.3471
3978-86-7,furin,0,4.9029,1.9243
113-92-8,furin,0,4.7561,1.1028
59-33-6,furin,0,4.7538,1.2846
190786-44-8,furin,0,5.1297,1.9024
147-24-0,furin,0,4.6398,1.3635
562-10-7,furin,0,4.8442,1.8911
144598-75-4,furin,1,4.4145,1.9991
137-58-6,furin,0,4.8686,1.288
85650-52-8,furin,0,4.3089,0.7094
34580-14-8,furin,0,4.7371,1.7197
132-17-2,furin,0,4.692,1.2417
113-59-7,furin,1,4.5467,0.7726
51481-61-9,furin,1,3.4976,4.0525
4682-36-4,furin,0,5.036,1.536
97240-79-4,furin,0,4.3468,1.529
25451-15-4,furin,1,5.1503,2.0386
41100-52-1,furin,0,4.7408,1.027
1508-76-5,furin,1,4.4791,0.5783
68-41-7,furin,0,5.1691,4.255
50357-45-4,furin,1,5.1003,2.7233
7681-93-8,furin,1,4.6293,2.3467
29342-05-0,furin,0,4.7412,0.7484
41621-49-2,furin,1,4.7878,0.526
61318-91-0,furin,1,4.3871,0.822
171228-49-2,furin,0,4.3832,1.6814
536-43-6,furin,0,4.5944,1.8374
53123-88-9,furin,0,4.1939,1.1905
23593-75-1,furin,1,4.665,1.3701
64872-77-1,furin,1,4.4518,1.4691
91161-71-6,furin,0,4.4729,0.8233
65473-14-5,furin,1,4.6271,0.8833
78628-80-5,furin,0,4.4089,0.8169
1397-89-3,furin,0,4.2399,0.9896
57852-57-0,furin,0,4.7428,1.5689
179463-17-3,furin,1,4.2422,2.5746
1070-11-7,furin,1,4.6798,1.2164
101827-46-7,furin,1,4.4177,0.9332
137234-62-9,furin,0,5.2508,2.5093
86386-73-4,furin,0,4.9469,2.1771
99592-39-9,furin,1,4.673,1.0274
65899-73-2,furin,0,4.908,1.7725
24280-93-1,furin,0,4.5609,1.8692
540737-29-9,furin,0,4.9839,1.8959
84625-61-6,furin,0,4.3693,0.9078
65-85-0,furin,0,4.7499,3.9328
24169-02-6,furin,0,4.6313,1.0866
22916-47-8,furin,1,5.369,3.0762
22832-87-7,furin,0,4.719,1.0581
17321-77-6,furin,1,4.3991,2.442
74011-58-8,furin,0,4.5597,1.351
72509-76-3,furin,0,4.1661,1.6014
173334-58-2,furin,1,4.0534,1.4946
941678-49-5,furin,0,4.4877,2.9843
127-79-7,furin,1,4.0634,1.0697
13010-47-4,furin,0,4.5034,1.1502
54527-84-3,furin,1,4.3855,1.4281
90357-06-5,furin,1,4.5054,1.5948
136572-09-3,furin,0,4.1692,0.8576
1177-87-3,furin,1,4.6025,1.2303
1264-72-8,furin,1,3.7501,2.2615
54-85-3,furin,0,4.3448,4.9264
23541-50-6,furin,0,5.1614,1.2126
943319-70-8,furin,0,4.3275,2.6239
150399-23-8,furin,0,4.9086,2.1949
475207-59-1,furin,1,4.7353,2.5653
1247-42-3,furin,0,4.5239,1.2101
73963-72-1,furin,1,5.3723,2.6717
668270-12-0,furin,1,4.1909,1.1965
154-42-7,furin,0,4.8793,4.6828
129497-78-5,furin,1,3.9891,2.5925
220127-57-1,furin,0,4.8643,2.2814
184475-35-2,furin,1,4.6149,4.3285
66085-59-4,furin,0,4.4111,1.777
75330-75-5,furin,0,4.5055,1.3902
52-01-7,furin,1,5.2919,3.474
79902-63-9,furin,0,4.2712,0.9387
78246-49-8,furin,0,4.1384,1.2941
97682-44-5,furin,0,4.1702,0.8719
65928-58-7,furin,0,4.421,1.1041
63-74-1,furin,1,4.2398,0.7678
73590-58-6,furin,1,4.8025,1.0271
34552-83-5,furin,1,4.9347,0.0009
123318-82-1,furin,1,4.5512,1.5628
129453-61-8,furin,0,4.5026,2.6305
183133-96-2,furin,0,4.5298,1.0963
302962-49-8,furin,1,4.0519,0.5678
474-25-9,furin,0,4.5869,1.9066
298-46-4,furin,0,4.3429,1.5703
877399-52-5,furin,0,4.4729,2.2154
183319-69-9,furin,1,4.421,1.0625
179324-69-7,furin,1,4.4319,0.6339
130-61-0,furin,0,4.453,1.4177
879085-55-9,furin,0,4.7963,1.9118
68-35-9,furin,1,3.9833,0.509
82640-04-8,furin,1,4.5253,0.589
162635-04-3,furin,0,4.4424,0.5276
19237-84-4,furin,1,4.284,1.4344
50-35-1,furin,1,4.6598,0.9344
1098-60-8,furin,0,4.5221,1.0417
873054-44-5,furin,0,4.4478,0.9004
50-55-5,furin,1,4.4716,1.0222
152459-95-5,furin,1,4.8285,2.423
127-07-1,furin,0,4.361,1.2028
153559-49-0,furin,1,4.2944,1.4883
1264-62-6,furin,0,4.6222,1.1395
85622-93-1,furin,0,4.4502,2.298
159351-69-6,furin,1,4.6109,1.0149
117772-70-0,furin,0,5.6066,2.0645
84371-65-3,furin,0,4.3333,1.7508
171599-83-0,furin,0,4.9141,1.8364
595-33-5,furin,1,4.129,1.3649
144-83-2,furin,1,4.2809,2.6432
19774-82-4,furin,1,4.6863,0.4235
83-43-2,furin,1,4.8066,1.5378
127-56-0,furin,1,4.3962,2.3633
83905-01-5,furin,1,6.6739,5.4262
119413-54-6,furin,0,4.0116,0.9392
118292-40-3,furin,0,4.8284,1.1698
144701-48-4,furin,0,4.6903,1.1663
163222-33-1,furin,1,5.4684,3.8633
641571-10-0,furin,1,4.7492,1.9018
220620-09-7,furin,1,4.3974,0.8485
108341-18-0,furin,0,4.1792,1.3574
21829-25-4,furin,0,4.8435,2.2892
1069-66-5,furin,1,4.3722,0.8759
95635-56-6,furin,0,4.5759,2.2923
2447-57-6,furin,1,4.6464,0.7244
84057-84-1,furin,0,4.8807,1.4959
599-79-1,furin,0,4.7257,1.256
53716-49-7,furin,1,4.384,2.8666
