id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,furin,1,4.6674,1.6745
99464-64-9,furin,1,4.5715,0.8226
23180-57-6,furin,0,4.7296,1.3708
50-27-1,furin,0,4.5027,1.147
2627-69-2,furin,1,4.645,1.4341
58186-27-9,furin,1,4.668,1.5856
93793-83-0,furin,0,4.8212,1.6157
39133-31-8,furin,1,4.7666,1.3265
34552-84-6,furin,0,4.4599,0.5139
112885-42-4,furin,0,4.6413,1.1562
51803-78-2,furin,1,4.5807,1.1937
141505-33-1,furin,0,4.5619,0.9017
183320-51-6,furin,1,4.6595,1.3871
101477-54-7,furin,0,4.7849,1.4112
50-02-2,furin,0,4.4739,2.0062
96829-58-2,furin,0,4.6308,1.3335
98-96-4,furin,0,4.6253,1.5784
541-15-1,furin,0,4.4278,0.9509
65277-42-1,furin,1,4.4609,1.3389
70-00-8,furin,0,4.7973,1.6575
39809-25-1,furin,0,4.6659,1.0677
54-42-2,furin,0,4.6362,0.8211
124832-27-5,furin,0,4.8119,1.3412
5536-17-4,furin,0,4.5372,0.8415
147-94-4,furin,1,4.6365,1.1031
99011-02-6,furin,0,4.6489,0.8444
70288-86-7,furin,1,4.4529,1.1714
59277-89-3,furin,0,4.7724,1.8444
82410-32-0,furin,0,4.6705,1.349
104227-87-4,furin,0,4.6095,1.0672
50-91-9,furin,0,4.5959,1.7295
79-57-2,furin,0,4.2976,0.4864
6153-64-6,furin,0,4.2623,0.5084
518048-05-0,furin,0,4.6619,0.9942
161735-79-1,furin,0,4.6921,1.1043
13492-01-8,furin,1,4.4912,1.7188
549-18-8,furin,0,4.6508,1.0294
79794-75-5,furin,0,4.4626,0.4899
79307-93-0,furin,1,4.7908,1.978
100299-08-9,furin,1,4.7776,2.0546
980-71-2,furin,0,4.5559,0.9085
122883-93-6,furin,1,4.6639,0.8214
76824-35-6,furin,0,4.6533,1.2815
154-69-8,furin,1,4.724,1.5207
2192-20-3,furin,0,4.6928,1.8327
132-20-7,furin,0,4.7704,1.0152
25332-39-2,furin,1,4.6596,0.7088
1104-22-9,furin,0,4.6807,0.9601
76963-41-2,furin,0,4.6836,1.3091
521-78-8,furin,0,4.724,1.0739
14976-57-9,furin,1,4.6879,1.0511
10347-81-6,furin,1,4.4922,0.8817
100643-71-8,furin,1,4.7154,1.1036
132-18-3,furin,0,4.7348,0.9425
83881-52-1,furin,0,4.8163,1.3551
2508-72-7,furin,1,4.6696,1.3522
66357-59-3,furin,0,4.7257,1.237
140462-76-6,furin,0,4.7269,1.0033
3978-86-7,furin,0,4.7759,1.0244
113-92-8,furin,0,4.5657,0.8951
59-33-6,furin,0,4.6569,1.2056
190786-44-8,furin,0,4.7825,1.6201
147-24-0,furin,0,4.6517,1.4416
562-10-7,furin,0,4.6347,1.3085
144598-75-4,furin,1,4.7785,1.335
137-58-6,furin,0,4.8773,1.3632
85650-52-8,furin,0,4.6873,0.9526
34580-14-8,furin,0,4.6031,0.7186
