id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,furin,1,5.1328,0.8695
99464-64-9,furin,1,4.6023,0.1856
23180-57-6,furin,0,4.5325,1.2138
50-27-1,furin,0,4.5629,1.7299
2627-69-2,furin,1,4.6647,1.1314
58186-27-9,furin,1,4.3107,0.7077
93793-83-0,furin,0,5.0029,1.085
39133-31-8,furin,1,5.1244,0.9625
34552-84-6,furin,0,4.3731,1.4753
112885-42-4,furin,0,4.5972,1.061
51803-78-2,furin,1,4.8228,2.2379
141505-33-1,furin,0,4.5495,1.4205
183320-51-6,furin,1,4.2185,0.8927
101477-54-7,furin,0,4.8606,2.7397
50-02-2,furin,0,4.8074,2.2163
96829-58-2,furin,0,4.6412,1.3005
98-96-4,furin,0,4.7497,6.2051
541-15-1,furin,0,4.3877,1.6498
65277-42-1,furin,1,4.2259,0.6825
70-00-8,furin,0,4.4506,1.1738
39809-25-1,furin,0,4.489,1.3168
54-42-2,furin,0,4.933,1.8221
124832-27-5,furin,0,4.8798,2.3083
5536-17-4,furin,0,4.9929,2.7459
147-94-4,furin,1,5.8107,5.457
99011-02-6,furin,0,4.9291,1.6318
70288-86-7,furin,1,4.3637,0.182
59277-89-3,furin,0,4.5783,1.1353
82410-32-0,furin,0,4.7712,1.7049
104227-87-4,furin,0,4.6643,1.512
50-91-9,furin,0,4.6147,1.2935
79-57-2,furin,0,4.6519,1.5326
6153-64-6,furin,0,4.6169,1.6376
518048-05-0,furin,0,4.5433,1.7483
161735-79-1,furin,0,4.8932,1.4419
13492-01-8,furin,1,4.8376,2.6081
549-18-8,furin,0,4.5352,1.714
79794-75-5,furin,0,4.7636,1.7011
79307-93-0,furin,1,4.493,1.9247
100299-08-9,furin,1,4.6104,1.8628
980-71-2,furin,0,4.5638,0.8773
122883-93-6,furin,1,4.8175,1.6402
76824-35-6,furin,0,4.6202,1.7633
154-69-8,furin,1,4.2896,1.1821
2192-20-3,furin,0,4.6397,2.0346
132-20-7,furin,0,4.5479,1.0834
25332-39-2,furin,1,4.965,1.5246
1104-22-9,furin,0,4.4595,1.5025
76963-41-2,furin,0,4.3705,1.7163
521-78-8,furin,0,4.6261,1.7664
14976-57-9,furin,1,4.5574,0.5164
10347-81-6,furin,1,4.8234,3.0507
100643-71-8,furin,1,4.3526,1.8665
132-18-3,furin,0,4.7276,1.2258
