id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,na_ph1n1,0,4.6707,1.2904
99464-64-9,na_ph1n1,1,4.4486,0.5889
23180-57-6,na_ph1n1,1,5.0503,3.2103
50-27-1,na_ph1n1,1,4.5026,0.9581
2627-69-2,na_ph1n1,0,4.4913,1.6397
58186-27-9,na_ph1n1,1,4.2201,0.9396
93793-83-0,na_ph1n1,0,4.3334,0.692
39133-31-8,na_ph1n1,0,4.0902,0.5634
34552-84-6,na_ph1n1,0,4.3684,1.0706
112885-42-4,na_ph1n1,1,5.1221,1.6473
51803-78-2,na_ph1n1,0,4.3652,0.693
141505-33-1,na_ph1n1,0,4.3863,0.7944
183320-51-6,na_ph1n1,0,4.5055,1.138
101477-54-7,na_ph1n1,0,4.3473,1.3619
50-02-2,na_ph1n1,0,4.5578,1.1556
96829-58-2,na_ph1n1,1,4.4599,1.8634
98-96-4,na_ph1n1,0,3.9765,1.4347
541-15-1,na_ph1n1,0,3.9083,1.4387
65277-42-1,na_ph1n1,1,4.3975,1.1208
70-00-8,na_ph1n1,0,4.3325,1.1469
39809-25-1,na_ph1n1,0,4.3879,1.4639
54-42-2,na_ph1n1,0,4.5491,0.8348
124832-27-5,na_ph1n1,0,4.507,1.1399
5536-17-4,na_ph1n1,0,4.4003,1.2908
147-94-4,na_ph1n1,1,4.3315,1.2879
99011-02-6,na_ph1n1,0,4.1866,0.9219
70288-86-7,na_ph1n1,0,6.4368,6.7128
59277-89-3,na_ph1n1,0,4.3335,1.412
82410-32-0,na_ph1n1,1,4.3629,1.5198
104227-87-4,na_ph1n1,0,4.1246,1.182
50-91-9,na_ph1n1,1,4.2789,1.0568
79-57-2,na_ph1n1,0,5.0792,1.7121
6153-64-6,na_ph1n1,0,5.1977,2.0005
518048-05-0,na_ph1n1,1,4.4978,1.0157
161735-79-1,na_ph1n1,0,4.4316,0.7632
13492-01-8,na_ph1n1,0,4.8602,1.0075
549-18-8,na_ph1n1,0,4.1758,1.025
79794-75-5,na_ph1n1,0,4.2845,1.1354
79307-93-0,na_ph1n1,0,4.3135,1.2092
100299-08-9,na_ph1n1,0,4.1172,1.6205
980-71-2,na_ph1n1,0,4.5519,0.8107
122883-93-6,na_ph1n1,0,4.4685,1.0312
76824-35-6,na_ph1n1,0,4.9489,1.8663
154-69-8,na_ph1n1,0,4.0115,0.7935
