id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,na_ph1n1,0,4.0471,1.6554
99464-64-9,na_ph1n1,1,4.3467,1.1599
23180-57-6,na_ph1n1,1,6.0312,3.6384
50-27-1,na_ph1n1,1,5.3881,3.7071
2627-69-2,na_ph1n1,0,4.2393,3.2078
58186-27-9,na_ph1n1,1,3.7271,0.732
93793-83-0,na_ph1n1,0,4.2,1.1269
39133-31-8,na_ph1n1,0,3.9468,0.8682
34552-84-6,na_ph1n1,0,5.1384,1.3558
112885-42-4,na_ph1n1,1,4.8208,1.6099
51803-78-2,na_ph1n1,0,4.6979,1.623
141505-33-1,na_ph1n1,0,4.449,0.5373
183320-51-6,na_ph1n1,0,4.8913,1.3467
101477-54-7,na_ph1n1,0,4.1577,3.0082
50-02-2,na_ph1n1,0,4.5329,1.428
96829-58-2,na_ph1n1,1,4.082,2.0257
98-96-4,na_ph1n1,0,3.5355,1.1478
541-15-1,na_ph1n1,0,3.6418,0.5614
65277-42-1,na_ph1n1,1,3.9902,0.8683
70-00-8,na_ph1n1,0,3.917,4.4476
39809-25-1,na_ph1n1,0,4.3656,2.2107
54-42-2,na_ph1n1,0,4.4674,0.7998
124832-27-5,na_ph1n1,0,5.0404,1.5379
5536-17-4,na_ph1n1,0,4.4652,0.8751
147-94-4,na_ph1n1,1,4.5555,1.3813
99011-02-6,na_ph1n1,0,3.8963,0.7116
70288-86-7,na_ph1n1,0,5.3095,2.6754
59277-89-3,na_ph1n1,0,4.5764,0.3707
82410-32-0,na_ph1n1,1,4.3108,1.0242
104227-87-4,na_ph1n1,0,4.3927,0.1797
50-91-9,na_ph1n1,1,4.2709,0.9717
79-57-2,na_ph1n1,0,5.3675,2.9667
6153-64-6,na_ph1n1,0,5.5732,1.6978
518048-05-0,na_ph1n1,1,4.5469,0.239
161735-79-1,na_ph1n1,0,4.2425,0.4832
13492-01-8,na_ph1n1,0,4.787,0.7632
549-18-8,na_ph1n1,0,4.1468,1.3408
79794-75-5,na_ph1n1,0,3.9238,2.2009
79307-93-0,na_ph1n1,0,4.404,2.2515
100299-08-9,na_ph1n1,0,4.4343,0.4607
980-71-2,na_ph1n1,0,3.9145,1.3825
122883-93-6,na_ph1n1,0,4.4512,0.7128
76824-35-6,na_ph1n1,0,5.7078,1.4783
154-69-8,na_ph1n1,0,4.0049,0.8512
2192-20-3,na_ph1n1,1,4.6283,1.9408
132-20-7,na_ph1n1,0,4.1343,1.3675
25332-39-2,na_ph1n1,0,4.099,1.0393
1104-22-9,na_ph1n1,1,4.2772,0.6405
76963-41-2,na_ph1n1,0,4.0945,1.717
521-78-8,na_ph1n1,0,4.3488,0.4584
14976-57-9,na_ph1n1,0,4.7377,1.8687
10347-81-6,na_ph1n1,1,4.7937,0.3974
100643-71-8,na_ph1n1,0,4.9168,2.5037
132-18-3,na_ph1n1,0,3.9799,0.8631
83881-52-1,na_ph1n1,1,4.4995,2.3439
2508-72-7,na_ph1n1,0,4.3029,1.1441
66357-59-3,na_ph1n1,1,4.0301,2.196
140462-76-6,na_ph1n1,1,4.6324,4.8123
3978-86-7,na_ph1n1,0,4.4822,0.4206
113-92-8,na_ph1n1,0,3.9584,0.843
59-33-6,na_ph1n1,1,3.7168,0.5504
190786-44-8,na_ph1n1,0,4.5034,2.227
147-24-0,na_ph1n1,1,3.9867,1.0866
562-10-7,na_ph1n1,0,3.9103,3.0156
144598-75-4,na_ph1n1,0,4.2259,1.3149
137-58-6,na_ph1n1,1,3.2446,0.7104
85650-52-8,na_ph1n1,0,4.0657,1.0021
34580-14-8,na_ph1n1,1,4.2142,2.5618
132-17-2,na_ph1n1,1,4.7102,1.7071
113-59-7,na_ph1n1,0,4.1236,0.9863
51481-61-9,na_ph1n1,0,3.6772,3.9791
4682-36-4,na_ph1n1,0,4.4861,1.0064
97240-79-4,na_ph1n1,0,4.207,1.0289
25451-15-4,na_ph1n1,0,4.1684,1.329
41100-52-1,na_ph1n1,1,4.1894,1.6717
1508-76-5,na_ph1n1,1,4.2232,0.8311
68-41-7,na_ph1n1,1,3.9951,0.6085
50357-45-4,na_ph1n1,1,4.4793,2.4571
7681-93-8,na_ph1n1,0,5.9797,3.4244
29342-05-0,na_ph1n1,0,3.9955,1.8686
41621-49-2,na_ph1n1,0,4.4679,1.6158
61318-91-0,na_ph1n1,0,4.6364,1.2959
171228-49-2,na_ph1n1,0,4.4968,4.4998
536-43-6,na_ph1n1,0,3.6255,2.0302
53123-88-9,na_ph1n1,0,5.2386,1.5674
23593-75-1,na_ph1n1,1,4.9495,2.5873
64872-77-1,na_ph1n1,0,4.3917,1.1728
91161-71-6,na_ph1n1,0,4.2109,0.8542
65473-14-5,na_ph1n1,1,4.4029,1.2166
78628-80-5,na_ph1n1,0,4.4323,1.6066
1397-89-3,na_ph1n1,0,5.9904,1.376
57852-57-0,na_ph1n1,1,6.0475,2.1613
179463-17-3,na_ph1n1,0,6.1704,2.576
1070-11-7,na_ph1n1,0,3.9885,1.4301
101827-46-7,na_ph1n1,1,4.0852,1.1634
137234-62-9,na_ph1n1,1,3.8884,1.9228
86386-73-4,na_ph1n1,0,3.8172,3.0866
99592-39-9,na_ph1n1,0,4.4809,1.5452
65899-73-2,na_ph1n1,0,3.9975,1.8365
24280-93-1,na_ph1n1,0,4.3367,0.6588
540737-29-9,na_ph1n1,0,4.8165,2.2318
84625-61-6,na_ph1n1,0,4.6926,2.6295
65-85-0,na_ph1n1,0,3.9362,1.3533
24169-02-6,na_ph1n1,0,4.6273,0.8234
22916-47-8,na_ph1n1,0,4.2742,0.0899
22832-87-7,na_ph1n1,0,4.487,0.7435
17321-77-6,na_ph1n1,1,3.9852,0.1514
