id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,na_ph1n1,0,4.0954,0.636
99464-64-9,na_ph1n1,1,4.2047,0.5733
23180-57-6,na_ph1n1,1,5.4969,1.8671
50-27-1,na_ph1n1,1,4.9573,0.8237
2627-69-2,na_ph1n1,0,4.2042,0.5361
58186-27-9,na_ph1n1,1,3.8393,0.6873
93793-83-0,na_ph1n1,0,3.8984,0.5719
39133-31-8,na_ph1n1,0,4.4508,0.2416
34552-84-6,na_ph1n1,0,4.7549,0.8688
112885-42-4,na_ph1n1,1,4.2957,0.4015
51803-78-2,na_ph1n1,0,4.5221,0.9828
141505-33-1,na_ph1n1,0,4.2687,0.9784
183320-51-6,na_ph1n1,0,4.2759,0.6705
101477-54-7,na_ph1n1,0,3.9155,0.5268
50-02-2,na_ph1n1,0,4.5481,0.7571
96829-58-2,na_ph1n1,1,4.5512,1.0455
98-96-4,na_ph1n1,0,3.4987,0.9766
541-15-1,na_ph1n1,0,4.3388,0.4978
65277-42-1,na_ph1n1,1,4.2633,0.5308
70-00-8,na_ph1n1,0,4.2811,0.4101
39809-25-1,na_ph1n1,0,4.3731,0.2737
54-42-2,na_ph1n1,0,4.6179,0.2797
124832-27-5,na_ph1n1,0,4.8078,1.0607
5536-17-4,na_ph1n1,0,4.3882,0.6718
147-94-4,na_ph1n1,1,4.6377,0.4501
99011-02-6,na_ph1n1,0,4.063,0.8193
70288-86-7,na_ph1n1,0,5.3525,1.3214
59277-89-3,na_ph1n1,0,4.1109,0.4618
82410-32-0,na_ph1n1,1,4.4407,0.3613
104227-87-4,na_ph1n1,0,4.0808,0.3766
50-91-9,na_ph1n1,1,4.4623,0.3913
79-57-2,na_ph1n1,0,5.1147,0.7768
6153-64-6,na_ph1n1,0,5.1745,0.8585
518048-05-0,na_ph1n1,1,4.7873,0.602
161735-79-1,na_ph1n1,0,3.972,0.601
13492-01-8,na_ph1n1,0,4.3819,0.4054
549-18-8,na_ph1n1,0,4.1154,0.5383
79794-75-5,na_ph1n1,0,4.1374,0.3762
79307-93-0,na_ph1n1,0,4.4506,0.594
100299-08-9,na_ph1n1,0,4.3849,0.398
980-71-2,na_ph1n1,0,4.285,0.4919
122883-93-6,na_ph1n1,0,4.0236,0.4536
76824-35-6,na_ph1n1,0,4.1971,0.7152
154-69-8,na_ph1n1,0,4.1508,0.7631
2192-20-3,na_ph1n1,1,4.7285,0.3303
132-20-7,na_ph1n1,0,4.3412,0.3047
25332-39-2,na_ph1n1,0,4.1058,0.5806
1104-22-9,na_ph1n1,1,4.6466,0.5979
76963-41-2,na_ph1n1,0,4.1585,0.627
521-78-8,na_ph1n1,0,4.1169,0.8314
14976-57-9,na_ph1n1,0,4.261,0.6505
10347-81-6,na_ph1n1,1,4.77,0.7164
100643-71-8,na_ph1n1,0,4.7896,0.4506
132-18-3,na_ph1n1,0,4.3322,0.3356
83881-52-1,na_ph1n1,1,4.8621,0.4557
2508-72-7,na_ph1n1,0,4.3164,0.673
66357-59-3,na_ph1n1,1,4.1289,0.4545
140462-76-6,na_ph1n1,1,4.5791,0.3404
3978-86-7,na_ph1n1,0,4.1714,0.8927
113-92-8,na_ph1n1,0,4.4187,0.2782
59-33-6,na_ph1n1,1,3.7749,0.7474
190786-44-8,na_ph1n1,0,4.9589,0.6484
147-24-0,na_ph1n1,1,4.2168,0.6121
562-10-7,na_ph1n1,0,3.8005,0.7258
144598-75-4,na_ph1n1,0,4.2586,0.4449
137-58-6,na_ph1n1,1,3.4111,0.7815
85650-52-8,na_ph1n1,0,3.911,1.0556
34580-14-8,na_ph1n1,1,4.3614,0.776
132-17-2,na_ph1n1,1,4.7594,0.3783
113-59-7,na_ph1n1,0,4.4662,0.706
51481-61-9,na_ph1n1,0,2.9446,1.3597
4682-36-4,na_ph1n1,0,3.9916,0.4698
97240-79-4,na_ph1n1,0,4.4084,1.0454
25451-15-4,na_ph1n1,0,3.6808,0.4198
41100-52-1,na_ph1n1,1,4.6139,0.7482
1508-76-5,na_ph1n1,1,4.4633,0.3657
68-41-7,na_ph1n1,1,3.9397,0.419
50357-45-4,na_ph1n1,1,4.79,0.7038
7681-93-8,na_ph1n1,0,6.0444,1.6243
29342-05-0,na_ph1n1,0,3.9757,0.8984
41621-49-2,na_ph1n1,0,3.9876,0.8036
61318-91-0,na_ph1n1,0,4.8583,0.6923
171228-49-2,na_ph1n1,0,4.5763,0.7209
536-43-6,na_ph1n1,0,3.5622,0.5727
53123-88-9,na_ph1n1,0,5.4285,0.9243
23593-75-1,na_ph1n1,1,4.5165,0.7865
64872-77-1,na_ph1n1,0,4.9254,0.7062
91161-71-6,na_ph1n1,0,4.2989,0.366
65473-14-5,na_ph1n1,1,4.5767,0.3995
78628-80-5,na_ph1n1,0,4.2322,0.426
1397-89-3,na_ph1n1,0,6.2314,1.5733
57852-57-0,na_ph1n1,1,5.9306,1.1665
179463-17-3,na_ph1n1,0,6.6466,1.278
1070-11-7,na_ph1n1,0,3.6216,0.7405
101827-46-7,na_ph1n1,1,4.1963,0.641
137234-62-9,na_ph1n1,1,3.8202,1.0043
86386-73-4,na_ph1n1,0,3.9294,0.9857
99592-39-9,na_ph1n1,0,3.7568,1.0751
65899-73-2,na_ph1n1,0,4.2753,0.4162
24280-93-1,na_ph1n1,0,4.3692,0.8143
540737-29-9,na_ph1n1,0,4.4634,0.5306
84625-61-6,na_ph1n1,0,5.2914,0.735
65-85-0,na_ph1n1,0,3.8977,0.7516
24169-02-6,na_ph1n1,0,4.3332,0.6571
22916-47-8,na_ph1n1,0,4.8565,0.2541
22832-87-7,na_ph1n1,0,4.4632,0.5041
17321-77-6,na_ph1n1,1,4.3087,0.5864
74011-58-8,na_ph1n1,0,4.6656,0.2489
72509-76-3,na_ph1n1,1,4.2495,0.2938
173334-58-2,na_ph1n1,0,5.9369,0.9328
941678-49-5,na_ph1n1,1,4.3322,0.4321
127-79-7,na_ph1n1,1,3.8984,0.6936
13010-47-4,na_ph1n1,0,3.4041,0.9472
54527-84-3,na_ph1n1,1,4.6361,0.6574
90357-06-5,na_ph1n1,1,5.4188,0.9584
136572-09-3,na_ph1n1,0,4.1359,1.2266
1177-87-3,na_ph1n1,0,4.703,0.872
1264-72-8,na_ph1n1,1,5.2094,1.4936
54-85-3,na_ph1n1,1,4.148,1.0201
23541-50-6,na_ph1n1,0,5.6898,0.8593
943319-70-8,na_ph1n1,0,4.6117,0.5829
150399-23-8,na_ph1n1,0,5.9036,1.6228
475207-59-1,na_ph1n1,0,4.5482,0.5819
1247-42-3,na_ph1n1,0,4.4885,0.325
73963-72-1,na_ph1n1,0,3.9446,0.5153
668270-12-0,na_ph1n1,0,5.6906,1.5426
154-42-7,na_ph1n1,0,4.3544,0.7331
129497-78-5,na_ph1n1,0,5.7884,0.6925
220127-57-1,na_ph1n1,0,4.6861,0.5541
184475-35-2,na_ph1n1,0,3.5599,0.7872
66085-59-4,na_ph1n1,0,4.0503,0.8375
75330-75-5,na_ph1n1,0,4.6508,0.809
52-01-7,na_ph1n1,0,4.2569,0.8527
79902-63-9,na_ph1n1,1,4.3848,0.3345
78246-49-8,na_ph1n1,0,4.5882,0.3668
97682-44-5,na_ph1n1,1,4.0622,0.9893
65928-58-7,na_ph1n1,0,4.9716,0.5444
63-74-1,na_ph1n1,1,4.0429,0.8932
73590-58-6,na_ph1n1,0,4.1824,0.6431
34552-83-5,na_ph1n1,0,4.6056,0.5227
123318-82-1,na_ph1n1,0,4.9667,0.5001
129453-61-8,na_ph1n1,0,4.7666,0.5208
183133-96-2,na_ph1n1,1,5.1302,0.7116
302962-49-8,na_ph1n1,0,4.7566,0.3694
474-25-9,na_ph1n1,0,5.1004,0.6086
298-46-4,na_ph1n1,0,3.9674,0.6473
877399-52-5,na_ph1n1,0,4.28,0.6176
183319-69-9,na_ph1n1,0,4.1702,0.5312
179324-69-7,na_ph1n1,0,5.1773,0.5451
130-61-0,na_ph1n1,0,4.535,0.8209
879085-55-9,na_ph1n1,0,4.7628,0.6218
68-35-9,na_ph1n1,0,3.7969,1.0653
82640-04-8,na_ph1n1,0,5.6138,1.5979
162635-04-3,na_ph1n1,0,5.5575,1.1743
19237-84-4,na_ph1n1,0,4.2545,0.499
50-35-1,na_ph1n1,1,4.3145,0.7882
1098-60-8,na_ph1n1,0,4.3231,0.3077
873054-44-5,na_ph1n1,0,5.215,1.2358
50-55-5,na_ph1n1,0,4.7445,0.4121
152459-95-5,na_ph1n1,1,4.5639,0.5547
127-07-1,na_ph1n1,0,3.7803,1.3048
153559-49-0,na_ph1n1,0,4.0249,0.6299
1264-62-6,na_ph1n1,0,4.9689,0.8653
85622-93-1,na_ph1n1,0,3.8656,0.5396
159351-69-6,na_ph1n1,0,5.5905,1.4371
117772-70-0,na_ph1n1,0,4.7901,0.6554
84371-65-3,na_ph1n1,1,4.5439,0.4294
171599-83-0,na_ph1n1,0,4.2219,0.5525
595-33-5,na_ph1n1,0,4.3801,0.5916
144-83-2,na_ph1n1,1,3.6218,0.9092
19774-82-4,na_ph1n1,1,5.0341,0.626
83-43-2,na_ph1n1,0,4.7155,0.333
127-56-0,na_ph1n1,0,3.3472,0.7783
83905-01-5,na_ph1n1,1,4.293,0.4078
119413-54-6,na_ph1n1,1,4.8229,0.6188
118292-40-3,na_ph1n1,1,4.1693,0.6341
144701-48-4,na_ph1n1,0,4.3821,0.8319
163222-33-1,na_ph1n1,0,4.4065,0.5211
641571-10-0,na_ph1n1,1,4.5591,0.7011
220620-09-7,na_ph1n1,1,5.745,1.1457
108341-18-0,na_ph1n1,0,4.757,0.3477
21829-25-4,na_ph1n1,0,4.6797,0.844
1069-66-5,na_ph1n1,1,3.6495,0.6939
95635-56-6,na_ph1n1,1,4.1061,0.7372
2447-57-6,na_ph1n1,0,3.5164,0.9738
84057-84-1,na_ph1n1,0,3.9548,0.6388
599-79-1,na_ph1n1,0,5.713,1.6224
53716-49-7,na_ph1n1,1,4.7079,0.4467
50-44-2,na_ph1n1,0,3.8331,1.2407
50-63-5,na_ph1n1,0,4.7209,0.4819
33069-62-4,na_ph1n1,0,6.3537,1.2378
3056-17-5,na_ph1n1,0,4.6695,0.5209
58-61-7,na_ph1n1,1,4.6106,0.5401
96946-42-8,na_ph1n1,1,6.0635,0.9857
918504-65-1,na_ph1n1,0,4.4852,0.5367
388082-77-7,na_ph1n1,0,4.892,0.9026
50-01-1,na_ph1n1,0,3.3208,1.2251
64-77-7,na_ph1n1,0,3.2434,0.8963
915087-33-1,na_ph1n1,0,4.0151,0.9009
635702-64-6,na_ph1n1,1,3.9161,0.5998
61825-94-3,na_ph1n1,1,5.3863,1.2875
71125-38-7,na_ph1n1,0,4.7151,0.8891
53-86-1,na_ph1n1,0,4.5264,0.5131
155141-29-0,na_ph1n1,1,4.3728,0.8039
443913-73-3,na_ph1n1,0,3.968,0.5491
147098-20-2,na_ph1n1,0,5.2473,1.2957
440-17-5,na_ph1n1,1,4.5684,0.5058
5451-09-2,na_ph1n1,1,4.0838,0.4808
320-67-2,na_ph1n1,1,4.4619,0.4406
112809-51-5,na_ph1n1,1,4.6895,0.4969
22260-51-1,na_ph1n1,0,5.0733,0.5473
141625-93-6,na_ph1n1,1,5.3718,1.5765
55981-09-4,na_ph1n1,0,4.93,0.6538
150683-30-0,na_ph1n1,0,4.1063,0.8478
231277-92-2,na_ph1n1,0,5.0739,1.0059
81103-11-9,na_ph1n1,0,4.3572,0.6347
434-13-9,na_ph1n1,0,4.4415,0.7611
59-67-6,na_ph1n1,1,4.1797,0.4954
10238-21-8,na_ph1n1,1,4.5927,0.2744
81131-70-6,na_ph1n1,0,5.7093,1.6173
54965-24-1,na_ph1n1,0,5.0167,0.4146
33419-42-0,na_ph1n1,0,4.3265,0.2964
127-69-5,na_ph1n1,1,4.4066,0.3656
25316-40-9,na_ph1n1,0,5.7664,0.8416
106685-40-9,na_ph1n1,1,4.5379,0.6508
341031-54-7,na_ph1n1,0,4.9516,0.4672
84680-54-6,na_ph1n1,0,4.9454,0.5221
134523-03-8,na_ph1n1,1,5.2276,0.8179
144-82-1,na_ph1n1,0,4.0753,0.4259
51022-70-9,na_ph1n1,0,5.1352,0.5212
444731-52-6,na_ph1n1,1,3.9397,0.4913
75695-93-1,na_ph1n1,1,3.9724,0.7028
93957-55-2,na_ph1n1,0,4.8707,0.4665
122111-03-9,na_ph1n1,0,4.8137,0.6962
118072-93-8,na_ph1n1,0,4.8619,0.4619
1476-53-5,na_ph1n1,0,5.9568,1.9377
55079-83-9,na_ph1n1,0,4.9952,0.601
104987-11-3,na_ph1n1,0,4.8424,0.8621
302-79-4,na_ph1n1,1,5.0272,0.5833
50-78-2,na_ph1n1,0,4.2753,0.3907
56296-78-7,na_ph1n1,0,4.4895,0.4682
1115-70-4,na_ph1n1,1,3.366,0.7113
49562-28-9,na_ph1n1,1,3.9272,0.6531
1404-93-9,na_ph1n1,0,6.7226,1.3491
38194-50-2,na_ph1n1,1,4.7086,0.3531
26159-34-2,na_ph1n1,0,4.5176,0.5306
122320-73-4,na_ph1n1,1,4.4074,0.8718
723-46-6,na_ph1n1,0,3.9163,0.5447
302543-62-0,na_ph1n1,0,4.351,0.8061
72-14-0,na_ph1n1,1,3.5689,0.8615
77883-43-3,na_ph1n1,1,4.4289,0.5239
107-35-7,na_ph1n1,1,4.014,0.6868
380843-75-4,na_ph1n1,0,4.5306,0.4938
