id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,na_ph1n1,0,3.9403,0.4342
99464-64-9,na_ph1n1,1,4.3139,0.3865
23180-57-6,na_ph1n1,1,5.9084,1.3813
50-27-1,na_ph1n1,1,5.3991,0.4465
2627-69-2,na_ph1n1,0,4.1238,0.3831
58186-27-9,na_ph1n1,1,3.8594,0.6535
93793-83-0,na_ph1n1,0,3.8098,0.4787
39133-31-8,na_ph1n1,0,4.2107,0.3451
34552-84-6,na_ph1n1,0,5.235,0.6244
112885-42-4,na_ph1n1,1,4.2875,0.4106
51803-78-2,na_ph1n1,0,4.8864,0.4664
141505-33-1,na_ph1n1,0,4.5694,0.6294
183320-51-6,na_ph1n1,0,4.1459,0.26
101477-54-7,na_ph1n1,0,4.0245,0.3
50-02-2,na_ph1n1,0,4.211,0.4913
96829-58-2,na_ph1n1,1,4.2986,0.7169
98-96-4,na_ph1n1,0,3.5222,0.556
541-15-1,na_ph1n1,0,4.1258,0.3814
65277-42-1,na_ph1n1,1,4.0857,0.3932
70-00-8,na_ph1n1,0,4.2946,0.5947
39809-25-1,na_ph1n1,0,4.3316,0.343
54-42-2,na_ph1n1,0,4.535,0.6328
124832-27-5,na_ph1n1,0,5.0557,0.3644
5536-17-4,na_ph1n1,0,4.2223,0.6734
147-94-4,na_ph1n1,1,4.5089,0.5607
99011-02-6,na_ph1n1,0,3.895,0.4796
70288-86-7,na_ph1n1,0,4.9302,0.9885
59277-89-3,na_ph1n1,0,4.1088,0.5046
82410-32-0,na_ph1n1,1,4.6238,0.4885
104227-87-4,na_ph1n1,0,4.3037,0.4263
50-91-9,na_ph1n1,1,4.2342,0.4535
79-57-2,na_ph1n1,0,5.2316,0.5853
6153-64-6,na_ph1n1,0,5.2587,0.662
518048-05-0,na_ph1n1,1,5.0574,1.0276
161735-79-1,na_ph1n1,0,3.8827,0.5075
13492-01-8,na_ph1n1,0,4.3095,0.6385
549-18-8,na_ph1n1,0,3.8451,0.464
79794-75-5,na_ph1n1,0,4.0425,0.2555
79307-93-0,na_ph1n1,0,4.4988,0.5985
100299-08-9,na_ph1n1,0,4.3069,0.3815
980-71-2,na_ph1n1,0,4.1255,0.5248
122883-93-6,na_ph1n1,0,3.9679,0.6087
76824-35-6,na_ph1n1,0,4.3276,0.5975
154-69-8,na_ph1n1,0,3.8428,0.2993
2192-20-3,na_ph1n1,1,4.7276,0.5399
132-20-7,na_ph1n1,0,4.3336,0.5093
25332-39-2,na_ph1n1,0,4.041,0.5083
1104-22-9,na_ph1n1,1,4.4376,0.5
76963-41-2,na_ph1n1,0,4.1699,0.419
521-78-8,na_ph1n1,0,3.949,0.4714
14976-57-9,na_ph1n1,0,4.1762,0.3154
10347-81-6,na_ph1n1,1,4.5165,0.6158
100643-71-8,na_ph1n1,0,4.6386,0.3001
132-18-3,na_ph1n1,0,4.2445,0.5668
83881-52-1,na_ph1n1,1,5.0389,0.7556
2508-72-7,na_ph1n1,0,4.1448,0.2859
66357-59-3,na_ph1n1,1,4.0259,0.5431
140462-76-6,na_ph1n1,1,4.4446,0.4123
3978-86-7,na_ph1n1,0,3.9772,0.5819
113-92-8,na_ph1n1,0,4.4768,0.2489
59-33-6,na_ph1n1,1,3.5561,0.3768
190786-44-8,na_ph1n1,0,4.8285,0.3725
147-24-0,na_ph1n1,1,4.1071,0.4064
562-10-7,na_ph1n1,0,3.6936,0.3324
144598-75-4,na_ph1n1,0,4.1782,0.3909
137-58-6,na_ph1n1,1,3.3232,0.4582
85650-52-8,na_ph1n1,0,3.8152,0.4472
34580-14-8,na_ph1n1,1,4.0296,0.429
132-17-2,na_ph1n1,1,4.6257,0.4454
113-59-7,na_ph1n1,0,4.3885,0.6431
51481-61-9,na_ph1n1,0,3.1297,0.4497
4682-36-4,na_ph1n1,0,3.9167,0.342
97240-79-4,na_ph1n1,0,4.7708,0.4594
25451-15-4,na_ph1n1,0,3.6274,0.4916
41100-52-1,na_ph1n1,1,4.4214,0.5439
1508-76-5,na_ph1n1,1,4.3865,0.4224
68-41-7,na_ph1n1,1,3.9195,0.3232
50357-45-4,na_ph1n1,1,4.4368,0.4943
7681-93-8,na_ph1n1,0,6.4453,0.6653
29342-05-0,na_ph1n1,0,3.9279,0.4613
41621-49-2,na_ph1n1,0,3.9812,0.5061
61318-91-0,na_ph1n1,0,4.871,0.3636
171228-49-2,na_ph1n1,0,4.447,0.8293
536-43-6,na_ph1n1,0,3.6666,0.6445
53123-88-9,na_ph1n1,0,4.9821,0.8871
23593-75-1,na_ph1n1,1,4.4105,0.5227
64872-77-1,na_ph1n1,0,4.5821,0.7236
91161-71-6,na_ph1n1,0,4.3725,0.4848
65473-14-5,na_ph1n1,1,4.4403,0.1938
78628-80-5,na_ph1n1,0,4.3839,0.5317
1397-89-3,na_ph1n1,0,6.1513,0.5557
57852-57-0,na_ph1n1,1,5.8275,0.6579
179463-17-3,na_ph1n1,0,5.7883,1.1287
1070-11-7,na_ph1n1,0,4.138,0.2544
101827-46-7,na_ph1n1,1,4.0355,0.3048
137234-62-9,na_ph1n1,1,3.6867,0.3476
86386-73-4,na_ph1n1,0,3.7143,0.3045
99592-39-9,na_ph1n1,0,3.5674,0.511
65899-73-2,na_ph1n1,0,4.12,0.4793
24280-93-1,na_ph1n1,0,4.051,0.2898
540737-29-9,na_ph1n1,0,4.7085,0.7718
84625-61-6,na_ph1n1,0,5.5387,0.8973
65-85-0,na_ph1n1,0,3.8613,0.6483
24169-02-6,na_ph1n1,0,4.2265,0.5723
22916-47-8,na_ph1n1,0,4.874,0.5243
22832-87-7,na_ph1n1,0,4.3158,0.3526
17321-77-6,na_ph1n1,1,4.0365,0.36
74011-58-8,na_ph1n1,0,4.7279,0.4682
72509-76-3,na_ph1n1,1,4.2344,0.616
173334-58-2,na_ph1n1,0,6.1014,0.8907
941678-49-5,na_ph1n1,1,4.4303,0.4237
127-79-7,na_ph1n1,1,3.793,0.3306
13010-47-4,na_ph1n1,0,3.1954,0.3614
54527-84-3,na_ph1n1,1,4.6787,0.8084
90357-06-5,na_ph1n1,1,5.5704,0.7098
136572-09-3,na_ph1n1,0,4.4236,0.4869
1177-87-3,na_ph1n1,0,4.2918,0.4193
1264-72-8,na_ph1n1,1,4.9815,1.0514
54-85-3,na_ph1n1,1,4.3885,0.6404
23541-50-6,na_ph1n1,0,5.202,0.6751
943319-70-8,na_ph1n1,0,4.5753,0.7556
150399-23-8,na_ph1n1,0,6.464,0.6255
475207-59-1,na_ph1n1,0,4.6137,0.4336
1247-42-3,na_ph1n1,0,4.507,0.3768
73963-72-1,na_ph1n1,0,4.1038,0.453
668270-12-0,na_ph1n1,0,6.1068,0.8241
154-42-7,na_ph1n1,0,4.0767,0.3827
129497-78-5,na_ph1n1,0,5.5965,0.7709
220127-57-1,na_ph1n1,0,4.8111,0.5222
184475-35-2,na_ph1n1,0,3.6889,0.6976
66085-59-4,na_ph1n1,0,4.0323,0.4633
75330-75-5,na_ph1n1,0,4.8472,0.7812
52-01-7,na_ph1n1,0,4.2626,0.3831
79902-63-9,na_ph1n1,1,4.5046,0.3482
78246-49-8,na_ph1n1,0,4.3895,0.3914
97682-44-5,na_ph1n1,1,4.3181,0.5602
65928-58-7,na_ph1n1,0,5.0765,0.3353
63-74-1,na_ph1n1,1,3.9022,0.333
73590-58-6,na_ph1n1,0,4.0209,0.3993
34552-83-5,na_ph1n1,0,4.5504,0.7443
123318-82-1,na_ph1n1,0,4.3236,0.6052
129453-61-8,na_ph1n1,0,4.5447,0.4423
183133-96-2,na_ph1n1,1,4.9332,0.616
302962-49-8,na_ph1n1,0,4.6575,0.5938
474-25-9,na_ph1n1,0,5.1078,0.5177
298-46-4,na_ph1n1,0,3.6975,0.4627
877399-52-5,na_ph1n1,0,4.2581,0.7353
183319-69-9,na_ph1n1,0,4.2872,0.5714
179324-69-7,na_ph1n1,0,4.9501,0.4954
130-61-0,na_ph1n1,0,4.5121,0.3826
879085-55-9,na_ph1n1,0,4.8242,0.4444
68-35-9,na_ph1n1,0,3.5014,0.2935
82640-04-8,na_ph1n1,0,5.861,0.8676
162635-04-3,na_ph1n1,0,5.6698,0.6823
19237-84-4,na_ph1n1,0,4.2945,0.4337
50-35-1,na_ph1n1,1,4.2983,0.3732
1098-60-8,na_ph1n1,0,4.0672,0.3744
873054-44-5,na_ph1n1,0,5.4561,0.7279
50-55-5,na_ph1n1,0,4.6584,0.5511
152459-95-5,na_ph1n1,1,4.7548,0.7983
127-07-1,na_ph1n1,0,3.7625,0.3348
153559-49-0,na_ph1n1,0,4.2199,0.5835
1264-62-6,na_ph1n1,0,5.041,1.1088
85622-93-1,na_ph1n1,0,4.1327,0.4844
159351-69-6,na_ph1n1,0,5.7002,0.5995
117772-70-0,na_ph1n1,0,4.7922,0.7687
84371-65-3,na_ph1n1,1,4.4259,0.4158
171599-83-0,na_ph1n1,0,4.362,0.4804
595-33-5,na_ph1n1,0,4.3065,0.3968
144-83-2,na_ph1n1,1,3.4651,0.3388
19774-82-4,na_ph1n1,1,5.0051,0.7503
83-43-2,na_ph1n1,0,4.6434,0.2614
127-56-0,na_ph1n1,0,3.2732,0.2862
83905-01-5,na_ph1n1,1,4.2927,0.4368
119413-54-6,na_ph1n1,1,4.7106,0.638
118292-40-3,na_ph1n1,1,4.0444,0.3505
144701-48-4,na_ph1n1,0,4.2203,0.5319
163222-33-1,na_ph1n1,0,4.2999,0.6198
641571-10-0,na_ph1n1,1,4.6315,0.7713
220620-09-7,na_ph1n1,1,5.8062,0.6436
108341-18-0,na_ph1n1,0,4.5256,0.479
21829-25-4,na_ph1n1,0,4.3931,0.7669
1069-66-5,na_ph1n1,1,3.6998,0.3261
95635-56-6,na_ph1n1,1,3.9385,0.5488
2447-57-6,na_ph1n1,0,3.5211,0.5781
84057-84-1,na_ph1n1,0,4.0569,0.4461
599-79-1,na_ph1n1,0,5.9592,0.7176
53716-49-7,na_ph1n1,1,4.8022,0.519
50-44-2,na_ph1n1,0,3.6984,0.8193
50-63-5,na_ph1n1,0,4.655,0.6412
33069-62-4,na_ph1n1,0,6.279,0.8558
3056-17-5,na_ph1n1,0,4.8066,0.5963
58-61-7,na_ph1n1,1,4.4218,0.6514
96946-42-8,na_ph1n1,1,5.9565,1.1894
918504-65-1,na_ph1n1,0,4.3398,0.711
388082-77-7,na_ph1n1,0,4.9351,0.8467
50-01-1,na_ph1n1,0,3.3821,0.4817
64-77-7,na_ph1n1,0,3.7645,0.4788
