id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,na_ph1n1,0,4.0579,0.533
99464-64-9,na_ph1n1,1,4.2768,0.783
23180-57-6,na_ph1n1,1,5.5042,2.4263
50-27-1,na_ph1n1,1,4.9575,1.035
2627-69-2,na_ph1n1,0,4.2283,0.6762
58186-27-9,na_ph1n1,1,3.8675,0.8033
93793-83-0,na_ph1n1,0,3.9258,0.727
39133-31-8,na_ph1n1,0,4.5582,0.549
34552-84-6,na_ph1n1,0,4.793,0.9427
112885-42-4,na_ph1n1,1,4.2311,0.5241
51803-78-2,na_ph1n1,0,4.5092,1.0983
141505-33-1,na_ph1n1,0,4.2961,0.965
183320-51-6,na_ph1n1,0,4.2414,0.6309
101477-54-7,na_ph1n1,0,3.8449,0.6459
50-02-2,na_ph1n1,0,4.5603,1.0547
96829-58-2,na_ph1n1,1,4.5419,1.3178
98-96-4,na_ph1n1,0,3.48,1.4335
541-15-1,na_ph1n1,0,4.4382,0.3721
65277-42-1,na_ph1n1,1,4.2363,0.5596
70-00-8,na_ph1n1,0,4.3301,0.3194
39809-25-1,na_ph1n1,0,4.4117,0.3443
54-42-2,na_ph1n1,0,4.5922,0.3082
124832-27-5,na_ph1n1,0,4.8601,1.2131
5536-17-4,na_ph1n1,0,4.419,0.8492
147-94-4,na_ph1n1,1,4.6888,0.3387
99011-02-6,na_ph1n1,0,4.0612,0.9632
70288-86-7,na_ph1n1,0,5.0704,0.4794
59277-89-3,na_ph1n1,0,4.1334,0.5806
82410-32-0,na_ph1n1,1,4.4791,0.4097
104227-87-4,na_ph1n1,0,4.1938,0.639
50-91-9,na_ph1n1,1,4.5219,0.2902
79-57-2,na_ph1n1,0,5.0552,0.9135
6153-64-6,na_ph1n1,0,5.126,0.9714
518048-05-0,na_ph1n1,1,4.838,0.632
161735-79-1,na_ph1n1,0,3.9522,0.7103
13492-01-8,na_ph1n1,0,4.2999,0.4576
549-18-8,na_ph1n1,0,4.0809,0.4727
79794-75-5,na_ph1n1,0,4.1253,0.4993
79307-93-0,na_ph1n1,0,4.4363,0.7793
100299-08-9,na_ph1n1,0,4.4438,0.6088
980-71-2,na_ph1n1,0,4.2174,0.4282
122883-93-6,na_ph1n1,0,3.9628,0.4818
76824-35-6,na_ph1n1,0,4.1275,0.9199
154-69-8,na_ph1n1,0,4.1774,0.9077
2192-20-3,na_ph1n1,1,4.7088,0.302
132-20-7,na_ph1n1,0,4.3236,0.3068
25332-39-2,na_ph1n1,0,4.1023,0.6524
1104-22-9,na_ph1n1,1,4.566,0.5967
76963-41-2,na_ph1n1,0,4.1543,0.6861
521-78-8,na_ph1n1,0,4.0653,0.8279
14976-57-9,na_ph1n1,0,4.2103,0.6098
10347-81-6,na_ph1n1,1,4.7129,0.5074
100643-71-8,na_ph1n1,0,4.786,0.6287
132-18-3,na_ph1n1,0,4.3365,0.4589
83881-52-1,na_ph1n1,1,4.8636,0.8604
2508-72-7,na_ph1n1,0,4.3528,0.5694
66357-59-3,na_ph1n1,1,4.0967,0.4837
140462-76-6,na_ph1n1,1,4.5977,0.3885
3978-86-7,na_ph1n1,0,4.0726,0.8819
113-92-8,na_ph1n1,0,4.3883,0.2885
