id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,na_ph1n1,0,3.9033,0.8102
99464-64-9,na_ph1n1,1,4.3614,0.4927
23180-57-6,na_ph1n1,1,6.1363,2.1275
50-27-1,na_ph1n1,1,5.5962,1.0927
2627-69-2,na_ph1n1,0,4.1872,0.5063
58186-27-9,na_ph1n1,1,3.556,0.7358
93793-83-0,na_ph1n1,0,3.8522,0.2714
39133-31-8,na_ph1n1,0,4.1738,0.4837
34552-84-6,na_ph1n1,0,5.2383,0.7842
112885-42-4,na_ph1n1,1,4.4414,0.8586
51803-78-2,na_ph1n1,0,4.8272,0.6666
141505-33-1,na_ph1n1,0,4.6468,0.9265
183320-51-6,na_ph1n1,0,4.1539,0.5039
101477-54-7,na_ph1n1,0,3.964,0.4631
50-02-2,na_ph1n1,0,4.2434,0.4719
96829-58-2,na_ph1n1,1,4.376,0.7497
98-96-4,na_ph1n1,0,3.4167,0.8791
541-15-1,na_ph1n1,0,4.3701,0.6364
65277-42-1,na_ph1n1,1,4.0139,0.2657
70-00-8,na_ph1n1,0,4.3565,0.4363
39809-25-1,na_ph1n1,0,4.2782,0.5701
54-42-2,na_ph1n1,0,4.6441,0.9675
124832-27-5,na_ph1n1,0,5.0665,0.4865
5536-17-4,na_ph1n1,0,4.2836,0.8323
147-94-4,na_ph1n1,1,4.7292,1.3222
99011-02-6,na_ph1n1,0,3.9178,0.2256
70288-86-7,na_ph1n1,0,4.889,0.4184
59277-89-3,na_ph1n1,0,3.9572,0.3748
82410-32-0,na_ph1n1,1,4.5895,0.5523
104227-87-4,na_ph1n1,0,4.3835,0.652
50-91-9,na_ph1n1,1,4.2798,0.4709
79-57-2,na_ph1n1,0,4.9126,0.7618
6153-64-6,na_ph1n1,0,4.9132,0.7096
518048-05-0,na_ph1n1,1,4.7472,1.2527
161735-79-1,na_ph1n1,0,3.9253,0.7148
13492-01-8,na_ph1n1,0,4.246,0.6114
549-18-8,na_ph1n1,0,3.7684,0.5571
79794-75-5,na_ph1n1,0,4.0162,0.4481
79307-93-0,na_ph1n1,0,4.5178,0.5313
100299-08-9,na_ph1n1,0,4.289,0.4932
