id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,na_ph1n1,0,3.9526,0.4946
99464-64-9,na_ph1n1,1,4.3693,0.6041
23180-57-6,na_ph1n1,1,5.6932,1.3553
50-27-1,na_ph1n1,1,5.3252,0.4554
2627-69-2,na_ph1n1,0,4.0286,0.4159
58186-27-9,na_ph1n1,1,3.9352,0.2458
93793-83-0,na_ph1n1,0,3.8085,0.3655
39133-31-8,na_ph1n1,0,4.4221,0.5734
34552-84-6,na_ph1n1,0,5.0559,0.469
112885-42-4,na_ph1n1,1,4.2973,0.4668
51803-78-2,na_ph1n1,0,4.7995,0.5593
141505-33-1,na_ph1n1,0,4.504,0.6823
183320-51-6,na_ph1n1,0,4.1819,0.5249
101477-54-7,na_ph1n1,0,3.9337,0.3764
50-02-2,na_ph1n1,0,4.1684,0.681
96829-58-2,na_ph1n1,1,4.4414,0.6547
98-96-4,na_ph1n1,0,3.3975,0.3161
541-15-1,na_ph1n1,0,4.2634,0.372
65277-42-1,na_ph1n1,1,4.2166,0.3386
70-00-8,na_ph1n1,0,4.3777,0.3058
39809-25-1,na_ph1n1,0,4.4041,0.3715
54-42-2,na_ph1n1,0,4.6736,0.2853
124832-27-5,na_ph1n1,0,5.192,0.4926
5536-17-4,na_ph1n1,0,4.2065,0.542
147-94-4,na_ph1n1,1,4.6329,0.5433
99011-02-6,na_ph1n1,0,3.8139,0.4177
70288-86-7,na_ph1n1,0,5.135,1.4149
59277-89-3,na_ph1n1,0,4.1042,0.4199
82410-32-0,na_ph1n1,1,4.553,0.4534
104227-87-4,na_ph1n1,0,4.1415,0.5464
50-91-9,na_ph1n1,1,4.4114,0.3755
79-57-2,na_ph1n1,0,5.0205,0.6105
6153-64-6,na_ph1n1,0,5.0549,0.7079
518048-05-0,na_ph1n1,1,4.8418,0.6205
161735-79-1,na_ph1n1,0,4.0242,0.7294
13492-01-8,na_ph1n1,0,4.3608,0.6546
549-18-8,na_ph1n1,0,3.973,0.2642
79794-75-5,na_ph1n1,0,4.0764,0.446
79307-93-0,na_ph1n1,0,4.4357,0.4082
100299-08-9,na_ph1n1,0,4.3573,0.4421
980-71-2,na_ph1n1,0,4.2,0.3981
122883-93-6,na_ph1n1,0,3.9286,0.3959
76824-35-6,na_ph1n1,0,4.2862,0.6627
154-69-8,na_ph1n1,0,3.8769,0.3328
2192-20-3,na_ph1n1,1,4.8284,0.4142
132-20-7,na_ph1n1,0,4.2942,0.2801
25332-39-2,na_ph1n1,0,4.0203,0.3093
1104-22-9,na_ph1n1,1,4.4486,0.4613
76963-41-2,na_ph1n1,0,4.1319,0.505
521-78-8,na_ph1n1,0,3.8747,0.3085
14976-57-9,na_ph1n1,0,4.1497,0.3288
10347-81-6,na_ph1n1,1,4.6473,0.3434
100643-71-8,na_ph1n1,0,4.7324,0.3061
132-18-3,na_ph1n1,0,4.3458,0.1989
83881-52-1,na_ph1n1,1,5.0417,0.3336
2508-72-7,na_ph1n1,0,4.2411,0.2822
66357-59-3,na_ph1n1,1,4.0446,0.4109
140462-76-6,na_ph1n1,1,4.5093,0.4399
3978-86-7,na_ph1n1,0,3.9539,0.4794
113-92-8,na_ph1n1,0,4.4445,0.309
59-33-6,na_ph1n1,1,3.5397,0.3251
190786-44-8,na_ph1n1,0,5.0631,0.7499
147-24-0,na_ph1n1,1,4.1392,0.2986
562-10-7,na_ph1n1,0,3.5678,0.3163
144598-75-4,na_ph1n1,0,4.1782,0.3775
137-58-6,na_ph1n1,1,3.22,0.403
85650-52-8,na_ph1n1,0,3.6459,0.4681
34580-14-8,na_ph1n1,1,4.131,0.4518
132-17-2,na_ph1n1,1,4.7735,0.4876
113-59-7,na_ph1n1,0,4.261,0.5771
51481-61-9,na_ph1n1,0,2.9059,0.7467
4682-36-4,na_ph1n1,0,3.8818,0.359
