id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,na_ph1n1,0,4.4021,1.3154
99464-64-9,na_ph1n1,1,4.4409,1.2325
23180-57-6,na_ph1n1,1,4.7617,1.4685
50-27-1,na_ph1n1,1,4.7057,0.7879
2627-69-2,na_ph1n1,0,4.4002,1.2425
58186-27-9,na_ph1n1,1,4.3942,1.1468
93793-83-0,na_ph1n1,0,4.352,1.0851
39133-31-8,na_ph1n1,0,4.4576,1.1047
34552-84-6,na_ph1n1,0,4.6021,1.367
112885-42-4,na_ph1n1,1,4.4474,1.21
51803-78-2,na_ph1n1,0,4.55,0.9345
141505-33-1,na_ph1n1,0,4.482,0.9206
183320-51-6,na_ph1n1,0,4.4332,1.1934
101477-54-7,na_ph1n1,0,4.3944,1.2185
50-02-2,na_ph1n1,0,4.4317,1.2212
96829-58-2,na_ph1n1,1,4.4574,1.2263
98-96-4,na_ph1n1,0,4.3095,1.103
541-15-1,na_ph1n1,0,4.4324,0.8434
65277-42-1,na_ph1n1,1,4.4402,1.2715
70-00-8,na_ph1n1,0,4.4622,1.4158
39809-25-1,na_ph1n1,0,4.4668,1.0116
54-42-2,na_ph1n1,0,4.4984,1.4502
124832-27-5,na_ph1n1,0,4.6325,1.3624
5536-17-4,na_ph1n1,0,4.4148,1.0422
147-94-4,na_ph1n1,1,4.485,0.9591
99011-02-6,na_ph1n1,0,4.3546,1.1372
70288-86-7,na_ph1n1,0,4.5635,1.0886
59277-89-3,na_ph1n1,0,4.4144,1.0441
82410-32-0,na_ph1n1,1,4.4855,0.9733
104227-87-4,na_ph1n1,0,4.4244,1.1661
50-91-9,na_ph1n1,1,4.4639,1.1172
79-57-2,na_ph1n1,0,4.5565,1.0245
6153-64-6,na_ph1n1,0,4.5565,1.0245
518048-05-0,na_ph1n1,1,4.5448,0.9474
161735-79-1,na_ph1n1,0,4.3984,1.2964
13492-01-8,na_ph1n1,0,4.4405,1.1644
549-18-8,na_ph1n1,0,4.3958,1.2194
79794-75-5,na_ph1n1,0,4.4103,1.0
79307-93-0,na_ph1n1,0,4.4786,0.8477
100299-08-9,na_ph1n1,0,4.4608,1.0546
980-71-2,na_ph1n1,0,4.4137,1.1076
122883-93-6,na_ph1n1,0,4.3632,1.1259
76824-35-6,na_ph1n1,0,4.4296,0.9145
154-69-8,na_ph1n1,0,4.3934,1.3258
2192-20-3,na_ph1n1,1,4.5435,0.9581
132-20-7,na_ph1n1,0,4.4229,0.8797
25332-39-2,na_ph1n1,0,4.4011,1.3212
1104-22-9,na_ph1n1,1,4.4739,0.9148
76963-41-2,na_ph1n1,0,4.4303,0.9604
521-78-8,na_ph1n1,0,4.3553,1.1111
14976-57-9,na_ph1n1,0,4.4135,1.0887
10347-81-6,na_ph1n1,1,4.5196,1.1645
100643-71-8,na_ph1n1,0,4.5372,1.1364
132-18-3,na_ph1n1,0,4.453,1.2438
83881-52-1,na_ph1n1,1,4.5757,1.1208
2508-72-7,na_ph1n1,0,4.4453,1.2536
66357-59-3,na_ph1n1,1,4.3977,1.4233
140462-76-6,na_ph1n1,1,4.4768,0.9954
3978-86-7,na_ph1n1,0,4.3581,1.215
113-92-8,na_ph1n1,0,4.4608,0.9973
59-33-6,na_ph1n1,1,4.3198,1.3506
190786-44-8,na_ph1n1,0,4.5978,1.2681
147-24-0,na_ph1n1,1,4.4217,0.8791
562-10-7,na_ph1n1,0,4.3214,1.1846
144598-75-4,na_ph1n1,0,4.4267,0.8622
137-58-6,na_ph1n1,1,4.2801,0.955
85650-52-8,na_ph1n1,0,4.3443,1.1402
34580-14-8,na_ph1n1,1,4.4095,1.0842
132-17-2,na_ph1n1,1,4.5446,0.954
113-59-7,na_ph1n1,0,4.4345,1.1649
51481-61-9,na_ph1n1,0,4.2799,0.9586
4682-36-4,na_ph1n1,0,4.3541,0.9659
97240-79-4,na_ph1n1,0,4.5456,0.9443
25451-15-4,na_ph1n1,0,4.3279,1.2426
41100-52-1,na_ph1n1,1,4.5216,1.3804
1508-76-5,na_ph1n1,1,4.4717,0.9104
68-41-7,na_ph1n1,1,4.36,1.1118
50357-45-4,na_ph1n1,1,4.4794,0.8356
7681-93-8,na_ph1n1,0,4.8005,1.1744
29342-05-0,na_ph1n1,0,4.353,1.1083
41621-49-2,na_ph1n1,0,4.3594,1.1995
61318-91-0,na_ph1n1,0,4.5507,0.9365
171228-49-2,na_ph1n1,0,4.4771,0.9684
536-43-6,na_ph1n1,0,4.3368,1.1572
53123-88-9,na_ph1n1,0,4.6055,1.13
23593-75-1,na_ph1n1,1,4.4611,1.3016
64872-77-1,na_ph1n1,0,4.4863,1.0262
91161-71-6,na_ph1n1,0,4.4652,1.1297
65473-14-5,na_ph1n1,1,4.4783,0.9442
78628-80-5,na_ph1n1,0,4.4649,1.136
1397-89-3,na_ph1n1,0,4.7972,1.1108
57852-57-0,na_ph1n1,1,4.7222,1.0135
179463-17-3,na_ph1n1,0,4.7051,1.0555
1070-11-7,na_ph1n1,0,4.4161,1.0348
101827-46-7,na_ph1n1,1,4.4125,1.1633
137234-62-9,na_ph1n1,1,4.3284,1.1659
86386-73-4,na_ph1n1,0,4.3434,1.1364
99592-39-9,na_ph1n1,0,4.3119,1.3852
65899-73-2,na_ph1n1,0,4.414,1.0927
24280-93-1,na_ph1n1,0,4.4154,1.0114
540737-29-9,na_ph1n1,0,4.4775,0.881
84625-61-6,na_ph1n1,0,4.6767,1.1287
65-85-0,na_ph1n1,0,4.3538,1.1496
24169-02-6,na_ph1n1,0,4.4215,0.8206
22916-47-8,na_ph1n1,0,4.5506,0.9305
22832-87-7,na_ph1n1,0,4.473,0.8824
17321-77-6,na_ph1n1,1,4.4053,1.0538
74011-58-8,na_ph1n1,0,4.5409,0.9582
72509-76-3,na_ph1n1,1,4.4283,0.9423
173334-58-2,na_ph1n1,0,4.7972,1.0822
941678-49-5,na_ph1n1,1,4.4763,0.8346
