id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,na_ph1n1,0,3.9494,0.257
99464-64-9,na_ph1n1,1,4.3023,0.2921
23180-57-6,na_ph1n1,1,5.6862,1.0216
50-27-1,na_ph1n1,1,5.3681,0.3502
2627-69-2,na_ph1n1,0,4.0073,0.2291
58186-27-9,na_ph1n1,1,3.9411,0.3652
93793-83-0,na_ph1n1,0,3.7782,0.4372
39133-31-8,na_ph1n1,0,4.4145,0.3627
34552-84-6,na_ph1n1,0,5.0888,0.3466
112885-42-4,na_ph1n1,1,4.2526,0.4455
51803-78-2,na_ph1n1,0,4.8065,0.4071
141505-33-1,na_ph1n1,0,4.4713,0.4781
183320-51-6,na_ph1n1,0,4.2031,0.5523
101477-54-7,na_ph1n1,0,3.9418,0.4388
50-02-2,na_ph1n1,0,4.1413,0.6904
96829-58-2,na_ph1n1,1,4.432,0.5867
98-96-4,na_ph1n1,0,3.3923,0.3399
541-15-1,na_ph1n1,0,4.2853,0.2013
65277-42-1,na_ph1n1,1,4.2515,0.3618
70-00-8,na_ph1n1,0,4.4027,0.3616
39809-25-1,na_ph1n1,0,4.4411,0.3594
54-42-2,na_ph1n1,0,4.681,0.3331
124832-27-5,na_ph1n1,0,5.2318,0.4291
5536-17-4,na_ph1n1,0,4.2273,0.4342
147-94-4,na_ph1n1,1,4.655,0.3712
99011-02-6,na_ph1n1,0,3.8301,0.3811
70288-86-7,na_ph1n1,0,4.97,0.5236
59277-89-3,na_ph1n1,0,4.1235,0.4624
82410-32-0,na_ph1n1,1,4.6,0.5345
104227-87-4,na_ph1n1,0,4.1626,0.5722
50-91-9,na_ph1n1,1,4.4463,0.3405
79-57-2,na_ph1n1,0,5.0191,0.5084
6153-64-6,na_ph1n1,0,5.0471,0.528
518048-05-0,na_ph1n1,1,4.8863,0.4782
161735-79-1,na_ph1n1,0,3.9724,0.6764
13492-01-8,na_ph1n1,0,4.3027,0.445
549-18-8,na_ph1n1,0,3.9716,0.2284
79794-75-5,na_ph1n1,0,4.0763,0.3971
79307-93-0,na_ph1n1,0,4.4498,0.3459
100299-08-9,na_ph1n1,0,4.3596,0.4903
980-71-2,na_ph1n1,0,4.2068,0.4265
122883-93-6,na_ph1n1,0,3.9218,0.3263
76824-35-6,na_ph1n1,0,4.2308,0.3315
154-69-8,na_ph1n1,0,3.9356,0.3193
2192-20-3,na_ph1n1,1,4.8632,0.422
132-20-7,na_ph1n1,0,4.3045,0.2557
25332-39-2,na_ph1n1,0,4.0249,0.3186
1104-22-9,na_ph1n1,1,4.4556,0.5336
76963-41-2,na_ph1n1,0,4.1584,0.5588
521-78-8,na_ph1n1,0,3.8509,0.3053
14976-57-9,na_ph1n1,0,4.1297,0.4205
10347-81-6,na_ph1n1,1,4.6967,0.3422
100643-71-8,na_ph1n1,0,4.743,0.2973
132-18-3,na_ph1n1,0,4.3707,0.2306
83881-52-1,na_ph1n1,1,5.0501,0.3075
2508-72-7,na_ph1n1,0,4.3001,0.4285
66357-59-3,na_ph1n1,1,4.0593,0.3485
140462-76-6,na_ph1n1,1,4.5388,0.5717
3978-86-7,na_ph1n1,0,3.8798,0.4176
113-92-8,na_ph1n1,0,4.4627,0.3325
59-33-6,na_ph1n1,1,3.5301,0.3982
190786-44-8,na_ph1n1,0,5.0511,0.7095
147-24-0,na_ph1n1,1,4.1876,0.4099
562-10-7,na_ph1n1,0,3.572,0.4384
144598-75-4,na_ph1n1,0,4.1956,0.3362
137-58-6,na_ph1n1,1,3.2074,0.4967
85650-52-8,na_ph1n1,0,3.6608,0.5365
34580-14-8,na_ph1n1,1,4.1056,0.2883
132-17-2,na_ph1n1,1,4.8007,0.5951
113-59-7,na_ph1n1,0,4.2822,0.7574
51481-61-9,na_ph1n1,0,2.8494,0.493
4682-36-4,na_ph1n1,0,3.8764,0.282
97240-79-4,na_ph1n1,0,4.8327,0.4508
25451-15-4,na_ph1n1,0,3.6228,0.3832
41100-52-1,na_ph1n1,1,4.6935,0.2989
1508-76-5,na_ph1n1,1,4.5046,0.439
68-41-7,na_ph1n1,1,3.9012,0.3039
50357-45-4,na_ph1n1,1,4.5687,0.2983
7681-93-8,na_ph1n1,0,6.2207,0.5488
