id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,na_ph1n1,0,4.0742,0.69
99464-64-9,na_ph1n1,1,4.3045,0.4813
23180-57-6,na_ph1n1,1,5.6425,1.3435
50-27-1,na_ph1n1,1,5.3704,0.5491
2627-69-2,na_ph1n1,0,4.1018,0.5516
58186-27-9,na_ph1n1,1,4.0559,0.7009
93793-83-0,na_ph1n1,0,3.8967,0.4355
39133-31-8,na_ph1n1,0,4.3291,0.4427
34552-84-6,na_ph1n1,0,4.9821,0.8047
112885-42-4,na_ph1n1,1,4.3237,0.3123
51803-78-2,na_ph1n1,0,4.7301,0.3648
141505-33-1,na_ph1n1,0,4.4412,0.39
183320-51-6,na_ph1n1,0,4.283,0.4072
101477-54-7,na_ph1n1,0,4.0587,0.6526
50-02-2,na_ph1n1,0,4.2932,0.4077
96829-58-2,na_ph1n1,1,4.3946,0.5933
98-96-4,na_ph1n1,0,3.7283,0.4561
541-15-1,na_ph1n1,0,4.282,0.5995
65277-42-1,na_ph1n1,1,4.2947,0.3589
70-00-8,na_ph1n1,0,4.3556,0.5074
39809-25-1,na_ph1n1,0,4.3696,0.3775
54-42-2,na_ph1n1,0,4.5293,0.6814
124832-27-5,na_ph1n1,0,5.0988,0.8003
5536-17-4,na_ph1n1,0,4.185,0.3782
147-94-4,na_ph1n1,1,4.4711,0.6239
99011-02-6,na_ph1n1,0,3.9251,0.5083
70288-86-7,na_ph1n1,0,4.8003,0.6889
59277-89-3,na_ph1n1,0,4.1554,0.5094
82410-32-0,na_ph1n1,1,4.4685,0.4525
104227-87-4,na_ph1n1,0,4.2082,0.5181
50-91-9,na_ph1n1,1,4.357,0.3158
79-57-2,na_ph1n1,0,4.8237,0.8442
6153-64-6,na_ph1n1,0,4.8241,0.8996
518048-05-0,na_ph1n1,1,4.7393,0.5289
161735-79-1,na_ph1n1,0,4.0655,0.7125
13492-01-8,na_ph1n1,0,4.3106,0.4013
549-18-8,na_ph1n1,0,4.0671,0.4264
79794-75-5,na_ph1n1,0,4.1388,0.4704
79307-93-0,na_ph1n1,0,4.484,0.6537
100299-08-9,na_ph1n1,0,4.3657,0.4224
980-71-2,na_ph1n1,0,4.1492,0.539
122883-93-6,na_ph1n1,0,3.9973,0.3483
76824-35-6,na_ph1n1,0,4.2962,0.5945
154-69-8,na_ph1n1,0,4.0583,0.6924
2192-20-3,na_ph1n1,1,4.7348,0.4079
132-20-7,na_ph1n1,0,4.2369,0.4028
25332-39-2,na_ph1n1,0,4.0841,0.5272
1104-22-9,na_ph1n1,1,4.4039,0.2757
76963-41-2,na_ph1n1,0,4.257,0.4028
521-78-8,na_ph1n1,0,3.931,0.4527
14976-57-9,na_ph1n1,0,4.1571,0.4759
10347-81-6,na_ph1n1,1,4.6314,0.672
100643-71-8,na_ph1n1,0,4.6836,0.5709
132-18-3,na_ph1n1,0,4.3109,0.3937
83881-52-1,na_ph1n1,1,4.8853,0.9188
2508-72-7,na_ph1n1,0,4.2937,0.2943
66357-59-3,na_ph1n1,1,4.0708,0.6686
140462-76-6,na_ph1n1,1,4.4257,0.5535
3978-86-7,na_ph1n1,0,3.9737,0.4257
113-92-8,na_ph1n1,0,4.3533,0.3988
59-33-6,na_ph1n1,1,3.7838,0.8123
190786-44-8,na_ph1n1,0,4.9166,0.5073
147-24-0,na_ph1n1,1,4.2312,0.3473
562-10-7,na_ph1n1,0,3.7818,0.5604
144598-75-4,na_ph1n1,0,4.2789,0.52
137-58-6,na_ph1n1,1,3.5824,0.4198
85650-52-8,na_ph1n1,0,3.8829,0.6108
34580-14-8,na_ph1n1,1,4.146,0.5307
132-17-2,na_ph1n1,1,4.7271,0.6313
113-59-7,na_ph1n1,0,4.2852,0.401
51481-61-9,na_ph1n1,0,3.5964,0.716
4682-36-4,na_ph1n1,0,3.9167,0.4241
97240-79-4,na_ph1n1,0,4.7386,0.7259
25451-15-4,na_ph1n1,0,3.8062,0.5862
41100-52-1,na_ph1n1,1,4.6233,0.8362
1508-76-5,na_ph1n1,1,4.3872,0.3134
68-41-7,na_ph1n1,1,4.0472,0.5695
50357-45-4,na_ph1n1,1,4.4593,0.3824
7681-93-8,na_ph1n1,0,5.8538,1.2471
29342-05-0,na_ph1n1,0,3.939,0.5218
41621-49-2,na_ph1n1,0,3.9876,0.5828
61318-91-0,na_ph1n1,0,4.8138,0.7072
171228-49-2,na_ph1n1,0,4.4245,0.3362
536-43-6,na_ph1n1,0,3.84,0.359
53123-88-9,na_ph1n1,0,4.9038,1.0806
23593-75-1,na_ph1n1,1,4.3661,0.4437
64872-77-1,na_ph1n1,0,4.4726,0.3956
91161-71-6,na_ph1n1,0,4.385,0.3911
65473-14-5,na_ph1n1,1,4.44,0.4812
78628-80-5,na_ph1n1,0,4.3877,0.394
1397-89-3,na_ph1n1,0,5.7763,0.7711
57852-57-0,na_ph1n1,1,5.5876,0.4719
179463-17-3,na_ph1n1,0,5.4171,1.0817
1070-11-7,na_ph1n1,0,4.1823,0.5858
101827-46-7,na_ph1n1,1,4.1582,0.4007
137234-62-9,na_ph1n1,1,3.828,0.5403
86386-73-4,na_ph1n1,0,3.869,0.4954
99592-39-9,na_ph1n1,0,3.7361,0.5965
65899-73-2,na_ph1n1,0,4.1495,0.4803
24280-93-1,na_ph1n1,0,4.2136,0.4372
540737-29-9,na_ph1n1,0,4.4402,0.5155
84625-61-6,na_ph1n1,0,5.204,0.9654
65-85-0,na_ph1n1,0,3.9267,0.768
24169-02-6,na_ph1n1,0,4.2195,0.3662
22916-47-8,na_ph1n1,0,4.8104,0.7477
22832-87-7,na_ph1n1,0,4.3907,0.3378
17321-77-6,na_ph1n1,1,4.1055,0.4546
74011-58-8,na_ph1n1,0,4.7168,0.5851
72509-76-3,na_ph1n1,1,4.2516,0.5179
173334-58-2,na_ph1n1,0,5.7853,0.5202
941678-49-5,na_ph1n1,1,4.4103,0.4034
127-79-7,na_ph1n1,1,3.8394,0.4354
13010-47-4,na_ph1n1,0,3.5829,0.5299
54527-84-3,na_ph1n1,1,4.723,0.4762
90357-06-5,na_ph1n1,1,5.4393,1.1908
136572-09-3,na_ph1n1,0,4.3602,0.3305
1177-87-3,na_ph1n1,0,4.4053,0.3395
1264-72-8,na_ph1n1,1,4.7478,0.9053
54-85-3,na_ph1n1,1,4.2814,0.529
23541-50-6,na_ph1n1,0,5.0366,0.4859
943319-70-8,na_ph1n1,0,4.664,0.6187
150399-23-8,na_ph1n1,0,5.8941,0.907
475207-59-1,na_ph1n1,0,4.6163,0.7082
1247-42-3,na_ph1n1,0,4.4408,0.5321
73963-72-1,na_ph1n1,0,4.0905,0.5653
668270-12-0,na_ph1n1,0,5.7216,0.9969
154-42-7,na_ph1n1,0,4.1726,0.5026
129497-78-5,na_ph1n1,0,5.477,0.8011
220127-57-1,na_ph1n1,0,4.7246,0.691
184475-35-2,na_ph1n1,0,3.8145,0.4925
66085-59-4,na_ph1n1,0,4.24,0.2788
75330-75-5,na_ph1n1,0,4.7664,0.5749
52-01-7,na_ph1n1,0,4.3849,0.2984
79902-63-9,na_ph1n1,1,4.4481,0.5272
78246-49-8,na_ph1n1,0,4.5195,0.9892
97682-44-5,na_ph1n1,1,4.3008,0.4647
65928-58-7,na_ph1n1,0,4.8997,0.637
63-74-1,na_ph1n1,1,4.0719,0.6996
73590-58-6,na_ph1n1,0,4.0769,0.627
34552-83-5,na_ph1n1,0,4.4266,0.3439
123318-82-1,na_ph1n1,0,4.4213,0.4521
129453-61-8,na_ph1n1,0,4.6479,0.5188
183133-96-2,na_ph1n1,1,4.8406,0.7062
302962-49-8,na_ph1n1,0,4.6714,0.6403
474-25-9,na_ph1n1,0,5.0104,0.8996
298-46-4,na_ph1n1,0,3.8749,0.418
877399-52-5,na_ph1n1,0,4.2796,0.3849
183319-69-9,na_ph1n1,0,4.3456,0.369
179324-69-7,na_ph1n1,0,4.8393,0.8884
130-61-0,na_ph1n1,0,4.5316,0.7807
879085-55-9,na_ph1n1,0,4.8754,0.7895
68-35-9,na_ph1n1,0,3.8042,0.4792
82640-04-8,na_ph1n1,0,5.6788,0.79
162635-04-3,na_ph1n1,0,5.4577,0.8075
19237-84-4,na_ph1n1,0,4.2426,0.3263
50-35-1,na_ph1n1,1,4.3001,0.5138
1098-60-8,na_ph1n1,0,4.2157,0.5201
873054-44-5,na_ph1n1,0,5.4585,1.0594
50-55-5,na_ph1n1,0,4.4627,0.474
