id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,na_ph1n1,0,4.2184,0.4086
99464-64-9,na_ph1n1,1,4.3048,0.3897
23180-57-6,na_ph1n1,1,5.3534,2.0211
50-27-1,na_ph1n1,1,4.8818,0.8551
2627-69-2,na_ph1n1,0,4.1733,0.5699
58186-27-9,na_ph1n1,1,4.0907,0.5644
93793-83-0,na_ph1n1,0,3.987,0.455
39133-31-8,na_ph1n1,0,4.4601,0.2831
34552-84-6,na_ph1n1,0,4.784,0.678
112885-42-4,na_ph1n1,1,4.2534,0.3989
51803-78-2,na_ph1n1,0,4.6174,0.7139
141505-33-1,na_ph1n1,0,4.3395,0.7848
183320-51-6,na_ph1n1,0,4.2766,0.4932
101477-54-7,na_ph1n1,0,3.9831,0.5603
50-02-2,na_ph1n1,0,4.4061,0.5954
96829-58-2,na_ph1n1,1,4.6885,0.7136
98-96-4,na_ph1n1,0,3.5542,1.0545
541-15-1,na_ph1n1,0,4.3775,0.3448
65277-42-1,na_ph1n1,1,4.3277,0.3802
70-00-8,na_ph1n1,0,4.3558,0.2864
39809-25-1,na_ph1n1,0,4.3566,0.3216
54-42-2,na_ph1n1,0,4.5469,0.3491
124832-27-5,na_ph1n1,0,4.8596,0.8742
5536-17-4,na_ph1n1,0,4.3758,0.7007
147-94-4,na_ph1n1,1,4.6245,0.3179
99011-02-6,na_ph1n1,0,4.0524,0.6378
70288-86-7,na_ph1n1,0,4.9835,0.3944
59277-89-3,na_ph1n1,0,4.1326,0.3814
82410-32-0,na_ph1n1,1,4.4495,0.484
104227-87-4,na_ph1n1,0,4.2145,0.4894
50-91-9,na_ph1n1,1,4.4981,0.2396
79-57-2,na_ph1n1,0,5.0464,0.6761
6153-64-6,na_ph1n1,0,5.1074,0.7116
518048-05-0,na_ph1n1,1,4.7989,0.3521
161735-79-1,na_ph1n1,0,4.0211,0.5837
13492-01-8,na_ph1n1,0,4.3081,0.3191
549-18-8,na_ph1n1,0,4.0982,0.3258
79794-75-5,na_ph1n1,0,4.1698,0.3464
79307-93-0,na_ph1n1,0,4.4296,0.3734
100299-08-9,na_ph1n1,0,4.324,0.4473
