id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,na_ph1n1,0,3.8956,0.6472
99464-64-9,na_ph1n1,1,4.2354,0.6425
23180-57-6,na_ph1n1,1,6.1505,2.001
50-27-1,na_ph1n1,1,5.6154,0.9749
2627-69-2,na_ph1n1,0,4.1826,0.5095
58186-27-9,na_ph1n1,1,3.5556,0.749
93793-83-0,na_ph1n1,0,3.8267,0.3856
39133-31-8,na_ph1n1,0,4.1038,0.5479
34552-84-6,na_ph1n1,0,5.3413,0.8635
112885-42-4,na_ph1n1,1,4.4349,0.9626
51803-78-2,na_ph1n1,0,4.8963,0.6846
141505-33-1,na_ph1n1,0,4.6463,0.7943
183320-51-6,na_ph1n1,0,4.1727,0.6982
101477-54-7,na_ph1n1,0,4.0125,0.5688
50-02-2,na_ph1n1,0,4.2714,0.535
96829-58-2,na_ph1n1,1,4.3816,0.7866
98-96-4,na_ph1n1,0,3.4279,0.674
541-15-1,na_ph1n1,0,4.3389,0.4298
65277-42-1,na_ph1n1,1,4.034,0.5189
70-00-8,na_ph1n1,0,4.3398,0.728
39809-25-1,na_ph1n1,0,4.297,0.3935
54-42-2,na_ph1n1,0,4.6247,0.9311
124832-27-5,na_ph1n1,0,5.0575,0.6127
5536-17-4,na_ph1n1,0,4.3017,0.8157
147-94-4,na_ph1n1,1,4.754,1.1181
99011-02-6,na_ph1n1,0,3.9292,0.4023
70288-86-7,na_ph1n1,0,4.9623,0.5164
59277-89-3,na_ph1n1,0,3.9702,0.6712
82410-32-0,na_ph1n1,1,4.6434,0.6157
104227-87-4,na_ph1n1,0,4.3687,0.4051
50-91-9,na_ph1n1,1,4.2793,0.5031
79-57-2,na_ph1n1,0,5.004,0.8951
6153-64-6,na_ph1n1,0,5.0035,0.9034
518048-05-0,na_ph1n1,1,4.7609,1.4258
161735-79-1,na_ph1n1,0,3.9276,0.844
13492-01-8,na_ph1n1,0,4.3418,0.8455
549-18-8,na_ph1n1,0,3.7182,0.7023
79794-75-5,na_ph1n1,0,4.0663,0.6626
79307-93-0,na_ph1n1,0,4.5267,0.5358
100299-08-9,na_ph1n1,0,4.2824,0.8354
980-71-2,na_ph1n1,0,4.0502,0.4007
122883-93-6,na_ph1n1,0,3.9039,0.6755
76824-35-6,na_ph1n1,0,4.2777,0.581
154-69-8,na_ph1n1,0,3.8065,0.4001
2192-20-3,na_ph1n1,1,4.7677,0.6474
132-20-7,na_ph1n1,0,4.2141,0.3629
25332-39-2,na_ph1n1,0,3.9091,0.7216
1104-22-9,na_ph1n1,1,4.2912,0.4249
76963-41-2,na_ph1n1,0,4.2569,0.7217
521-78-8,na_ph1n1,0,3.9408,0.4072
14976-57-9,na_ph1n1,0,4.1987,0.5479
10347-81-6,na_ph1n1,1,4.3617,0.7949
100643-71-8,na_ph1n1,0,4.6085,0.6906
132-18-3,na_ph1n1,0,4.0906,0.6987
83881-52-1,na_ph1n1,1,5.1112,1.1742
2508-72-7,na_ph1n1,0,4.1254,0.5627
66357-59-3,na_ph1n1,1,3.8378,1.5851
140462-76-6,na_ph1n1,1,4.1417,1.8511
3978-86-7,na_ph1n1,0,3.8109,0.4292
113-92-8,na_ph1n1,0,4.2691,0.3403
59-33-6,na_ph1n1,1,3.5534,0.4711
190786-44-8,na_ph1n1,0,4.8306,0.7377
147-24-0,na_ph1n1,1,3.9786,0.9038
562-10-7,na_ph1n1,0,3.6238,0.57
144598-75-4,na_ph1n1,0,4.2524,0.5377
137-58-6,na_ph1n1,1,3.2022,0.8323
85650-52-8,na_ph1n1,0,3.7707,0.4366
34580-14-8,na_ph1n1,1,3.9381,0.1729
132-17-2,na_ph1n1,1,4.7966,0.8504
113-59-7,na_ph1n1,0,4.2763,0.4497
51481-61-9,na_ph1n1,0,3.234,0.7433
4682-36-4,na_ph1n1,0,3.914,0.3006
97240-79-4,na_ph1n1,0,4.7806,0.8161
25451-15-4,na_ph1n1,0,3.7087,0.5655
41100-52-1,na_ph1n1,1,4.2129,1.8347
1508-76-5,na_ph1n1,1,4.304,0.474
68-41-7,na_ph1n1,1,4.1116,0.718
50357-45-4,na_ph1n1,1,4.5579,0.4663
7681-93-8,na_ph1n1,0,6.324,0.8636
29342-05-0,na_ph1n1,0,3.9081,0.2984
41621-49-2,na_ph1n1,0,3.9559,0.2729
61318-91-0,na_ph1n1,0,4.9796,0.8909
171228-49-2,na_ph1n1,0,4.4744,0.5938
536-43-6,na_ph1n1,0,3.8035,0.5299
53123-88-9,na_ph1n1,0,5.0467,0.7807
23593-75-1,na_ph1n1,1,4.4689,1.1188
64872-77-1,na_ph1n1,0,4.5461,1.0601
91161-71-6,na_ph1n1,0,4.3847,0.6321
65473-14-5,na_ph1n1,1,4.3272,0.3794
78628-80-5,na_ph1n1,0,4.2669,0.7292
1397-89-3,na_ph1n1,0,6.2006,0.7865
57852-57-0,na_ph1n1,1,6.1345,0.9877
179463-17-3,na_ph1n1,0,5.4781,0.6799
1070-11-7,na_ph1n1,0,4.1567,0.2455
101827-46-7,na_ph1n1,1,3.9669,0.3359
137234-62-9,na_ph1n1,1,3.8403,0.4792
86386-73-4,na_ph1n1,0,3.5794,0.8019
99592-39-9,na_ph1n1,0,3.6731,0.3646
65899-73-2,na_ph1n1,0,4.0807,0.3773
24280-93-1,na_ph1n1,0,4.0581,0.5891
540737-29-9,na_ph1n1,0,4.6319,0.5652
84625-61-6,na_ph1n1,0,5.4006,0.5679
65-85-0,na_ph1n1,0,4.0115,0.4904
24169-02-6,na_ph1n1,0,4.1309,0.6691
22916-47-8,na_ph1n1,0,4.9272,0.7333
22832-87-7,na_ph1n1,0,4.3151,0.8027
17321-77-6,na_ph1n1,1,4.012,0.2027
74011-58-8,na_ph1n1,0,4.7206,0.4599
72509-76-3,na_ph1n1,1,4.4148,1.1961
173334-58-2,na_ph1n1,0,6.3011,0.8411
941678-49-5,na_ph1n1,1,4.4864,0.4786
127-79-7,na_ph1n1,1,3.754,0.5235
13010-47-4,na_ph1n1,0,3.2142,0.4198
54527-84-3,na_ph1n1,1,4.9148,0.5661
90357-06-5,na_ph1n1,1,5.3752,1.1151
136572-09-3,na_ph1n1,0,4.3283,0.6047
1177-87-3,na_ph1n1,0,4.2808,0.7118
1264-72-8,na_ph1n1,1,4.9996,2.3549
54-85-3,na_ph1n1,1,4.3721,0.8466
23541-50-6,na_ph1n1,0,5.1784,0.5576
943319-70-8,na_ph1n1,0,4.6524,0.8114
150399-23-8,na_ph1n1,0,6.3855,1.0007
475207-59-1,na_ph1n1,0,4.604,0.5402
1247-42-3,na_ph1n1,0,4.5639,0.7507
73963-72-1,na_ph1n1,0,4.19,0.5799
668270-12-0,na_ph1n1,0,6.0356,0.9677
154-42-7,na_ph1n1,0,4.1179,0.6191
129497-78-5,na_ph1n1,0,5.5326,1.1311
220127-57-1,na_ph1n1,0,4.9158,0.7271
184475-35-2,na_ph1n1,0,3.6666,0.7867
66085-59-4,na_ph1n1,0,4.0717,0.2977
75330-75-5,na_ph1n1,0,4.858,0.8508
52-01-7,na_ph1n1,0,4.278,0.5602
79902-63-9,na_ph1n1,1,4.5044,0.4993
78246-49-8,na_ph1n1,0,4.2953,0.4452
97682-44-5,na_ph1n1,1,4.3436,0.5455
65928-58-7,na_ph1n1,0,5.1747,0.3867
63-74-1,na_ph1n1,1,3.989,0.4794
73590-58-6,na_ph1n1,0,4.0263,0.9651
34552-83-5,na_ph1n1,0,4.4878,0.872
123318-82-1,na_ph1n1,0,4.4771,0.4921
129453-61-8,na_ph1n1,0,4.5387,0.6404
183133-96-2,na_ph1n1,1,4.6449,0.8549
302962-49-8,na_ph1n1,0,4.6442,0.627
474-25-9,na_ph1n1,0,5.166,0.5406
298-46-4,na_ph1n1,0,3.5738,0.2915
877399-52-5,na_ph1n1,0,4.2515,0.8493
183319-69-9,na_ph1n1,0,4.3969,0.5107
179324-69-7,na_ph1n1,0,5.0242,0.8203
130-61-0,na_ph1n1,0,4.452,0.8683
879085-55-9,na_ph1n1,0,4.9379,0.4769
68-35-9,na_ph1n1,0,3.4773,0.4322
82640-04-8,na_ph1n1,0,5.8154,0.8029
162635-04-3,na_ph1n1,0,5.5779,1.2171
19237-84-4,na_ph1n1,0,4.2629,0.4231
50-35-1,na_ph1n1,1,4.3726,0.6598
1098-60-8,na_ph1n1,0,4.0047,0.4283
873054-44-5,na_ph1n1,0,5.2757,1.1093
50-55-5,na_ph1n1,0,4.648,0.9503
152459-95-5,na_ph1n1,1,5.0433,1.2061
127-07-1,na_ph1n1,0,3.7092,0.4375
153559-49-0,na_ph1n1,0,4.2469,0.5477
1264-62-6,na_ph1n1,0,4.9642,0.9855
85622-93-1,na_ph1n1,0,4.1384,0.775
159351-69-6,na_ph1n1,0,5.6101,0.7343
117772-70-0,na_ph1n1,0,4.7657,0.5811
84371-65-3,na_ph1n1,1,4.4572,0.5308
171599-83-0,na_ph1n1,0,4.3424,0.6116
595-33-5,na_ph1n1,0,4.3178,0.6338
144-83-2,na_ph1n1,1,3.2919,0.1219
19774-82-4,na_ph1n1,1,5.1032,0.8197
83-43-2,na_ph1n1,0,4.7546,0.245
127-56-0,na_ph1n1,0,3.2218,0.3518
83905-01-5,na_ph1n1,1,4.1217,0.7449
119413-54-6,na_ph1n1,1,4.8561,0.9239
118292-40-3,na_ph1n1,1,4.1624,0.588
144701-48-4,na_ph1n1,0,4.2618,0.3854
163222-33-1,na_ph1n1,0,4.4585,0.5629
641571-10-0,na_ph1n1,1,4.5386,1.3708
220620-09-7,na_ph1n1,1,5.8649,0.9867
108341-18-0,na_ph1n1,0,4.279,0.6065
21829-25-4,na_ph1n1,0,4.4123,0.5014
1069-66-5,na_ph1n1,1,3.7959,0.5838
95635-56-6,na_ph1n1,1,3.7597,0.3321
2447-57-6,na_ph1n1,0,3.5259,0.717
84057-84-1,na_ph1n1,0,3.9762,0.7077
599-79-1,na_ph1n1,0,6.0824,0.7938
53716-49-7,na_ph1n1,1,4.6938,1.3943
50-44-2,na_ph1n1,0,3.8274,0.5644
50-63-5,na_ph1n1,0,4.4099,0.2914
33069-62-4,na_ph1n1,0,6.3551,0.6033
3056-17-5,na_ph1n1,0,4.913,0.6193
58-61-7,na_ph1n1,1,4.5525,0.6156
96946-42-8,na_ph1n1,1,5.9832,0.9486
918504-65-1,na_ph1n1,0,4.4486,0.5389
388082-77-7,na_ph1n1,0,4.8834,0.894
50-01-1,na_ph1n1,0,3.2962,0.5953
64-77-7,na_ph1n1,0,3.7171,0.4977
915087-33-1,na_ph1n1,0,3.8789,0.658
635702-64-6,na_ph1n1,1,4.1852,0.5187
61825-94-3,na_ph1n1,1,4.6836,0.7474
71125-38-7,na_ph1n1,0,5.3434,0.6308
53-86-1,na_ph1n1,0,4.7158,0.6174
155141-29-0,na_ph1n1,1,4.2909,1.1766
443913-73-3,na_ph1n1,0,4.1634,1.0676
147098-20-2,na_ph1n1,0,5.0458,0.5434
440-17-5,na_ph1n1,1,4.498,1.3219
5451-09-2,na_ph1n1,1,4.1842,0.1314
320-67-2,na_ph1n1,1,4.0695,1.1642
112809-51-5,na_ph1n1,1,4.8415,0.6291
