id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,na_ph1n1,0,4.2026,0.5304
99464-64-9,na_ph1n1,1,4.3369,0.3524
23180-57-6,na_ph1n1,1,5.5866,1.9336
50-27-1,na_ph1n1,1,4.9852,0.8464
2627-69-2,na_ph1n1,0,4.1472,0.7032
58186-27-9,na_ph1n1,1,4.0987,0.6457
93793-83-0,na_ph1n1,0,4.0,0.4513
39133-31-8,na_ph1n1,0,4.4956,0.378
34552-84-6,na_ph1n1,0,4.879,0.7247
112885-42-4,na_ph1n1,1,4.301,0.2927
51803-78-2,na_ph1n1,0,4.6753,0.8457
141505-33-1,na_ph1n1,0,4.4251,0.7857
183320-51-6,na_ph1n1,0,4.3305,0.3837
101477-54-7,na_ph1n1,0,4.0247,0.5451
50-02-2,na_ph1n1,0,4.5174,0.6042
96829-58-2,na_ph1n1,1,4.6892,1.0126
98-96-4,na_ph1n1,0,3.5202,1.1455
541-15-1,na_ph1n1,0,4.3851,0.4713
65277-42-1,na_ph1n1,1,4.3576,0.3711
70-00-8,na_ph1n1,0,4.3756,0.296
39809-25-1,na_ph1n1,0,4.4081,0.3073
54-42-2,na_ph1n1,0,4.6196,0.3163
124832-27-5,na_ph1n1,0,4.9405,0.8981
5536-17-4,na_ph1n1,0,4.3799,0.8474
147-94-4,na_ph1n1,1,4.7052,0.3892
99011-02-6,na_ph1n1,0,4.0747,0.7023
70288-86-7,na_ph1n1,0,5.0982,0.4885
59277-89-3,na_ph1n1,0,4.1735,0.4332
82410-32-0,na_ph1n1,1,4.5293,0.3971
104227-87-4,na_ph1n1,0,4.2975,0.6057
50-91-9,na_ph1n1,1,4.5207,0.3944
79-57-2,na_ph1n1,0,5.1758,0.817
6153-64-6,na_ph1n1,0,5.2435,0.8623
518048-05-0,na_ph1n1,1,4.8367,0.4403
161735-79-1,na_ph1n1,0,4.0971,0.5814
13492-01-8,na_ph1n1,0,4.3321,0.3974
549-18-8,na_ph1n1,0,4.1211,0.3269
79794-75-5,na_ph1n1,0,4.2001,0.3203
79307-93-0,na_ph1n1,0,4.4493,0.5365
100299-08-9,na_ph1n1,0,4.3733,0.4976
980-71-2,na_ph1n1,0,4.2803,0.2752
122883-93-6,na_ph1n1,0,4.0473,0.3529
76824-35-6,na_ph1n1,0,4.3154,0.7556
154-69-8,na_ph1n1,0,4.2179,0.7525
2192-20-3,na_ph1n1,1,4.6876,0.2477
132-20-7,na_ph1n1,0,4.3961,0.3103
25332-39-2,na_ph1n1,0,4.1232,0.3577
1104-22-9,na_ph1n1,1,4.5871,0.4227
76963-41-2,na_ph1n1,0,4.2953,0.5424
521-78-8,na_ph1n1,0,4.0924,0.6312
14976-57-9,na_ph1n1,0,4.2337,0.2918
10347-81-6,na_ph1n1,1,4.6969,0.2796
100643-71-8,na_ph1n1,0,4.6858,0.4679
132-18-3,na_ph1n1,0,4.3742,0.2864
83881-52-1,na_ph1n1,1,4.8909,0.5282
2508-72-7,na_ph1n1,0,4.3856,0.4206
66357-59-3,na_ph1n1,1,4.2291,0.4945
140462-76-6,na_ph1n1,1,4.5448,0.5854
3978-86-7,na_ph1n1,0,4.0771,0.4937
113-92-8,na_ph1n1,0,4.453,0.23
59-33-6,na_ph1n1,1,3.8333,0.6174
190786-44-8,na_ph1n1,0,4.8835,0.8293
147-24-0,na_ph1n1,1,4.3252,0.4216
562-10-7,na_ph1n1,0,3.8562,0.6045
144598-75-4,na_ph1n1,0,4.243,0.5877
137-58-6,na_ph1n1,1,3.5661,0.6831
85650-52-8,na_ph1n1,0,3.8605,0.9958
34580-14-8,na_ph1n1,1,4.261,0.7219
132-17-2,na_ph1n1,1,4.7738,0.3731
113-59-7,na_ph1n1,0,4.4128,0.6234
51481-61-9,na_ph1n1,0,3.1001,1.4122
4682-36-4,na_ph1n1,0,4.0538,0.4894
97240-79-4,na_ph1n1,0,4.6573,0.5268
25451-15-4,na_ph1n1,0,3.857,0.5047
41100-52-1,na_ph1n1,1,4.589,0.3756
1508-76-5,na_ph1n1,1,4.4777,0.2483
68-41-7,na_ph1n1,1,4.0012,0.5775
50357-45-4,na_ph1n1,1,4.5969,0.6036
7681-93-8,na_ph1n1,0,5.9434,1.3615
29342-05-0,na_ph1n1,0,3.975,0.9082
41621-49-2,na_ph1n1,0,4.0215,0.8726
61318-91-0,na_ph1n1,0,4.7886,0.4455
171228-49-2,na_ph1n1,0,4.519,0.5857
536-43-6,na_ph1n1,0,3.7542,0.6444
53123-88-9,na_ph1n1,0,5.3211,0.6916
23593-75-1,na_ph1n1,1,4.5265,0.6879
64872-77-1,na_ph1n1,0,4.7986,0.5342
91161-71-6,na_ph1n1,0,4.4394,0.4033
65473-14-5,na_ph1n1,1,4.5866,0.2225
78628-80-5,na_ph1n1,0,4.3996,0.5814
1397-89-3,na_ph1n1,0,5.9672,1.1796
57852-57-0,na_ph1n1,1,5.7906,0.9295
179463-17-3,na_ph1n1,0,6.2624,1.8875
1070-11-7,na_ph1n1,0,3.9372,1.0978
101827-46-7,na_ph1n1,1,4.2718,0.4809
137234-62-9,na_ph1n1,1,3.8737,1.0871
86386-73-4,na_ph1n1,0,3.9802,0.9059
99592-39-9,na_ph1n1,0,3.7274,0.894
65899-73-2,na_ph1n1,0,4.2824,0.3322
24280-93-1,na_ph1n1,0,4.3085,0.9342
540737-29-9,na_ph1n1,0,4.4828,0.6847
84625-61-6,na_ph1n1,0,5.1742,0.6738
65-85-0,na_ph1n1,0,3.9158,1.0007
24169-02-6,na_ph1n1,0,4.2929,0.2868
22916-47-8,na_ph1n1,0,4.8348,0.2882
22832-87-7,na_ph1n1,0,4.4423,0.2661
17321-77-6,na_ph1n1,1,4.2974,0.4471
74011-58-8,na_ph1n1,0,4.6899,0.5081
72509-76-3,na_ph1n1,1,4.3491,0.4091
173334-58-2,na_ph1n1,0,5.8185,1.1822
941678-49-5,na_ph1n1,1,4.4157,0.4167
127-79-7,na_ph1n1,1,3.9527,0.6137
13010-47-4,na_ph1n1,0,3.4754,0.8608
54527-84-3,na_ph1n1,1,4.648,0.4371
90357-06-5,na_ph1n1,1,5.3364,0.9551
136572-09-3,na_ph1n1,0,4.2387,1.0239
1177-87-3,na_ph1n1,0,4.6928,0.6179
1264-72-8,na_ph1n1,1,4.9484,1.1016
54-85-3,na_ph1n1,1,4.242,0.8829
23541-50-6,na_ph1n1,0,5.4813,0.7898
943319-70-8,na_ph1n1,0,4.5696,0.5611
150399-23-8,na_ph1n1,0,6.0472,1.68
475207-59-1,na_ph1n1,0,4.5047,0.5946
1247-42-3,na_ph1n1,0,4.5517,0.4054
73963-72-1,na_ph1n1,0,4.1249,0.4488
668270-12-0,na_ph1n1,0,5.7978,1.5906
154-42-7,na_ph1n1,0,4.2615,0.7962
129497-78-5,na_ph1n1,0,5.693,0.6233
220127-57-1,na_ph1n1,0,4.6603,0.6428
184475-35-2,na_ph1n1,0,3.6984,0.6431
66085-59-4,na_ph1n1,0,4.2166,0.5598
75330-75-5,na_ph1n1,0,4.8363,0.5395
52-01-7,na_ph1n1,0,4.4462,0.5067
79902-63-9,na_ph1n1,1,4.4955,0.5077
78246-49-8,na_ph1n1,0,4.6111,0.3463
97682-44-5,na_ph1n1,1,4.1664,1.0225
65928-58-7,na_ph1n1,0,4.9695,0.3389
63-74-1,na_ph1n1,1,4.0442,0.9204
73590-58-6,na_ph1n1,0,4.1349,0.5707
34552-83-5,na_ph1n1,0,4.5902,0.4472
123318-82-1,na_ph1n1,0,4.9932,0.6284
129453-61-8,na_ph1n1,0,4.7538,0.4319
183133-96-2,na_ph1n1,1,5.1023,0.4225
302962-49-8,na_ph1n1,0,4.6929,0.5882
474-25-9,na_ph1n1,0,5.1674,0.6827
298-46-4,na_ph1n1,0,3.9531,0.539
877399-52-5,na_ph1n1,0,4.2399,0.5097
183319-69-9,na_ph1n1,0,4.3193,0.5868
179324-69-7,na_ph1n1,0,5.1043,0.6939
130-61-0,na_ph1n1,0,4.5722,0.8225
879085-55-9,na_ph1n1,0,4.7591,0.6839
68-35-9,na_ph1n1,0,3.881,0.9712
82640-04-8,na_ph1n1,0,5.6791,1.4638
162635-04-3,na_ph1n1,0,5.438,0.4761
19237-84-4,na_ph1n1,0,4.2848,0.3953
50-35-1,na_ph1n1,1,4.2879,0.524
1098-60-8,na_ph1n1,0,4.3126,0.4657
