id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,na_ph1n1,0,3.9119,0.6373
99464-64-9,na_ph1n1,1,4.3002,0.4179
23180-57-6,na_ph1n1,1,6.1421,2.0847
50-27-1,na_ph1n1,1,5.6096,1.0838
2627-69-2,na_ph1n1,0,4.1838,0.3362
58186-27-9,na_ph1n1,1,3.554,0.7112
93793-83-0,na_ph1n1,0,3.8395,0.408
39133-31-8,na_ph1n1,0,4.1211,0.4046
34552-84-6,na_ph1n1,0,5.371,1.0245
112885-42-4,na_ph1n1,1,4.4507,0.795
51803-78-2,na_ph1n1,0,4.8632,0.7706
141505-33-1,na_ph1n1,0,4.6802,0.9398
183320-51-6,na_ph1n1,0,4.1337,0.4064
101477-54-7,na_ph1n1,0,4.1052,0.8213
50-02-2,na_ph1n1,0,4.3212,0.4104
96829-58-2,na_ph1n1,1,4.3659,0.8301
98-96-4,na_ph1n1,0,3.4952,0.9622
541-15-1,na_ph1n1,0,4.3437,0.5409
65277-42-1,na_ph1n1,1,4.0481,0.6687
70-00-8,na_ph1n1,0,4.2999,0.4718
39809-25-1,na_ph1n1,0,4.3072,0.4823
54-42-2,na_ph1n1,0,4.6241,0.819
124832-27-5,na_ph1n1,0,5.0672,0.5632
5536-17-4,na_ph1n1,0,4.321,0.7188
147-94-4,na_ph1n1,1,4.7437,1.2428
99011-02-6,na_ph1n1,0,3.9993,0.5238
70288-86-7,na_ph1n1,0,5.0156,0.3935
59277-89-3,na_ph1n1,0,4.0323,0.4049
82410-32-0,na_ph1n1,1,4.6506,0.4937
104227-87-4,na_ph1n1,0,4.4332,0.3471
50-91-9,na_ph1n1,1,4.2562,0.3993
79-57-2,na_ph1n1,0,4.9838,0.7796
6153-64-6,na_ph1n1,0,5.0236,0.7275
518048-05-0,na_ph1n1,1,4.739,1.2722
161735-79-1,na_ph1n1,0,3.9545,0.7543
13492-01-8,na_ph1n1,0,4.3428,0.5689
549-18-8,na_ph1n1,0,3.7307,0.5729
79794-75-5,na_ph1n1,0,4.0676,0.513
79307-93-0,na_ph1n1,0,4.5575,0.7164
100299-08-9,na_ph1n1,0,4.355,0.7832
980-71-2,na_ph1n1,0,4.0399,0.3824
122883-93-6,na_ph1n1,0,3.9751,0.7631
76824-35-6,na_ph1n1,0,4.2514,0.3519
154-69-8,na_ph1n1,0,3.8433,0.5023
2192-20-3,na_ph1n1,1,4.802,0.864
132-20-7,na_ph1n1,0,4.248,0.313
25332-39-2,na_ph1n1,0,3.9158,0.7452
1104-22-9,na_ph1n1,1,4.3325,0.6429
76963-41-2,na_ph1n1,0,4.3274,0.3759
521-78-8,na_ph1n1,0,3.9789,0.2856
14976-57-9,na_ph1n1,0,4.2516,0.4291
10347-81-6,na_ph1n1,1,4.4619,0.8418
100643-71-8,na_ph1n1,0,4.5853,0.9082
132-18-3,na_ph1n1,0,4.1671,0.5319
83881-52-1,na_ph1n1,1,5.0987,1.1041
2508-72-7,na_ph1n1,0,4.1522,0.4782
66357-59-3,na_ph1n1,1,3.8354,1.5961
140462-76-6,na_ph1n1,1,4.1157,1.7068
3978-86-7,na_ph1n1,0,3.8967,0.4057
113-92-8,na_ph1n1,0,4.2795,0.4204
59-33-6,na_ph1n1,1,3.5812,0.3225
190786-44-8,na_ph1n1,0,4.8024,0.7644
147-24-0,na_ph1n1,1,3.9378,0.5195
562-10-7,na_ph1n1,0,3.6939,0.6655
144598-75-4,na_ph1n1,0,4.2776,0.5219
137-58-6,na_ph1n1,1,3.2232,1.0442
85650-52-8,na_ph1n1,0,3.8851,0.4555
