compound_id,target_id,in_experimental_data,pred_mean,pred_err
1004316-88-4,pa_ph1n1,1,3.8248,0.8314
100643-71-8,pa_ph1n1,1,4.9398,0.9068
101-26-8,pa_ph1n1,1,4.1675,0.8571
101477-54-7,pa_ph1n1,1,4.6515,1.3105
101827-46-7,pa_ph1n1,1,4.1174,1.2429
103-16-2,pa_ph1n1,1,5.3146,1.2874
103177-37-3,pa_ph1n1,1,4.215,0.9995
10405-02-4,pa_ph1n1,1,4.7791,1.1305
1041434-82-5,pa_ph1n1,1,4.3007,0.4987
104227-87-4,pa_ph1n1,1,4.4122,0.9297
104632-26-0,pa_ph1n1,1,4.2539,0.6443
105462-24-6,pa_ph1n1,1,4.5389,0.5427
105816-04-4,pa_ph1n1,1,5.3106,1.0107
106266-06-2,pa_ph1n1,1,4.9636,0.9697
106308-44-5,pa_ph1n1,1,5.3988,1.5303
106685-40-9,pa_ph1n1,1,4.4928,1.1908
1069-66-5,pa_ph1n1,1,4.5052,0.8394
107-35-7,pa_ph1n1,1,4.7919,0.9418
1070-11-7,pa_ph1n1,1,3.98,1.033
107133-36-8,pa_ph1n1,1,4.2494,1.277
107724-20-9,pa_ph1n1,1,4.7527,0.8246
108341-18-0,pa_ph1n1,1,4.3874,1.1717
1104-22-9,pa_ph1n1,1,3.9134,1.039
111406-87-2,pa_ph1n1,1,4.9035,0.9279
1115-70-4,pa_ph1n1,1,3.5086,1.5621
111974-72-2,pa_ph1n1,1,4.6663,1.0024
112529-15-4,pa_ph1n1,1,5.0547,1.4826
112809-51-5,pa_ph1n1,1,4.4992,1.1834
112885-42-4,pa_ph1n1,1,3.8597,0.966
113-59-7,pa_ph1n1,1,4.6654,1.1157
113-92-8,pa_ph1n1,1,4.399,1.3352
113852-37-2,pa_ph1n1,1,4.2231,0.6264
115256-11-6,pa_ph1n1,1,4.3945,0.9995
1156-19-0,pa_ph1n1,1,4.6879,0.813
117-37-3,pa_ph1n1,1,4.666,0.9932
118072-93-8,pa_ph1n1,1,4.3661,0.776
119413-54-6,pa_ph1n1,1,4.7464,0.8723
1195765-45-7,pa_ph1n1,1,3.8705,1.0378
120-97-8,pa_ph1n1,1,3.7498,1.1395
120011-70-3,pa_ph1n1,1,4.9393,1.117
120202-66-6,pa_ph1n1,1,5.6018,1.4362
120511-73-1,pa_ph1n1,1,4.472,1.3508
122111-03-9,pa_ph1n1,1,5.3302,1.1008
122320-73-4,pa_ph1n1,1,4.443,1.4655
122647-32-9,pa_ph1n1,1,4.3991,0.9741
122883-93-6,pa_ph1n1,1,5.5472,1.5491
1247-42-3,pa_ph1n1,1,5.5302,1.5761
124750-99-8,pa_ph1n1,1,4.3286,0.8316
124937-52-6,pa_ph1n1,1,4.7324,0.9988
125-84-8,pa_ph1n1,1,4.7361,1.329
1263-89-4,pa_ph1n1,1,4.229,1.121
1264-62-6,pa_ph1n1,1,3.8362,1.0822
127-07-1,pa_ph1n1,1,4.0078,0.8399
127-56-0,pa_ph1n1,1,5.1949,1.3985
127-79-7,pa_ph1n1,1,4.3051,0.7749
128794-94-5,pa_ph1n1,1,4.1538,0.6813
129101-54-8,pa_ph1n1,1,5.2535,1.3227
129497-78-5,pa_ph1n1,1,3.9188,1.101
129722-12-9,pa_ph1n1,1,5.0007,1.057
130-61-0,pa_ph1n1,1,3.8398,1.0029
13010-47-4,pa_ph1n1,1,5.0792,1.0387
132-17-2,pa_ph1n1,1,4.504,1.1806
132-18-3,pa_ph1n1,1,4.0894,0.977
132539-06-1,pa_ph1n1,1,4.7154,1.319
13292-46-1,pa_ph1n1,1,3.6091,0.7546
133-67-5,pa_ph1n1,1,5.2937,1.2402
133099-07-7,pa_ph1n1,1,4.4105,1.3725
133454-47-4,pa_ph1n1,1,4.9456,1.09
134308-13-7,pa_ph1n1,1,4.1387,1.5815
134523-03-8,pa_ph1n1,1,5.2597,1.0329
135729-62-3,pa_ph1n1,1,4.558,0.9458
136-40-3,pa_ph1n1,1,4.8123,0.8699
136572-09-3,pa_ph1n1,1,4.0215,0.9311
137-58-6,pa_ph1n1,1,4.9429,1.4121
137071-32-0,pa_ph1n1,1,3.4631,1.1304
138402-11-6,pa_ph1n1,1,4.5309,1.0617
138530-94-6,pa_ph1n1,1,4.8138,1.3994
138926-19-9,pa_ph1n1,1,5.1089,0.9028
139110-80-8,pa_ph1n1,1,3.8072,0.8557
140462-76-6,pa_ph1n1,1,4.7256,1.043
141-90-2,pa_ph1n1,1,4.2034,0.8127
141505-33-1,pa_ph1n1,1,5.4592,1.2781
141625-93-6,pa_ph1n1,1,4.498,1.3944
142340-99-6,pa_ph1n1,1,3.681,1.3292
144-82-1,pa_ph1n1,1,5.0532,1.2265
144060-53-7,pa_ph1n1,1,4.1211,0.7538
144689-63-4,pa_ph1n1,1,5.1278,1.1409
