compound_id,target_id,in_experimental_data,pred_mean,pred_err
1004316-88-4,pa_ph1n1,1,3.9399,0.8291
100643-71-8,pa_ph1n1,1,4.8957,0.8803
101-26-8,pa_ph1n1,1,4.2164,0.761
101477-54-7,pa_ph1n1,1,4.6207,1.1237
101827-46-7,pa_ph1n1,1,4.0664,1.0827
103-16-2,pa_ph1n1,1,5.1905,1.2412
103177-37-3,pa_ph1n1,1,4.1823,0.7266
10405-02-4,pa_ph1n1,1,4.6867,1.0576
1041434-82-5,pa_ph1n1,1,4.4258,0.7679
104227-87-4,pa_ph1n1,1,4.4138,0.8106
104632-26-0,pa_ph1n1,1,4.1923,0.7188
105462-24-6,pa_ph1n1,1,4.5595,0.6682
105816-04-4,pa_ph1n1,1,5.246,1.2101
106266-06-2,pa_ph1n1,1,4.9174,0.9673
106308-44-5,pa_ph1n1,1,5.3212,1.4307
106685-40-9,pa_ph1n1,1,4.3871,0.9145
1069-66-5,pa_ph1n1,1,4.5051,0.8019
107-35-7,pa_ph1n1,1,4.8661,1.015
1070-11-7,pa_ph1n1,1,4.0967,0.804
107133-36-8,pa_ph1n1,1,4.3358,1.2892
107724-20-9,pa_ph1n1,1,4.7656,0.7434
108341-18-0,pa_ph1n1,1,4.4237,1.1336
1104-22-9,pa_ph1n1,1,3.8345,0.8845
111406-87-2,pa_ph1n1,1,4.836,0.9362
1115-70-4,pa_ph1n1,1,3.642,0.9908
111974-72-2,pa_ph1n1,1,4.5508,0.802
112529-15-4,pa_ph1n1,1,4.9829,1.4225
112809-51-5,pa_ph1n1,1,4.4856,0.9057
112885-42-4,pa_ph1n1,1,3.8805,0.7956
113-59-7,pa_ph1n1,1,4.5773,0.9907
113-92-8,pa_ph1n1,1,4.3095,1.116
113852-37-2,pa_ph1n1,1,4.2551,0.8714
115256-11-6,pa_ph1n1,1,4.4888,0.8424
1156-19-0,pa_ph1n1,1,4.6528,0.7466
117-37-3,pa_ph1n1,1,4.5804,0.88
118072-93-8,pa_ph1n1,1,4.3967,0.7744
119413-54-6,pa_ph1n1,1,4.7285,0.7433
1195765-45-7,pa_ph1n1,1,3.926,0.8906
120-97-8,pa_ph1n1,1,3.8146,0.8754
120011-70-3,pa_ph1n1,1,4.8932,0.9275
120202-66-6,pa_ph1n1,1,5.4596,1.5111
120511-73-1,pa_ph1n1,1,4.4741,1.2425
122111-03-9,pa_ph1n1,1,5.3119,1.1766
122320-73-4,pa_ph1n1,1,4.4167,0.9739
122647-32-9,pa_ph1n1,1,4.4529,0.7944
122883-93-6,pa_ph1n1,1,5.4289,1.5007
1247-42-3,pa_ph1n1,1,5.5155,1.4619
124750-99-8,pa_ph1n1,1,4.2656,0.7319
124937-52-6,pa_ph1n1,1,4.6617,0.8557
125-84-8,pa_ph1n1,1,4.7118,1.3274
1263-89-4,pa_ph1n1,1,4.4884,1.0151
1264-62-6,pa_ph1n1,1,4.1445,0.8049
127-07-1,pa_ph1n1,1,4.0701,0.5153
127-56-0,pa_ph1n1,1,5.1634,1.3727
127-79-7,pa_ph1n1,1,4.2382,0.8403
128794-94-5,pa_ph1n1,1,4.188,0.6085
129101-54-8,pa_ph1n1,1,5.218,1.1651
129497-78-5,pa_ph1n1,1,4.0838,0.8338
129722-12-9,pa_ph1n1,1,4.9479,1.0041
130-61-0,pa_ph1n1,1,3.7076,0.7002
13010-47-4,pa_ph1n1,1,5.0615,0.9289
132-17-2,pa_ph1n1,1,4.373,1.0326
132-18-3,pa_ph1n1,1,4.0101,0.6889
132539-06-1,pa_ph1n1,1,4.593,1.3832
13292-46-1,pa_ph1n1,1,3.7455,0.7481
133-67-5,pa_ph1n1,1,5.2881,1.3813
133099-07-7,pa_ph1n1,1,4.3777,1.2999
133454-47-4,pa_ph1n1,1,4.9302,1.0466
134308-13-7,pa_ph1n1,1,4.1066,0.9248
134523-03-8,pa_ph1n1,1,5.2974,1.0727
135729-62-3,pa_ph1n1,1,4.4492,0.7872
136-40-3,pa_ph1n1,1,4.7402,0.957
136572-09-3,pa_ph1n1,1,4.0622,0.7642
137-58-6,pa_ph1n1,1,4.9064,1.4908
137071-32-0,pa_ph1n1,1,3.7182,0.8523
138402-11-6,pa_ph1n1,1,4.5049,0.8363
138530-94-6,pa_ph1n1,1,4.8083,1.1779
138926-19-9,pa_ph1n1,1,5.1433,1.3013
139110-80-8,pa_ph1n1,1,3.9615,0.9223
140462-76-6,pa_ph1n1,1,4.6679,1.0892
141-90-2,pa_ph1n1,1,4.1943,0.799
141505-33-1,pa_ph1n1,1,5.428,1.4707
141625-93-6,pa_ph1n1,1,4.5893,1.0849
142340-99-6,pa_ph1n1,1,3.7881,0.9484
144-82-1,pa_ph1n1,1,4.9467,1.1942
144060-53-7,pa_ph1n1,1,4.0915,0.7925
144689-63-4,pa_ph1n1,1,5.147,1.1232
144701-48-4,pa_ph1n1,1,3.9972,0.8805
145040-37-5,pa_ph1n1,1,3.9151,0.8401
145108-58-3,pa_ph1n1,1,4.3946,0.8661
146464-95-1,pa_ph1n1,1,4.3067,0.7727
147-94-4,pa_ph1n1,1,4.8117,1.1091
147127-20-6,pa_ph1n1,1,4.1406,0.7963
147403-03-0,pa_ph1n1,1,5.3442,1.3203
1476-53-5,pa_ph1n1,1,4.1486,0.8128
148-79-8,pa_ph1n1,1,4.5772,1.0277
148849-67-6,pa_ph1n1,1,4.8811,0.9839
149647-78-9,pa_ph1n1,1,5.2328,1.1354
150-76-5,pa_ph1n1,1,3.9066,0.65
150322-43-3,pa_ph1n1,1,4.0559,0.9442
150399-23-8,pa_ph1n1,1,4.9557,1.0098
150683-30-0,pa_ph1n1,1,4.199,0.9125
1508-65-2,pa_ph1n1,1,4.8212,0.9516
1508-75-4,pa_ph1n1,1,5.0271,1.2592
1508-76-5,pa_ph1n1,1,3.8121,0.7659
152-62-5,pa_ph1n1,1,5.4548,1.4501
152520-56-4,pa_ph1n1,1,5.3522,1.2458
15307-81-0,pa_ph1n1,1,4.4152,1.0788
153559-49-0,pa_ph1n1,1,4.4854,0.9001
154229-19-3,pa_ph1n1,1,4.2757,0.5137
154361-50-9,pa_ph1n1,1,4.9355,1.0732
155206-00-1,pa_ph1n1,1,4.6752,0.8836
