compound_id,target_id,in_experimental_data,pred_mean,pred_err
1004316-88-4,pa_ph1n1,1,3.9709,1.1549
100643-71-8,pa_ph1n1,1,4.6768,2.3193
101-26-8,pa_ph1n1,1,4.1703,0.6973
101477-54-7,pa_ph1n1,1,4.4957,1.4292
101827-46-7,pa_ph1n1,1,4.1437,0.623
103-16-2,pa_ph1n1,1,4.9895,3.1941
103177-37-3,pa_ph1n1,1,4.2886,0.6906
10405-02-4,pa_ph1n1,1,4.5258,1.5425
1041434-82-5,pa_ph1n1,1,4.4101,0.5729
104227-87-4,pa_ph1n1,1,4.4621,0.9605
104632-26-0,pa_ph1n1,1,4.2302,0.7011
105462-24-6,pa_ph1n1,1,4.4718,0.966
105816-04-4,pa_ph1n1,1,5.5448,1.6187
106266-06-2,pa_ph1n1,1,4.7015,1.2119
106308-44-5,pa_ph1n1,1,4.8913,4.0237
106685-40-9,pa_ph1n1,1,4.2636,0.8901
1069-66-5,pa_ph1n1,1,4.4848,0.7501
107-35-7,pa_ph1n1,1,4.696,1.3779
1070-11-7,pa_ph1n1,1,4.2686,0.7335
107133-36-8,pa_ph1n1,1,4.3232,0.9659
107724-20-9,pa_ph1n1,1,4.5743,1.0421
108341-18-0,pa_ph1n1,1,4.2558,0.9734
1104-22-9,pa_ph1n1,1,3.8891,0.6613
111406-87-2,pa_ph1n1,1,4.95,1.6286
1115-70-4,pa_ph1n1,1,3.8715,1.0056
111974-72-2,pa_ph1n1,1,4.3851,0.9795
112529-15-4,pa_ph1n1,1,5.4954,3.2879
112809-51-5,pa_ph1n1,1,4.3253,2.0759
112885-42-4,pa_ph1n1,1,4.2389,0.9677
113-59-7,pa_ph1n1,1,4.4584,0.7907
113-92-8,pa_ph1n1,1,4.2413,1.3114
113852-37-2,pa_ph1n1,1,4.2656,1.2379
115256-11-6,pa_ph1n1,1,4.4602,0.9501
1156-19-0,pa_ph1n1,1,4.5258,1.1038
117-37-3,pa_ph1n1,1,4.5836,1.655
118072-93-8,pa_ph1n1,1,4.3641,0.5659
119413-54-6,pa_ph1n1,1,4.5627,0.9958
1195765-45-7,pa_ph1n1,1,4.141,0.691
120-97-8,pa_ph1n1,1,3.9962,1.2828
120011-70-3,pa_ph1n1,1,4.7692,2.2885
120202-66-6,pa_ph1n1,1,5.4499,2.0622
120511-73-1,pa_ph1n1,1,4.3544,1.5403
122111-03-9,pa_ph1n1,1,5.145,1.6884
122320-73-4,pa_ph1n1,1,4.375,0.8799
122647-32-9,pa_ph1n1,1,4.3522,0.7844
122883-93-6,pa_ph1n1,1,5.0801,1.2352
1247-42-3,pa_ph1n1,1,5.6425,1.624
124750-99-8,pa_ph1n1,1,4.2822,1.3162
124937-52-6,pa_ph1n1,1,4.5365,0.9795
125-84-8,pa_ph1n1,1,4.9722,1.7543
1263-89-4,pa_ph1n1,1,4.5698,1.699
1264-62-6,pa_ph1n1,1,4.1345,0.8055
127-07-1,pa_ph1n1,1,4.1585,0.6854
127-56-0,pa_ph1n1,1,5.1349,1.8975
127-79-7,pa_ph1n1,1,4.3153,0.5717
128794-94-5,pa_ph1n1,1,4.2515,0.449
129101-54-8,pa_ph1n1,1,5.0814,1.533
129497-78-5,pa_ph1n1,1,4.0401,0.9941
129722-12-9,pa_ph1n1,1,4.9217,2.1349
130-61-0,pa_ph1n1,1,3.9275,0.7175
13010-47-4,pa_ph1n1,1,5.0317,1.3998
132-17-2,pa_ph1n1,1,4.4007,0.8108
132-18-3,pa_ph1n1,1,4.0217,1.7945
132539-06-1,pa_ph1n1,1,4.4687,2.0612
13292-46-1,pa_ph1n1,1,3.9722,0.6657
133-67-5,pa_ph1n1,1,5.1288,2.7228
133099-07-7,pa_ph1n1,1,4.2932,1.3901
133454-47-4,pa_ph1n1,1,4.5696,1.6447
134308-13-7,pa_ph1n1,1,4.1313,0.7144
134523-03-8,pa_ph1n1,1,5.4076,1.2219
135729-62-3,pa_ph1n1,1,4.4912,0.6785
136-40-3,pa_ph1n1,1,4.6011,1.1632
136572-09-3,pa_ph1n1,1,4.1025,0.8175
137-58-6,pa_ph1n1,1,4.842,2.699
137071-32-0,pa_ph1n1,1,3.8268,0.6926
138402-11-6,pa_ph1n1,1,4.5282,0.9846
138530-94-6,pa_ph1n1,1,4.6563,0.9357
138926-19-9,pa_ph1n1,1,4.8445,1.4323
139110-80-8,pa_ph1n1,1,4.0022,1.2774
140462-76-6,pa_ph1n1,1,4.5008,1.0053
141-90-2,pa_ph1n1,1,4.3522,0.9975
141505-33-1,pa_ph1n1,1,5.3897,2.1292
141625-93-6,pa_ph1n1,1,4.5235,1.3164
142340-99-6,pa_ph1n1,1,3.9246,0.6471
144-82-1,pa_ph1n1,1,5.1332,2.6986
144060-53-7,pa_ph1n1,1,4.1864,1.4679
144689-63-4,pa_ph1n1,1,5.1508,2.3291
144701-48-4,pa_ph1n1,1,4.1263,1.5429
145040-37-5,pa_ph1n1,1,3.9985,0.9908
145108-58-3,pa_ph1n1,1,4.3498,1.1218
146464-95-1,pa_ph1n1,1,4.3152,0.665
147-94-4,pa_ph1n1,1,4.7078,1.7881
147127-20-6,pa_ph1n1,1,4.233,0.9171
147403-03-0,pa_ph1n1,1,5.2469,1.7959
1476-53-5,pa_ph1n1,1,4.2063,1.5109
148-79-8,pa_ph1n1,1,4.7795,1.3403
148849-67-6,pa_ph1n1,1,4.7314,1.8118
149647-78-9,pa_ph1n1,1,5.0131,1.5363
150-76-5,pa_ph1n1,1,3.954,1.0026
150322-43-3,pa_ph1n1,1,4.2079,0.9896
150399-23-8,pa_ph1n1,1,4.8136,0.9252
150683-30-0,pa_ph1n1,1,4.2545,1.0874
1508-65-2,pa_ph1n1,1,4.7893,1.0702
1508-75-4,pa_ph1n1,1,4.79,1.2528
1508-76-5,pa_ph1n1,1,3.8722,1.1297
152-62-5,pa_ph1n1,1,5.3159,3.5795
152520-56-4,pa_ph1n1,1,5.2759,3.8753
15307-81-0,pa_ph1n1,1,4.351,1.6509
153559-49-0,pa_ph1n1,1,4.4244,0.5729
154229-19-3,pa_ph1n1,1,4.2714,0.9733
154361-50-9,pa_ph1n1,1,4.7537,1.414
155206-00-1,pa_ph1n1,1,4.5976,1.0958
155213-67-5,pa_ph1n1,1,4.7974,1.6996
156-57-0,pa_ph1n1,1,4.0828,1.2706
15686-71-2,pa_ph1n1,1,4.1044,0.8333
159811-51-5,pa_ph1n1,1,5.1159,1.9799
160970-54-7,pa_ph1n1,1,4.6871,1.4198
161735-79-1,pa_ph1n1,1,4.1998,0.8541
161814-49-9,pa_ph1n1,1,3.9739,0.8431
162011-90-7,pa_ph1n1,1,4.1764,0.7613
162401-32-3,pa_ph1n1,1,4.7175,2.9396
163222-33-1,pa_ph1n1,1,4.0068,0.9783
164656-23-9,pa_ph1n1,1,4.2468,0.8875
165800-03-3,pa_ph1n1,1,4.189,0.93
169590-42-5,pa_ph1n1,1,4.4032,1.1124
170729-80-3,pa_ph1n1,1,4.2897,0.9186
171599-83-0,pa_ph1n1,1,4.185,0.8911
17321-77-6,pa_ph1n1,1,4.9104,1.4464
1744-22-5,pa_ph1n1,1,4.2774,0.7464
175865-59-5,pa_ph1n1,1,5.2604,2.5007
179324-69-7,pa_ph1n1,1,4.5188,1.2151
179463-17-3,pa_ph1n1,1,4.6213,1.7852
18010-40-7,pa_ph1n1,1,4.0599,1.5252
183133-96-2,pa_ph1n1,1,3.9713,0.8543
186826-86-8,pa_ph1n1,1,4.2103,0.8422
188062-50-2,pa_ph1n1,1,4.9457,1.2196
190786-44-8,pa_ph1n1,1,4.9147,1.1969
19171-19-8,pa_ph1n1,1,3.9428,0.9055
19356-17-3,pa_ph1n1,1,5.0994,1.1977
19387-91-8,pa_ph1n1,1,4.6918,1.3229
1953-02-2,pa_ph1n1,1,3.9394,1.2575
196597-26-9,pa_ph1n1,1,4.5898,1.8453
19767-45-4,pa_ph1n1,1,5.711,2.3709
19774-82-4,pa_ph1n1,1,4.252,0.9185
198480-56-7,pa_ph1n1,1,4.2119,0.6076
201530-41-8,pa_ph1n1,1,4.8204,1.022
202138-50-9,pa_ph1n1,1,4.2154,1.4532
2030-63-9,pa_ph1n1,1,4.0847,1.0152
204255-11-8,pa_ph1n1,1,4.5838,1.3368
2062-78-4,pa_ph1n1,1,4.2388,2.202
2068-78-2,pa_ph1n1,1,4.1353,1.3378
211915-06-9,pa_ph1n1,1,4.0993,0.9976
21256-18-8,pa_ph1n1,1,4.2291,1.1869
2135-17-3,pa_ph1n1,1,4.4359,1.2402
21679-14-1,pa_ph1n1,1,4.4395,1.565
21736-83-4,pa_ph1n1,1,4.0666,1.7935
2192-20-3,pa_ph1n1,1,5.151,2.1599
220127-57-1,pa_ph1n1,1,4.172,1.0873
