compound_id,target_id,in_experimental_data,pred_mean,pred_err
1004316-88-4,pa_ph1n1,1,3.8838,0.7896
100643-71-8,pa_ph1n1,1,4.8583,0.9484
101-26-8,pa_ph1n1,1,4.2066,0.8816
101477-54-7,pa_ph1n1,1,4.6529,1.43
101827-46-7,pa_ph1n1,1,4.2078,1.042
103-16-2,pa_ph1n1,1,5.1034,1.338
103177-37-3,pa_ph1n1,1,4.185,0.7936
10405-02-4,pa_ph1n1,1,4.646,1.2039
1041434-82-5,pa_ph1n1,1,4.3898,0.8579
104227-87-4,pa_ph1n1,1,4.5224,0.7308
104632-26-0,pa_ph1n1,1,4.1546,0.9439
105462-24-6,pa_ph1n1,1,4.62,0.8982
105816-04-4,pa_ph1n1,1,5.1765,1.3426
106266-06-2,pa_ph1n1,1,4.9303,1.056
106308-44-5,pa_ph1n1,1,5.2273,1.5437
106685-40-9,pa_ph1n1,1,4.3764,1.0586
1069-66-5,pa_ph1n1,1,4.5201,0.8932
107-35-7,pa_ph1n1,1,4.8996,1.1001
1070-11-7,pa_ph1n1,1,4.2106,0.8325
107133-36-8,pa_ph1n1,1,4.4241,1.4162
107724-20-9,pa_ph1n1,1,4.719,0.8605
108341-18-0,pa_ph1n1,1,4.4428,1.2106
1104-22-9,pa_ph1n1,1,3.8241,0.926
111406-87-2,pa_ph1n1,1,4.8489,1.1273
1115-70-4,pa_ph1n1,1,3.4961,0.9532
111974-72-2,pa_ph1n1,1,4.4375,0.8124
112529-15-4,pa_ph1n1,1,5.0459,1.5382
112809-51-5,pa_ph1n1,1,4.5448,0.9348
112885-42-4,pa_ph1n1,1,3.9781,0.7537
113-59-7,pa_ph1n1,1,4.6171,1.1581
113-92-8,pa_ph1n1,1,4.3828,1.1932
113852-37-2,pa_ph1n1,1,4.3243,0.9287
115256-11-6,pa_ph1n1,1,4.4183,0.8401
1156-19-0,pa_ph1n1,1,4.7224,0.8426
117-37-3,pa_ph1n1,1,4.612,0.9151
118072-93-8,pa_ph1n1,1,4.3728,0.9389
119413-54-6,pa_ph1n1,1,4.6581,0.8648
1195765-45-7,pa_ph1n1,1,4.0025,0.9814
120-97-8,pa_ph1n1,1,3.7449,1.141
120011-70-3,pa_ph1n1,1,4.9628,0.9634
120202-66-6,pa_ph1n1,1,5.2819,1.3839
120511-73-1,pa_ph1n1,1,4.5901,1.2352
122111-03-9,pa_ph1n1,1,5.1743,1.2101
122320-73-4,pa_ph1n1,1,4.4203,1.0788
122647-32-9,pa_ph1n1,1,4.4041,0.962
122883-93-6,pa_ph1n1,1,5.2762,1.426
1247-42-3,pa_ph1n1,1,5.3613,1.4611
124750-99-8,pa_ph1n1,1,4.1948,0.7449
124937-52-6,pa_ph1n1,1,4.5196,0.7445
125-84-8,pa_ph1n1,1,4.7667,1.2205
1263-89-4,pa_ph1n1,1,4.5494,1.1251
1264-62-6,pa_ph1n1,1,4.1376,0.9227
127-07-1,pa_ph1n1,1,4.0288,0.7258
127-56-0,pa_ph1n1,1,5.1417,1.6115
127-79-7,pa_ph1n1,1,4.2935,1.0697
128794-94-5,pa_ph1n1,1,4.1794,0.7018
129101-54-8,pa_ph1n1,1,5.1009,1.2453
129497-78-5,pa_ph1n1,1,4.1818,0.9866
129722-12-9,pa_ph1n1,1,4.8919,1.1192
130-61-0,pa_ph1n1,1,3.6679,0.8789
13010-47-4,pa_ph1n1,1,4.9525,0.9947
132-17-2,pa_ph1n1,1,4.3881,1.1832
132-18-3,pa_ph1n1,1,4.0877,0.6525
132539-06-1,pa_ph1n1,1,4.6954,1.6655
13292-46-1,pa_ph1n1,1,3.776,0.8906
133-67-5,pa_ph1n1,1,5.2215,1.5669
133099-07-7,pa_ph1n1,1,4.5072,1.402
133454-47-4,pa_ph1n1,1,4.9807,1.1335
134308-13-7,pa_ph1n1,1,4.0819,1.0652
134523-03-8,pa_ph1n1,1,5.2544,1.2234
