compound_id,target_id,in_experimental_data,pred_mean,pred_err
1004316-88-4,pa_ph1n1,1,3.9551,1.1254
100643-71-8,pa_ph1n1,1,4.5918,1.883
101-26-8,pa_ph1n1,1,4.166,0.7523
101477-54-7,pa_ph1n1,1,4.3864,1.3897
101827-46-7,pa_ph1n1,1,4.1291,0.8599
103-16-2,pa_ph1n1,1,4.9766,2.0948
103177-37-3,pa_ph1n1,1,4.2979,0.7334
10405-02-4,pa_ph1n1,1,4.5157,1.457
1041434-82-5,pa_ph1n1,1,4.4094,0.7919
104227-87-4,pa_ph1n1,1,4.5185,1.087
104632-26-0,pa_ph1n1,1,4.2202,0.5669
105462-24-6,pa_ph1n1,1,4.5446,0.7753
105816-04-4,pa_ph1n1,1,5.6691,1.5353
106266-06-2,pa_ph1n1,1,4.7326,1.1398
106308-44-5,pa_ph1n1,1,4.9277,3.3996
106685-40-9,pa_ph1n1,1,4.2685,1.2656
1069-66-5,pa_ph1n1,1,4.472,0.8409
107-35-7,pa_ph1n1,1,4.6582,1.1531
1070-11-7,pa_ph1n1,1,4.2542,0.6406
107133-36-8,pa_ph1n1,1,4.2692,1.4984
107724-20-9,pa_ph1n1,1,4.6232,1.01
108341-18-0,pa_ph1n1,1,4.3295,1.1643
1104-22-9,pa_ph1n1,1,3.8708,0.7614
111406-87-2,pa_ph1n1,1,4.8102,1.4828
1115-70-4,pa_ph1n1,1,3.7982,0.6327
111974-72-2,pa_ph1n1,1,4.4095,0.8062
112529-15-4,pa_ph1n1,1,5.6582,2.2492
112809-51-5,pa_ph1n1,1,4.3487,1.1922
112885-42-4,pa_ph1n1,1,4.2409,1.2148
113-59-7,pa_ph1n1,1,4.4453,0.6859
113-92-8,pa_ph1n1,1,4.1863,1.3325
113852-37-2,pa_ph1n1,1,4.3068,0.9267
115256-11-6,pa_ph1n1,1,4.4874,1.1514
1156-19-0,pa_ph1n1,1,4.5449,0.6132
117-37-3,pa_ph1n1,1,4.6119,1.6343
118072-93-8,pa_ph1n1,1,4.3499,0.4112
119413-54-6,pa_ph1n1,1,4.5123,0.8029
1195765-45-7,pa_ph1n1,1,4.1641,0.7439
120-97-8,pa_ph1n1,1,3.984,1.3365
120011-70-3,pa_ph1n1,1,4.7892,1.5912
120202-66-6,pa_ph1n1,1,5.2958,1.8065
120511-73-1,pa_ph1n1,1,4.3503,1.3669
122111-03-9,pa_ph1n1,1,5.1768,2.0375
122320-73-4,pa_ph1n1,1,4.3324,1.2624
122647-32-9,pa_ph1n1,1,4.3893,0.96
122883-93-6,pa_ph1n1,1,5.0722,1.7332
1247-42-3,pa_ph1n1,1,5.6311,1.2645
124750-99-8,pa_ph1n1,1,4.2981,0.8749
124937-52-6,pa_ph1n1,1,4.4193,0.7278
125-84-8,pa_ph1n1,1,4.9202,1.4672
1263-89-4,pa_ph1n1,1,4.4853,1.3628
1264-62-6,pa_ph1n1,1,4.0934,0.686
127-07-1,pa_ph1n1,1,4.2002,0.5357
127-56-0,pa_ph1n1,1,5.2,2.2174
127-79-7,pa_ph1n1,1,4.2967,0.787
128794-94-5,pa_ph1n1,1,4.2456,0.6284
129101-54-8,pa_ph1n1,1,5.0944,1.767
129497-78-5,pa_ph1n1,1,4.0748,0.9919
129722-12-9,pa_ph1n1,1,4.8284,1.855
130-61-0,pa_ph1n1,1,3.9771,0.7434
13010-47-4,pa_ph1n1,1,4.9111,1.2112
132-17-2,pa_ph1n1,1,4.3839,0.9322
132-18-3,pa_ph1n1,1,4.0199,1.2546
132539-06-1,pa_ph1n1,1,4.4262,1.6873
13292-46-1,pa_ph1n1,1,3.9655,0.6658
133-67-5,pa_ph1n1,1,5.176,2.1824
133099-07-7,pa_ph1n1,1,4.2519,1.1012
133454-47-4,pa_ph1n1,1,4.5975,1.0263
134308-13-7,pa_ph1n1,1,4.0952,0.5132
134523-03-8,pa_ph1n1,1,5.3869,1.6005
135729-62-3,pa_ph1n1,1,4.5435,0.8017
136-40-3,pa_ph1n1,1,4.4666,0.9069
136572-09-3,pa_ph1n1,1,4.0651,0.7962
137-58-6,pa_ph1n1,1,4.8962,2.5528
137071-32-0,pa_ph1n1,1,3.7908,0.8172
138402-11-6,pa_ph1n1,1,4.6258,1.1386
138530-94-6,pa_ph1n1,1,4.602,0.9869
138926-19-9,pa_ph1n1,1,4.8724,1.467
139110-80-8,pa_ph1n1,1,4.0452,0.9587
140462-76-6,pa_ph1n1,1,4.4802,1.175
141-90-2,pa_ph1n1,1,4.3444,0.6885
141505-33-1,pa_ph1n1,1,5.1968,1.4472
141625-93-6,pa_ph1n1,1,4.499,1.2014
142340-99-6,pa_ph1n1,1,3.9192,0.4272
144-82-1,pa_ph1n1,1,5.1423,2.3965
144060-53-7,pa_ph1n1,1,4.2082,0.9509
144689-63-4,pa_ph1n1,1,5.1112,2.0726
144701-48-4,pa_ph1n1,1,4.1005,1.6539
145040-37-5,pa_ph1n1,1,4.0137,0.9552
145108-58-3,pa_ph1n1,1,4.3163,1.0712
146464-95-1,pa_ph1n1,1,4.3672,0.8465
147-94-4,pa_ph1n1,1,4.7362,1.7411
147127-20-6,pa_ph1n1,1,4.229,0.8207
147403-03-0,pa_ph1n1,1,5.2441,1.9665
1476-53-5,pa_ph1n1,1,4.1996,1.139
148-79-8,pa_ph1n1,1,4.7371,2.0912
148849-67-6,pa_ph1n1,1,4.7294,1.9553
149647-78-9,pa_ph1n1,1,5.0372,1.4063
150-76-5,pa_ph1n1,1,3.9776,1.0226
150322-43-3,pa_ph1n1,1,4.2161,0.9431
150399-23-8,pa_ph1n1,1,4.8249,1.3507
150683-30-0,pa_ph1n1,1,4.2107,0.9192
1508-65-2,pa_ph1n1,1,4.7553,1.2794
1508-75-4,pa_ph1n1,1,4.8883,1.5517
1508-76-5,pa_ph1n1,1,3.8442,1.109
152-62-5,pa_ph1n1,1,5.3635,2.9272
152520-56-4,pa_ph1n1,1,5.3157,3.6374
15307-81-0,pa_ph1n1,1,4.4061,1.119
153559-49-0,pa_ph1n1,1,4.4866,0.8604
154229-19-3,pa_ph1n1,1,4.2527,0.5828
154361-50-9,pa_ph1n1,1,4.6891,1.4618
155206-00-1,pa_ph1n1,1,4.5586,1.0096
155213-67-5,pa_ph1n1,1,4.7777,2.3858
156-57-0,pa_ph1n1,1,4.0944,0.9779
15686-71-2,pa_ph1n1,1,4.0934,0.8907
159811-51-5,pa_ph1n1,1,5.1333,1.8913
160970-54-7,pa_ph1n1,1,4.5994,1.0936
161735-79-1,pa_ph1n1,1,4.1577,0.9784
161814-49-9,pa_ph1n1,1,3.9818,0.5462
162011-90-7,pa_ph1n1,1,4.1893,0.7853
162401-32-3,pa_ph1n1,1,4.7143,1.8903
163222-33-1,pa_ph1n1,1,4.0283,0.9868
164656-23-9,pa_ph1n1,1,4.2217,1.0874
165800-03-3,pa_ph1n1,1,4.1758,1.0662
169590-42-5,pa_ph1n1,1,4.4374,1.5319
170729-80-3,pa_ph1n1,1,4.2866,0.9379
171599-83-0,pa_ph1n1,1,4.2145,1.0799
17321-77-6,pa_ph1n1,1,4.8024,1.2542
1744-22-5,pa_ph1n1,1,4.2086,0.8867
175865-59-5,pa_ph1n1,1,5.2591,2.2989
179324-69-7,pa_ph1n1,1,4.6494,1.2229
179463-17-3,pa_ph1n1,1,4.518,1.3886
18010-40-7,pa_ph1n1,1,4.0614,1.1072
183133-96-2,pa_ph1n1,1,3.9864,0.5353
186826-86-8,pa_ph1n1,1,4.2292,0.5399
188062-50-2,pa_ph1n1,1,4.8605,0.9128
190786-44-8,pa_ph1n1,1,4.7994,1.4216
19171-19-8,pa_ph1n1,1,3.9797,1.0337
19356-17-3,pa_ph1n1,1,5.0802,1.4754
19387-91-8,pa_ph1n1,1,4.5524,0.7185
1953-02-2,pa_ph1n1,1,3.9579,1.2154
196597-26-9,pa_ph1n1,1,4.6724,1.2869
19767-45-4,pa_ph1n1,1,5.7536,2.4277
19774-82-4,pa_ph1n1,1,4.191,0.8885
198480-56-7,pa_ph1n1,1,4.1906,0.7379
201530-41-8,pa_ph1n1,1,4.8232,1.2498
202138-50-9,pa_ph1n1,1,4.2616,1.53
2030-63-9,pa_ph1n1,1,4.1298,1.2754
204255-11-8,pa_ph1n1,1,4.5209,0.7198
2062-78-4,pa_ph1n1,1,4.3223,2.2047
2068-78-2,pa_ph1n1,1,4.1183,1.2948
211915-06-9,pa_ph1n1,1,4.1485,1.1117
21256-18-8,pa_ph1n1,1,4.2378,1.3359
2135-17-3,pa_ph1n1,1,4.4493,1.1659
21679-14-1,pa_ph1n1,1,4.4132,1.3936
21736-83-4,pa_ph1n1,1,4.0152,0.9548
2192-20-3,pa_ph1n1,1,5.1823,2.1874
220127-57-1,pa_ph1n1,1,4.1191,0.9345
220620-09-7,pa_ph1n1,1,4.4749,0.7907
22260-51-1,pa_ph1n1,1,4.7625,3.3296
223673-61-8,pa_ph1n1,1,4.9852,2.2402
224785-90-4,pa_ph1n1,1,4.6132,0.9254
22916-47-8,pa_ph1n1,1,4.2399,0.7497
231277-92-2,pa_ph1n1,1,4.4945,1.3883
242478-38-2,pa_ph1n1,1,4.4297,0.7117
2447-57-6,pa_ph1n1,1,4.0153,0.7789
24729-96-2,pa_ph1n1,1,5.7112,2.4867
25451-15-4,pa_ph1n1,1,4.6932,1.4224
2627-69-2,pa_ph1n1,1,4.1944,0.714
26807-65-8,pa_ph1n1,1,4.8471,2.2726
269055-15-4,pa_ph1n1,1,5.6938,1.8408
274693-27-5,pa_ph1n1,1,4.6183,1.8203
27833-64-3,pa_ph1n1,1,4.1148,1.1562
2809-21-4,pa_ph1n1,1,5.0534,2.4919
28657-80-9,pa_ph1n1,1,4.4379,1.0206
286930-03-8,pa_ph1n1,1,4.4748,1.1898
297-76-7,pa_ph1n1,1,4.135,0.8538
302-79-4,pa_ph1n1,1,4.0292,0.5349
302962-49-8,pa_ph1n1,1,4.4862,1.0613
304-20-1,pa_ph1n1,1,4.4929,0.8136
3056-17-5,pa_ph1n1,1,4.4008,1.1316
30652-11-0,pa_ph1n1,1,4.1629,0.9781
319460-85-0,pa_ph1n1,1,6.0683,2.1258
320345-99-1,pa_ph1n1,1,4.6434,1.3629
321-30-2,pa_ph1n1,1,4.8332,1.8198
33069-62-4,pa_ph1n1,1,4.1105,1.005
330784-47-9,pa_ph1n1,1,4.5378,1.5002
33402-03-8,pa_ph1n1,1,4.2741,0.5545
33419-42-0,pa_ph1n1,1,5.1993,3.1393
341031-54-7,pa_ph1n1,1,5.2096,3.4322
34183-22-7,pa_ph1n1,1,4.8172,1.124
34381-68-5,pa_ph1n1,1,4.2911,1.2825
34552-83-5,pa_ph1n1,1,4.5326,1.043
34580-14-8,pa_ph1n1,1,3.9622,0.9886
3543-75-7,pa_ph1n1,1,4.3499,1.4549
36322-90-4,pa_ph1n1,1,5.0997,1.7385
364782-34-3,pa_ph1n1,1,4.3249,0.5833
367514-88-3,pa_ph1n1,1,4.8467,1.6912
36791-04-5,pa_ph1n1,1,4.8873,1.333
3717-88-2,pa_ph1n1,1,4.5484,0.9673
3801-06-7,pa_ph1n1,1,4.352,1.0643
380843-75-4,pa_ph1n1,1,5.0711,2.3384
38194-50-2,pa_ph1n1,1,4.6084,0.8469
38304-91-5,pa_ph1n1,1,4.7487,1.313
389-08-2,pa_ph1n1,1,3.9031,0.9046
3963-95-9,pa_ph1n1,1,4.2469,0.8197
3978-86-7,pa_ph1n1,1,4.0824,0.6573
405165-61-9,pa_ph1n1,1,4.5481,1.11
41340-25-4,pa_ph1n1,1,4.4381,0.8063
42057-22-7,pa_ph1n1,1,4.9598,2.3407
42461-84-7,pa_ph1n1,1,4.1172,0.834
42924-53-8,pa_ph1n1,1,4.3477,0.9866
4342-03-4,pa_ph1n1,1,4.6603,0.7904
440-17-5,pa_ph1n1,1,4.2101,1.0404
444731-52-6,pa_ph1n1,1,5.7275,1.9646
446-86-6,pa_ph1n1,1,5.6934,1.886
452-35-7,pa_ph1n1,1,4.0684,1.0401
475207-59-1,pa_ph1n1,1,4.27,0.9246
50-01-1,pa_ph1n1,1,4.2987,0.8939
50-02-2,pa_ph1n1,1,4.026,1.2364
