compound_id,target_id,in_experimental_data,pred_mean,pred_err
1004316-88-4,pa_ph1n1,1,3.8525,0.9421
100643-71-8,pa_ph1n1,1,4.9298,1.0887
101-26-8,pa_ph1n1,1,4.2236,1.109
101477-54-7,pa_ph1n1,1,4.6612,1.2211
101827-46-7,pa_ph1n1,1,4.1591,1.0492
103-16-2,pa_ph1n1,1,5.1552,0.9112
103177-37-3,pa_ph1n1,1,4.1726,0.7219
10405-02-4,pa_ph1n1,1,4.6516,1.1066
1041434-82-5,pa_ph1n1,1,4.3847,0.8039
104227-87-4,pa_ph1n1,1,4.5737,0.9148
104632-26-0,pa_ph1n1,1,4.1257,1.1187
105462-24-6,pa_ph1n1,1,4.6746,0.9578
105816-04-4,pa_ph1n1,1,5.2263,0.9161
106266-06-2,pa_ph1n1,1,4.9685,0.843
106308-44-5,pa_ph1n1,1,5.2933,1.1598
106685-40-9,pa_ph1n1,1,4.3886,1.1994
1069-66-5,pa_ph1n1,1,4.5395,0.8289
107-35-7,pa_ph1n1,1,4.9593,1.2183
1070-11-7,pa_ph1n1,1,4.1911,0.8993
107133-36-8,pa_ph1n1,1,4.4118,1.4994
107724-20-9,pa_ph1n1,1,4.7632,0.8539
108341-18-0,pa_ph1n1,1,4.4305,1.3254
1104-22-9,pa_ph1n1,1,3.7742,1.0724
111406-87-2,pa_ph1n1,1,4.8899,1.1295
1115-70-4,pa_ph1n1,1,3.4211,1.186
111974-72-2,pa_ph1n1,1,4.4435,0.8108
112529-15-4,pa_ph1n1,1,5.0609,1.1864
112809-51-5,pa_ph1n1,1,4.5347,0.6702
112885-42-4,pa_ph1n1,1,3.9514,0.8892
113-59-7,pa_ph1n1,1,4.6304,1.2645
113-92-8,pa_ph1n1,1,4.372,1.4644
113852-37-2,pa_ph1n1,1,4.2945,0.8171
115256-11-6,pa_ph1n1,1,4.4509,0.9254
1156-19-0,pa_ph1n1,1,4.7935,0.9359
117-37-3,pa_ph1n1,1,4.6157,0.7099
118072-93-8,pa_ph1n1,1,4.3605,0.9944
119413-54-6,pa_ph1n1,1,4.6926,0.7998
1195765-45-7,pa_ph1n1,1,3.9836,0.9958
120-97-8,pa_ph1n1,1,3.6881,1.3369
120011-70-3,pa_ph1n1,1,5.0415,1.1062
120202-66-6,pa_ph1n1,1,5.377,1.1718
120511-73-1,pa_ph1n1,1,4.5663,0.9755
122111-03-9,pa_ph1n1,1,5.2421,0.9455
122320-73-4,pa_ph1n1,1,4.405,0.9706
122647-32-9,pa_ph1n1,1,4.3975,0.8647
122883-93-6,pa_ph1n1,1,5.3725,1.2291
1247-42-3,pa_ph1n1,1,5.4624,1.2656
124750-99-8,pa_ph1n1,1,4.1819,0.8198
124937-52-6,pa_ph1n1,1,4.5473,0.7146
125-84-8,pa_ph1n1,1,4.7932,1.2731
1263-89-4,pa_ph1n1,1,4.5375,0.9421
1264-62-6,pa_ph1n1,1,4.0923,0.8895
127-07-1,pa_ph1n1,1,4.0233,0.9176
127-56-0,pa_ph1n1,1,5.1881,1.2638
127-79-7,pa_ph1n1,1,4.3288,1.3792
128794-94-5,pa_ph1n1,1,4.1562,0.7763
129101-54-8,pa_ph1n1,1,5.1861,1.1896
129497-78-5,pa_ph1n1,1,4.1709,1.2504
129722-12-9,pa_ph1n1,1,4.9182,0.965
130-61-0,pa_ph1n1,1,3.6054,1.129
13010-47-4,pa_ph1n1,1,5.0249,0.9829
132-17-2,pa_ph1n1,1,4.3856,1.0247
132-18-3,pa_ph1n1,1,4.0986,0.8442
132539-06-1,pa_ph1n1,1,4.6956,1.4675
13292-46-1,pa_ph1n1,1,3.7193,1.0031
133-67-5,pa_ph1n1,1,5.2805,1.1327
133099-07-7,pa_ph1n1,1,4.4842,1.256
133454-47-4,pa_ph1n1,1,5.0363,1.0981
134308-13-7,pa_ph1n1,1,4.0412,1.1543
134523-03-8,pa_ph1n1,1,5.3369,1.1005
135729-62-3,pa_ph1n1,1,4.5737,1.1661
136-40-3,pa_ph1n1,1,4.7239,1.0921
136572-09-3,pa_ph1n1,1,3.9134,1.1167
137-58-6,pa_ph1n1,1,5.0133,1.3642
137071-32-0,pa_ph1n1,1,3.5841,1.0444
138402-11-6,pa_ph1n1,1,4.5915,1.0716
138530-94-6,pa_ph1n1,1,4.8524,0.8875
138926-19-9,pa_ph1n1,1,5.1057,0.9781
139110-80-8,pa_ph1n1,1,4.1042,1.2378
140462-76-6,pa_ph1n1,1,4.817,1.2095
141-90-2,pa_ph1n1,1,4.2751,0.7728
141505-33-1,pa_ph1n1,1,5.3599,1.1458
141625-93-6,pa_ph1n1,1,4.5894,1.0077
142340-99-6,pa_ph1n1,1,3.7938,1.2577
144-82-1,pa_ph1n1,1,4.9781,1.1907
144060-53-7,pa_ph1n1,1,4.1416,1.1203
144689-63-4,pa_ph1n1,1,5.0798,0.8461
144701-48-4,pa_ph1n1,1,4.1157,1.047
145040-37-5,pa_ph1n1,1,3.7199,0.9924
145108-58-3,pa_ph1n1,1,4.2839,0.8512
146464-95-1,pa_ph1n1,1,4.2941,1.0693
147-94-4,pa_ph1n1,1,4.8273,1.0803
147127-20-6,pa_ph1n1,1,4.0741,0.7709
147403-03-0,pa_ph1n1,1,5.3064,1.0067
1476-53-5,pa_ph1n1,1,3.9697,0.9732
148-79-8,pa_ph1n1,1,4.6677,0.7345
148849-67-6,pa_ph1n1,1,4.9306,0.7128
149647-78-9,pa_ph1n1,1,5.184,0.8826
150-76-5,pa_ph1n1,1,3.9322,0.8668
150322-43-3,pa_ph1n1,1,4.0961,1.014
150399-23-8,pa_ph1n1,1,4.9142,0.7736
150683-30-0,pa_ph1n1,1,4.4203,0.9867
1508-65-2,pa_ph1n1,1,4.8753,0.7974
1508-75-4,pa_ph1n1,1,5.0343,1.0902
1508-76-5,pa_ph1n1,1,3.8779,1.1867
152-62-5,pa_ph1n1,1,5.3976,1.1721
152520-56-4,pa_ph1n1,1,5.4022,1.4324
15307-81-0,pa_ph1n1,1,4.4855,0.803
153559-49-0,pa_ph1n1,1,4.4863,1.1947
154229-19-3,pa_ph1n1,1,4.2093,0.8011
154361-50-9,pa_ph1n1,1,4.9939,1.0831
155206-00-1,pa_ph1n1,1,4.7432,1.1135
155213-67-5,pa_ph1n1,1,4.8233,1.4069
156-57-0,pa_ph1n1,1,3.9171,1.5048
15686-71-2,pa_ph1n1,1,3.8836,0.9962
159811-51-5,pa_ph1n1,1,5.0167,0.9695
160970-54-7,pa_ph1n1,1,4.6723,1.0688
161735-79-1,pa_ph1n1,1,4.1697,1.3115
161814-49-9,pa_ph1n1,1,3.8296,1.0529
162011-90-7,pa_ph1n1,1,4.2032,1.0802
162401-32-3,pa_ph1n1,1,4.5757,0.9074
163222-33-1,pa_ph1n1,1,3.8226,0.9224
164656-23-9,pa_ph1n1,1,4.2979,0.8944
165800-03-3,pa_ph1n1,1,4.0091,1.3017
169590-42-5,pa_ph1n1,1,4.8531,1.1802
170729-80-3,pa_ph1n1,1,4.1216,0.8628
171599-83-0,pa_ph1n1,1,4.1775,1.4634
17321-77-6,pa_ph1n1,1,4.767,1.0492
1744-22-5,pa_ph1n1,1,4.1492,0.8114
