id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,pa_ph1n1,1,4.7414,1.7323
99464-64-9,pa_ph1n1,0,4.3891,1.0255
23180-57-6,pa_ph1n1,0,4.7712,3.2667
50-27-1,pa_ph1n1,1,4.6427,1.7444
2627-69-2,pa_ph1n1,1,4.5355,1.1781
58186-27-9,pa_ph1n1,0,4.3305,1.6648
93793-83-0,pa_ph1n1,1,4.4634,1.0298
39133-31-8,pa_ph1n1,0,4.4232,1.1879
34552-84-6,pa_ph1n1,0,4.4772,1.0976
112885-42-4,pa_ph1n1,1,4.3227,0.6955
51803-78-2,pa_ph1n1,1,4.4668,1.0497
141505-33-1,pa_ph1n1,1,4.3877,1.0468
183320-51-6,pa_ph1n1,0,4.6161,1.0131
101477-54-7,pa_ph1n1,1,4.3961,1.8097
50-02-2,pa_ph1n1,1,4.4027,1.3911
96829-58-2,pa_ph1n1,1,4.2667,2.5844
98-96-4,pa_ph1n1,0,4.2829,2.2602
541-15-1,pa_ph1n1,1,4.4841,1.4868
65277-42-1,pa_ph1n1,1,4.4894,1.5739
70-00-8,pa_ph1n1,0,4.5154,0.9449
39809-25-1,pa_ph1n1,0,4.6735,1.2336
54-42-2,pa_ph1n1,0,4.6161,1.1045
124832-27-5,pa_ph1n1,0,4.6448,1.2829
5536-17-4,pa_ph1n1,0,4.6903,1.379
147-94-4,pa_ph1n1,1,4.534,1.2484
99011-02-6,pa_ph1n1,0,4.7099,1.1711
70288-86-7,pa_ph1n1,0,3.4476,5.0358
59277-89-3,pa_ph1n1,0,4.6777,1.4023
82410-32-0,pa_ph1n1,0,4.6424,1.4483
104227-87-4,pa_ph1n1,1,4.5969,1.8526
50-91-9,pa_ph1n1,1,4.5316,1.0456
79-57-2,pa_ph1n1,1,4.3929,1.3172
6153-64-6,pa_ph1n1,0,4.3116,1.2096
518048-05-0,pa_ph1n1,1,4.4838,1.3257
161735-79-1,pa_ph1n1,1,4.5241,1.126
13492-01-8,pa_ph1n1,0,4.6325,1.5306
549-18-8,pa_ph1n1,1,4.5008,1.0125
79794-75-5,pa_ph1n1,1,4.4396,1.1332
79307-93-0,pa_ph1n1,1,4.5688,1.2966
100299-08-9,pa_ph1n1,0,4.573,2.6093
980-71-2,pa_ph1n1,0,4.4321,0.8093
122883-93-6,pa_ph1n1,1,4.6747,1.1688
76824-35-6,pa_ph1n1,1,4.5485,1.7253
154-69-8,pa_ph1n1,0,4.5194,1.0473
2192-20-3,pa_ph1n1,1,4.5518,0.7227
132-20-7,pa_ph1n1,0,4.462,1.2591
25332-39-2,pa_ph1n1,0,4.6295,1.3021
1104-22-9,pa_ph1n1,1,4.4757,1.895
76963-41-2,pa_ph1n1,0,4.5742,1.4868
521-78-8,pa_ph1n1,1,4.4703,1.3057
14976-57-9,pa_ph1n1,0,4.4201,0.7937
10347-81-6,pa_ph1n1,0,4.7827,1.861
100643-71-8,pa_ph1n1,1,4.5774,1.2969
132-18-3,pa_ph1n1,1,4.551,0.9243
83881-52-1,pa_ph1n1,0,4.4964,0.5518
2508-72-7,pa_ph1n1,0,4.597,1.598
66357-59-3,pa_ph1n1,1,4.5295,1.2614
140462-76-6,pa_ph1n1,1,4.4817,1.0382
3978-86-7,pa_ph1n1,1,4.3009,1.3968
113-92-8,pa_ph1n1,1,4.4353,0.9363
59-33-6,pa_ph1n1,0,4.4123,1.2114
190786-44-8,pa_ph1n1,1,4.477,0.9077
147-24-0,pa_ph1n1,0,4.5042,0.8724
562-10-7,pa_ph1n1,0,4.4298,1.0479
144598-75-4,pa_ph1n1,0,4.7029,1.6388
137-58-6,pa_ph1n1,1,4.4703,0.7136
85650-52-8,pa_ph1n1,0,4.583,1.2824
34580-14-8,pa_ph1n1,1,4.4705,1.2275
132-17-2,pa_ph1n1,1,4.6036,1.4037
113-59-7,pa_ph1n1,1,4.4535,1.1834
51481-61-9,pa_ph1n1,1,4.6119,1.8296
4682-36-4,pa_ph1n1,0,4.3361,0.9272
97240-79-4,pa_ph1n1,1,4.5363,1.9744
25451-15-4,pa_ph1n1,1,4.3747,1.3069
41100-52-1,pa_ph1n1,0,4.7036,2.041
1508-76-5,pa_ph1n1,1,4.5992,1.317
68-41-7,pa_ph1n1,1,4.4578,1.709
50357-45-4,pa_ph1n1,0,4.532,1.4185
