id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,pa_ph1n1,1,4.3414,2.6198
99464-64-9,pa_ph1n1,0,4.614,1.1169
23180-57-6,pa_ph1n1,0,5.2474,1.7333
50-27-1,pa_ph1n1,1,4.1905,0.0654
2627-69-2,pa_ph1n1,1,3.6087,3.1408
58186-27-9,pa_ph1n1,0,4.3514,0.969
93793-83-0,pa_ph1n1,1,3.8682,0.3309
39133-31-8,pa_ph1n1,0,4.7545,0.8412
34552-84-6,pa_ph1n1,0,5.1036,1.5351
112885-42-4,pa_ph1n1,1,5.3607,4.0823
51803-78-2,pa_ph1n1,1,3.3378,0.91
141505-33-1,pa_ph1n1,1,4.6267,2.0729
183320-51-6,pa_ph1n1,0,5.0002,1.6017
101477-54-7,pa_ph1n1,1,4.2786,1.4214
50-02-2,pa_ph1n1,1,3.5571,2.3448
96829-58-2,pa_ph1n1,1,3.6399,0.1567
98-96-4,pa_ph1n1,0,3.9602,1.2883
541-15-1,pa_ph1n1,1,4.1708,2.0929
65277-42-1,pa_ph1n1,1,4.7104,1.3379
70-00-8,pa_ph1n1,0,4.4663,1.311
39809-25-1,pa_ph1n1,0,4.2147,0.7759
54-42-2,pa_ph1n1,0,4.5273,1.1428
124832-27-5,pa_ph1n1,0,4.7219,1.2563
5536-17-4,pa_ph1n1,0,3.8622,0.58
147-94-4,pa_ph1n1,1,5.0368,2.9552
99011-02-6,pa_ph1n1,0,4.3768,1.0157
70288-86-7,pa_ph1n1,0,4.5752,1.0095
59277-89-3,pa_ph1n1,0,4.5247,1.6667
82410-32-0,pa_ph1n1,0,3.9821,0.9851
104227-87-4,pa_ph1n1,1,4.9448,0.7405
50-91-9,pa_ph1n1,1,4.0592,1.5647
79-57-2,pa_ph1n1,1,4.833,0.6374
6153-64-6,pa_ph1n1,0,4.5463,0.9208
518048-05-0,pa_ph1n1,1,4.3363,2.0711
161735-79-1,pa_ph1n1,1,3.8198,1.8787
13492-01-8,pa_ph1n1,0,4.6846,1.306
549-18-8,pa_ph1n1,1,3.7876,3.5241
79794-75-5,pa_ph1n1,1,4.4382,1.7781
79307-93-0,pa_ph1n1,1,4.4237,2.5427
100299-08-9,pa_ph1n1,0,4.4385,0.7439
980-71-2,pa_ph1n1,0,4.4504,0.7668
122883-93-6,pa_ph1n1,1,5.0932,1.2693
76824-35-6,pa_ph1n1,1,4.9553,0.1574
154-69-8,pa_ph1n1,0,4.396,1.5427
2192-20-3,pa_ph1n1,1,5.0012,2.2935
132-20-7,pa_ph1n1,0,4.5134,0.8358
25332-39-2,pa_ph1n1,0,5.1611,4.0153
1104-22-9,pa_ph1n1,1,3.8567,1.3199
76963-41-2,pa_ph1n1,0,4.6068,1.1316
521-78-8,pa_ph1n1,1,5.0492,0.304
14976-57-9,pa_ph1n1,0,4.6252,0.5377
10347-81-6,pa_ph1n1,0,4.1693,1.7059
100643-71-8,pa_ph1n1,1,3.873,0.6773
132-18-3,pa_ph1n1,1,3.5679,0.3544
83881-52-1,pa_ph1n1,0,4.8423,0.9322
2508-72-7,pa_ph1n1,0,4.2584,1.2929
66357-59-3,pa_ph1n1,1,4.7639,1.231
140462-76-6,pa_ph1n1,1,4.549,1.8386
3978-86-7,pa_ph1n1,1,3.3571,1.3145
113-92-8,pa_ph1n1,1,4.0001,0.4861
59-33-6,pa_ph1n1,0,4.7922,1.0554
190786-44-8,pa_ph1n1,1,4.9102,2.147
147-24-0,pa_ph1n1,0,4.388,2.245
562-10-7,pa_ph1n1,0,4.6308,0.8536
144598-75-4,pa_ph1n1,0,4.4942,0.8251
137-58-6,pa_ph1n1,1,4.6897,2.6361
85650-52-8,pa_ph1n1,0,4.3002,1.7444
34580-14-8,pa_ph1n1,1,4.3746,1.3275
132-17-2,pa_ph1n1,1,4.119,1.5036
113-59-7,pa_ph1n1,1,4.7858,4.2596
51481-61-9,pa_ph1n1,1,4.307,0.5739
4682-36-4,pa_ph1n1,0,4.0889,1.9106
97240-79-4,pa_ph1n1,1,4.3323,1.0746
25451-15-4,pa_ph1n1,1,5.0889,2.6734
41100-52-1,pa_ph1n1,0,4.5582,1.3679
1508-76-5,pa_ph1n1,1,3.6925,1.2858
68-41-7,pa_ph1n1,1,3.7941,0.6512
50357-45-4,pa_ph1n1,0,4.9081,0.7069
7681-93-8,pa_ph1n1,1,4.0937,0.9998
29342-05-0,pa_ph1n1,0,4.367,1.3994
41621-49-2,pa_ph1n1,0,4.2938,0.8633
61318-91-0,pa_ph1n1,1,4.3131,1.1255
171228-49-2,pa_ph1n1,0,4.6509,1.6144
536-43-6,pa_ph1n1,0,4.2977,1.2131
53123-88-9,pa_ph1n1,0,3.8106,2.02
23593-75-1,pa_ph1n1,0,4.751,2.2285
64872-77-1,pa_ph1n1,1,4.3536,0.9448
91161-71-6,pa_ph1n1,0,4.6466,1.137
65473-14-5,pa_ph1n1,1,4.6252,1.8463
78628-80-5,pa_ph1n1,0,4.5705,0.7853
1397-89-3,pa_ph1n1,0,3.8852,1.0472
57852-57-0,pa_ph1n1,1,4.4404,0.807
179463-17-3,pa_ph1n1,1,3.5528,1.7135
1070-11-7,pa_ph1n1,1,4.2375,0.9863
101827-46-7,pa_ph1n1,1,4.1269,0.2902
137234-62-9,pa_ph1n1,0,4.8035,0.6883
86386-73-4,pa_ph1n1,0,4.0754,1.0633
99592-39-9,pa_ph1n1,1,4.1559,1.5269
65899-73-2,pa_ph1n1,0,4.1669,1.062
24280-93-1,pa_ph1n1,0,4.353,0.6458
540737-29-9,pa_ph1n1,1,3.915,0.5013
84625-61-6,pa_ph1n1,0,4.2757,1.1415
65-85-0,pa_ph1n1,0,4.115,1.7676
24169-02-6,pa_ph1n1,0,4.3219,0.8039
22916-47-8,pa_ph1n1,1,3.9763,1.7281
22832-87-7,pa_ph1n1,0,4.2761,1.0417
17321-77-6,pa_ph1n1,1,4.9126,1.424
74011-58-8,pa_ph1n1,1,4.1715,0.2184
72509-76-3,pa_ph1n1,0,4.8012,0.9569
173334-58-2,pa_ph1n1,0,3.971,0.7152
941678-49-5,pa_ph1n1,1,4.6494,0.4177
127-79-7,pa_ph1n1,1,4.2748,1.6312
13010-47-4,pa_ph1n1,1,5.7309,0.0902
54527-84-3,pa_ph1n1,1,4.7073,1.7223
90357-06-5,pa_ph1n1,1,5.1381,0.918
136572-09-3,pa_ph1n1,1,4.0884,2.61
1177-87-3,pa_ph1n1,0,4.4283,1.1501
1264-72-8,pa_ph1n1,0,3.7677,1.1952
54-85-3,pa_ph1n1,1,3.9509,1.4065
23541-50-6,pa_ph1n1,0,4.0843,1.1795
943319-70-8,pa_ph1n1,0,4.9261,0.9004
150399-23-8,pa_ph1n1,1,4.7338,1.8264
475207-59-1,pa_ph1n1,1,4.1052,1.0083
1247-42-3,pa_ph1n1,1,6.1569,1.0498
73963-72-1,pa_ph1n1,1,4.2987,0.9441
668270-12-0,pa_ph1n1,0,5.4501,2.287
154-42-7,pa_ph1n1,0,4.3709,0.7948
129497-78-5,pa_ph1n1,1,3.3959,2.5179
220127-57-1,pa_ph1n1,1,4.6841,1.9236
184475-35-2,pa_ph1n1,0,4.7135,1.1234
66085-59-4,pa_ph1n1,1,4.1367,2.241
75330-75-5,pa_ph1n1,0,4.5489,1.9035
52-01-7,pa_ph1n1,0,4.8448,1.6731
79902-63-9,pa_ph1n1,1,4.4149,2.8808
78246-49-8,pa_ph1n1,1,4.3439,1.3595
97682-44-5,pa_ph1n1,0,4.5108,2.0184
65928-58-7,pa_ph1n1,0,4.7947,0.6968
63-74-1,pa_ph1n1,1,3.5605,1.6837
73590-58-6,pa_ph1n1,1,4.923,1.4264
34552-83-5,pa_ph1n1,1,4.3327,0.8817
123318-82-1,pa_ph1n1,0,4.2697,1.7993
129453-61-8,pa_ph1n1,0,4.4155,1.6554
183133-96-2,pa_ph1n1,1,3.8984,1.5964
302962-49-8,pa_ph1n1,1,3.8467,1.3351
474-25-9,pa_ph1n1,0,4.5038,1.2171
298-46-4,pa_ph1n1,0,4.2675,0.9988
877399-52-5,pa_ph1n1,1,3.6056,1.0659
183319-69-9,pa_ph1n1,0,4.7591,0.6276
179324-69-7,pa_ph1n1,1,5.023,0.7351
130-61-0,pa_ph1n1,1,4.3267,1.648
879085-55-9,pa_ph1n1,1,4.1896,1.2669
68-35-9,pa_ph1n1,1,4.0055,1.2404
82640-04-8,pa_ph1n1,1,4.556,2.5145
162635-04-3,pa_ph1n1,0,3.9464,0.6617
19237-84-4,pa_ph1n1,0,4.9134,1.5207
50-35-1,pa_ph1n1,1,4.6203,3.5753
1098-60-8,pa_ph1n1,0,4.3522,0.9831
873054-44-5,pa_ph1n1,0,4.1594,1.1974
50-55-5,pa_ph1n1,1,3.7692,0.408
152459-95-5,pa_ph1n1,0,4.8398,1.2012
127-07-1,pa_ph1n1,1,4.1496,0.879
153559-49-0,pa_ph1n1,1,4.434,0.4979
1264-62-6,pa_ph1n1,1,3.8111,0.6554
85622-93-1,pa_ph1n1,1,4.5593,1.4486
159351-69-6,pa_ph1n1,0,3.7876,1.496
117772-70-0,pa_ph1n1,0,4.3504,1.3713
84371-65-3,pa_ph1n1,1,4.3162,1.0123
171599-83-0,pa_ph1n1,1,5.04,2.0034
595-33-5,pa_ph1n1,1,3.9316,1.8352
144-83-2,pa_ph1n1,0,4.4679,1.2333
19774-82-4,pa_ph1n1,1,4.6399,2.4423
83-43-2,pa_ph1n1,1,4.1494,0.5275
127-56-0,pa_ph1n1,1,6.0052,0.3135
83905-01-5,pa_ph1n1,0,4.6314,1.941
119413-54-6,pa_ph1n1,1,4.8138,0.8865
118292-40-3,pa_ph1n1,0,4.737,1.13
144701-48-4,pa_ph1n1,1,4.6641,0.8884
163222-33-1,pa_ph1n1,1,4.6202,0.8131
641571-10-0,pa_ph1n1,1,4.6128,1.0943
220620-09-7,pa_ph1n1,1,4.2463,1.0008
108341-18-0,pa_ph1n1,1,4.5775,1.2094
21829-25-4,pa_ph1n1,0,4.8582,1.1806
1069-66-5,pa_ph1n1,1,5.1857,0.3109
95635-56-6,pa_ph1n1,0,4.3801,0.6836
2447-57-6,pa_ph1n1,1,3.8892,2.0811
84057-84-1,pa_ph1n1,0,4.4236,0.9753
599-79-1,pa_ph1n1,0,4.9368,2.0972
53716-49-7,pa_ph1n1,0,4.2039,0.7524
50-44-2,pa_ph1n1,0,4.607,0.5342
50-63-5,pa_ph1n1,1,4.8581,4.8629
33069-62-4,pa_ph1n1,1,3.5213,2.4498
3056-17-5,pa_ph1n1,1,4.0285,1.5361
58-61-7,pa_ph1n1,1,3.8622,0.58
96946-42-8,pa_ph1n1,0,4.3289,1.5556
918504-65-1,pa_ph1n1,0,4.3614,1.5094
388082-77-7,pa_ph1n1,0,4.3888,1.2667
50-01-1,pa_ph1n1,1,4.409,1.0567
64-77-7,pa_ph1n1,1,4.5488,0.8796
915087-33-1,pa_ph1n1,0,4.4371,0.855
635702-64-6,pa_ph1n1,0,5.3285,1.3642
61825-94-3,pa_ph1n1,0,4.4469,1.1213
71125-38-7,pa_ph1n1,0,5.257,1.2933
53-86-1,pa_ph1n1,1,4.3614,1.0743
155141-29-0,pa_ph1n1,0,4.5285,1.1889
443913-73-3,pa_ph1n1,0,4.6521,0.3765
147098-20-2,pa_ph1n1,0,4.3067,1.2217
440-17-5,pa_ph1n1,1,4.5411,1.4615
5451-09-2,pa_ph1n1,1,3.7979,1.5057
320-67-2,pa_ph1n1,0,4.2708,0.6607
112809-51-5,pa_ph1n1,1,3.7821,1.7459
22260-51-1,pa_ph1n1,1,5.9671,3.7015
141625-93-6,pa_ph1n1,1,4.8315,3.6351
55981-09-4,pa_ph1n1,0,4.4869,1.4894
150683-30-0,pa_ph1n1,1,3.8875,1.1838
231277-92-2,pa_ph1n1,1,4.3952,1.2552
434-13-9,pa_ph1n1,0,4.8151,1.4468
59-67-6,pa_ph1n1,1,3.649,1.4977
10238-21-8,pa_ph1n1,0,4.4448,0.8104
81131-70-6,pa_ph1n1,0,4.7125,0.8696
54965-24-1,pa_ph1n1,0,4.9784,1.3978
33419-42-0,pa_ph1n1,1,6.2659,0.5009
127-69-5,pa_ph1n1,0,4.373,1.442
25316-40-9,pa_ph1n1,0,4.5275,1.0889
106685-40-9,pa_ph1n1,1,3.9804,1.3038
341031-54-7,pa_ph1n1,1,6.3276,3.8483
84680-54-6,pa_ph1n1,0,4.461,0.8325
134523-03-8,pa_ph1n1,1,5.4688,0.4044
144-82-1,pa_ph1n1,1,5.6102,4.0863
51022-70-9,pa_ph1n1,0,4.2044,1.8653
444731-52-6,pa_ph1n1,1,6.3135,0.4254
75695-93-1,pa_ph1n1,1,5.2912,2.0687
93957-55-2,pa_ph1n1,1,3.832,4.0012
122111-03-9,pa_ph1n1,1,5.0377,1.5425
118072-93-8,pa_ph1n1,1,4.181,0.6969
1476-53-5,pa_ph1n1,1,4.382,1.4061
55079-83-9,pa_ph1n1,1,3.6753,1.0143
104987-11-3,pa_ph1n1,0,4.0412,1.5359
302-79-4,pa_ph1n1,1,4.1847,1.5215
50-78-2,pa_ph1n1,1,4.6889,0.7256
56296-78-7,pa_ph1n1,1,5.6467,3.7454
1115-70-4,pa_ph1n1,1,3.6554,0.7656
49562-28-9,pa_ph1n1,0,4.7574,1.2845
1404-93-9,pa_ph1n1,0,4.6572,1.6816
38194-50-2,pa_ph1n1,1,4.5134,2.1535
26159-34-2,pa_ph1n1,0,4.2903,0.9106
122320-73-4,pa_ph1n1,1,4.8674,2.583
723-46-6,pa_ph1n1,1,4.331,0.5023
302543-62-0,pa_ph1n1,0,5.5224,2.6365
72-14-0,pa_ph1n1,1,4.9324,2.1546
77883-43-3,pa_ph1n1,1,4.3334,0.7392
107-35-7,pa_ph1n1,1,4.7363,0.9751
380843-75-4,pa_ph1n1,1,5.8575,3.5363
755037-03-7,pa_ph1n1,0,4.4017,1.6442
624-49-7,pa_ph1n1,1,4.5847,0.6486
95058-81-4,pa_ph1n1,0,4.4999,0.7172
6493-05-6,pa_ph1n1,1,4.3333,1.0743
156-57-0,pa_ph1n1,1,4.1472,3.8636
147526-32-7,pa_ph1n1,0,4.392,1.4983
553-08-2,pa_ph1n1,1,3.8358,1.2242
149647-78-9,pa_ph1n1,1,4.2679,0.1371
30652-11-0,pa_ph1n1,1,4.0626,1.7198
101152-94-7,pa_ph1n1,0,4.7068,1.3045
136434-34-9,pa_ph1n1,0,4.4973,1.5826
367514-88-3,pa_ph1n1,1,4.9762,2.5335
82248-59-7,pa_ph1n1,0,4.4228,1.2203
317-34-0,pa_ph1n1,0,4.7087,1.225
479-18-5,pa_ph1n1,0,4.212,1.8042
53885-35-1,pa_ph1n1,1,5.3202,5.0324
443-48-1,pa_ph1n1,0,4.6881,1.3175
3366-95-8,pa_ph1n1,0,4.8401,0.9544
63-45-6,pa_ph1n1,1,4.1408,2.4378
148-79-8,pa_ph1n1,1,5.1798,2.6408
95233-18-4,pa_ph1n1,0,4.6691,1.3797
55268-74-1,pa_ph1n1,1,4.3833,4.1252
54029-12-8,pa_ph1n1,1,4.6198,2.5568
37091-65-9,pa_ph1n1,0,4.6132,1.2323
58-14-0,pa_ph1n1,0,4.1585,0.4841
50-65-7,pa_ph1n1,0,4.0753,0.7516
71963-77-4,pa_ph1n1,0,4.4415,1.4769
6119-47-7,pa_ph1n1,0,4.5897,1.2834
54965-21-8,pa_ph1n1,0,4.5533,1.0675
1263-89-4,pa_ph1n1,1,3.9201,0.6582
24729-96-2,pa_ph1n1,1,6.388,3.4223
57808-65-8,pa_ph1n1,1,4.452,1.3456
56180-94-0,pa_ph1n1,1,4.0123,0.974
115436-72-1,pa_ph1n1,0,4.3762,1.0505
105462-24-6,pa_ph1n1,1,4.9454,0.5008
134308-13-7,pa_ph1n1,1,4.2865,0.8888
130929-57-6,pa_ph1n1,0,4.4339,0.701
121268-17-5,pa_ph1n1,0,4.3687,1.0494
162401-32-3,pa_ph1n1,1,5.2707,4.0416
36791-04-5,pa_ph1n1,1,4.278,0.6372
101-26-8,pa_ph1n1,1,3.4858,2.3734
129101-54-8,pa_ph1n1,1,4.2872,0.6912
541-22-0,pa_ph1n1,1,4.3573,1.7826
120011-70-3,pa_ph1n1,1,4.6847,3.0732
849217-68-1,pa_ph1n1,1,4.5282,0.4504
319460-85-0,pa_ph1n1,1,6.5241,6.0204
198480-56-7,pa_ph1n1,1,4.1863,2.0144
97-77-8,pa_ph1n1,1,4.2148,1.3034
376348-65-1,pa_ph1n1,0,4.1317,0.9083
936563-96-1,pa_ph1n1,0,5.5381,1.6613
30516-87-1,pa_ph1n1,0,4.3427,0.5415
29094-61-9,pa_ph1n1,0,4.6163,0.6129
23288-49-5,pa_ph1n1,0,4.5031,1.0294
94-20-2,pa_ph1n1,0,4.449,1.2682
637-07-0,pa_ph1n1,0,4.3375,1.4383
105816-04-4,pa_ph1n1,1,5.6062,2.5404
89-57-6,pa_ph1n1,0,4.2961,0.7998
112529-15-4,pa_ph1n1,1,6.3188,3.3047
882-09-7,pa_ph1n1,0,4.465,0.8874
135062-02-1,pa_ph1n1,0,4.2944,0.7163
111025-46-8,pa_ph1n1,0,5.6308,1.773
25812-30-0,pa_ph1n1,0,4.5738,1.3568
1508-75-4,pa_ph1n1,1,4.4696,1.4292
76-90-4,pa_ph1n1,1,4.5252,0.1911
80-50-2,pa_ph1n1,1,4.5442,1.0281
375815-87-5,pa_ph1n1,0,4.4139,0.9825
65-29-2,pa_ph1n1,1,3.5168,0.1282
50700-72-6,pa_ph1n1,1,4.5566,1.6577
124937-52-6,pa_ph1n1,1,4.3861,1.4955
15500-66-0,pa_ph1n1,0,4.4862,1.4598
22254-24-6,pa_ph1n1,0,4.0593,1.3698
132539-06-1,pa_ph1n1,1,4.3542,2.3911
67-48-1,pa_ph1n1,1,4.4489,0.2525
242478-38-2,pa_ph1n1,1,4.8807,1.8858
125-33-7,pa_ph1n1,0,4.1687,1.6835
865-21-4,pa_ph1n1,0,4.5505,1.9765
286930-03-8,pa_ph1n1,1,4.3407,0.4724
167221-71-8,pa_ph1n1,0,4.6539,0.9978
5633-20-5,pa_ph1n1,0,4.5086,0.9955
62-97-5,pa_ph1n1,1,4.8818,1.0757
10405-02-4,pa_ph1n1,1,4.0294,0.3681
590-63-6,pa_ph1n1,1,6.0855,4.2909
119302-91-9,pa_ph1n1,0,4.5319,1.1635
53-19-0,pa_ph1n1,0,4.489,2.378
73-24-5,pa_ph1n1,0,4.0727,0.8175
60-31-1,pa_ph1n1,0,5.0542,1.9979
64228-81-5,pa_ph1n1,1,4.3289,1.5556
320345-99-1,pa_ph1n1,1,5.0142,1.2707
3717-88-2,pa_ph1n1,1,5.1427,3.326
5786-21-0,pa_ph1n1,1,6.0409,1.389
61-12-1,pa_ph1n1,0,4.4474,0.5676
155-41-9,pa_ph1n1,0,4.0595,1.31
1508-65-2,pa_ph1n1,1,4.7498,1.4639
133099-07-7,pa_ph1n1,1,4.7903,1.1919
1744-22-5,pa_ph1n1,1,4.3627,0.6498
21679-14-1,pa_ph1n1,1,3.934,1.3339
2062-78-4,pa_ph1n1,1,3.4461,1.0583
138890-62-7,pa_ph1n1,0,4.7066,0.7784
130693-82-2,pa_ph1n1,0,4.8099,0.8314
133-67-5,pa_ph1n1,1,4.9058,2.4481
3801-06-7,pa_ph1n1,1,4.4125,0.7201
554-57-4,pa_ph1n1,0,4.3395,1.0242
452-35-7,pa_ph1n1,1,4.0754,1.389
91-33-8,pa_ph1n1,0,4.935,1.2352
135-07-9,pa_ph1n1,0,4.5433,1.7703
68291-97-4,pa_ph1n1,1,4.0365,1.1313
532-03-6,pa_ph1n1,1,3.4999,2.7014
120-97-8,pa_ph1n1,1,3.8789,1.4186
170729-80-3,pa_ph1n1,1,4.9262,0.4347
4291-63-8,pa_ph1n1,0,4.2714,1.8418
58-32-2,pa_ph1n1,0,4.4655,0.4545
51-30-9,pa_ph1n1,0,4.2188,0.8175
224785-90-4,pa_ph1n1,1,4.4886,0.5658
78415-72-2,pa_ph1n1,1,4.1717,0.6044
58579-51-4,pa_ph1n1,1,4.1889,1.1126
171596-29-5,pa_ph1n1,0,4.5431,1.1673
330784-47-9,pa_ph1n1,1,4.507,0.1369
6080-58-6,pa_ph1n1,0,4.4708,1.1864
56-85-9,pa_ph1n1,1,4.0033,2.4791
70476-82-3,pa_ph1n1,1,5.2474,1.7849
229975-97-7,pa_ph1n1,0,4.4766,3.5236
106266-06-2,pa_ph1n1,1,4.6695,1.3461
859-18-7,pa_ph1n1,1,4.4377,0.879
68373-14-8,pa_ph1n1,1,3.6698,1.6195
69388-84-7,pa_ph1n1,0,3.6698,1.6195
773-76-2,pa_ph1n1,0,4.2839,0.882
42057-22-7,pa_ph1n1,1,4.6042,2.0774
21462-39-5,pa_ph1n1,0,4.8214,1.0304
69-52-3,pa_ph1n1,0,5.6245,5.2357
13614-98-7,pa_ph1n1,0,4.2412,0.6059
6018-19-5,pa_ph1n1,1,3.8794,1.9905
100986-85-4,pa_ph1n1,0,4.6676,1.1259
28657-80-9,pa_ph1n1,1,4.166,0.7719
6054-98-4,pa_ph1n1,0,4.8539,2.5603
19387-91-8,pa_ph1n1,1,5.4452,3.1351
1405-10-3,pa_ph1n1,0,3.7604,1.0452
7081-44-9,pa_ph1n1,1,4.3285,1.3306
186826-86-8,pa_ph1n1,1,3.86,0.2835
96036-03-2,pa_ph1n1,0,4.5051,0.6399
70458-96-7,pa_ph1n1,1,4.7149,3.3481
62013-04-1,pa_ph1n1,1,3.32,1.3616
98079-52-8,pa_ph1n1,0,4.7847,1.1971
64-75-5,pa_ph1n1,1,3.4178,0.7687
80621-81-4,pa_ph1n1,0,3.7126,0.8945
651-06-9,pa_ph1n1,0,4.4225,0.8416
114-07-8,pa_ph1n1,0,4.5362,1.9665
165800-03-3,pa_ph1n1,1,4.6967,0.8554
61379-65-5,pa_ph1n1,0,3.8056,1.5787
7177-50-6,pa_ph1n1,0,4.6591,0.79
3810-74-0,pa_ph1n1,0,3.884,0.5874
1405-89-6,pa_ph1n1,0,3.8032,1.1577
57-68-1,pa_ph1n1,1,3.9134,2.3698
738-70-5,pa_ph1n1,1,4.6149,0.8186
91832-40-5,pa_ph1n1,1,4.6651,3.0048
56391-57-2,pa_ph1n1,0,3.8513,1.1573
405165-61-9,pa_ph1n1,1,4.2479,1.5789
82034-46-6,pa_ph1n1,1,4.8832,2.6775
53994-73-3,pa_ph1n1,0,4.4479,2.2667
82419-36-1,pa_ph1n1,0,4.6676,1.1259
2030-63-9,pa_ph1n1,1,5.1524,2.4294
62893-19-0,pa_ph1n1,1,3.959,1.2867
7177-48-2,pa_ph1n1,0,4.5141,1.3824
24356-60-3,pa_ph1n1,0,4.5731,1.8924
18323-44-9,pa_ph1n1,0,4.8099,0.849
110871-86-8,pa_ph1n1,0,4.2871,1.1249
3963-95-9,pa_ph1n1,1,3.8488,0.8156
121123-17-9,pa_ph1n1,0,4.6035,1.4897
