id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,pa_ph1n1,1,4.5852,1.3073
99464-64-9,pa_ph1n1,0,4.3925,1.0012
23180-57-6,pa_ph1n1,0,4.4897,1.0409
50-27-1,pa_ph1n1,1,4.4716,0.6791
2627-69-2,pa_ph1n1,1,4.4367,0.954
58186-27-9,pa_ph1n1,0,4.3911,0.8913
93793-83-0,pa_ph1n1,1,4.4156,0.9343
39133-31-8,pa_ph1n1,0,4.4537,0.7957
34552-84-6,pa_ph1n1,0,4.4922,1.3589
112885-42-4,pa_ph1n1,1,4.4046,1.2479
51803-78-2,pa_ph1n1,1,4.5034,1.206
141505-33-1,pa_ph1n1,1,4.4167,1.0065
183320-51-6,pa_ph1n1,0,4.4988,0.9632
101477-54-7,pa_ph1n1,1,4.4547,1.1517
50-02-2,pa_ph1n1,1,4.3795,2.0075
96829-58-2,pa_ph1n1,1,4.3885,1.3555
98-96-4,pa_ph1n1,0,4.5043,1.1982
541-15-1,pa_ph1n1,1,4.446,1.562
65277-42-1,pa_ph1n1,1,4.5356,1.2103
70-00-8,pa_ph1n1,0,4.4838,1.3181
39809-25-1,pa_ph1n1,0,4.4948,1.0549
54-42-2,pa_ph1n1,0,4.4994,1.6398
124832-27-5,pa_ph1n1,0,4.4415,1.3917
5536-17-4,pa_ph1n1,0,4.5356,1.1402
147-94-4,pa_ph1n1,1,4.4942,1.0268
99011-02-6,pa_ph1n1,0,4.6169,1.052
70288-86-7,pa_ph1n1,0,4.1907,2.2736
59277-89-3,pa_ph1n1,0,4.5295,1.149
82410-32-0,pa_ph1n1,0,4.531,1.3491
104227-87-4,pa_ph1n1,1,4.5127,0.9826
50-91-9,pa_ph1n1,1,4.5648,1.9955
79-57-2,pa_ph1n1,1,4.4445,1.0377
6153-64-6,pa_ph1n1,0,4.4248,1.1172
518048-05-0,pa_ph1n1,1,4.5728,1.3621
161735-79-1,pa_ph1n1,1,4.4947,0.8351
13492-01-8,pa_ph1n1,0,4.592,1.3218
549-18-8,pa_ph1n1,1,4.5149,0.6687
79794-75-5,pa_ph1n1,1,4.5108,0.834
79307-93-0,pa_ph1n1,1,4.5291,1.138
100299-08-9,pa_ph1n1,0,4.5376,1.4619
980-71-2,pa_ph1n1,0,4.455,1.0045
122883-93-6,pa_ph1n1,1,4.5412,1.1099
76824-35-6,pa_ph1n1,1,4.4388,1.2937
154-69-8,pa_ph1n1,0,4.5274,0.944
2192-20-3,pa_ph1n1,1,4.4956,0.8137
132-20-7,pa_ph1n1,0,4.4752,1.0175
25332-39-2,pa_ph1n1,0,4.5568,1.0516
1104-22-9,pa_ph1n1,1,4.4982,1.176
76963-41-2,pa_ph1n1,0,4.4232,0.9901
521-78-8,pa_ph1n1,1,4.5014,0.9611
14976-57-9,pa_ph1n1,0,4.4917,1.0143
10347-81-6,pa_ph1n1,0,4.5189,1.1806
100643-71-8,pa_ph1n1,1,4.5127,0.962
132-18-3,pa_ph1n1,1,4.5268,0.7713
83881-52-1,pa_ph1n1,0,4.416,0.9286
2508-72-7,pa_ph1n1,0,4.5266,1.1023
66357-59-3,pa_ph1n1,1,4.4344,0.9435
140462-76-6,pa_ph1n1,1,4.3905,1.6109
3978-86-7,pa_ph1n1,1,4.4287,1.4933
113-92-8,pa_ph1n1,1,4.4559,0.9061
59-33-6,pa_ph1n1,0,4.4839,0.8878
190786-44-8,pa_ph1n1,1,4.3883,1.3264
147-24-0,pa_ph1n1,0,4.4882,0.9044
562-10-7,pa_ph1n1,0,4.4641,0.8759
144598-75-4,pa_ph1n1,0,4.5199,1.4104
137-58-6,pa_ph1n1,1,4.5062,0.881
85650-52-8,pa_ph1n1,0,4.5463,0.9759
34580-14-8,pa_ph1n1,1,4.4817,1.2009
132-17-2,pa_ph1n1,1,4.5094,1.4006
113-59-7,pa_ph1n1,1,4.5087,0.9783
51481-61-9,pa_ph1n1,1,4.516,1.4798
4682-36-4,pa_ph1n1,0,4.4199,1.077
97240-79-4,pa_ph1n1,1,4.4921,1.6777
25451-15-4,pa_ph1n1,1,4.4522,0.7336
41100-52-1,pa_ph1n1,0,4.561,1.2954
1508-76-5,pa_ph1n1,1,4.4949,0.8455
68-41-7,pa_ph1n1,1,4.5646,1.4746
50357-45-4,pa_ph1n1,0,4.4773,1.0918
7681-93-8,pa_ph1n1,1,4.3526,1.4041
29342-05-0,pa_ph1n1,0,4.5745,1.1451
41621-49-2,pa_ph1n1,0,4.5645,1.124
61318-91-0,pa_ph1n1,1,4.5124,0.9375
171228-49-2,pa_ph1n1,0,4.5199,1.7042
536-43-6,pa_ph1n1,0,4.4873,0.8858
53123-88-9,pa_ph1n1,0,4.1821,1.9108
23593-75-1,pa_ph1n1,0,4.6191,1.2399
64872-77-1,pa_ph1n1,1,4.4845,0.9065
91161-71-6,pa_ph1n1,0,4.5041,0.8446
65473-14-5,pa_ph1n1,1,4.5287,0.8011
78628-80-5,pa_ph1n1,0,4.4922,0.8384
1397-89-3,pa_ph1n1,0,4.1213,2.1579
57852-57-0,pa_ph1n1,1,4.469,0.9785
179463-17-3,pa_ph1n1,1,4.1661,2.5059
1070-11-7,pa_ph1n1,1,4.5001,1.5628
101827-46-7,pa_ph1n1,1,4.5314,0.9468
137234-62-9,pa_ph1n1,0,4.5128,1.0826
86386-73-4,pa_ph1n1,0,4.5042,1.074
99592-39-9,pa_ph1n1,1,4.5101,1.1618
65899-73-2,pa_ph1n1,0,4.5039,0.8974
24280-93-1,pa_ph1n1,0,4.5039,1.7092
540737-29-9,pa_ph1n1,1,4.4166,1.1897
84625-61-6,pa_ph1n1,0,4.5637,1.8746
65-85-0,pa_ph1n1,0,4.4999,1.2008
24169-02-6,pa_ph1n1,0,4.4912,0.952
22916-47-8,pa_ph1n1,1,4.4996,0.9337
22832-87-7,pa_ph1n1,0,4.4807,0.9909
17321-77-6,pa_ph1n1,1,4.5269,0.7104
74011-58-8,pa_ph1n1,1,4.5139,1.346
72509-76-3,pa_ph1n1,0,4.4783,0.6266
173334-58-2,pa_ph1n1,0,4.2606,1.7143
941678-49-5,pa_ph1n1,1,4.594,1.2567
127-79-7,pa_ph1n1,1,4.4866,1.1551
13010-47-4,pa_ph1n1,1,4.5064,1.4918
54527-84-3,pa_ph1n1,1,4.438,0.7041
90357-06-5,pa_ph1n1,1,4.3563,1.1726
136572-09-3,pa_ph1n1,1,4.5162,1.3954
1177-87-3,pa_ph1n1,0,4.3649,2.2197
1264-72-8,pa_ph1n1,0,4.0863,3.0004
54-85-3,pa_ph1n1,1,4.5034,1.2616
23541-50-6,pa_ph1n1,0,4.4588,0.9847
943319-70-8,pa_ph1n1,0,4.4882,1.3907
150399-23-8,pa_ph1n1,1,4.3823,2.366
475207-59-1,pa_ph1n1,1,4.4359,1.6906
1247-42-3,pa_ph1n1,1,4.4304,1.0995
73963-72-1,pa_ph1n1,1,4.5215,0.744
668270-12-0,pa_ph1n1,0,4.5954,1.2567
154-42-7,pa_ph1n1,0,4.5819,1.3846
129497-78-5,pa_ph1n1,1,4.4808,0.9672
220127-57-1,pa_ph1n1,1,4.5257,1.3175
184475-35-2,pa_ph1n1,0,4.5427,1.0821
66085-59-4,pa_ph1n1,1,4.3922,1.0276
75330-75-5,pa_ph1n1,0,4.4966,1.4769
52-01-7,pa_ph1n1,0,4.4001,0.7406
79902-63-9,pa_ph1n1,1,4.4651,1.3352
78246-49-8,pa_ph1n1,1,4.5203,1.0138
97682-44-5,pa_ph1n1,0,4.5473,1.413
65928-58-7,pa_ph1n1,0,4.4425,1.1634
63-74-1,pa_ph1n1,1,4.4978,1.3695
73590-58-6,pa_ph1n1,1,4.5964,0.9026
34552-83-5,pa_ph1n1,1,4.5211,1.0661
123318-82-1,pa_ph1n1,0,4.548,1.303
129453-61-8,pa_ph1n1,0,4.3286,1.5385
183133-96-2,pa_ph1n1,1,4.3766,0.9421
302962-49-8,pa_ph1n1,1,4.5044,1.105
474-25-9,pa_ph1n1,0,4.4492,0.7798
298-46-4,pa_ph1n1,0,4.5331,0.7854
877399-52-5,pa_ph1n1,1,4.485,1.3648
183319-69-9,pa_ph1n1,0,4.5202,0.8324
179324-69-7,pa_ph1n1,1,4.4524,1.1696
130-61-0,pa_ph1n1,1,4.5628,0.7334
879085-55-9,pa_ph1n1,1,4.5694,0.9431
68-35-9,pa_ph1n1,1,4.4999,1.2741
82640-04-8,pa_ph1n1,1,4.5916,1.1743
162635-04-3,pa_ph1n1,0,4.1457,1.6842
19237-84-4,pa_ph1n1,0,4.5917,1.4429
50-35-1,pa_ph1n1,1,4.493,0.9597
1098-60-8,pa_ph1n1,0,4.5328,0.7158
873054-44-5,pa_ph1n1,0,4.5038,0.9058
50-55-5,pa_ph1n1,1,4.5664,1.2244
152459-95-5,pa_ph1n1,0,4.5539,1.3022
127-07-1,pa_ph1n1,1,4.4064,1.3857
153559-49-0,pa_ph1n1,1,4.5308,1.1501
1264-62-6,pa_ph1n1,1,4.1435,1.1161
85622-93-1,pa_ph1n1,1,4.5294,1.2621
159351-69-6,pa_ph1n1,0,4.1927,1.6342
117772-70-0,pa_ph1n1,0,4.2454,1.0312
84371-65-3,pa_ph1n1,1,4.395,1.2361
171599-83-0,pa_ph1n1,1,4.4769,1.1958
595-33-5,pa_ph1n1,1,4.3943,1.4098
144-83-2,pa_ph1n1,0,4.4896,1.1338
19774-82-4,pa_ph1n1,1,4.5575,1.2844
83-43-2,pa_ph1n1,1,4.465,1.5384
127-56-0,pa_ph1n1,1,4.4318,1.1047
83905-01-5,pa_ph1n1,0,4.2492,0.9182
119413-54-6,pa_ph1n1,1,4.5935,1.1724
118292-40-3,pa_ph1n1,0,4.5196,1.0179
144701-48-4,pa_ph1n1,1,4.5997,1.8734
163222-33-1,pa_ph1n1,1,4.4959,0.7753
641571-10-0,pa_ph1n1,1,4.5835,1.7168
220620-09-7,pa_ph1n1,1,4.3506,0.9564
108341-18-0,pa_ph1n1,1,4.4727,1.4127
21829-25-4,pa_ph1n1,0,4.4668,1.3652
1069-66-5,pa_ph1n1,1,4.4927,1.4534
95635-56-6,pa_ph1n1,0,4.4643,1.0396
2447-57-6,pa_ph1n1,1,4.4907,1.1623
84057-84-1,pa_ph1n1,0,4.4963,0.9801
599-79-1,pa_ph1n1,0,4.5216,1.327
53716-49-7,pa_ph1n1,0,4.5477,1.4893
50-44-2,pa_ph1n1,0,4.6173,1.7361
50-63-5,pa_ph1n1,1,4.5041,1.2573
33069-62-4,pa_ph1n1,1,4.3962,1.6127
3056-17-5,pa_ph1n1,1,4.5282,1.8815
58-61-7,pa_ph1n1,1,4.4838,1.1429
96946-42-8,pa_ph1n1,0,4.4186,1.9977
918504-65-1,pa_ph1n1,0,4.493,1.3219
388082-77-7,pa_ph1n1,0,4.5502,2.5981
50-01-1,pa_ph1n1,1,4.4492,1.593
64-77-7,pa_ph1n1,1,4.5005,0.8738
915087-33-1,pa_ph1n1,0,4.3945,1.0589
635702-64-6,pa_ph1n1,0,4.5246,1.1686
61825-94-3,pa_ph1n1,0,4.5642,1.5217
71125-38-7,pa_ph1n1,0,4.4863,1.2393
53-86-1,pa_ph1n1,1,4.522,1.0555
155141-29-0,pa_ph1n1,0,4.4339,1.2534
443913-73-3,pa_ph1n1,0,4.5,1.0467
147098-20-2,pa_ph1n1,0,4.4259,1.1047
440-17-5,pa_ph1n1,1,4.5516,1.0061
5451-09-2,pa_ph1n1,1,4.4767,1.733
320-67-2,pa_ph1n1,0,4.4891,1.2245
112809-51-5,pa_ph1n1,1,4.5394,1.1328
22260-51-1,pa_ph1n1,1,4.4233,1.5731
141625-93-6,pa_ph1n1,1,4.4963,1.0157
55981-09-4,pa_ph1n1,0,4.4855,1.3986
150683-30-0,pa_ph1n1,1,4.4923,1.3149
231277-92-2,pa_ph1n1,1,4.5263,1.491
434-13-9,pa_ph1n1,0,4.4433,1.0023
59-67-6,pa_ph1n1,1,4.4713,1.2365
10238-21-8,pa_ph1n1,0,4.4082,1.0876
81131-70-6,pa_ph1n1,0,4.3215,1.8833
54965-24-1,pa_ph1n1,0,4.5279,1.2632
33419-42-0,pa_ph1n1,1,4.5541,1.2119
