id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,pa_ph1n1,1,4.2371,2.1008
99464-64-9,pa_ph1n1,0,4.5614,0.6042
23180-57-6,pa_ph1n1,0,4.8904,0.8522
50-27-1,pa_ph1n1,1,4.1421,0.5361
2627-69-2,pa_ph1n1,1,3.9299,1.6246
58186-27-9,pa_ph1n1,0,4.6206,0.954
93793-83-0,pa_ph1n1,1,4.0748,1.0082
39133-31-8,pa_ph1n1,0,4.4768,0.349
34552-84-6,pa_ph1n1,0,4.9515,1.135
112885-42-4,pa_ph1n1,1,5.4335,2.8956
51803-78-2,pa_ph1n1,1,3.3606,2.9334
141505-33-1,pa_ph1n1,1,4.4884,1.1096
183320-51-6,pa_ph1n1,0,4.5877,0.689
101477-54-7,pa_ph1n1,1,4.1305,1.3624
50-02-2,pa_ph1n1,1,3.5184,2.3376
96829-58-2,pa_ph1n1,1,3.8239,0.7099
98-96-4,pa_ph1n1,0,3.8625,0.6561
541-15-1,pa_ph1n1,1,4.3283,1.0017
65277-42-1,pa_ph1n1,1,4.8365,0.7267
70-00-8,pa_ph1n1,0,4.2208,0.8552
39809-25-1,pa_ph1n1,0,4.5058,0.6257
54-42-2,pa_ph1n1,0,4.315,1.3028
124832-27-5,pa_ph1n1,0,4.563,0.8799
5536-17-4,pa_ph1n1,0,4.0762,0.7087
147-94-4,pa_ph1n1,1,4.9009,2.4713
99011-02-6,pa_ph1n1,0,4.3345,0.8263
70288-86-7,pa_ph1n1,0,4.2512,1.3515
59277-89-3,pa_ph1n1,0,4.5025,1.4756
82410-32-0,pa_ph1n1,0,4.2646,0.8819
104227-87-4,pa_ph1n1,1,5.1026,0.2823
50-91-9,pa_ph1n1,1,3.8779,1.7657
79-57-2,pa_ph1n1,1,4.7597,1.1611
6153-64-6,pa_ph1n1,0,4.7103,0.6955
518048-05-0,pa_ph1n1,1,4.5191,1.3108
161735-79-1,pa_ph1n1,1,3.8673,2.238
13492-01-8,pa_ph1n1,0,4.9105,0.7159
549-18-8,pa_ph1n1,1,3.9825,1.9604
79794-75-5,pa_ph1n1,1,4.8486,2.2184
79307-93-0,pa_ph1n1,1,4.4035,0.132
100299-08-9,pa_ph1n1,0,4.3582,1.2645
980-71-2,pa_ph1n1,0,4.4688,0.9592
122883-93-6,pa_ph1n1,1,5.0532,0.8906
76824-35-6,pa_ph1n1,1,4.7863,0.7251
154-69-8,pa_ph1n1,0,4.6147,0.9862
2192-20-3,pa_ph1n1,1,4.8837,0.9778
132-20-7,pa_ph1n1,0,4.2789,1.1053
25332-39-2,pa_ph1n1,0,4.6979,1.0393
1104-22-9,pa_ph1n1,1,4.0015,0.6531
76963-41-2,pa_ph1n1,0,4.4728,0.4504
521-78-8,pa_ph1n1,1,5.0446,1.1802
14976-57-9,pa_ph1n1,0,4.9714,0.7858
10347-81-6,pa_ph1n1,0,4.3516,0.8912
100643-71-8,pa_ph1n1,1,4.0298,0.9032
132-18-3,pa_ph1n1,1,3.767,1.1677
83881-52-1,pa_ph1n1,0,4.6532,1.06
2508-72-7,pa_ph1n1,0,4.2294,0.5555
66357-59-3,pa_ph1n1,1,4.8652,0.7878
140462-76-6,pa_ph1n1,1,4.5728,1.613
3978-86-7,pa_ph1n1,1,3.7946,1.7059
113-92-8,pa_ph1n1,1,4.2445,1.7343
59-33-6,pa_ph1n1,0,4.8953,0.6139
190786-44-8,pa_ph1n1,1,4.8652,2.3407
147-24-0,pa_ph1n1,0,4.3824,1.057
562-10-7,pa_ph1n1,0,4.6471,0.7876
144598-75-4,pa_ph1n1,0,4.5293,0.8461
137-58-6,pa_ph1n1,1,4.8856,2.8772
85650-52-8,pa_ph1n1,0,4.3319,1.4262
34580-14-8,pa_ph1n1,1,4.4462,0.4721
132-17-2,pa_ph1n1,1,4.3409,1.2791
113-59-7,pa_ph1n1,1,4.6559,2.1227
51481-61-9,pa_ph1n1,1,4.4325,0.0788
4682-36-4,pa_ph1n1,0,4.2346,0.6232
97240-79-4,pa_ph1n1,1,4.1182,1.7121
25451-15-4,pa_ph1n1,1,5.3482,2.3942
41100-52-1,pa_ph1n1,0,4.527,0.8466
1508-76-5,pa_ph1n1,1,3.7999,1.8315
68-41-7,pa_ph1n1,1,3.6902,1.052
50357-45-4,pa_ph1n1,0,4.5601,0.6461
7681-93-8,pa_ph1n1,1,4.0574,1.1574
29342-05-0,pa_ph1n1,0,4.5096,1.0635
41621-49-2,pa_ph1n1,0,4.2459,0.6125
61318-91-0,pa_ph1n1,1,4.575,1.6949
171228-49-2,pa_ph1n1,0,5.0983,1.4662
536-43-6,pa_ph1n1,0,4.3206,0.689
53123-88-9,pa_ph1n1,0,3.4689,1.0477
23593-75-1,pa_ph1n1,0,4.9401,2.4202
64872-77-1,pa_ph1n1,1,4.1951,0.8857
91161-71-6,pa_ph1n1,0,4.528,1.0507
65473-14-5,pa_ph1n1,1,4.2389,1.0215
78628-80-5,pa_ph1n1,0,4.5154,0.5783
1397-89-3,pa_ph1n1,0,4.0098,0.9687
57852-57-0,pa_ph1n1,1,4.3813,0.6294
179463-17-3,pa_ph1n1,1,3.712,1.2322
1070-11-7,pa_ph1n1,1,4.2656,1.044
101827-46-7,pa_ph1n1,1,4.1174,0.1511
137234-62-9,pa_ph1n1,0,4.5903,0.6593
86386-73-4,pa_ph1n1,0,4.2123,0.5748
99592-39-9,pa_ph1n1,1,4.0954,1.204
65899-73-2,pa_ph1n1,0,4.1074,0.9491
24280-93-1,pa_ph1n1,0,4.3569,0.894
540737-29-9,pa_ph1n1,1,4.1393,0.5324
84625-61-6,pa_ph1n1,0,4.4287,1.548
65-85-0,pa_ph1n1,0,3.8584,1.1231
24169-02-6,pa_ph1n1,0,4.4271,1.1808
22916-47-8,pa_ph1n1,1,3.7649,2.2408
22832-87-7,pa_ph1n1,0,4.1166,1.4064
17321-77-6,pa_ph1n1,1,4.9971,1.3957
74011-58-8,pa_ph1n1,1,4.2584,0.9172
72509-76-3,pa_ph1n1,0,5.0469,1.3865
173334-58-2,pa_ph1n1,0,3.8429,1.1599
941678-49-5,pa_ph1n1,1,4.6077,0.4527
127-79-7,pa_ph1n1,1,4.2665,0.5272
13010-47-4,pa_ph1n1,1,5.6458,0.9775
54527-84-3,pa_ph1n1,1,4.3974,0.7629
90357-06-5,pa_ph1n1,1,4.8009,1.2499
136572-09-3,pa_ph1n1,1,4.2067,2.11
1177-87-3,pa_ph1n1,0,4.5057,1.2193
1264-72-8,pa_ph1n1,0,3.8764,1.0267
54-85-3,pa_ph1n1,1,4.0009,0.8089
23541-50-6,pa_ph1n1,0,4.2717,0.8062
943319-70-8,pa_ph1n1,0,4.7633,1.1874
150399-23-8,pa_ph1n1,1,4.6059,2.2467
475207-59-1,pa_ph1n1,1,4.0608,1.1568
1247-42-3,pa_ph1n1,1,5.6219,2.4194
73963-72-1,pa_ph1n1,1,4.4105,1.3695
668270-12-0,pa_ph1n1,0,4.9842,1.4591
154-42-7,pa_ph1n1,0,4.7686,0.9112
129497-78-5,pa_ph1n1,1,3.1615,2.4141
220127-57-1,pa_ph1n1,1,4.7718,1.0889
184475-35-2,pa_ph1n1,0,4.7081,0.758
66085-59-4,pa_ph1n1,1,4.5132,2.4865
75330-75-5,pa_ph1n1,0,4.3606,0.766
52-01-7,pa_ph1n1,0,4.6018,0.7669
79902-63-9,pa_ph1n1,1,4.3743,0.8376
78246-49-8,pa_ph1n1,1,4.1878,1.4834
97682-44-5,pa_ph1n1,0,4.3187,1.7488
65928-58-7,pa_ph1n1,0,4.7001,0.6222
63-74-1,pa_ph1n1,1,3.8222,0.5607
73590-58-6,pa_ph1n1,1,4.8311,0.892
34552-83-5,pa_ph1n1,1,4.198,0.8018
123318-82-1,pa_ph1n1,0,4.1256,1.0716
129453-61-8,pa_ph1n1,0,4.2383,0.6277
183133-96-2,pa_ph1n1,1,3.7677,0.7493
302962-49-8,pa_ph1n1,1,4.2783,1.0575
474-25-9,pa_ph1n1,0,4.4436,0.7375
298-46-4,pa_ph1n1,0,4.1146,0.8077
877399-52-5,pa_ph1n1,1,3.9817,1.6919
183319-69-9,pa_ph1n1,0,4.6652,0.6125
179324-69-7,pa_ph1n1,1,4.9004,0.8304
130-61-0,pa_ph1n1,1,4.0971,0.7873
879085-55-9,pa_ph1n1,1,4.2599,0.7731
68-35-9,pa_ph1n1,1,4.1558,0.7951
82640-04-8,pa_ph1n1,1,4.6384,1.8726
162635-04-3,pa_ph1n1,0,3.6646,1.1746
19237-84-4,pa_ph1n1,0,4.8113,1.5463
50-35-1,pa_ph1n1,1,4.3484,1.2032
1098-60-8,pa_ph1n1,0,4.3314,0.6966
873054-44-5,pa_ph1n1,0,4.2502,1.0217
