id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,pa_ph1n1,1,4.4599,0.838
99464-64-9,pa_ph1n1,0,4.4195,1.0248
23180-57-6,pa_ph1n1,0,4.4553,0.7268
50-27-1,pa_ph1n1,1,4.4424,1.0137
2627-69-2,pa_ph1n1,1,4.4618,1.0413
58186-27-9,pa_ph1n1,0,4.4716,0.8601
93793-83-0,pa_ph1n1,1,4.3982,1.1343
39133-31-8,pa_ph1n1,0,4.4457,0.9632
34552-84-6,pa_ph1n1,0,4.4799,1.404
112885-42-4,pa_ph1n1,1,4.4614,1.2481
51803-78-2,pa_ph1n1,1,4.5215,1.2482
141505-33-1,pa_ph1n1,1,4.4812,1.0165
183320-51-6,pa_ph1n1,0,4.4955,1.1467
101477-54-7,pa_ph1n1,1,4.4536,1.1544
50-02-2,pa_ph1n1,1,4.4347,2.5812
96829-58-2,pa_ph1n1,1,4.4975,0.992
98-96-4,pa_ph1n1,0,4.5693,1.4207
541-15-1,pa_ph1n1,1,4.4607,1.4542
65277-42-1,pa_ph1n1,1,4.5006,1.0274
70-00-8,pa_ph1n1,0,4.3776,1.9976
39809-25-1,pa_ph1n1,0,4.4243,1.161
54-42-2,pa_ph1n1,0,4.4262,2.181
124832-27-5,pa_ph1n1,0,4.3911,1.4131
5536-17-4,pa_ph1n1,0,4.5102,1.0408
147-94-4,pa_ph1n1,1,4.5239,1.1226
99011-02-6,pa_ph1n1,0,4.5274,1.0159
70288-86-7,pa_ph1n1,0,4.4735,1.1055
59277-89-3,pa_ph1n1,0,4.4851,1.0993
82410-32-0,pa_ph1n1,0,4.4723,1.4556
104227-87-4,pa_ph1n1,1,4.4308,0.8747
50-91-9,pa_ph1n1,1,4.4965,2.1655
79-57-2,pa_ph1n1,1,4.5147,1.262
6153-64-6,pa_ph1n1,0,4.5133,1.2363
518048-05-0,pa_ph1n1,1,4.5685,2.0335
161735-79-1,pa_ph1n1,1,4.5252,0.9556
13492-01-8,pa_ph1n1,0,4.5714,1.3425
549-18-8,pa_ph1n1,1,4.486,0.6894
79794-75-5,pa_ph1n1,1,4.511,1.1357
79307-93-0,pa_ph1n1,1,4.4747,1.3165
100299-08-9,pa_ph1n1,0,4.4887,1.0466
980-71-2,pa_ph1n1,0,4.4894,1.1136
122883-93-6,pa_ph1n1,1,4.4726,0.8412
76824-35-6,pa_ph1n1,1,4.5079,0.8982
154-69-8,pa_ph1n1,0,4.511,1.2769
2192-20-3,pa_ph1n1,1,4.4798,0.9818
132-20-7,pa_ph1n1,0,4.491,1.0267
25332-39-2,pa_ph1n1,0,4.4898,1.0357
1104-22-9,pa_ph1n1,1,4.4761,1.13
76963-41-2,pa_ph1n1,0,4.4652,0.9117
521-78-8,pa_ph1n1,1,4.505,0.9013
14976-57-9,pa_ph1n1,0,4.5159,1.253
10347-81-6,pa_ph1n1,0,4.4493,1.2839
100643-71-8,pa_ph1n1,1,4.4869,1.1338
132-18-3,pa_ph1n1,1,4.4919,0.9866
83881-52-1,pa_ph1n1,0,4.3712,1.2344
2508-72-7,pa_ph1n1,0,4.4778,1.1782
66357-59-3,pa_ph1n1,1,4.4769,0.835
140462-76-6,pa_ph1n1,1,4.3748,1.8314
3978-86-7,pa_ph1n1,1,4.4916,1.2353
113-92-8,pa_ph1n1,1,4.485,1.0903
59-33-6,pa_ph1n1,0,4.5142,1.185
190786-44-8,pa_ph1n1,1,4.3375,1.5516
147-24-0,pa_ph1n1,0,4.4764,1.2045
562-10-7,pa_ph1n1,0,4.4775,1.029
144598-75-4,pa_ph1n1,0,4.4392,1.5003
137-58-6,pa_ph1n1,1,4.4982,1.1401
85650-52-8,pa_ph1n1,0,4.5037,1.157
34580-14-8,pa_ph1n1,1,4.5033,1.3907
132-17-2,pa_ph1n1,1,4.4927,1.808
113-59-7,pa_ph1n1,1,4.5122,1.1146
51481-61-9,pa_ph1n1,1,4.569,1.5721
4682-36-4,pa_ph1n1,0,4.4691,0.9857
97240-79-4,pa_ph1n1,1,4.4539,1.4589
25451-15-4,pa_ph1n1,1,4.4798,0.8887
41100-52-1,pa_ph1n1,0,4.5355,1.3506
1508-76-5,pa_ph1n1,1,4.4599,1.0684
68-41-7,pa_ph1n1,1,4.5962,1.6632
50357-45-4,pa_ph1n1,0,4.5283,1.0236
7681-93-8,pa_ph1n1,1,4.5213,1.2405
29342-05-0,pa_ph1n1,0,4.5152,1.3688
41621-49-2,pa_ph1n1,0,4.508,1.3125
61318-91-0,pa_ph1n1,1,4.5214,1.0108
171228-49-2,pa_ph1n1,0,4.4254,1.4641
536-43-6,pa_ph1n1,0,4.496,1.1361
53123-88-9,pa_ph1n1,0,4.3931,2.182
23593-75-1,pa_ph1n1,0,4.5349,0.937
64872-77-1,pa_ph1n1,1,4.4971,0.8306
91161-71-6,pa_ph1n1,0,4.501,1.1227
65473-14-5,pa_ph1n1,1,4.4839,0.776
78628-80-5,pa_ph1n1,0,4.5,1.1308
1397-89-3,pa_ph1n1,0,4.3371,2.5509
57852-57-0,pa_ph1n1,1,4.5024,1.2335
179463-17-3,pa_ph1n1,1,4.3515,1.9429
1070-11-7,pa_ph1n1,1,4.5289,1.5037
101827-46-7,pa_ph1n1,1,4.4928,0.9362
137234-62-9,pa_ph1n1,0,4.4614,1.2743
86386-73-4,pa_ph1n1,0,4.448,0.9508
99592-39-9,pa_ph1n1,1,4.4896,0.8515
65899-73-2,pa_ph1n1,0,4.4726,0.7499
24280-93-1,pa_ph1n1,0,4.5396,1.6296
540737-29-9,pa_ph1n1,1,4.4482,1.0931
84625-61-6,pa_ph1n1,0,4.4828,1.5813
65-85-0,pa_ph1n1,0,4.5602,1.7867
24169-02-6,pa_ph1n1,0,4.4856,0.6649
22916-47-8,pa_ph1n1,1,4.4798,0.8022
22832-87-7,pa_ph1n1,0,4.4944,0.8539
17321-77-6,pa_ph1n1,1,4.5064,0.8296
74011-58-8,pa_ph1n1,1,4.4629,1.2078
72509-76-3,pa_ph1n1,0,4.5136,0.9223
173334-58-2,pa_ph1n1,0,4.3929,1.2439
941678-49-5,pa_ph1n1,1,4.4898,1.1419
127-79-7,pa_ph1n1,1,4.4667,1.1724
13010-47-4,pa_ph1n1,1,4.5509,1.3096
54527-84-3,pa_ph1n1,1,4.4851,0.717
90357-06-5,pa_ph1n1,1,4.3984,1.1529
136572-09-3,pa_ph1n1,1,4.4441,1.2308
1177-87-3,pa_ph1n1,0,4.4027,2.6591
1264-72-8,pa_ph1n1,0,4.2616,2.5733
54-85-3,pa_ph1n1,1,4.5839,1.516
23541-50-6,pa_ph1n1,0,4.4906,1.1575
943319-70-8,pa_ph1n1,0,4.3915,1.1407
150399-23-8,pa_ph1n1,1,4.3815,1.8659
475207-59-1,pa_ph1n1,1,4.4335,0.819
1247-42-3,pa_ph1n1,1,4.4858,1.3986
73963-72-1,pa_ph1n1,1,4.4592,0.8158
668270-12-0,pa_ph1n1,0,4.5059,1.2815
154-42-7,pa_ph1n1,0,4.5878,1.7971
129497-78-5,pa_ph1n1,1,4.5003,1.6399
220127-57-1,pa_ph1n1,1,4.44,0.7454
184475-35-2,pa_ph1n1,0,4.5023,1.0527
66085-59-4,pa_ph1n1,1,4.4884,1.1507
75330-75-5,pa_ph1n1,0,4.53,1.2394
52-01-7,pa_ph1n1,0,4.4454,0.9357
79902-63-9,pa_ph1n1,1,4.5453,1.4603
78246-49-8,pa_ph1n1,1,4.4783,1.2508
97682-44-5,pa_ph1n1,0,4.4445,1.2296
65928-58-7,pa_ph1n1,0,4.4721,1.4471
63-74-1,pa_ph1n1,1,4.5098,1.7707
73590-58-6,pa_ph1n1,1,4.5306,0.8512
34552-83-5,pa_ph1n1,1,4.4784,0.9121
123318-82-1,pa_ph1n1,0,4.5118,1.2546
129453-61-8,pa_ph1n1,0,4.3968,1.7397
183133-96-2,pa_ph1n1,1,4.2671,2.1288
302962-49-8,pa_ph1n1,1,4.4924,1.3865
474-25-9,pa_ph1n1,0,4.4256,1.1112
298-46-4,pa_ph1n1,0,4.5297,0.9525
877399-52-5,pa_ph1n1,1,4.4645,1.5665
183319-69-9,pa_ph1n1,0,4.514,0.8887
179324-69-7,pa_ph1n1,1,4.4649,1.1172
130-61-0,pa_ph1n1,1,4.5567,1.0516
879085-55-9,pa_ph1n1,1,4.538,0.9797
68-35-9,pa_ph1n1,1,4.472,1.4371
82640-04-8,pa_ph1n1,1,4.5245,1.2517
162635-04-3,pa_ph1n1,0,4.4021,2.0836
19237-84-4,pa_ph1n1,0,4.5327,1.3499
50-35-1,pa_ph1n1,1,4.5271,1.1685
1098-60-8,pa_ph1n1,0,4.5302,0.918
873054-44-5,pa_ph1n1,0,4.4391,1.2097
50-55-5,pa_ph1n1,1,4.4988,1.1901
152459-95-5,pa_ph1n1,0,4.5031,1.0468
127-07-1,pa_ph1n1,1,4.4934,1.1336
153559-49-0,pa_ph1n1,1,4.4836,1.6574
1264-62-6,pa_ph1n1,1,4.3771,1.4959
85622-93-1,pa_ph1n1,1,4.5267,1.3008
159351-69-6,pa_ph1n1,0,4.4079,2.043
117772-70-0,pa_ph1n1,0,4.3961,1.1187
84371-65-3,pa_ph1n1,1,4.4154,1.421
171599-83-0,pa_ph1n1,1,4.4447,0.8448
595-33-5,pa_ph1n1,1,4.4401,1.8051
144-83-2,pa_ph1n1,0,4.4584,1.0486
19774-82-4,pa_ph1n1,1,4.5842,1.4275
83-43-2,pa_ph1n1,1,4.5202,1.8947
127-56-0,pa_ph1n1,1,4.4905,1.1546
83905-01-5,pa_ph1n1,0,4.3625,1.2171
119413-54-6,pa_ph1n1,1,4.5605,1.4817
118292-40-3,pa_ph1n1,0,4.5347,1.355
144701-48-4,pa_ph1n1,1,4.4137,1.8843
163222-33-1,pa_ph1n1,1,4.4569,1.0041
641571-10-0,pa_ph1n1,1,4.522,1.0066
220620-09-7,pa_ph1n1,1,4.3765,1.2743
108341-18-0,pa_ph1n1,1,4.5679,1.4184
21829-25-4,pa_ph1n1,0,4.51,1.7089
1069-66-5,pa_ph1n1,1,4.5262,1.2516
95635-56-6,pa_ph1n1,0,4.4685,1.3386
2447-57-6,pa_ph1n1,1,4.4854,1.0977
