id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,pa_ph1n1,1,4.119,1.8981
99464-64-9,pa_ph1n1,0,4.3268,0.9329
23180-57-6,pa_ph1n1,0,4.5106,1.0225
50-27-1,pa_ph1n1,1,4.4912,1.1748
2627-69-2,pa_ph1n1,1,4.0154,0.9446
58186-27-9,pa_ph1n1,0,4.5977,0.869
93793-83-0,pa_ph1n1,1,4.2505,2.3659
39133-31-8,pa_ph1n1,0,4.5932,1.4165
34552-84-6,pa_ph1n1,0,4.4382,1.2164
112885-42-4,pa_ph1n1,1,5.3619,4.2173
51803-78-2,pa_ph1n1,1,3.5245,4.7931
141505-33-1,pa_ph1n1,1,4.3314,1.3363
183320-51-6,pa_ph1n1,0,4.7182,1.5351
101477-54-7,pa_ph1n1,1,4.1133,1.4503
50-02-2,pa_ph1n1,1,3.5117,2.794
96829-58-2,pa_ph1n1,1,4.1444,1.2259
98-96-4,pa_ph1n1,0,4.2916,1.4304
541-15-1,pa_ph1n1,1,4.4735,1.3513
65277-42-1,pa_ph1n1,1,4.6778,1.8568
70-00-8,pa_ph1n1,0,4.1173,1.3727
39809-25-1,pa_ph1n1,0,5.1654,1.9134
54-42-2,pa_ph1n1,0,4.1986,1.4815
124832-27-5,pa_ph1n1,0,4.765,2.1582
5536-17-4,pa_ph1n1,0,4.3898,1.1043
147-94-4,pa_ph1n1,1,4.8854,2.6894
99011-02-6,pa_ph1n1,0,4.244,1.5479
70288-86-7,pa_ph1n1,0,4.2334,2.1145
59277-89-3,pa_ph1n1,0,4.6104,1.2479
82410-32-0,pa_ph1n1,0,4.4079,1.3602
104227-87-4,pa_ph1n1,1,5.1532,0.2338
50-91-9,pa_ph1n1,1,3.8336,1.4357
79-57-2,pa_ph1n1,1,4.836,0.219
6153-64-6,pa_ph1n1,0,4.9772,1.5131
518048-05-0,pa_ph1n1,1,4.522,1.623
161735-79-1,pa_ph1n1,1,3.9956,3.6043
13492-01-8,pa_ph1n1,0,4.5036,1.3084
549-18-8,pa_ph1n1,1,4.0608,2.3556
79794-75-5,pa_ph1n1,1,4.8721,2.4503
79307-93-0,pa_ph1n1,1,4.4234,0.3653
100299-08-9,pa_ph1n1,0,4.4579,1.7576
980-71-2,pa_ph1n1,0,4.4653,1.3968
122883-93-6,pa_ph1n1,1,5.0343,1.2492
76824-35-6,pa_ph1n1,1,4.497,2.0341
154-69-8,pa_ph1n1,0,4.6788,1.766
2192-20-3,pa_ph1n1,1,4.5735,1.3253
132-20-7,pa_ph1n1,0,4.0036,1.6829
25332-39-2,pa_ph1n1,0,4.4834,0.8849
1104-22-9,pa_ph1n1,1,4.093,1.6729
76963-41-2,pa_ph1n1,0,4.4736,1.0345
521-78-8,pa_ph1n1,1,4.9217,2.1347
14976-57-9,pa_ph1n1,0,4.799,1.173
10347-81-6,pa_ph1n1,0,4.5501,0.9048
