id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,pa_ph1n1,1,4.6326,1.1445
99464-64-9,pa_ph1n1,0,4.2936,1.0459
23180-57-6,pa_ph1n1,0,4.5621,2.0954
50-27-1,pa_ph1n1,1,4.4279,0.9314
2627-69-2,pa_ph1n1,1,4.3647,0.799
58186-27-9,pa_ph1n1,0,4.3367,1.5132
93793-83-0,pa_ph1n1,1,4.4768,1.1504
39133-31-8,pa_ph1n1,0,4.4867,0.7376
34552-84-6,pa_ph1n1,0,4.4195,1.3159
112885-42-4,pa_ph1n1,1,4.4449,1.2787
51803-78-2,pa_ph1n1,1,4.4374,1.2906
141505-33-1,pa_ph1n1,1,4.3089,1.3591
183320-51-6,pa_ph1n1,0,4.6961,0.9329
101477-54-7,pa_ph1n1,1,4.2936,0.9058
50-02-2,pa_ph1n1,1,4.2762,1.8975
96829-58-2,pa_ph1n1,1,4.3117,1.9458
98-96-4,pa_ph1n1,0,4.3168,1.069
541-15-1,pa_ph1n1,1,4.333,1.1634
65277-42-1,pa_ph1n1,1,4.4617,1.4021
70-00-8,pa_ph1n1,0,4.3428,1.6404
39809-25-1,pa_ph1n1,0,4.5436,1.0464
54-42-2,pa_ph1n1,0,4.5263,1.6475
124832-27-5,pa_ph1n1,0,4.5653,1.4842
5536-17-4,pa_ph1n1,0,4.5428,1.4935
147-94-4,pa_ph1n1,1,4.4515,0.6546
99011-02-6,pa_ph1n1,0,4.5927,1.54
70288-86-7,pa_ph1n1,0,3.6484,3.0863
59277-89-3,pa_ph1n1,0,4.5487,1.2431
82410-32-0,pa_ph1n1,0,4.5517,1.3862
104227-87-4,pa_ph1n1,1,4.646,1.2853
50-91-9,pa_ph1n1,1,4.4588,2.0508
79-57-2,pa_ph1n1,1,4.4114,0.9521
6153-64-6,pa_ph1n1,0,4.3646,0.7955
518048-05-0,pa_ph1n1,1,4.1382,4.1407
161735-79-1,pa_ph1n1,1,4.5844,1.1636
13492-01-8,pa_ph1n1,0,4.7299,1.1628
