id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,pa_ph1n1,1,4.2303,2.4433
99464-64-9,pa_ph1n1,0,4.3518,0.7661
23180-57-6,pa_ph1n1,0,4.7479,1.074
50-27-1,pa_ph1n1,1,4.205,0.3917
2627-69-2,pa_ph1n1,1,3.9341,1.1639
58186-27-9,pa_ph1n1,0,4.6822,1.1869
93793-83-0,pa_ph1n1,1,4.1085,1.1258
39133-31-8,pa_ph1n1,0,4.5281,0.8847
34552-84-6,pa_ph1n1,0,4.9864,1.2689
112885-42-4,pa_ph1n1,1,5.4031,3.4803
51803-78-2,pa_ph1n1,1,3.4036,3.2309
141505-33-1,pa_ph1n1,1,4.4793,0.8848
183320-51-6,pa_ph1n1,0,4.7283,0.5125
101477-54-7,pa_ph1n1,1,4.1366,1.3015
50-02-2,pa_ph1n1,1,3.5421,2.821
96829-58-2,pa_ph1n1,1,3.8244,0.3478
98-96-4,pa_ph1n1,0,3.9157,0.8521
541-15-1,pa_ph1n1,1,4.3408,0.7949
65277-42-1,pa_ph1n1,1,4.7261,1.1916
70-00-8,pa_ph1n1,0,4.0635,0.9197
39809-25-1,pa_ph1n1,0,4.5345,1.122
54-42-2,pa_ph1n1,0,4.1825,1.0147
124832-27-5,pa_ph1n1,0,4.6016,1.2533
5536-17-4,pa_ph1n1,0,4.2065,1.273
147-94-4,pa_ph1n1,1,4.9474,2.2632
99011-02-6,pa_ph1n1,0,4.358,1.0937
70288-86-7,pa_ph1n1,0,4.1328,1.0935
59277-89-3,pa_ph1n1,0,4.4241,1.4056
82410-32-0,pa_ph1n1,0,4.3326,1.4041
104227-87-4,pa_ph1n1,1,5.1329,0.2682
50-91-9,pa_ph1n1,1,3.8456,1.3211
79-57-2,pa_ph1n1,1,4.7778,1.2861
6153-64-6,pa_ph1n1,0,4.7483,0.8948
518048-05-0,pa_ph1n1,1,4.4805,1.1724
161735-79-1,pa_ph1n1,1,4.0315,3.574
13492-01-8,pa_ph1n1,0,4.7174,1.1059
549-18-8,pa_ph1n1,1,4.0275,2.3868
79794-75-5,pa_ph1n1,1,4.9316,1.9241
79307-93-0,pa_ph1n1,1,4.4168,0.4017
100299-08-9,pa_ph1n1,0,4.4474,1.2795
980-71-2,pa_ph1n1,0,4.33,0.7613
122883-93-6,pa_ph1n1,1,5.0711,0.6536
76824-35-6,pa_ph1n1,1,4.7468,0.9725
154-69-8,pa_ph1n1,0,4.5085,1.8104
2192-20-3,pa_ph1n1,1,4.9969,1.5888
132-20-7,pa_ph1n1,0,4.2935,1.022
25332-39-2,pa_ph1n1,0,4.8004,1.3875
1104-22-9,pa_ph1n1,1,4.0086,0.8673
76963-41-2,pa_ph1n1,0,4.4403,0.544
521-78-8,pa_ph1n1,1,4.9981,1.6327
14976-57-9,pa_ph1n1,0,4.8794,0.7283
10347-81-6,pa_ph1n1,0,4.4452,0.7739
100643-71-8,pa_ph1n1,1,4.018,0.8624
132-18-3,pa_ph1n1,1,3.9515,1.9944
83881-52-1,pa_ph1n1,0,4.7688,0.9928
2508-72-7,pa_ph1n1,0,4.2098,1.2218
66357-59-3,pa_ph1n1,1,4.8531,0.792
140462-76-6,pa_ph1n1,1,4.6324,1.3197
3978-86-7,pa_ph1n1,1,3.7424,1.2076
113-92-8,pa_ph1n1,1,4.2042,1.8278
59-33-6,pa_ph1n1,0,4.8473,0.9973
190786-44-8,pa_ph1n1,1,4.9,2.5425
147-24-0,pa_ph1n1,0,4.2958,0.93
562-10-7,pa_ph1n1,0,4.4435,0.7867
144598-75-4,pa_ph1n1,0,4.4455,0.6005
137-58-6,pa_ph1n1,1,4.888,3.351
85650-52-8,pa_ph1n1,0,4.3854,0.9613
34580-14-8,pa_ph1n1,1,4.4219,0.6629
132-17-2,pa_ph1n1,1,4.3939,2.0586
113-59-7,pa_ph1n1,1,4.4544,1.3587
51481-61-9,pa_ph1n1,1,4.4328,0.3259
4682-36-4,pa_ph1n1,0,4.1132,0.5934
97240-79-4,pa_ph1n1,1,4.1562,2.09
25451-15-4,pa_ph1n1,1,5.3195,2.2348
41100-52-1,pa_ph1n1,0,4.4212,1.0369
1508-76-5,pa_ph1n1,1,3.8366,2.2861
68-41-7,pa_ph1n1,1,3.7062,1.1014
50357-45-4,pa_ph1n1,0,4.5845,0.8919
7681-93-8,pa_ph1n1,1,4.2408,2.1434
29342-05-0,pa_ph1n1,0,4.3904,1.228
41621-49-2,pa_ph1n1,0,4.2281,0.7458
61318-91-0,pa_ph1n1,1,4.6165,2.2436
171228-49-2,pa_ph1n1,0,5.1877,1.9036
536-43-6,pa_ph1n1,0,4.5222,0.8049
53123-88-9,pa_ph1n1,0,3.532,0.9058
23593-75-1,pa_ph1n1,0,4.9391,1.9523
64872-77-1,pa_ph1n1,1,4.2636,1.2008
91161-71-6,pa_ph1n1,0,4.4364,1.1247
65473-14-5,pa_ph1n1,1,4.2753,0.8835
78628-80-5,pa_ph1n1,0,4.4352,1.229
1397-89-3,pa_ph1n1,0,3.9994,1.2987
57852-57-0,pa_ph1n1,1,4.4169,0.8908
179463-17-3,pa_ph1n1,1,3.7562,1.0683
1070-11-7,pa_ph1n1,1,4.2627,1.1539
101827-46-7,pa_ph1n1,1,4.1302,0.4367
137234-62-9,pa_ph1n1,0,4.6121,1.1339
86386-73-4,pa_ph1n1,0,4.2827,0.9096
99592-39-9,pa_ph1n1,1,4.2262,0.8892
65899-73-2,pa_ph1n1,0,4.1426,0.9769
24280-93-1,pa_ph1n1,0,4.5314,0.6505
540737-29-9,pa_ph1n1,1,4.1115,0.3685
84625-61-6,pa_ph1n1,0,4.4952,2.0601
65-85-0,pa_ph1n1,0,3.8264,0.9438
24169-02-6,pa_ph1n1,0,4.3639,1.1997
22916-47-8,pa_ph1n1,1,3.7863,2.6548
22832-87-7,pa_ph1n1,0,4.1827,1.2992
17321-77-6,pa_ph1n1,1,4.9843,1.5713
74011-58-8,pa_ph1n1,1,4.2616,0.8423
72509-76-3,pa_ph1n1,0,5.077,1.0378
173334-58-2,pa_ph1n1,0,3.7369,1.4223
941678-49-5,pa_ph1n1,1,4.6223,0.3542
127-79-7,pa_ph1n1,1,4.3711,0.6424
13010-47-4,pa_ph1n1,1,5.5966,1.838
54527-84-3,pa_ph1n1,1,4.4243,1.0992
90357-06-5,pa_ph1n1,1,4.6976,1.7715
136572-09-3,pa_ph1n1,1,4.1451,1.8423
1177-87-3,pa_ph1n1,0,4.4039,1.2623
1264-72-8,pa_ph1n1,0,4.137,1.607
54-85-3,pa_ph1n1,1,3.9941,1.2684
23541-50-6,pa_ph1n1,0,4.4041,0.7825
943319-70-8,pa_ph1n1,0,4.7429,0.987
150399-23-8,pa_ph1n1,1,4.5655,2.5375
475207-59-1,pa_ph1n1,1,4.1031,1.6026
1247-42-3,pa_ph1n1,1,5.6319,2.5011
73963-72-1,pa_ph1n1,1,4.4587,1.4599
668270-12-0,pa_ph1n1,0,4.8484,1.3225
