id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,pa_ph1n1,1,4.4108,1.2665
99464-64-9,pa_ph1n1,0,4.3653,1.0343
23180-57-6,pa_ph1n1,0,4.3593,1.3132
50-27-1,pa_ph1n1,1,4.3851,1.1022
2627-69-2,pa_ph1n1,1,4.3621,1.1634
58186-27-9,pa_ph1n1,0,4.4553,1.2671
93793-83-0,pa_ph1n1,1,4.4751,1.214
39133-31-8,pa_ph1n1,0,4.5457,1.3437
34552-84-6,pa_ph1n1,0,4.44,1.5796
112885-42-4,pa_ph1n1,1,4.5717,1.4418
51803-78-2,pa_ph1n1,1,4.4039,1.3054
141505-33-1,pa_ph1n1,1,4.4166,1.7539
183320-51-6,pa_ph1n1,0,4.615,1.3012
101477-54-7,pa_ph1n1,1,4.4364,0.7213
50-02-2,pa_ph1n1,1,4.2651,2.3624
96829-58-2,pa_ph1n1,1,4.3984,1.2811
98-96-4,pa_ph1n1,0,4.5275,1.3534
541-15-1,pa_ph1n1,1,4.3625,1.2663
65277-42-1,pa_ph1n1,1,4.4714,1.1728
70-00-8,pa_ph1n1,0,4.411,1.4884
39809-25-1,pa_ph1n1,0,4.4469,1.2275
54-42-2,pa_ph1n1,0,4.4866,1.7965
124832-27-5,pa_ph1n1,0,4.4389,1.5881
5536-17-4,pa_ph1n1,0,4.3928,1.3942
147-94-4,pa_ph1n1,1,4.4481,0.711
99011-02-6,pa_ph1n1,0,4.4026,1.42
70288-86-7,pa_ph1n1,0,4.4338,0.939
59277-89-3,pa_ph1n1,0,4.4022,1.0562
82410-32-0,pa_ph1n1,0,4.4383,1.3078
104227-87-4,pa_ph1n1,1,4.5894,1.8605
50-91-9,pa_ph1n1,1,4.4774,2.6581
79-57-2,pa_ph1n1,1,4.55,0.8792
6153-64-6,pa_ph1n1,0,4.5489,0.8343
518048-05-0,pa_ph1n1,1,4.3304,4.5426
161735-79-1,pa_ph1n1,1,4.573,1.1649
13492-01-8,pa_ph1n1,0,4.5672,1.0821
