id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,pa_ph1n1,1,4.1129,1.5164
99464-64-9,pa_ph1n1,0,4.0669,1.11
23180-57-6,pa_ph1n1,0,4.4201,0.5943
50-27-1,pa_ph1n1,1,4.3802,1.2908
2627-69-2,pa_ph1n1,1,4.2949,1.1821
58186-27-9,pa_ph1n1,0,4.7021,1.0556
93793-83-0,pa_ph1n1,1,4.2054,1.8634
39133-31-8,pa_ph1n1,0,4.4731,1.1216
34552-84-6,pa_ph1n1,0,4.4887,1.0226
112885-42-4,pa_ph1n1,1,5.4902,3.0134
51803-78-2,pa_ph1n1,1,3.4111,4.0726
141505-33-1,pa_ph1n1,1,4.4684,1.1249
183320-51-6,pa_ph1n1,0,4.5744,1.0255
101477-54-7,pa_ph1n1,1,4.1084,1.1627
50-02-2,pa_ph1n1,1,3.5125,2.8281
96829-58-2,pa_ph1n1,1,4.0976,0.7846
98-96-4,pa_ph1n1,0,4.3358,1.1215
541-15-1,pa_ph1n1,1,4.3345,0.9198
65277-42-1,pa_ph1n1,1,4.6425,2.1516
70-00-8,pa_ph1n1,0,4.4786,1.013
39809-25-1,pa_ph1n1,0,4.7042,1.5448
54-42-2,pa_ph1n1,0,4.6753,1.0095
124832-27-5,pa_ph1n1,0,4.5698,1.1762
5536-17-4,pa_ph1n1,0,4.2842,1.6376
147-94-4,pa_ph1n1,1,4.9202,2.7596
99011-02-6,pa_ph1n1,0,4.7038,1.749
70288-86-7,pa_ph1n1,0,3.8514,1.659
59277-89-3,pa_ph1n1,0,4.4044,1.6495
82410-32-0,pa_ph1n1,0,4.3152,1.9004
104227-87-4,pa_ph1n1,1,5.1547,0.607
50-91-9,pa_ph1n1,1,3.8969,2.6164
79-57-2,pa_ph1n1,1,4.8658,0.3416
6153-64-6,pa_ph1n1,0,4.9411,0.7128
518048-05-0,pa_ph1n1,1,4.4255,1.5498
161735-79-1,pa_ph1n1,1,4.1463,4.6776
13492-01-8,pa_ph1n1,0,4.5164,1.6451
549-18-8,pa_ph1n1,1,4.0746,2.5029
79794-75-5,pa_ph1n1,1,4.8258,2.7768
79307-93-0,pa_ph1n1,1,4.4491,1.0095
100299-08-9,pa_ph1n1,0,4.5346,1.7398
980-71-2,pa_ph1n1,0,4.2905,0.9986
122883-93-6,pa_ph1n1,1,5.1338,0.4453
76824-35-6,pa_ph1n1,1,4.5744,1.952
154-69-8,pa_ph1n1,0,4.714,1.5201
2192-20-3,pa_ph1n1,1,4.995,1.9456
132-20-7,pa_ph1n1,0,4.3031,1.1895
25332-39-2,pa_ph1n1,0,4.8114,2.2123
1104-22-9,pa_ph1n1,1,4.0419,1.3711
76963-41-2,pa_ph1n1,0,4.3808,1.1158
521-78-8,pa_ph1n1,1,5.0419,1.5207
14976-57-9,pa_ph1n1,0,4.936,1.5329
10347-81-6,pa_ph1n1,0,4.4496,1.031
100643-71-8,pa_ph1n1,1,4.1187,2.0866
132-18-3,pa_ph1n1,1,4.168,3.0527
83881-52-1,pa_ph1n1,0,4.9087,2.1477
2508-72-7,pa_ph1n1,0,4.2268,0.9243
66357-59-3,pa_ph1n1,1,4.9154,0.2106
140462-76-6,pa_ph1n1,1,4.526,1.8982
3978-86-7,pa_ph1n1,1,3.7831,1.9982
113-92-8,pa_ph1n1,1,4.1415,2.2142
59-33-6,pa_ph1n1,0,4.7013,1.5281
190786-44-8,pa_ph1n1,1,4.9955,1.5899
147-24-0,pa_ph1n1,0,4.3198,1.0002
562-10-7,pa_ph1n1,0,4.4604,0.7007
144598-75-4,pa_ph1n1,0,4.5198,1.0461
137-58-6,pa_ph1n1,1,4.8482,3.7366
85650-52-8,pa_ph1n1,0,4.705,1.23
34580-14-8,pa_ph1n1,1,4.4354,0.7855
132-17-2,pa_ph1n1,1,4.2857,0.8599
113-59-7,pa_ph1n1,1,4.7364,2.6813
51481-61-9,pa_ph1n1,1,4.4773,0.7207
4682-36-4,pa_ph1n1,0,4.1354,0.7883
97240-79-4,pa_ph1n1,1,4.1544,2.4677
25451-15-4,pa_ph1n1,1,5.3528,2.7863
41100-52-1,pa_ph1n1,0,4.3995,1.1809
1508-76-5,pa_ph1n1,1,3.8186,2.4752
68-41-7,pa_ph1n1,1,3.6719,0.9992
50357-45-4,pa_ph1n1,0,4.1492,0.595
7681-93-8,pa_ph1n1,1,4.3047,2.5067
29342-05-0,pa_ph1n1,0,4.5094,0.6129
41621-49-2,pa_ph1n1,0,4.4229,0.5954
61318-91-0,pa_ph1n1,1,5.0541,2.4812
171228-49-2,pa_ph1n1,0,5.1765,1.3346
536-43-6,pa_ph1n1,0,4.6273,0.9335
53123-88-9,pa_ph1n1,0,3.7969,0.9941
23593-75-1,pa_ph1n1,0,4.9625,1.733
64872-77-1,pa_ph1n1,1,4.3102,1.5139
91161-71-6,pa_ph1n1,0,4.1993,1.3717
65473-14-5,pa_ph1n1,1,4.4275,1.202
78628-80-5,pa_ph1n1,0,4.1916,1.305
1397-89-3,pa_ph1n1,0,4.4096,1.3624
57852-57-0,pa_ph1n1,1,4.4478,1.3054
179463-17-3,pa_ph1n1,1,3.8364,1.077
1070-11-7,pa_ph1n1,1,4.2062,0.8437
101827-46-7,pa_ph1n1,1,4.1397,0.3885
137234-62-9,pa_ph1n1,0,4.5857,1.0812
86386-73-4,pa_ph1n1,0,4.6951,1.5904
99592-39-9,pa_ph1n1,1,4.3358,1.5461
65899-73-2,pa_ph1n1,0,4.4277,0.8607
24280-93-1,pa_ph1n1,0,4.5063,0.9791
540737-29-9,pa_ph1n1,1,4.2464,1.6722
84625-61-6,pa_ph1n1,0,4.5477,0.9096
65-85-0,pa_ph1n1,0,3.8778,0.9023
24169-02-6,pa_ph1n1,0,4.3499,1.1622
22916-47-8,pa_ph1n1,1,3.8443,3.5316
22832-87-7,pa_ph1n1,0,4.4794,1.7103
17321-77-6,pa_ph1n1,1,4.9674,1.9796
74011-58-8,pa_ph1n1,1,4.2372,0.7593
72509-76-3,pa_ph1n1,0,4.6815,2.2482
173334-58-2,pa_ph1n1,0,4.1304,0.9117
941678-49-5,pa_ph1n1,1,4.5468,0.8274
127-79-7,pa_ph1n1,1,4.425,1.0666
13010-47-4,pa_ph1n1,1,5.6126,1.8455
54527-84-3,pa_ph1n1,1,4.3782,0.7459
90357-06-5,pa_ph1n1,1,4.6455,2.1756
136572-09-3,pa_ph1n1,1,4.1207,0.4881
1177-87-3,pa_ph1n1,0,4.2786,1.1495
1264-72-8,pa_ph1n1,0,4.4634,1.8464
54-85-3,pa_ph1n1,1,4.0322,1.4995
23541-50-6,pa_ph1n1,0,4.5403,0.7196
943319-70-8,pa_ph1n1,0,4.6353,1.1581
150399-23-8,pa_ph1n1,1,4.5091,3.1868
475207-59-1,pa_ph1n1,1,4.4096,3.288
1247-42-3,pa_ph1n1,1,5.5542,3.9163
73963-72-1,pa_ph1n1,1,4.4864,1.8264
668270-12-0,pa_ph1n1,0,4.724,1.3
154-42-7,pa_ph1n1,0,4.8198,1.7128
129497-78-5,pa_ph1n1,1,3.1646,2.984
220127-57-1,pa_ph1n1,1,4.8203,0.7376
184475-35-2,pa_ph1n1,0,4.827,1.237
66085-59-4,pa_ph1n1,1,4.3856,2.2697
75330-75-5,pa_ph1n1,0,4.1634,0.9668
52-01-7,pa_ph1n1,0,4.2696,1.1924
79902-63-9,pa_ph1n1,1,4.2542,0.6374
78246-49-8,pa_ph1n1,1,4.1965,1.9598
97682-44-5,pa_ph1n1,0,4.1236,0.4912
65928-58-7,pa_ph1n1,0,4.4585,1.0862
63-74-1,pa_ph1n1,1,4.163,1.1006
73590-58-6,pa_ph1n1,1,4.5665,1.2776
34552-83-5,pa_ph1n1,1,4.2731,0.7302
123318-82-1,pa_ph1n1,0,4.4408,1.5086
129453-61-8,pa_ph1n1,0,4.6138,1.1874
183133-96-2,pa_ph1n1,1,3.9501,1.8493
302962-49-8,pa_ph1n1,1,4.1974,1.0545
474-25-9,pa_ph1n1,0,4.4438,1.3053
298-46-4,pa_ph1n1,0,4.2285,1.3668
877399-52-5,pa_ph1n1,1,4.0578,2.2679
183319-69-9,pa_ph1n1,0,4.6132,1.2394
179324-69-7,pa_ph1n1,1,4.8529,0.9228
130-61-0,pa_ph1n1,1,4.1868,1.7039
879085-55-9,pa_ph1n1,1,4.361,1.8315
68-35-9,pa_ph1n1,1,4.2035,1.2901
82640-04-8,pa_ph1n1,1,4.7725,1.6761
162635-04-3,pa_ph1n1,0,4.0361,2.0407
19237-84-4,pa_ph1n1,0,4.7464,1.9667
50-35-1,pa_ph1n1,1,4.5587,2.0276
1098-60-8,pa_ph1n1,0,4.3561,1.0198
873054-44-5,pa_ph1n1,0,4.3026,0.9117
50-55-5,pa_ph1n1,1,4.0465,0.8152
152459-95-5,pa_ph1n1,0,4.379,1.0938
127-07-1,pa_ph1n1,1,4.1387,1.9158
153559-49-0,pa_ph1n1,1,4.4863,0.5797
1264-62-6,pa_ph1n1,1,4.5029,1.8314
85622-93-1,pa_ph1n1,1,4.7418,1.5425
159351-69-6,pa_ph1n1,0,3.9892,1.7251
117772-70-0,pa_ph1n1,0,4.5036,1.0265
84371-65-3,pa_ph1n1,1,4.2592,0.6684
171599-83-0,pa_ph1n1,1,4.6414,0.7684
595-33-5,pa_ph1n1,1,3.7886,4.7457
144-83-2,pa_ph1n1,0,4.5333,1.5941
19774-82-4,pa_ph1n1,1,4.3942,3.2439
83-43-2,pa_ph1n1,1,4.2426,1.3219
127-56-0,pa_ph1n1,1,5.5314,4.6881
83905-01-5,pa_ph1n1,0,4.5535,0.8297
119413-54-6,pa_ph1n1,1,4.6028,1.3049
118292-40-3,pa_ph1n1,0,4.8391,1.6386
144701-48-4,pa_ph1n1,1,4.6071,2.1962
163222-33-1,pa_ph1n1,1,4.2988,0.2188
641571-10-0,pa_ph1n1,1,4.7843,1.5717
220620-09-7,pa_ph1n1,1,4.396,1.1526
108341-18-0,pa_ph1n1,1,4.4156,2.2462
21829-25-4,pa_ph1n1,0,5.0299,2.6942
1069-66-5,pa_ph1n1,1,4.824,3.5994
95635-56-6,pa_ph1n1,0,4.4539,0.6894
2447-57-6,pa_ph1n1,1,4.0751,3.9782
84057-84-1,pa_ph1n1,0,4.4848,1.8575
599-79-1,pa_ph1n1,0,4.9079,1.138
53716-49-7,pa_ph1n1,0,4.7647,1.7185
50-44-2,pa_ph1n1,0,4.9836,1.1033
50-63-5,pa_ph1n1,1,4.1584,1.1202
33069-62-4,pa_ph1n1,1,3.6594,3.0008
3056-17-5,pa_ph1n1,1,4.1397,3.4238
58-61-7,pa_ph1n1,1,4.0925,0.9315
96946-42-8,pa_ph1n1,0,4.0028,1.3812
918504-65-1,pa_ph1n1,0,4.3839,0.6318
388082-77-7,pa_ph1n1,0,4.6638,1.5608
50-01-1,pa_ph1n1,1,4.7268,1.6938
64-77-7,pa_ph1n1,1,4.6629,0.8193
915087-33-1,pa_ph1n1,0,4.0207,1.4018
635702-64-6,pa_ph1n1,0,4.732,0.959
61825-94-3,pa_ph1n1,0,4.5376,0.8847
71125-38-7,pa_ph1n1,0,4.5056,1.0104
53-86-1,pa_ph1n1,1,4.4577,0.1756
155141-29-0,pa_ph1n1,0,4.7599,2.3856
443913-73-3,pa_ph1n1,0,4.398,1.9061
147098-20-2,pa_ph1n1,0,4.3949,1.0972
440-17-5,pa_ph1n1,1,4.514,0.9411
5451-09-2,pa_ph1n1,1,3.805,2.0364
320-67-2,pa_ph1n1,0,4.2543,1.3629
112809-51-5,pa_ph1n1,1,3.5204,2.76
22260-51-1,pa_ph1n1,1,5.1245,4.9401
141625-93-6,pa_ph1n1,1,4.5758,0.7308
