id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,pa_ph1n1,1,4.4728,0.9945
99464-64-9,pa_ph1n1,0,4.4414,1.133
23180-57-6,pa_ph1n1,0,4.4586,0.7279
50-27-1,pa_ph1n1,1,4.4445,1.0005
2627-69-2,pa_ph1n1,1,4.4608,1.1166
58186-27-9,pa_ph1n1,0,4.4692,0.9367
93793-83-0,pa_ph1n1,1,4.4506,1.276
39133-31-8,pa_ph1n1,0,4.4622,1.1189
34552-84-6,pa_ph1n1,0,4.4834,1.3785
112885-42-4,pa_ph1n1,1,4.4686,1.336
51803-78-2,pa_ph1n1,1,4.5134,1.3074
141505-33-1,pa_ph1n1,1,4.4749,1.1041
183320-51-6,pa_ph1n1,0,4.4734,1.0867
101477-54-7,pa_ph1n1,1,4.4488,1.1568
50-02-2,pa_ph1n1,1,4.4288,2.394
96829-58-2,pa_ph1n1,1,4.4873,0.9164
98-96-4,pa_ph1n1,0,4.544,1.5223
541-15-1,pa_ph1n1,1,4.4742,1.4334
65277-42-1,pa_ph1n1,1,4.4854,1.0239
70-00-8,pa_ph1n1,0,4.4811,1.4683
39809-25-1,pa_ph1n1,0,4.4606,1.1472
54-42-2,pa_ph1n1,0,4.5022,1.7556
124832-27-5,pa_ph1n1,0,4.4426,1.3144
5536-17-4,pa_ph1n1,0,4.4914,1.1385
147-94-4,pa_ph1n1,1,4.5003,1.1614
99011-02-6,pa_ph1n1,0,4.516,1.1037
70288-86-7,pa_ph1n1,0,4.4641,1.1206
59277-89-3,pa_ph1n1,0,4.4932,1.1705
82410-32-0,pa_ph1n1,0,4.4951,1.3952
104227-87-4,pa_ph1n1,1,4.4851,1.0646
50-91-9,pa_ph1n1,1,4.5417,1.9638
79-57-2,pa_ph1n1,1,4.505,1.2328
6153-64-6,pa_ph1n1,0,4.5039,1.2114
518048-05-0,pa_ph1n1,1,4.5352,1.6954
161735-79-1,pa_ph1n1,1,4.5069,1.0483
13492-01-8,pa_ph1n1,0,4.5436,1.3378
549-18-8,pa_ph1n1,1,4.4809,0.8055
79794-75-5,pa_ph1n1,1,4.4861,1.087
79307-93-0,pa_ph1n1,1,4.4688,1.3225
100299-08-9,pa_ph1n1,0,4.4938,1.0963
980-71-2,pa_ph1n1,0,4.4771,1.1358
122883-93-6,pa_ph1n1,1,4.4681,0.9292
76824-35-6,pa_ph1n1,1,4.5037,0.9724
154-69-8,pa_ph1n1,0,4.4898,1.2397
2192-20-3,pa_ph1n1,1,4.4786,1.0605
132-20-7,pa_ph1n1,0,4.4779,1.0736
25332-39-2,pa_ph1n1,0,4.4828,1.0678
1104-22-9,pa_ph1n1,1,4.4671,1.1053
76963-41-2,pa_ph1n1,0,4.4657,1.0215
521-78-8,pa_ph1n1,1,4.4901,0.993
14976-57-9,pa_ph1n1,0,4.4969,1.2107
10347-81-6,pa_ph1n1,0,4.4398,1.2306
100643-71-8,pa_ph1n1,1,4.47,1.0671
132-18-3,pa_ph1n1,1,4.4834,1.0088
83881-52-1,pa_ph1n1,0,4.4263,1.1464
2508-72-7,pa_ph1n1,0,4.472,1.2446
66357-59-3,pa_ph1n1,1,4.4819,1.0011
140462-76-6,pa_ph1n1,1,4.3914,1.7403
3978-86-7,pa_ph1n1,1,4.4751,1.2216
113-92-8,pa_ph1n1,1,4.4703,1.0821
59-33-6,pa_ph1n1,0,4.4979,1.1662
190786-44-8,pa_ph1n1,1,4.3978,1.4364
147-24-0,pa_ph1n1,0,4.4613,1.1981
562-10-7,pa_ph1n1,0,4.4673,1.0591
144598-75-4,pa_ph1n1,0,4.4353,1.4786
137-58-6,pa_ph1n1,1,4.4968,1.2582
85650-52-8,pa_ph1n1,0,4.489,1.1665
34580-14-8,pa_ph1n1,1,4.4764,1.3371
132-17-2,pa_ph1n1,1,4.4659,1.6864
113-59-7,pa_ph1n1,1,4.4958,0.9576
51481-61-9,pa_ph1n1,1,4.5364,1.3886
4682-36-4,pa_ph1n1,0,4.4608,1.0286
97240-79-4,pa_ph1n1,1,4.4875,1.3488
25451-15-4,pa_ph1n1,1,4.4851,1.0405
41100-52-1,pa_ph1n1,0,4.5052,1.2485
1508-76-5,pa_ph1n1,1,4.4606,1.1329
68-41-7,pa_ph1n1,1,4.5704,1.7043
50357-45-4,pa_ph1n1,0,4.5012,0.9798
7681-93-8,pa_ph1n1,1,4.5055,1.1718
29342-05-0,pa_ph1n1,0,4.5373,1.3608
41621-49-2,pa_ph1n1,0,4.5341,1.3109
61318-91-0,pa_ph1n1,1,4.5085,0.968
171228-49-2,pa_ph1n1,0,4.4222,1.417
536-43-6,pa_ph1n1,0,4.4961,1.2305
53123-88-9,pa_ph1n1,0,4.4209,2.2272
23593-75-1,pa_ph1n1,0,4.5209,0.9961
64872-77-1,pa_ph1n1,1,4.4896,0.837
91161-71-6,pa_ph1n1,0,4.4832,1.0273
65473-14-5,pa_ph1n1,1,4.478,0.8545
78628-80-5,pa_ph1n1,0,4.4818,1.0258
