id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,pa_ph1n1,1,4.0635,1.1681
99464-64-9,pa_ph1n1,0,4.3625,1.0427
23180-57-6,pa_ph1n1,0,4.5961,0.9582
50-27-1,pa_ph1n1,1,4.488,1.1252
2627-69-2,pa_ph1n1,1,4.1888,1.0577
58186-27-9,pa_ph1n1,0,4.5554,1.0049
93793-83-0,pa_ph1n1,1,4.1939,1.6126
39133-31-8,pa_ph1n1,0,4.5151,0.7642
34552-84-6,pa_ph1n1,0,4.3042,1.1896
112885-42-4,pa_ph1n1,1,5.412,3.5725
51803-78-2,pa_ph1n1,1,3.5316,4.711
141505-33-1,pa_ph1n1,1,4.5122,1.3685
183320-51-6,pa_ph1n1,0,4.451,0.8764
101477-54-7,pa_ph1n1,1,4.1151,1.4305
50-02-2,pa_ph1n1,1,3.4968,2.4705
96829-58-2,pa_ph1n1,1,4.1087,1.3342
98-96-4,pa_ph1n1,0,4.4587,1.3258
541-15-1,pa_ph1n1,1,4.5222,1.2889
65277-42-1,pa_ph1n1,1,4.7257,1.7075
70-00-8,pa_ph1n1,0,4.5193,0.5863
39809-25-1,pa_ph1n1,0,4.9014,1.3922
54-42-2,pa_ph1n1,0,4.57,1.1323
124832-27-5,pa_ph1n1,0,4.6344,1.5498
5536-17-4,pa_ph1n1,0,4.3519,1.0381
147-94-4,pa_ph1n1,1,4.8624,2.7024
99011-02-6,pa_ph1n1,0,4.4635,1.5676
70288-86-7,pa_ph1n1,0,4.0249,1.6457
59277-89-3,pa_ph1n1,0,4.6097,1.3559
82410-32-0,pa_ph1n1,0,4.218,1.1452
104227-87-4,pa_ph1n1,1,5.113,0.5175
50-91-9,pa_ph1n1,1,3.9172,2.862
79-57-2,pa_ph1n1,1,4.8445,0.1556
6153-64-6,pa_ph1n1,0,4.9761,1.2983
518048-05-0,pa_ph1n1,1,4.5341,1.1533
161735-79-1,pa_ph1n1,1,4.017,3.3297
13492-01-8,pa_ph1n1,0,4.615,1.2486
549-18-8,pa_ph1n1,1,3.9629,2.0518
79794-75-5,pa_ph1n1,1,4.7747,2.7838
79307-93-0,pa_ph1n1,1,4.4697,0.9228
100299-08-9,pa_ph1n1,0,4.4324,1.2498
980-71-2,pa_ph1n1,0,4.4809,1.3635
122883-93-6,pa_ph1n1,1,5.1089,0.4167
76824-35-6,pa_ph1n1,1,4.5227,1.9285
154-69-8,pa_ph1n1,0,4.7797,1.4479
2192-20-3,pa_ph1n1,1,4.7007,1.5035
132-20-7,pa_ph1n1,0,4.1342,1.3377
25332-39-2,pa_ph1n1,0,4.4982,1.4263
1104-22-9,pa_ph1n1,1,4.0802,1.6321
76963-41-2,pa_ph1n1,0,4.5935,1.2203
521-78-8,pa_ph1n1,1,4.9633,1.872
14976-57-9,pa_ph1n1,0,4.9688,1.1342
10347-81-6,pa_ph1n1,0,4.3334,0.9504
100643-71-8,pa_ph1n1,1,4.2531,3.121
132-18-3,pa_ph1n1,1,3.8788,1.7383
83881-52-1,pa_ph1n1,0,4.8103,2.0728
2508-72-7,pa_ph1n1,0,4.2497,1.1682
66357-59-3,pa_ph1n1,1,5.0175,1.4996
140462-76-6,pa_ph1n1,1,4.4508,2.4108
3978-86-7,pa_ph1n1,1,3.8745,2.5654
113-92-8,pa_ph1n1,1,4.2178,2.2204
59-33-6,pa_ph1n1,0,4.6715,0.643
190786-44-8,pa_ph1n1,1,4.9466,2.127
147-24-0,pa_ph1n1,0,4.2505,1.1058
562-10-7,pa_ph1n1,0,4.4741,1.1073
144598-75-4,pa_ph1n1,0,4.4134,1.2716
137-58-6,pa_ph1n1,1,4.8126,3.7226
85650-52-8,pa_ph1n1,0,4.988,0.7615
