id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,pa_ph1n1,1,4.5011,1.1553
99464-64-9,pa_ph1n1,0,4.3882,1.1005
23180-57-6,pa_ph1n1,0,4.4203,1.2956
50-27-1,pa_ph1n1,1,4.3985,0.8306
2627-69-2,pa_ph1n1,1,4.4123,1.0566
58186-27-9,pa_ph1n1,0,4.4534,1.0881
93793-83-0,pa_ph1n1,1,4.413,1.3771
39133-31-8,pa_ph1n1,0,4.4533,1.0689
34552-84-6,pa_ph1n1,0,4.4991,1.5803
112885-42-4,pa_ph1n1,1,4.502,1.5443
51803-78-2,pa_ph1n1,1,4.5422,1.2518
141505-33-1,pa_ph1n1,1,4.4621,1.0684
183320-51-6,pa_ph1n1,0,4.492,1.0496
101477-54-7,pa_ph1n1,1,4.4245,1.3274
50-02-2,pa_ph1n1,1,4.4208,3.3677
96829-58-2,pa_ph1n1,1,4.4977,1.7852
98-96-4,pa_ph1n1,0,4.6027,1.683
541-15-1,pa_ph1n1,1,4.447,1.5745
65277-42-1,pa_ph1n1,1,4.5358,1.2414
70-00-8,pa_ph1n1,0,4.4864,1.5182
39809-25-1,pa_ph1n1,0,4.4347,1.1034
54-42-2,pa_ph1n1,0,4.5365,1.7871
124832-27-5,pa_ph1n1,0,4.403,1.5863
5536-17-4,pa_ph1n1,0,4.4902,1.0311
147-94-4,pa_ph1n1,1,4.5129,0.9688
99011-02-6,pa_ph1n1,0,4.567,0.838
70288-86-7,pa_ph1n1,0,4.4991,1.2703
59277-89-3,pa_ph1n1,0,4.4961,1.0683
82410-32-0,pa_ph1n1,0,4.5173,1.4899
104227-87-4,pa_ph1n1,1,4.4955,1.0053
50-91-9,pa_ph1n1,1,4.6478,2.2239
79-57-2,pa_ph1n1,1,4.5571,1.2193
6153-64-6,pa_ph1n1,0,4.5544,1.178
518048-05-0,pa_ph1n1,1,4.6823,3.0964
161735-79-1,pa_ph1n1,1,4.5178,1.0086
13492-01-8,pa_ph1n1,0,4.6052,1.5074
549-18-8,pa_ph1n1,1,4.4615,0.6824
79794-75-5,pa_ph1n1,1,4.5222,1.0547
79307-93-0,pa_ph1n1,1,4.4923,1.5165
100299-08-9,pa_ph1n1,0,4.5116,0.8985
980-71-2,pa_ph1n1,0,4.474,1.2105
122883-93-6,pa_ph1n1,1,4.4537,0.7557
76824-35-6,pa_ph1n1,1,4.5348,0.8842
154-69-8,pa_ph1n1,0,4.522,1.3951
2192-20-3,pa_ph1n1,1,4.482,1.2724
132-20-7,pa_ph1n1,0,4.4583,1.1224
25332-39-2,pa_ph1n1,0,4.4902,1.3076
1104-22-9,pa_ph1n1,1,4.4672,1.2874
76963-41-2,pa_ph1n1,0,4.4458,0.9709
521-78-8,pa_ph1n1,1,4.4958,0.8135
14976-57-9,pa_ph1n1,0,4.5407,1.5743
10347-81-6,pa_ph1n1,0,4.401,1.2038
100643-71-8,pa_ph1n1,1,4.4624,1.2457
132-18-3,pa_ph1n1,1,4.4791,1.2967
83881-52-1,pa_ph1n1,0,4.3457,1.1353
2508-72-7,pa_ph1n1,0,4.4917,1.2731
66357-59-3,pa_ph1n1,1,4.4738,0.9035
140462-76-6,pa_ph1n1,1,4.2737,2.26
3978-86-7,pa_ph1n1,1,4.4789,1.3464
113-92-8,pa_ph1n1,1,4.4586,1.1245
59-33-6,pa_ph1n1,0,4.5161,1.547
190786-44-8,pa_ph1n1,1,4.2965,1.7792
147-24-0,pa_ph1n1,0,4.4434,1.2559
562-10-7,pa_ph1n1,0,4.4341,1.1583
144598-75-4,pa_ph1n1,0,4.4082,1.65
137-58-6,pa_ph1n1,1,4.5045,1.3707
85650-52-8,pa_ph1n1,0,4.5219,1.2581
34580-14-8,pa_ph1n1,1,4.5077,1.4447
132-17-2,pa_ph1n1,1,4.5089,1.9849
113-59-7,pa_ph1n1,1,4.5189,1.448
51481-61-9,pa_ph1n1,1,4.5971,2.3917
4682-36-4,pa_ph1n1,0,4.4158,1.083
97240-79-4,pa_ph1n1,1,4.5079,1.7184
25451-15-4,pa_ph1n1,1,4.4727,0.9053
41100-52-1,pa_ph1n1,0,4.5579,1.5221
1508-76-5,pa_ph1n1,1,4.4364,1.2194
68-41-7,pa_ph1n1,1,4.6659,1.9564
50357-45-4,pa_ph1n1,0,4.5563,1.0456
7681-93-8,pa_ph1n1,1,4.5906,1.7976
29342-05-0,pa_ph1n1,0,4.6259,1.1234
41621-49-2,pa_ph1n1,0,4.6177,1.0392
61318-91-0,pa_ph1n1,1,4.5573,1.193
171228-49-2,pa_ph1n1,0,4.3878,1.5882
536-43-6,pa_ph1n1,0,4.4996,1.63
53123-88-9,pa_ph1n1,0,4.4427,2.4911
23593-75-1,pa_ph1n1,0,4.584,0.8616
64872-77-1,pa_ph1n1,1,4.5015,0.9545
91161-71-6,pa_ph1n1,0,4.5125,1.5805
65473-14-5,pa_ph1n1,1,4.4905,0.6944
78628-80-5,pa_ph1n1,0,4.5088,1.5964
1397-89-3,pa_ph1n1,0,4.2963,2.5059
57852-57-0,pa_ph1n1,1,4.534,1.2387
179463-17-3,pa_ph1n1,1,4.268,1.9683
1070-11-7,pa_ph1n1,1,4.5497,2.4929
101827-46-7,pa_ph1n1,1,4.49,0.9861
137234-62-9,pa_ph1n1,0,4.4562,1.3588
86386-73-4,pa_ph1n1,0,4.4019,0.7903
99592-39-9,pa_ph1n1,1,4.4753,0.5448
65899-73-2,pa_ph1n1,0,4.4555,0.481
24280-93-1,pa_ph1n1,0,4.6378,1.7019
540737-29-9,pa_ph1n1,1,4.4291,1.2012
84625-61-6,pa_ph1n1,0,4.487,1.8443
65-85-0,pa_ph1n1,0,4.58,1.8132
24169-02-6,pa_ph1n1,0,4.4907,0.7118
22916-47-8,pa_ph1n1,1,4.4862,0.632
22832-87-7,pa_ph1n1,0,4.5097,0.6711
17321-77-6,pa_ph1n1,1,4.4913,0.7052
74011-58-8,pa_ph1n1,1,4.4841,0.8476
