id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,pa_ph1n1,1,4.0563,1.0524
99464-64-9,pa_ph1n1,0,4.3437,1.1547
23180-57-6,pa_ph1n1,0,4.6732,1.6832
50-27-1,pa_ph1n1,1,4.5568,0.9114
2627-69-2,pa_ph1n1,1,4.0569,1.382
58186-27-9,pa_ph1n1,0,4.8739,1.5408
93793-83-0,pa_ph1n1,1,4.1451,1.5492
39133-31-8,pa_ph1n1,0,4.4388,1.0728
34552-84-6,pa_ph1n1,0,4.5053,1.4359
112885-42-4,pa_ph1n1,1,5.4552,3.3384
51803-78-2,pa_ph1n1,1,3.463,4.6489
141505-33-1,pa_ph1n1,1,4.2726,1.5138
183320-51-6,pa_ph1n1,0,4.5255,1.3185
101477-54-7,pa_ph1n1,1,4.1183,1.8701
50-02-2,pa_ph1n1,1,3.4874,2.4764
96829-58-2,pa_ph1n1,1,4.1207,1.4449
98-96-4,pa_ph1n1,0,4.3488,1.3771
541-15-1,pa_ph1n1,1,4.3934,1.0027
65277-42-1,pa_ph1n1,1,4.7493,1.5281
70-00-8,pa_ph1n1,0,4.6012,1.0105
39809-25-1,pa_ph1n1,0,4.9626,1.7838
54-42-2,pa_ph1n1,0,4.6093,1.6413
124832-27-5,pa_ph1n1,0,4.5541,1.2197
5536-17-4,pa_ph1n1,0,4.2845,1.1863
147-94-4,pa_ph1n1,1,4.8442,3.4001
99011-02-6,pa_ph1n1,0,4.5137,1.7847
70288-86-7,pa_ph1n1,0,4.0508,1.3129
59277-89-3,pa_ph1n1,0,4.5912,1.1388
82410-32-0,pa_ph1n1,0,4.1612,1.3814
104227-87-4,pa_ph1n1,1,5.1522,0.5673
50-91-9,pa_ph1n1,1,3.9076,2.8777
79-57-2,pa_ph1n1,1,4.8863,0.5619
6153-64-6,pa_ph1n1,0,5.0838,1.7158
518048-05-0,pa_ph1n1,1,4.5281,1.4488
161735-79-1,pa_ph1n1,1,3.9926,3.4792
13492-01-8,pa_ph1n1,0,4.5758,1.3187
549-18-8,pa_ph1n1,1,3.9203,2.1739
79794-75-5,pa_ph1n1,1,4.7641,3.2697
79307-93-0,pa_ph1n1,1,4.4415,0.7898
100299-08-9,pa_ph1n1,0,4.5662,1.154
980-71-2,pa_ph1n1,0,4.3023,1.3617
122883-93-6,pa_ph1n1,1,5.1354,0.3923
76824-35-6,pa_ph1n1,1,4.556,1.9703
154-69-8,pa_ph1n1,0,4.8336,1.6928
2192-20-3,pa_ph1n1,1,4.7803,1.5286
132-20-7,pa_ph1n1,0,4.0961,1.5675
25332-39-2,pa_ph1n1,0,4.4126,1.1644
1104-22-9,pa_ph1n1,1,4.0617,1.4961
76963-41-2,pa_ph1n1,0,4.5646,1.225
521-78-8,pa_ph1n1,1,5.0097,1.8743
14976-57-9,pa_ph1n1,0,5.0247,1.0032
10347-81-6,pa_ph1n1,0,4.3981,1.1939
100643-71-8,pa_ph1n1,1,4.2173,3.1481
132-18-3,pa_ph1n1,1,3.8707,1.8086
83881-52-1,pa_ph1n1,0,4.7472,1.6096
2508-72-7,pa_ph1n1,0,4.3064,0.9113
66357-59-3,pa_ph1n1,1,4.995,1.0052
140462-76-6,pa_ph1n1,1,4.4621,2.1866
3978-86-7,pa_ph1n1,1,3.7696,1.6423
113-92-8,pa_ph1n1,1,4.1762,2.0575
59-33-6,pa_ph1n1,0,4.6194,0.9211
190786-44-8,pa_ph1n1,1,4.9473,2.0725
147-24-0,pa_ph1n1,0,4.3444,1.3962
562-10-7,pa_ph1n1,0,4.4607,1.2821
144598-75-4,pa_ph1n1,0,4.4545,0.9364
137-58-6,pa_ph1n1,1,4.8279,3.6886
85650-52-8,pa_ph1n1,0,5.0234,1.3394
34580-14-8,pa_ph1n1,1,4.5841,1.5366
132-17-2,pa_ph1n1,1,4.2794,0.8091
113-59-7,pa_ph1n1,1,4.8383,3.4041
51481-61-9,pa_ph1n1,1,4.4516,0.6811
4682-36-4,pa_ph1n1,0,4.1308,1.4657
97240-79-4,pa_ph1n1,1,4.143,2.3928
25451-15-4,pa_ph1n1,1,5.3387,2.8609
41100-52-1,pa_ph1n1,0,4.4555,0.8448
1508-76-5,pa_ph1n1,1,3.8887,3.0112
68-41-7,pa_ph1n1,1,3.6767,1.0376
50357-45-4,pa_ph1n1,0,4.2916,1.2852
7681-93-8,pa_ph1n1,1,4.1659,1.7935
29342-05-0,pa_ph1n1,0,4.6836,1.3321
41621-49-2,pa_ph1n1,0,4.6376,1.0888
61318-91-0,pa_ph1n1,1,5.1421,3.0216
171228-49-2,pa_ph1n1,0,5.0719,1.5349
536-43-6,pa_ph1n1,0,4.3889,1.3554
53123-88-9,pa_ph1n1,0,3.8765,1.1064
23593-75-1,pa_ph1n1,0,4.6445,1.5127
64872-77-1,pa_ph1n1,1,4.2952,1.4345
91161-71-6,pa_ph1n1,0,4.1672,1.969
65473-14-5,pa_ph1n1,1,4.3591,1.2897
78628-80-5,pa_ph1n1,0,4.1725,1.8768
1397-89-3,pa_ph1n1,0,4.3003,1.7255
57852-57-0,pa_ph1n1,1,4.4127,0.99
179463-17-3,pa_ph1n1,1,3.7529,0.9537
1070-11-7,pa_ph1n1,1,4.234,1.1603
101827-46-7,pa_ph1n1,1,4.1561,0.606
137234-62-9,pa_ph1n1,0,4.9918,1.4785
86386-73-4,pa_ph1n1,0,4.6629,0.9625
99592-39-9,pa_ph1n1,1,4.3109,1.4286
65899-73-2,pa_ph1n1,0,4.7166,1.5034
24280-93-1,pa_ph1n1,0,4.5232,1.4909
540737-29-9,pa_ph1n1,1,4.2808,2.0479
84625-61-6,pa_ph1n1,0,4.6897,1.2767
65-85-0,pa_ph1n1,0,4.0105,1.4016
24169-02-6,pa_ph1n1,0,4.4754,1.275
22916-47-8,pa_ph1n1,1,3.8269,3.2485
22832-87-7,pa_ph1n1,0,4.4612,1.2653
17321-77-6,pa_ph1n1,1,5.0888,0.8165
74011-58-8,pa_ph1n1,1,4.1889,0.9371
72509-76-3,pa_ph1n1,0,4.8326,1.4938
173334-58-2,pa_ph1n1,0,4.1833,1.0749
941678-49-5,pa_ph1n1,1,4.5433,0.8677
127-79-7,pa_ph1n1,1,4.636,0.8923
13010-47-4,pa_ph1n1,1,5.6153,1.8317
54527-84-3,pa_ph1n1,1,4.385,0.8321
90357-06-5,pa_ph1n1,1,4.6933,1.6949
136572-09-3,pa_ph1n1,1,4.0807,0.5967
1177-87-3,pa_ph1n1,0,4.3209,1.518
1264-72-8,pa_ph1n1,0,4.156,0.8013
54-85-3,pa_ph1n1,1,4.3344,1.6915
23541-50-6,pa_ph1n1,0,4.6765,1.7625
943319-70-8,pa_ph1n1,0,4.6468,1.2479
150399-23-8,pa_ph1n1,1,4.5143,2.9458
475207-59-1,pa_ph1n1,1,4.3561,3.0171
1247-42-3,pa_ph1n1,1,5.5368,4.0125
73963-72-1,pa_ph1n1,1,4.5164,1.724
