dataset_label,comparison_name,model_type,p,spearman_mean,spearman_std,n_outer_folds,spearman_sem,model_complexity_rank,selection_metric,selection_rule,best_metric_mean,best_metric_sem,one_se_threshold,one_se_eligible,official_selected,final_model_params,selected_final_inference_path,selected_oof_predictions_path,evidence_type
fasn,chemical_descriptors,ridge,13,0.3547,0.1339,5,0.0599,0,spearman,one_se_simpler,0.893,0.0129,0.8801,False,False,,,,
fasn,chemical_descriptors,xgboost,13,0.4827,0.0832,5,0.0372,1,spearman,one_se_simpler,0.893,0.0129,0.8801,False,False,,,,
fasn,method_ranks,ridge,6,0.893,0.0288,5,0.0129,0,spearman,one_se_simpler,0.893,0.0129,0.8801,True,True,{'alpha': 0.29},results/round_synthetic/selected_models/fasn_selected_final_inference.csv,results/round_synthetic/selected_models/fasn_selected_oof_predictions.csv,outer_cv_oof_selected_after_cv
fasn,method_ranks,xgboost,6,0.8647,0.0309,5,0.0138,1,spearman,one_se_simpler,0.893,0.0129,0.8801,False,False,,,,
fasn,method_scores,ridge,6,0.8561,0.0518,5,0.0232,0,spearman,one_se_simpler,0.893,0.0129,0.8801,False,False,,,,
fasn,method_scores,xgboost,6,0.8647,0.0309,5,0.0138,1,spearman,one_se_simpler,0.893,0.0129,0.8801,False,False,,,,
fasn,method_scores_plus_chemical_descriptors,ridge,19,0.8479,0.059,5,0.0264,0,spearman,one_se_simpler,0.893,0.0129,0.8801,False,False,,,,
fasn,method_scores_plus_chemical_descriptors,xgboost,19,0.8617,0.0299,5,0.0134,1,spearman,one_se_simpler,0.893,0.0129,0.8801,False,False,,,,
fasn,method_scores_plus_glide_uncertainty,ridge,7,0.8551,0.049,5,0.0219,0,spearman,one_se_simpler,0.893,0.0129,0.8801,False,False,,,,
fasn,method_scores_plus_glide_uncertainty,xgboost,7,0.8623,0.0319,5,0.0143,1,spearman,one_se_simpler,0.893,0.0129,0.8801,False,False,,,,
fasn,method_scores_plus_method_ranks,ridge,12,0.8924,0.033,5,0.0148,0,spearman,one_se_simpler,0.893,0.0129,0.8801,True,False,,,,
fasn,method_scores_plus_method_ranks,xgboost,12,0.8658,0.0382,5,0.0171,1,spearman,one_se_simpler,0.893,0.0129,0.8801,False,False,,,,
fasn,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,0.8844,0.035,5,0.0156,0,spearman,one_se_simpler,0.893,0.0129,0.8801,True,False,,,,
fasn,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,0.8912,0.0342,5,0.0153,1,spearman,one_se_simpler,0.893,0.0129,0.8801,True,False,,,,
fasn,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,0.8792,0.039,5,0.0175,0,spearman,one_se_simpler,0.893,0.0129,0.8801,False,False,,,,
fasn,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,0.8918,0.0331,5,0.0148,1,spearman,one_se_simpler,0.893,0.0129,0.8801,True,False,,,,
