id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,furin,1,4.9443,0.7854
99464-64-9,furin,1,4.5211,0.897
23180-57-6,furin,0,4.6923,2.7138
50-27-1,furin,0,4.8378,1.6696
2627-69-2,furin,1,4.7881,1.7321
58186-27-9,furin,1,4.3046,1.862
93793-83-0,furin,0,4.344,1.1573
39133-31-8,furin,1,4.6409,0.7476
34552-84-6,furin,0,4.6814,1.1187
112885-42-4,furin,0,4.5328,1.7616
51803-78-2,furin,1,4.35,1.2553
141505-33-1,furin,0,4.3819,0.8677
183320-51-6,furin,1,4.5482,0.8272
101477-54-7,furin,0,4.9913,1.4171
50-02-2,furin,0,4.7243,1.5126
96829-58-2,furin,0,4.0703,4.2734
98-96-4,furin,0,4.6661,1.3638
541-15-1,furin,0,4.5601,1.1215
65277-42-1,furin,1,4.9627,0.7721
70-00-8,furin,0,4.7186,1.5204
39809-25-1,furin,0,4.7656,1.2348
54-42-2,furin,0,4.4955,1.2459
124832-27-5,furin,0,4.4993,0.9375
5536-17-4,furin,0,4.9416,2.037
147-94-4,furin,1,4.8413,1.8347
99011-02-6,furin,0,4.875,1.0871
70288-86-7,furin,1,4.9751,2.2353
59277-89-3,furin,0,4.5998,0.8553
82410-32-0,furin,0,4.7854,1.3972
104227-87-4,furin,0,4.6253,1.5829
50-91-9,furin,0,4.7353,1.3411
79-57-2,furin,0,4.7184,1.6476
6153-64-6,furin,0,4.6388,1.4764
518048-05-0,furin,0,4.8808,1.343
161735-79-1,furin,0,4.3453,1.1473
13492-01-8,furin,1,4.5663,0.7949
549-18-8,furin,0,4.7027,1.4815
79794-75-5,furin,0,4.9069,1.3732
79307-93-0,furin,1,4.9479,1.4094
100299-08-9,furin,1,4.684,1.4075
980-71-2,furin,0,4.4339,1.194
122883-93-6,furin,1,4.9099,1.4168
76824-35-6,furin,0,4.1864,1.7007
154-69-8,furin,1,4.6462,1.0237
2192-20-3,furin,0,4.5091,1.3322
132-20-7,furin,0,4.4042,1.0689
25332-39-2,furin,1,4.8308,1.2714
1104-22-9,furin,0,4.9554,1.647
76963-41-2,furin,0,4.3145,0.9612
521-78-8,furin,0,4.4976,1.1274
14976-57-9,furin,1,4.5311,1.2785
10347-81-6,furin,1,4.4681,2.5004
100643-71-8,furin,1,4.8038,1.5861
132-18-3,furin,0,4.7066,1.3974
83881-52-1,furin,0,4.4952,1.2312
2508-72-7,furin,1,4.5742,1.4986
66357-59-3,furin,0,4.2621,1.1482
140462-76-6,furin,0,4.608,1.2992
3978-86-7,furin,0,4.6226,1.0432
113-92-8,furin,0,4.4318,1.1064
59-33-6,furin,0,4.4705,0.7481
190786-44-8,furin,0,4.7321,1.0298
147-24-0,furin,0,4.6271,1.0985
562-10-7,furin,0,4.6217,0.8136
144598-75-4,furin,1,4.9688,1.8279
137-58-6,furin,0,4.5803,1.1445
85650-52-8,furin,0,4.8876,1.5951
34580-14-8,furin,0,4.6269,1.0999
132-17-2,furin,0,4.5807,1.5936
113-59-7,furin,1,4.8248,1.1716
51481-61-9,furin,1,4.1045,1.5693
4682-36-4,furin,0,4.6445,1.6031
97240-79-4,furin,0,4.8636,2.5697
25451-15-4,furin,1,4.512,1.0168
41100-52-1,furin,0,4.8741,1.9652
1508-76-5,furin,1,4.6408,1.7287
68-41-7,furin,0,4.8672,1.8199
50357-45-4,furin,1,4.147,2.4235
7681-93-8,furin,1,4.6636,2.3487
29342-05-0,furin,0,4.6318,1.1776
41621-49-2,furin,1,4.5938,1.2685
61318-91-0,furin,1,4.618,1.5886
171228-49-2,furin,0,5.1626,0.8851
536-43-6,furin,0,4.4232,1.3602
53123-88-9,furin,0,4.674,3.2957
23593-75-1,furin,1,4.7775,1.1651
64872-77-1,furin,1,4.4762,1.9225
91161-71-6,furin,0,4.5843,1.5329
65473-14-5,furin,1,4.8053,1.1974
78628-80-5,furin,0,4.5997,1.6856
1397-89-3,furin,0,4.8341,5.568
57852-57-0,furin,0,4.87,1.4088
179463-17-3,furin,1,3.9745,2.644
1070-11-7,furin,1,4.4683,1.5219
101827-46-7,furin,1,4.9531,1.6185
137234-62-9,furin,0,4.7684,1.0732
86386-73-4,furin,0,4.7242,1.149
99592-39-9,furin,1,4.8061,1.5133
65899-73-2,furin,0,4.8924,1.0087
24280-93-1,furin,0,4.3505,1.0493
540737-29-9,furin,0,4.8152,1.7492
84625-61-6,furin,0,5.2552,1.0581
65-85-0,furin,0,4.6192,1.5139
24169-02-6,furin,0,4.5687,1.403
22916-47-8,furin,1,4.8838,1.4398
22832-87-7,furin,0,4.6089,1.6683
17321-77-6,furin,1,4.7503,1.4079
74011-58-8,furin,0,4.6686,1.5811
72509-76-3,furin,0,4.5174,1.2388
173334-58-2,furin,1,3.7185,5.5301
941678-49-5,furin,0,4.8497,1.5431
127-79-7,furin,1,4.4606,0.7981
13010-47-4,furin,0,4.3553,1.2083
54527-84-3,furin,1,4.4233,1.3773
90357-06-5,furin,1,4.3906,1.2538
136572-09-3,furin,0,4.8671,1.7405
1177-87-3,furin,1,4.5855,1.364
1264-72-8,furin,1,3.5354,3.7711
54-85-3,furin,0,4.2384,2.0214
23541-50-6,furin,0,4.8883,1.5151
943319-70-8,furin,0,4.9311,1.6982
150399-23-8,furin,0,4.3098,1.6009
475207-59-1,furin,1,4.9289,2.741
1247-42-3,furin,0,4.6889,1.6511
73963-72-1,furin,1,4.5872,1.7665
668270-12-0,furin,1,4.9184,1.6249
154-42-7,furin,0,4.5717,1.2969
129497-78-5,furin,1,4.7553,1.33
220127-57-1,furin,0,4.9778,1.416
184475-35-2,furin,1,4.7934,0.7455
66085-59-4,furin,0,4.2425,1.638
75330-75-5,furin,0,4.5679,1.2835
52-01-7,furin,1,4.8319,1.4953
79902-63-9,furin,0,4.5998,1.2612
78246-49-8,furin,0,4.6846,1.7128
97682-44-5,furin,0,5.0149,1.2729
65928-58-7,furin,0,4.7497,1.7577
63-74-1,furin,1,4.4311,1.2195
73590-58-6,furin,1,4.8089,1.1355
34552-83-5,furin,1,4.8603,1.4363
123318-82-1,furin,1,4.7026,1.613
129453-61-8,furin,0,4.4565,2.8768
183133-96-2,furin,0,4.6375,1.2604
302962-49-8,furin,1,5.0176,1.6111
474-25-9,furin,0,4.7495,1.7911
298-46-4,furin,0,4.6829,1.0829
877399-52-5,furin,0,4.7775,0.9933
183319-69-9,furin,1,4.5847,0.8776
179324-69-7,furin,1,4.4553,0.7492
130-61-0,furin,0,4.8315,1.2903
879085-55-9,furin,0,4.8011,0.9839
68-35-9,furin,1,4.4345,0.8179
82640-04-8,furin,1,4.9883,1.1932
162635-04-3,furin,0,4.6021,3.2227
19237-84-4,furin,1,4.9663,1.7511
50-35-1,furin,1,4.4629,1.3748
1098-60-8,furin,0,4.8576,1.4822
873054-44-5,furin,0,4.9694,2.1125
50-55-5,furin,1,4.9699,1.1796
152459-95-5,furin,1,5.0901,1.0974
127-07-1,furin,0,4.3241,2.6826
153559-49-0,furin,1,4.7901,1.5101
1264-62-6,furin,0,4.7443,2.7973
85622-93-1,furin,0,4.7872,1.179
159351-69-6,furin,1,4.6126,2.9989
117772-70-0,furin,0,4.838,3.1069
84371-65-3,furin,0,4.6791,1.6631
171599-83-0,furin,0,4.857,1.7233
595-33-5,furin,1,4.6927,1.455
144-83-2,furin,1,4.4036,0.9105
19774-82-4,furin,1,4.5653,2.3905
83-43-2,furin,1,4.7194,1.5167
127-56-0,furin,1,4.2803,1.2327
83905-01-5,furin,1,4.9367,3.6658
119413-54-6,furin,0,4.8634,1.1782
118292-40-3,furin,0,4.6277,1.3479
144701-48-4,furin,0,5.2458,1.1501
163222-33-1,furin,1,4.6063,1.1497
641571-10-0,furin,1,5.2382,1.8588
220620-09-7,furin,1,4.5535,1.4124
108341-18-0,furin,0,4.4691,2.1596
21829-25-4,furin,0,4.3504,1.1154
1069-66-5,furin,1,4.5245,1.0251
95635-56-6,furin,0,4.7196,0.9859
2447-57-6,furin,1,4.4923,0.9214
84057-84-1,furin,0,4.7103,0.7892
599-79-1,furin,0,4.6649,0.9145
53716-49-7,furin,1,4.7414,0.935
50-44-2,furin,1,4.5529,1.2101
50-63-5,furin,1,4.5376,2.4594
33069-62-4,furin,0,4.6248,1.0653
3056-17-5,furin,0,4.4952,0.8891
58-61-7,furin,0,4.9416,2.037
96946-42-8,furin,0,4.5341,3.3265
918504-65-1,furin,0,4.7852,1.2251
388082-77-7,furin,0,5.0497,2.5898
50-01-1,furin,1,4.2579,2.7648
64-77-7,furin,1,4.3574,1.0592
915087-33-1,furin,0,4.4775,1.5581
635702-64-6,furin,0,5.0568,1.5165
61825-94-3,furin,0,4.6228,1.856
71125-38-7,furin,0,4.6928,1.1458
53-86-1,furin,0,4.7371,0.8955
155141-29-0,furin,0,4.5429,0.793
443913-73-3,furin,1,4.9854,1.2964
147098-20-2,furin,0,4.6732,2.0956
440-17-5,furin,1,4.9123,1.6084
5451-09-2,furin,1,4.6142,1.3164
320-67-2,furin,0,4.8982,2.1691
112809-51-5,furin,0,4.809,0.7748
22260-51-1,furin,1,4.6857,1.2186
141625-93-6,furin,0,4.5509,2.4671
55981-09-4,furin,0,4.2585,1.5884
150683-30-0,furin,0,4.924,1.4932
231277-92-2,furin,0,5.0097,1.2706
81103-11-9,furin,0,4.9213,3.1721
434-13-9,furin,1,4.7664,1.9082
59-67-6,furin,1,4.6455,1.3595
10238-21-8,furin,0,4.6858,1.1221
81131-70-6,furin,1,4.2421,1.1593
54965-24-1,furin,0,4.5988,2.1059
33419-42-0,furin,0,4.9341,2.0653
127-69-5,furin,1,4.5036,0.857
25316-40-9,furin,0,4.858,1.5894
106685-40-9,furin,0,4.9587,1.6003
341031-54-7,furin,0,4.4796,1.8141
84680-54-6,furin,0,4.4384,1.8416
134523-03-8,furin,0,4.7882,2.5405
144-82-1,furin,1,4.5084,0.8661
51022-70-9,furin,1,4.7033,3.4086
444731-52-6,furin,1,5.041,1.3633
75695-93-1,furin,0,4.7005,1.6239
93957-55-2,furin,0,4.4533,1.1461
122111-03-9,furin,0,4.7463,1.5749
118072-93-8,furin,0,4.4106,1.3058
1476-53-5,furin,1,4.4851,1.2404
55079-83-9,furin,1,4.3289,2.0652
104987-11-3,furin,0,4.5666,2.2395
302-79-4,furin,1,4.3369,2.3593
50-78-2,furin,1,4.366,1.2759
56296-78-7,furin,1,4.6187,1.3556
1115-70-4,furin,1,4.4274,2.1961
49562-28-9,furin,1,4.5071,1.2203
1404-93-9,furin,0,4.8921,3.2765
38194-50-2,furin,0,4.552,1.4204
26159-34-2,furin,1,4.4635,1.3221
122320-73-4,furin,0,4.6447,1.0725
723-46-6,furin,1,4.4785,0.7717
302543-62-0,furin,0,4.6625,0.886
72-14-0,furin,0,4.4437,0.7647
77883-43-3,furin,0,4.9401,1.9152
107-35-7,furin,0,4.7063,1.755
380843-75-4,furin,0,4.8867,0.9733
755037-03-7,furin,0,4.7147,1.9693
624-49-7,furin,1,4.477,1.3791
95058-81-4,furin,0,4.7742,1.5251
6493-05-6,furin,1,4.5471,1.3921
156-57-0,furin,1,4.7635,2.1781
147526-32-7,furin,1,4.8809,1.0606
553-08-2,furin,0,4.2091,3.0634
149647-78-9,furin,1,4.1417,2.0062
30652-11-0,furin,1,4.7795,1.3436
101152-94-7,furin,1,4.5027,1.5247
136434-34-9,furin,0,4.8037,0.8897
367514-88-3,furin,0,4.8264,2.0153
82248-59-7,furin,0,4.5846,1.1877
317-34-0,furin,0,5.1026,2.5211
479-18-5,furin,1,4.7348,1.4522
53885-35-1,furin,1,4.7696,1.359
443-48-1,furin,0,4.4802,0.7466
3366-95-8,furin,1,4.4981,0.8114
63-45-6,furin,1,4.5211,2.1446
148-79-8,furin,0,4.8705,0.6515
95233-18-4,furin,1,4.8148,1.1211
55268-74-1,furin,1,4.7233,1.8403
54029-12-8,furin,0,4.63,1.1021
37091-65-9,furin,0,4.2484,1.5986
58-14-0,furin,1,4.6951,0.8647
50-65-7,furin,0,4.3636,1.2173
71963-77-4,furin,1,4.808,2.3638
6119-47-7,furin,0,4.4609,2.5243
54965-21-8,furin,0,4.5437,0.9518
1263-89-4,furin,0,4.5106,3.3764
24729-96-2,furin,0,4.4273,1.3109
57808-65-8,furin,0,4.698,2.9578
56180-94-0,furin,1,4.2056,2.5071
115436-72-1,furin,0,4.1908,1.1918
105462-24-6,furin,0,4.3463,1.6291
134308-13-7,furin,1,4.2109,1.682
130929-57-6,furin,0,4.0117,2.1725
121268-17-5,furin,0,4.1537,1.8666
162401-32-3,furin,0,4.6918,0.9243
36791-04-5,furin,1,4.8089,1.7198
101-26-8,furin,1,4.4401,1.5771
129101-54-8,furin,0,4.6837,1.6424
541-22-0,furin,1,4.0277,2.5128
120011-70-3,furin,0,4.8092,1.1012
849217-68-1,furin,1,4.8771,0.6688
319460-85-0,furin,1,4.9238,0.7368
198480-56-7,furin,1,5.1078,1.4932
97-77-8,furin,0,4.5629,2.1625
376348-65-1,furin,0,4.8998,1.1892
936563-96-1,furin,0,4.8979,0.691
30516-87-1,furin,0,4.3219,1.0842
29094-61-9,furin,1,4.6977,0.7779
23288-49-5,furin,1,4.9276,3.9419
94-20-2,furin,0,4.4756,0.9956
637-07-0,furin,0,4.5377,0.9799
105816-04-4,furin,1,4.5204,1.4492
89-57-6,furin,1,4.3718,1.7996
112529-15-4,furin,0,4.6543,0.9268
882-09-7,furin,1,4.5805,0.9871
135062-02-1,furin,1,4.7281,1.2847
111025-46-8,furin,0,4.6341,1.091
25812-30-0,furin,0,4.4424,1.2488
