dataset_label,comparison_name,model_type,p,spearman_mean,spearman_std,n_outer_folds,spearman_sem,model_complexity_rank,selection_metric,selection_rule,best_metric_mean,best_metric_sem,one_se_threshold,one_se_eligible,official_selected,final_model_params,selected_final_inference_path,selected_oof_predictions_path,evidence_type
furin,chemical_descriptors,ridge,13,0.0796,0.1909,5,0.0854,0,spearman,one_se_simpler,0.0964,0.0441,0.0523,True,True,{'alpha': 0.0419},results/round_synthetic/selected_models/furin_selected_final_inference.csv,results/round_synthetic/selected_models/furin_selected_oof_predictions.csv,outer_cv_oof_selected_after_cv
furin,chemical_descriptors,xgboost,13,-0.0175,0.1175,5,0.0526,1,spearman,one_se_simpler,0.0964,0.0441,0.0523,False,False,,,,
furin,method_ranks,ridge,6,-0.04,0.1976,5,0.0884,0,spearman,one_se_simpler,0.0964,0.0441,0.0523,False,False,,,,
furin,method_ranks,xgboost,6,-0.0294,0.0621,5,0.0278,1,spearman,one_se_simpler,0.0964,0.0441,0.0523,False,False,,,,
furin,method_scores,ridge,6,-0.0813,0.1748,5,0.0782,0,spearman,one_se_simpler,0.0964,0.0441,0.0523,False,False,,,,
furin,method_scores,xgboost,6,-0.0294,0.0621,5,0.0278,1,spearman,one_se_simpler,0.0964,0.0441,0.0523,False,False,,,,
furin,method_scores_plus_chemical_descriptors,ridge,19,0.0267,0.2131,5,0.0953,0,spearman,one_se_simpler,0.0964,0.0441,0.0523,False,False,,,,
furin,method_scores_plus_chemical_descriptors,xgboost,19,0.0964,0.0986,5,0.0441,1,spearman,one_se_simpler,0.0964,0.0441,0.0523,True,False,,,,
furin,method_scores_plus_glide_uncertainty,ridge,7,-0.042,0.2051,5,0.0917,0,spearman,one_se_simpler,0.0964,0.0441,0.0523,False,False,,,,
furin,method_scores_plus_glide_uncertainty,xgboost,7,0.0342,0.0997,5,0.0446,1,spearman,one_se_simpler,0.0964,0.0441,0.0523,False,False,,,,
furin,method_scores_plus_method_ranks,ridge,12,-0.093,0.1598,5,0.0714,0,spearman,one_se_simpler,0.0964,0.0441,0.0523,False,False,,,,
furin,method_scores_plus_method_ranks,xgboost,12,-0.0447,0.073,5,0.0327,1,spearman,one_se_simpler,0.0964,0.0441,0.0523,False,False,,,,
furin,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,-0.0472,0.1409,5,0.063,0,spearman,one_se_simpler,0.0964,0.0441,0.0523,False,False,,,,
furin,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,0.0031,0.1009,5,0.0451,1,spearman,one_se_simpler,0.0964,0.0441,0.0523,False,False,,,,
furin,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,0.0207,0.1449,5,0.0648,0,spearman,one_se_simpler,0.0964,0.0441,0.0523,False,False,,,,
furin,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,0.0482,0.0635,5,0.0284,1,spearman,one_se_simpler,0.0964,0.0441,0.0523,False,False,,,,
