id,target,in_experimental_data,pred_mean,pred_err
103177-37-3,na_ph1n1,0,3.853,0.3737
99464-64-9,na_ph1n1,1,4.2694,0.3708
23180-57-6,na_ph1n1,1,5.7016,1.2486
50-27-1,na_ph1n1,1,5.4675,0.3088
2627-69-2,na_ph1n1,0,4.0032,0.3517
58186-27-9,na_ph1n1,1,3.8336,0.602
93793-83-0,na_ph1n1,0,3.7108,0.5315
39133-31-8,na_ph1n1,0,4.3889,0.3948
34552-84-6,na_ph1n1,0,5.1507,0.3941
112885-42-4,na_ph1n1,1,4.2513,0.4331
51803-78-2,na_ph1n1,0,4.8295,0.3995
141505-33-1,na_ph1n1,0,4.4571,0.4709
183320-51-6,na_ph1n1,0,4.164,0.6651
101477-54-7,na_ph1n1,0,3.8973,0.4393
50-02-2,na_ph1n1,0,4.0698,0.9947
96829-58-2,na_ph1n1,1,4.4102,1.1514
98-96-4,na_ph1n1,0,3.3444,0.4781
541-15-1,na_ph1n1,0,4.2811,0.3242
65277-42-1,na_ph1n1,1,4.1887,0.5084
70-00-8,na_ph1n1,0,4.4167,0.3937
39809-25-1,na_ph1n1,0,4.4561,0.3508
54-42-2,na_ph1n1,0,4.6864,0.3049
124832-27-5,na_ph1n1,0,5.2848,0.3355
5536-17-4,na_ph1n1,0,4.255,0.5656
147-94-4,na_ph1n1,1,4.6793,0.2745
99011-02-6,na_ph1n1,0,3.794,0.396
70288-86-7,na_ph1n1,0,4.9839,0.5514
59277-89-3,na_ph1n1,0,4.0932,0.4811
82410-32-0,na_ph1n1,1,4.5873,0.5107
104227-87-4,na_ph1n1,0,4.102,0.5314
50-91-9,na_ph1n1,1,4.42,0.4047
79-57-2,na_ph1n1,0,5.0628,0.6179
6153-64-6,na_ph1n1,0,5.1024,0.7285
518048-05-0,na_ph1n1,1,4.9267,0.5982
161735-79-1,na_ph1n1,0,3.9271,0.6699
13492-01-8,na_ph1n1,0,4.3307,0.4752
549-18-8,na_ph1n1,0,3.9682,0.2322
79794-75-5,na_ph1n1,0,4.0586,0.3594
79307-93-0,na_ph1n1,0,4.4932,0.4532
100299-08-9,na_ph1n1,0,4.3704,0.493
980-71-2,na_ph1n1,0,4.1881,0.3877
122883-93-6,na_ph1n1,0,3.9068,0.2805
76824-35-6,na_ph1n1,0,4.2098,0.4379
154-69-8,na_ph1n1,0,3.8625,0.392
2192-20-3,na_ph1n1,1,4.9127,0.3882
132-20-7,na_ph1n1,0,4.2984,0.23
25332-39-2,na_ph1n1,0,4.044,0.3165
1104-22-9,na_ph1n1,1,4.4401,0.5948
76963-41-2,na_ph1n1,0,4.0681,0.645
521-78-8,na_ph1n1,0,3.8073,0.3157
14976-57-9,na_ph1n1,0,4.142,0.426
10347-81-6,na_ph1n1,1,4.7271,0.4119
100643-71-8,na_ph1n1,0,4.803,0.5624
132-18-3,na_ph1n1,0,4.3859,0.3559
83881-52-1,na_ph1n1,1,5.0837,0.2222
2508-72-7,na_ph1n1,0,4.2787,0.485
66357-59-3,na_ph1n1,1,3.9918,0.3436
140462-76-6,na_ph1n1,1,4.5436,0.5132
3978-86-7,na_ph1n1,0,3.8713,0.3721
113-92-8,na_ph1n1,0,4.4602,0.3077
59-33-6,na_ph1n1,1,3.4785,0.3467
190786-44-8,na_ph1n1,0,5.0703,0.6693
147-24-0,na_ph1n1,1,4.1296,0.5553
562-10-7,na_ph1n1,0,3.5116,0.4523
144598-75-4,na_ph1n1,0,4.2413,0.2155
137-58-6,na_ph1n1,1,3.1297,0.5084
85650-52-8,na_ph1n1,0,3.675,0.7387
34580-14-8,na_ph1n1,1,4.1075,0.3109
132-17-2,na_ph1n1,1,4.7911,0.6721
113-59-7,na_ph1n1,0,4.2862,0.9543
51481-61-9,na_ph1n1,0,2.7764,0.5044
4682-36-4,na_ph1n1,0,3.8305,0.2224
97240-79-4,na_ph1n1,0,4.8189,0.6505
25451-15-4,na_ph1n1,0,3.5558,0.3974
41100-52-1,na_ph1n1,1,4.7502,0.5414
1508-76-5,na_ph1n1,1,4.5189,0.425
68-41-7,na_ph1n1,1,3.8951,0.3412
50357-45-4,na_ph1n1,1,4.6132,0.2371
7681-93-8,na_ph1n1,0,6.3922,0.5617
29342-05-0,na_ph1n1,0,3.7885,0.7024
41621-49-2,na_ph1n1,0,3.8617,0.7388
61318-91-0,na_ph1n1,0,5.0199,0.4337
171228-49-2,na_ph1n1,0,4.5061,0.3847
536-43-6,na_ph1n1,0,3.5137,0.4391
53123-88-9,na_ph1n1,0,5.0448,0.9282
23593-75-1,na_ph1n1,1,4.3464,0.6034
64872-77-1,na_ph1n1,0,4.753,0.532
91161-71-6,na_ph1n1,0,4.3648,0.4162
65473-14-5,na_ph1n1,1,4.6452,0.3851
78628-80-5,na_ph1n1,0,4.357,0.4989
