dataset_label,comparison_name,model_type,p,spearman_mean,spearman_std,n_outer_folds,spearman_sem,model_complexity_rank,selection_metric,selection_rule,best_metric_mean,best_metric_sem,one_se_threshold,one_se_eligible,official_selected,final_model_params,selected_final_inference_path,selected_oof_predictions_path,evidence_type
na,chemical_descriptors,ridge,13,0.5448,0.0206,5,0.0092,0,spearman,one_se_simpler,0.9109,0.0077,0.9032,False,False,,,,
na,chemical_descriptors,xgboost,13,0.637,0.019,5,0.0085,1,spearman,one_se_simpler,0.9109,0.0077,0.9032,False,False,,,,
na,method_scores,ridge,6,0.8871,0.0137,5,0.0061,0,spearman,one_se_simpler,0.9109,0.0077,0.9032,False,False,,,,
na,method_scores,xgboost,6,0.8861,0.0146,5,0.0065,1,spearman,one_se_simpler,0.9109,0.0077,0.9032,False,False,,,,
na,method_scores_plus_chemical_descriptors_plus_target_context,ridge,33,0.8836,0.0142,5,0.0064,0,spearman,one_se_simpler,0.9109,0.0077,0.9032,False,False,,,,
na,method_scores_plus_chemical_descriptors_plus_target_context,xgboost,33,0.8894,0.0138,5,0.0062,1,spearman,one_se_simpler,0.9109,0.0077,0.9032,False,False,,,,
na,method_scores_plus_glide_uncertainty_plus_target_context,ridge,21,0.8864,0.0125,5,0.0056,0,spearman,one_se_simpler,0.9109,0.0077,0.9032,False,False,,,,
na,method_scores_plus_glide_uncertainty_plus_target_context,xgboost,21,0.8897,0.0168,5,0.0075,1,spearman,one_se_simpler,0.9109,0.0077,0.9032,False,False,,,,
na,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,ridge,49,0.9084,0.0177,5,0.0079,0,spearman,one_se_simpler,0.9109,0.0077,0.9032,True,False,,,,
na,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,xgboost,49,0.9024,0.0196,5,0.0088,1,spearman,one_se_simpler,0.9109,0.0077,0.9032,False,False,,,,
na,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,ridge,35,0.9109,0.0173,5,0.0077,0,spearman,one_se_simpler,0.9109,0.0077,0.9032,True,True,{'alpha': 0.0419},results/round_synthetic/selected_models/na_selected_final_inference.csv,results/round_synthetic/selected_models/na_selected_oof_predictions.csv,outer_cv_oof_selected_after_cv
na,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,xgboost,35,0.901,0.0229,5,0.0102,1,spearman,one_se_simpler,0.9109,0.0077,0.9032,False,False,,,,
na,method_scores_plus_target_context,ridge,20,0.887,0.0133,5,0.006,0,spearman,one_se_simpler,0.9109,0.0077,0.9032,False,False,,,,
na,method_scores_plus_target_context,xgboost,20,0.8909,0.02,5,0.0089,1,spearman,one_se_simpler,0.9109,0.0077,0.9032,False,False,,,,
