dataset_label,comparison_name,model_type,p,spearman_mean,spearman_std,n_outer_folds,spearman_sem,model_complexity_rank,selection_metric,selection_rule,best_metric_mean,best_metric_sem,one_se_threshold,one_se_eligible,official_selected,final_model_params,selected_final_inference_path,selected_oof_predictions_path,evidence_type
pa,chemical_descriptors,ridge,13,0.0825,0.063,5,0.0282,0,spearman,one_se_simpler,0.69,0.0079,0.6821,False,False,,,,
pa,chemical_descriptors,xgboost,13,0.69,0.0177,5,0.0079,1,spearman,one_se_simpler,0.69,0.0079,0.6821,True,True,"{'learning_rate': 0.0897, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.739}",results/round_synthetic/selected_models/pa_selected_final_inference.csv,results/round_synthetic/selected_models/pa_selected_oof_predictions.csv,outer_cv_oof_selected_after_cv
pa,method_scores,ridge,6,0.0561,0.0476,5,0.0213,0,spearman,one_se_simpler,0.69,0.0079,0.6821,False,False,,,,
pa,method_scores,xgboost,6,0.3437,0.0338,5,0.0151,1,spearman,one_se_simpler,0.69,0.0079,0.6821,False,False,,,,
pa,method_scores_plus_chemical_descriptors_plus_target_context,ridge,33,0.131,0.0696,5,0.0311,0,spearman,one_se_simpler,0.69,0.0079,0.6821,False,False,,,,
pa,method_scores_plus_chemical_descriptors_plus_target_context,xgboost,33,0.6144,0.0317,5,0.0142,1,spearman,one_se_simpler,0.69,0.0079,0.6821,False,False,,,,
pa,method_scores_plus_glide_uncertainty_plus_target_context,ridge,21,0.13,0.0579,5,0.0259,0,spearman,one_se_simpler,0.69,0.0079,0.6821,False,False,,,,
pa,method_scores_plus_glide_uncertainty_plus_target_context,xgboost,21,0.2742,0.0392,5,0.0175,1,spearman,one_se_simpler,0.69,0.0079,0.6821,False,False,,,,
pa,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,ridge,49,0.1844,0.1198,5,0.0536,0,spearman,one_se_simpler,0.69,0.0079,0.6821,False,False,,,,
pa,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,xgboost,49,0.606,0.0516,5,0.0231,1,spearman,one_se_simpler,0.69,0.0079,0.6821,False,False,,,,
pa,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,ridge,35,0.146,0.099,5,0.0443,0,spearman,one_se_simpler,0.69,0.0079,0.6821,False,False,,,,
pa,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,xgboost,35,0.3506,0.0584,5,0.0261,1,spearman,one_se_simpler,0.69,0.0079,0.6821,False,False,,,,
pa,method_scores_plus_target_context,ridge,20,0.0991,0.0443,5,0.0198,0,spearman,one_se_simpler,0.69,0.0079,0.6821,False,False,,,,
pa,method_scores_plus_target_context,xgboost,20,0.2133,0.0395,5,0.0177,1,spearman,one_se_simpler,0.69,0.0079,0.6821,False,False,,,,
