target_class,id,smiles,source,assayed_any,n_assays,n_assayed_targets,assayed_targets,assay_rounds,label_pkd_mean,label_pkd_max,label_pkd_min,murcko_scaffold,scaffold_type,scaffold_library_count,scaffold_assayed_count,umap_x,umap_y,assay_plot_group
na,Z9352686734,Cn1nc(Br)c(C[NH2+][C@H](CO)c2ccc(C(=O)[O-])cc2)n1,Enamine,False,0,0,,,,,,c1ccc(C[NH2+]Cc2cn[nH]n2)cc1,murcko,1,0,11.047608375549316,3.8547253608703613,Unassayed
na,Z8866082194,N[C@H]1C[C@@H](C(=O)N(Cc2ccccc2)[C@@H]2C[NH2+]C[C@H]2O)C[C@@H]1O,Enamine,False,0,0,,,,,,O=C(C1CCCC1)N(Cc1ccccc1)[C@H]1CC[NH2+]C1,murcko,1,0,10.314715385437012,4.6728291511535645,Unassayed
na,Z18356072,COC(=O)c1sc(N)c(C(=O)OC)c1CSc1n[nH]c(N)n1,Enamine,False,0,0,,,,,,c1nc(SCc2ccsc2)n[nH]1,murcko,1,0,11.575643539428711,0.5399368405342102,Unassayed
na,Z9241054837,O=C(c1cnc(Cl)[n-]1)N1C[C@@H](O)C[C@H](NC(=O)[C@@]23CCC[N@@H+](CC2)C3)C1,Enamine,False,0,0,,,,,,O=C(c1cnc[n-]1)N1CCC[C@H](NC(=O)[C@@]23CCC[N@@H+](CC2)C3)C1,murcko,1,0,12.033051490783691,1.3743839263916016,Unassayed
na,Z9402735312,C[C@@H](OC(=O)[C@@H]1CC2OC1[C@H](O)[C@H]2O)c1cccc[nH+]1,Enamine,False,0,0,,,,,,O=C(OCc1cccc[nH+]1)[C@@H]1CC2CCC1O2,murcko,1,0,9.854762077331543,4.690652847290039,Unassayed
na,Z2044040104,C[N@H+]1CC[C@@H](Oc2ccc(CNC(=O)NCCF)cc2)CC1,Enamine,False,0,0,,,,,,c1ccc(OC2CC[NH2+]CC2)cc1,murcko,2,0,11.066545486450195,2.2091026306152344,Unassayed
na,Z7255733044,[NH3+][C@@H]1C[C@@H](O)[C@H]1CC(=O)N1CCNC[C@@H](O)C1,Enamine,False,0,0,,,,,,O=C(CC1CCC1)N1CCCNCC1,murcko,1,0,11.777082443237305,0.9629840850830078,Unassayed
na,Z5379185851,Cc1ccc(NS(=O)(=O)c2cccc(C(=O)N3CCC[NH2+]CC3)c2)c2[nH]cc(C#N)c12,Enamine,False,0,0,,,,,,O=C(c1cccc(S(=O)(=O)Nc2cccc3cc[nH]c23)c1)N1CCC[NH2+]CC1,murcko,1,0,12.812179565429688,3.433464527130127,Unassayed
na,Z56761636,O=c1[nH]c([O-])c(C(c2c([O-])[nH]c(=O)[nH]c2=O)[C@H]2COC[C@@H](CO)[C@H](O)[C@@H](O)[C@H]2O)c(=O)[nH]1,Enamine,False,0,0,,,,,,O=c1[nH]cc(C(c2c[nH]c(=O)[nH]c2=O)[C@@H]2CCCCCOC2)c(=O)[nH]1,murcko,1,0,16.230379104614258,6.62874698638916,Unassayed
na,Z5210478367,N#Cc1cnn2c([O-])cc(CN[C@H](CCO)C3CCCCC3)nc12,Enamine,False,0,0,,,,,,c1cc2nc(CNCC3CCCCC3)ccn2n1,murcko,1,0,12.990382194519043,2.797844648361206,Unassayed
na,Z57461374,CCOc1cc([C@H]2C(C(=O)c3cc4ccccc4o3)=C([O-])C(=O)N2CC[NH+]2CCOCC2)ccc1O,Enamine,False,0,0,,,,,,O=C(C1=CC(=O)N(CC[NH+]2CCOCC2)[C@H]1c1ccccc1)c1cc2ccccc2o1,murcko,1,0,10.257859230041504,2.2695608139038086,Unassayed
na,Z9270850654,O=C(OCc1ccc(F)c(B(O)O)c1)[C@H]1CCCC[N@H+]1CC(F)F,Enamine,False,0,0,,,,,,O=C(OCc1ccccc1)[C@H]1CCCC[NH2+]1,murcko,2,0,10.503105163574219,1.4804611206054688,Unassayed
na,Z336481792,CC[NH+](CC)CCCN1C(=O)C([O-])=C(C(=O)c2c(C)[nH]c(C(=O)OC)c2C)[C@@H]1c1cccnc1,Enamine,False,0,0,,,,,,O=C1C=C(C(=O)c2cc[nH]c2)[C@H](c2cccnc2)N1,murcko,1,0,10.183544158935547,2.3776121139526367,Unassayed
