target_class,murcko_scaffold,scaffold_type,scaffold_library_count,scaffold_assayed_count,scaffold_assayed_fraction,n_assays,assayed_targets
fasn,c1ccccc1,murcko,175,24,0.13714285714285715,24,fasn
fasn,c1ccncc1,murcko,14,5,0.35714285714285715,5,fasn
fasn,O=C(Cc1ccccc1)N[C@@H]1C(=O)N2CCS[C@H]12,murcko,7,4,0.5714285714285714,4,fasn
fasn,c1ncc2ncn([C@H]3CCCO3)c2n1,murcko,16,3,0.1875,3,fasn
fasn,c1c[nH]cn1,murcko,14,3,0.21428571428571427,3,fasn
fasn,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,murcko,16,2,0.125,2,fasn
fasn,O=C1C=C2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1,murcko,14,2,0.14285714285714285,2,fasn
fasn,O=C(c1ccccc1)c1ccccc1,murcko,12,2,0.16666666666666666,2,fasn
fasn,C1=CC(c2ccccc2)C=CN1,murcko,9,2,0.2222222222222222,2,fasn
fasn,c1ccc(Oc2ccccc2)cc1,murcko,9,2,0.2222222222222222,2,fasn
fasn,c1ccccc1.c1ccccc1,murcko,9,2,0.2222222222222222,2,fasn
fasn,c1ccc(Nc2ccccc2)cc1,murcko,8,2,0.25,2,fasn
fasn,O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,murcko,6,2,0.3333333333333333,2,fasn
fasn,c1ccc(COC(Cn2ccnc2)c2ccccc2)cc1,murcko,5,2,0.4,2,fasn
fasn,O=S(=O)(Nc1ncccn1)c1ccccc1,murcko,4,2,0.5,2,fasn
fasn,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,murcko,3,2,0.6666666666666666,2,fasn
fasn,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2C3OCO[C@@H]3C[C@H]21,murcko,3,2,0.6666666666666666,2,fasn
fasn,c1ccc(Cn2ccnc2)cc1,murcko,3,2,0.6666666666666666,2,fasn
fasn,c1ccc2c(c1)CCC1C2CCC2CCCC21,murcko,3,2,0.6666666666666666,2,fasn
fasn,c1cn([C@H]2CCCO2)cn1,murcko,3,2,0.6666666666666666,2,fasn
fasn,O=C1C=C2C=C[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1,murcko,2,2,1.0,2,fasn
fasn,O=C1C=CC2C(=C1)CC[C@@H]1[C@@H]2CCC2C3OCO[C@@H]3C[C@H]21,murcko,2,2,1.0,2,fasn
fasn,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,murcko,18,1,0.05555555555555555,1,fasn
fasn,O=C1C2=CC3C(=O)C=CC[C@@H]3C[C@@H]2Cc2ccccc21,murcko,14,1,0.07142857142857142,1,fasn
fasn,c1ccc(Cc2ccccc2)cc1,murcko,14,1,0.07142857142857142,1,fasn
fasn,c1ncc2nc[nH]c2n1,murcko,11,1,0.09090909090909091,1,fasn
fasn,O=c1ncccn1[C@H]1CCCO1,murcko,9,1,0.1111111111111111,1,fasn
fasn,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,murcko,8,1,0.125,1,fasn
fasn,c1ccc(Cc2ccccn2)cc1,murcko,8,1,0.125,1,fasn
fasn,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,murcko,8,1,0.125,1,fasn
fasn,c1ccc2c(c1)CCc1ccccc1N2,murcko,8,1,0.125,1,fasn
fasn,c1ccc2ccccc2c1,murcko,8,1,0.125,1,fasn
fasn,C1=CCCCC1,murcko,7,1,0.14285714285714285,1,fasn
fasn,C1CCCCC1,murcko,7,1,0.14285714285714285,1,fasn
fasn,O=C(Cc1ccccc1)N[C@@H]1C(=O)N2C=CCS[C@H]12,murcko,7,1,0.14285714285714285,1,fasn
fasn,O=c1c(-c2ccccc2)coc2ccccc12,murcko,7,1,0.14285714285714285,1,fasn
fasn,C(=C\c1ccccc1)/c1ccccc1,murcko,6,1,0.16666666666666666,1,fasn
fasn,O=C(Nc1ccccc1)C1CCCCN1,murcko,6,1,0.16666666666666666,1,fasn
fasn,c1ccc(CC2CCCCC2)cc1,murcko,6,1,0.16666666666666666,1,fasn
fasn,c1ccc2[nH]cnc2c1,murcko,6,1,0.16666666666666666,1,fasn
fasn,C1C2CC3CC1CC(C2)C3,murcko,5,1,0.2,1,fasn
fasn,C1CCOCC1,murcko,5,1,0.2,1,fasn
fasn,O=C(c1ccccc1)c1coc2ccccc12,murcko,5,1,0.2,1,fasn
fasn,c1ccc(CN2CCc3sccc3C2)cc1,murcko,5,1,0.2,1,fasn
fasn,C1CCNCC1,murcko,4,1,0.25,1,fasn
fasn,O=C(Nc1ccccc1)c1ccccc1,murcko,4,1,0.25,1,fasn
fasn,O=C1CCCC1,murcko,4,1,0.25,1,fasn
fasn,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,murcko,4,1,0.25,1,fasn
fasn,c1ccc(CCNCCOc2ccccc2)cc1,murcko,4,1,0.25,1,fasn
fasn,c1ccc(CCOCC2CC2)cc1,murcko,4,1,0.25,1,fasn
fasn,c1ccc2c(c1)Nc1ccccc1S2,murcko,4,1,0.25,1,fasn
fasn,C1CCNC1,murcko,3,1,0.3333333333333333,1,fasn
fasn,C1C[C@H]2OCC[C@H]2O1,murcko,3,1,0.3333333333333333,1,fasn
fasn,C=C1CCCC/C1=C/C=C1\CCCC2CCC[C@@H]12,murcko,3,1,0.3333333333333333,1,fasn
fasn,O=C(Nc1ccccc1)c1cnc(Nc2cc(N3CCNCC3)ncn2)s1,murcko,3,1,0.3333333333333333,1,fasn
fasn,O=C(Nc1ccccn1)c1ccc2[nH]c(CNc3ccccc3)nc2c1,murcko,3,1,0.3333333333333333,1,fasn
fasn,O=C(c1ccccc1)n1ccc2ccccc21,murcko,3,1,0.3333333333333333,1,fasn
fasn,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,murcko,3,1,0.3333333333333333,1,fasn
fasn,O=C1CCC=CCC(=O)C[C@@H](CCC2CCCCC2)OC(=O)[C@@H]2CCCCN2C(=O)C(=O)C2CCC[C@@H](CC/C=C/C=C/C=C/CCC1)O2,murcko,3,1,0.3333333333333333,1,fasn
