target_class,murcko_scaffold,scaffold_type,scaffold_library_count,scaffold_assayed_count,scaffold_assayed_fraction,n_assays,assayed_targets
furin,c1ccccc1,murcko,175,23,0.13142857142857142,23,furin
furin,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,murcko,18,4,0.2222222222222222,4,furin
furin,c1c[nH]cn1,murcko,14,4,0.2857142857142857,4,furin
furin,c1ccncc1,murcko,14,4,0.2857142857142857,4,furin
furin,O=C1C=C2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1,murcko,14,3,0.21428571428571427,3,furin
furin,c1ccc(Oc2ccccc2)cc1,murcko,9,3,0.3333333333333333,3,furin
furin,c1ccccc1.c1ccccc1,murcko,9,3,0.3333333333333333,3,furin
furin,O=S(=O)(Nc1ncccn1)c1ccccc1,murcko,4,3,0.75,3,furin
furin,c1ncc2ncn([C@H]3CCCO3)c2n1,murcko,16,2,0.125,2,furin
furin,c1ccc(Nc2ncnc3ccccc23)cc1,murcko,15,2,0.13333333333333333,2,furin
furin,c1ccc(Cc2ccccc2)cc1,murcko,14,2,0.14285714285714285,2,furin
furin,O=C(c1ccccc1)c1ccccc1,murcko,12,2,0.16666666666666666,2,furin
furin,c1ccc2ncccc2c1,murcko,12,2,0.16666666666666666,2,furin
furin,C1=CC(c2ccccc2)C=CN1,murcko,9,2,0.2222222222222222,2,furin
furin,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,murcko,8,2,0.25,2,furin
furin,O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,murcko,6,2,0.3333333333333333,2,furin
furin,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,murcko,5,2,0.4,2,furin
furin,O=c1nccc[nH]1,murcko,4,2,0.5,2,furin
furin,O=C(Nc1ccccn1)c1ccc2[nH]c(CNc3ccccc3)nc2c1,murcko,3,2,0.6666666666666666,2,furin
furin,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,murcko,3,2,0.6666666666666666,2,furin
furin,O=C1C=CC2C(=C1)CC[C@@H]1[C@@H]2CCC2C3OCO[C@@H]3C[C@H]21,murcko,2,2,1.0,2,furin
furin,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,murcko,16,1,0.0625,1,furin
furin,O=C1C2=CC3C(=O)C=CC[C@@H]3C[C@@H]2Cc2ccccc21,murcko,14,1,0.07142857142857142,1,furin
furin,O=c1ncccn1[C@H]1CCCO1,murcko,9,1,0.1111111111111111,1,furin
furin,c1ccc(COc2ccccc2)cc1,murcko,9,1,0.1111111111111111,1,furin
furin,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1,murcko,9,1,0.1111111111111111,1,furin
furin,c1ccc(Nc2ccccc2)cc1,murcko,8,1,0.125,1,furin
furin,c1ccc2c(c1)CCc1ccccc1N2,murcko,8,1,0.125,1,furin
furin,c1ccc2ccccc2c1,murcko,8,1,0.125,1,furin
furin,C1=CCCCC1,murcko,7,1,0.14285714285714285,1,furin
furin,N=C(C(=O)N[C@@H]1C(=O)N2C=CCS[C@H]12)c1cscn1,murcko,7,1,0.14285714285714285,1,furin
furin,O=C(Cc1ccccc1)N[C@@H]1C(=O)N2C=CCS[C@H]12,murcko,7,1,0.14285714285714285,1,furin
furin,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,murcko,7,1,0.14285714285714285,1,furin
furin,c1ccc(-c2cncnc2)cc1,murcko,7,1,0.14285714285714285,1,furin
furin,O=C(NC[C@@H]1CCCCO1)[C@@H]1CCCN1,murcko,6,1,0.16666666666666666,1,furin
furin,c1ccc(CC2CCCCC2)cc1,murcko,6,1,0.16666666666666666,1,furin
furin,c1ccc2[nH]cnc2c1,murcko,6,1,0.16666666666666666,1,furin
furin,C1CC[C@H]2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2C1,murcko,5,1,0.2,1,furin
furin,O=C(CCc1ccccc1)c1ccccc1,murcko,5,1,0.2,1,furin
furin,O=C(c1ccccc1)c1coc2ccccc12,murcko,5,1,0.2,1,furin
furin,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCC[C@@H]3O[C@H]1CCCCO1,murcko,5,1,0.2,1,furin
furin,O=c1nc[nH]c2[nH]cnc12,murcko,5,1,0.2,1,furin
furin,c1cc[nH+]cc1,murcko,5,1,0.2,1,furin
furin,c1ccc(CN2CCc3sccc3C2)cc1,murcko,5,1,0.2,1,furin
furin,c1ccc(COC(Cn2ccnc2)c2ccccc2)cc1,murcko,5,1,0.2,1,furin
furin,C1CCNCC1,murcko,4,1,0.25,1,furin
