target_class,murcko_scaffold,scaffold_type,scaffold_library_count,scaffold_assayed_count,scaffold_assayed_fraction,n_assays,assayed_targets
na,c1ccccc1,murcko,224,69,0.3080357142857143,98,na_h3n2|na_h5n1|na_ph1n1
na,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,murcko,18,8,0.4444444444444444,11,na_h3n2|na_h5n1|na_ph1n1
na,c1c[nH]cn1,murcko,14,8,0.5714285714285714,12,na_h3n2|na_h5n1|na_ph1n1
na,c1ccncc1,murcko,14,8,0.5714285714285714,15,na_h3n2|na_h5n1|na_ph1n1
na,c1ccc2ncccc2c1,murcko,12,7,0.5833333333333334,11,na_h3n2|na_h5n1|na_ph1n1
na,C1=CC(c2ccccc2)C=CN1,murcko,9,6,0.6666666666666666,9,na_h3n2|na_h5n1|na_ph1n1
na,c1ccccc1.c1ccccc1,murcko,9,6,0.6666666666666666,7,na_h3n2|na_h5n1|na_ph1n1
na,c1ncc2ncn([C@H]3CCCO3)c2n1,murcko,19,5,0.2631578947368421,8,na_h3n2|na_h5n1|na_ph1n1
na,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,murcko,17,5,0.29411764705882354,7,na_h3n2|na_h5n1|na_ph1n1
na,O=c1ncccn1[C@H]1CCCO1,murcko,15,5,0.3333333333333333,6,na_h3n2|na_ph1n1
na,O=C1C2=CC3C(=O)C=CC[C@@H]3C[C@@H]2Cc2ccccc21,murcko,14,5,0.35714285714285715,5,na_h3n2|na_h5n1|na_ph1n1
na,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,murcko,7,5,0.7142857142857143,7,na_h3n2|na_h5n1|na_ph1n1
na,c1ccc(Cc2ccccc2)cc1,murcko,14,4,0.2857142857142857,5,na_h3n2|na_h5n1|na_ph1n1
na,c1ncc2nc[nH]c2n1,murcko,14,4,0.2857142857142857,5,na_h3n2|na_h5n1|na_ph1n1
na,O=C(c1ccccc1)c1ccccc1,murcko,12,4,0.3333333333333333,5,na_h5n1|na_ph1n1
na,c1ccc2[nH]ccc2c1,murcko,11,4,0.36363636363636365,4,na_h3n2|na_ph1n1
na,c1ccc(Oc2ccccc2)cc1,murcko,10,4,0.4,8,na_h3n2|na_h5n1|na_ph1n1
na,O=C(Cc1ccccc1)N[C@@H]1C(=O)N2CCS[C@H]12,murcko,7,4,0.5714285714285714,5,na_h3n2|na_ph1n1
na,c1ccc2[nH]cnc2c1,murcko,7,4,0.5714285714285714,6,na_h3n2|na_h5n1|na_ph1n1
na,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCC[C@@H]3O[C@H]1CCCCO1,murcko,5,4,0.8,5,na_h3n2|na_h5n1|na_ph1n1
na,c1ccc(COc2ccccc2)cc1,murcko,9,3,0.3333333333333333,6,na_h3n2|na_h5n1|na_ph1n1
na,c1ccc(Cc2ccccn2)cc1,murcko,8,3,0.375,3,na_h3n2|na_h5n1
na,c1ccc(Nc2ccccc2)cc1,murcko,8,3,0.375,5,na_h3n2|na_ph1n1
na,c1ccc2c(c1)CCc1ccccc1N2,murcko,8,3,0.375,3,na_h5n1|na_ph1n1
na,c1ccc2ccccc2c1,murcko,8,3,0.375,4,na_h3n2|na_h5n1|na_ph1n1
na,C1=CCCCC1,murcko,7,3,0.42857142857142855,5,na_h3n2|na_h5n1|na_ph1n1
na,C1CCCCC1,murcko,7,3,0.42857142857142855,5,na_h3n2|na_h5n1|na_ph1n1
na,O=C(Cc1ccccc1)N[C@@H]1C(=O)N2C=CCS[C@H]12,murcko,7,3,0.42857142857142855,6,na_h3n2|na_h5n1|na_ph1n1
na,O=C(Nc1ccccc1)C1CCCCN1,murcko,6,3,0.5,5,na_h3n2|na_h5n1
na,O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,murcko,6,3,0.5,5,na_h3n2|na_ph1n1
na,O=C(c1ccccc1)c1coc2ccccc12,murcko,5,3,0.6,5,na_h3n2|na_h5n1|na_ph1n1
na,O=c1cc[nH]c(=O)[nH]1,murcko,5,3,0.6,4,na_h3n2|na_ph1n1
na,O=c1nc[nH]c2[nH]cnc12,murcko,5,3,0.6,4,na_h3n2|na_h5n1|na_ph1n1
na,c1ccc(CCOCC2CC2)cc1,murcko,4,3,0.75,7,na_h3n2|na_h5n1|na_ph1n1
na,C=C1CCCC/C1=C/C=C1\CCCC2CCC[C@@H]12,murcko,3,3,1.0,5,na_h3n2|na_h5n1|na_ph1n1
na,O=C1CCCCOC(=O)C[C@@H](O[C@H]2CCCCO2)C[C@@H](O[C@H]2CCCCO2)CCC1,murcko,3,3,1.0,4,na_h3n2|na_h5n1
na,O=S1(=O)NCNc2ccccc21,murcko,3,3,1.0,5,na_h3n2|na_h5n1|na_ph1n1
na,c1ccc(Cn2ncc3ccccc32)cc1,murcko,3,3,1.0,5,na_h3n2|na_ph1n1
na,c1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,murcko,3,3,1.0,4,na_h3n2|na_h5n1
na,O=C1C=C2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1,murcko,14,2,0.14285714285714285,3,na_h3n2|na_ph1n1
