target_class,murcko_scaffold,scaffold_type,scaffold_library_count,scaffold_assayed_count,scaffold_assayed_fraction,n_assays,assayed_targets
pa,c1ccccc1,murcko,179,27,0.15083798882681565,77,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1c[nH]cn1,murcko,14,5,0.35714285714285715,15,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccncc1,murcko,14,5,0.35714285714285715,15,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,murcko,18,4,0.2222222222222222,12,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ncc2nc[nH]c2n1,murcko,11,4,0.36363636363636365,12,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccc(Cc2ccccc2)cc1,murcko,15,3,0.2,7,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=C1C2=CC3C(=O)C=CC[C@@H]3C[C@@H]2Cc2ccccc21,murcko,14,3,0.21428571428571427,9,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=c1ncccn1[C@H]1CCCO1,murcko,9,3,0.3333333333333333,9,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccc(COc2ccccc2)cc1,murcko,9,3,0.3333333333333333,7,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccccc1.c1ccccc1,murcko,9,3,0.3333333333333333,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,murcko,8,3,0.375,9,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=S(=O)(Nc1ncccn1)c1ccccc1,murcko,4,3,0.75,9,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccc2c(c1)CCC1C2CCC2CCCC21,murcko,3,3,1.0,9,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,murcko,3,3,1.0,9,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ncc2ncn([C@H]3CCCO3)c2n1,murcko,16,2,0.125,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=C(c1ccccc1)c1ccccc1,murcko,12,2,0.16666666666666666,4,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccc2ncccc2c1,murcko,12,2,0.16666666666666666,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccc(Oc2ccccc2)cc1,murcko,9,2,0.2222222222222222,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccc2c(c1)CCc1ccccc1N2,murcko,8,2,0.25,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,C1=CCCCC1,murcko,7,2,0.2857142857142857,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=C(NC[C@@H]1CCCCO1)[C@@H]1CCCN1,murcko,6,2,0.3333333333333333,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,murcko,6,2,0.3333333333333333,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccc(CC2CCCCC2)cc1,murcko,6,2,0.3333333333333333,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccc2[nH]cnc2c1,murcko,6,2,0.3333333333333333,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=C(c1ccccc1)c1coc2ccccc12,murcko,5,2,0.4,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,murcko,5,2,0.4,4,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccc(CN2CCc3sccc3C2)cc1,murcko,5,2,0.4,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccc(CN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,murcko,4,2,0.5,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,murcko,3,2,0.6666666666666666,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccc2scnc2c1,murcko,3,2,0.6666666666666666,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccoc1,murcko,3,2,0.6666666666666666,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=C(CNCCCc1ccccc1)N1CCc2ccccc2C1,murcko,2,2,1.0,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=C1NC(=O)C(Cc2ccc(OCCc3ccccn3)cc2)S1,murcko,2,2,1.0,4,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=C1c2ccccc2C(=O)C1c1ccccc1,murcko,2,2,1.0,6,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,murcko,16,1,0.0625,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=C1C=C2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1,murcko,14,1,0.07142857142857142,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,C1=CC(c2ccccc2)C=CN1,murcko,9,1,0.1111111111111111,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccc(Nc2ccccc2)cc1,murcko,9,1,0.1111111111111111,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1,murcko,9,1,0.1111111111111111,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccc(Cc2ccccn2)cc1,murcko,8,1,0.125,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1ccc2ccccc2c1,murcko,8,1,0.125,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,C1CCCCC1,murcko,7,1,0.14285714285714285,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,N=C(C(=O)N[C@@H]1C(=O)N2C=CCS[C@H]12)c1cscn1,murcko,7,1,0.14285714285714285,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=C(Cc1ccccc1)N[C@@H]1C(=O)N2C=CCS[C@H]12,murcko,7,1,0.14285714285714285,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,murcko,6,1,0.16666666666666666,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,C1CCCC1,murcko,6,1,0.16666666666666666,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=C(Nc1ccccc1)C1CCCCN1,murcko,6,1,0.16666666666666666,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,murcko,6,1,0.16666666666666666,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=C(CCc1ccccc1)c1ccccc1,murcko,5,1,0.2,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCC[C@@H]3O[C@H]1CCCCO1,murcko,5,1,0.2,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,murcko,5,1,0.2,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,O=c1nc[nH]c2[nH]cnc12,murcko,5,1,0.2,3,pa_h3n2|pa_h5n1|pa_ph1n1
pa,c1cc[nH+]cc1,murcko,5,1,0.2,3,pa_h3n2|pa_h5n1|pa_ph1n1
