dataset_label,base_name,outer_fold,comparison_name,model_type,p,tuning_mode,tuning_metric,tuning_score,n_train,n_test,rmse,mae,r2,spearman,ef_1pct,ef_5pct,ef_10pct,precision_at_10,precision_at_25,precision_at_50,winner_label
fasn,fasn_random_kfold_cv_nested_tuning,0,method_scores_plus_method_ranks,ridge,12,nested,spearman,0.8983,240,60,0.4764,0.3174,0.7174,0.8934,3.75,3.75,3.75,1.0,0.64,0.32,ridge | method_scores_plus_method_ranks
fasn,fasn_random_kfold_cv_nested_tuning,1,method_scores_plus_method_ranks,ridge,12,nested,spearman,0.8813,240,60,0.3657,0.286,0.8051,0.9346,4.0,4.0,3.3333,0.8,0.6,0.3,ridge | method_scores_plus_method_ranks
fasn,fasn_random_kfold_cv_nested_tuning,2,method_ranks,ridge,6,nested,spearman,0.9121,240,60,0.4615,0.359,0.6517,0.8579,5.4545,3.6364,3.6364,0.7,0.4,0.22,ridge | method_ranks
fasn,fasn_random_kfold_cv_nested_tuning,3,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,0.9061,240,60,0.4252,0.3203,0.5744,0.8935,3.5294,3.5294,3.5294,0.9,0.64,0.34,xgboost | method_scores_plus_method_ranks_plus_rank_summary
fasn,fasn_random_kfold_cv_nested_tuning,4,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,0.8819,240,60,0.5332,0.3726,0.6444,0.9183,4.2857,4.2857,4.2857,0.9,0.56,0.28,xgboost | method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors
furin,furin_random_kfold_cv_nested_tuning,0,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,0.1123,240,60,0.7759,0.5713,-0.0228,0.1009,0.0,0.0,1.3333,0.3,0.32,0.26,xgboost | method_scores_plus_method_ranks_plus_rank_summary
furin,furin_random_kfold_cv_nested_tuning,1,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,-0.0661,240,60,1.0191,0.7367,-0.0787,0.0943,0.0,0.0,0.5,0.2,0.28,0.32,ridge | method_scores_plus_method_ranks_plus_rank_summary
furin,furin_random_kfold_cv_nested_tuning,2,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,0.1387,240,60,0.7212,0.564,0.0588,0.2833,4.0,1.3333,0.6667,0.1,0.28,0.26,ridge | method_scores_plus_chemical_descriptors
furin,furin_random_kfold_cv_nested_tuning,3,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,-0.1079,240,60,0.7726,0.6062,-0.0151,0.3284,0.0,3.0769,3.0769,0.4,0.28,0.22,ridge | method_scores_plus_glide_uncertainty
furin,furin_random_kfold_cv_nested_tuning,4,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,0.1977,240,60,0.7791,0.6049,-0.0607,0.09,6.0,2.0,2.0,0.4,0.24,0.16,ridge | method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors
na,na_random_kfold_cv_nested_tuning,0,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,ridge,35,nested,spearman,0.9067,988,248,0.2991,0.2424,0.8642,0.9272,4.2759,4.2759,4.2759,1.0,1.0,0.86,ridge | method_scores_plus_method_ranks_plus_rank_summary_plus_target_context
na,na_random_kfold_cv_nested_tuning,1,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,xgboost,35,nested,spearman,0.9112,989,247,0.5097,0.4022,0.5618,0.9104,4.75,4.75,4.37,1.0,0.92,0.84,xgboost | method_scores_plus_method_ranks_plus_rank_summary_plus_target_context
na,na_random_kfold_cv_nested_tuning,2,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,ridge,35,nested,spearman,0.9111,989,247,0.3197,0.2558,0.8225,0.9034,4.2586,4.2586,4.2586,1.0,1.0,0.86,ridge | method_scores_plus_method_ranks_plus_rank_summary_plus_target_context
na,na_random_kfold_cv_nested_tuning,3,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,ridge,35,nested,spearman,0.9164,989,247,0.3143,0.25,0.8225,0.8886,4.75,4.75,4.56,1.0,0.96,0.84,ridge | method_scores_plus_method_ranks_plus_rank_summary_plus_target_context
na,na_random_kfold_cv_nested_tuning,4,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,xgboost,35,nested,spearman,0.9057,989,247,0.3361,0.2501,0.809,0.9343,4.1864,4.1864,4.1864,1.0,1.0,0.86,xgboost | method_scores_plus_method_ranks_plus_rank_summary_plus_target_context
pa,pa_random_kfold_cv_nested_tuning,0,chemical_descriptors,xgboost,13,nested,spearman,0.5958,986,247,0.5057,0.3794,0.5869,0.7094,3.9839,3.9839,3.6652,1.0,0.92,0.86,xgboost | chemical_descriptors
pa,pa_random_kfold_cv_nested_tuning,1,chemical_descriptors,xgboost,13,nested,spearman,0.5948,986,247,0.5551,0.4019,0.5238,0.6882,3.6866,3.1194,3.0967,1.0,0.84,0.8,xgboost | chemical_descriptors
pa,pa_random_kfold_cv_nested_tuning,2,chemical_descriptors,xgboost,13,nested,spearman,0.6167,986,247,0.564,0.4111,0.4677,0.6865,4.4909,4.4909,3.952,1.0,0.88,0.68,xgboost | chemical_descriptors
pa,pa_random_kfold_cv_nested_tuning,3,chemical_descriptors,xgboost,13,nested,spearman,0.5981,987,246,0.4947,0.3786,0.559,0.7025,5.0204,5.0204,4.6188,1.0,0.92,0.68,xgboost | chemical_descriptors
pa,pa_random_kfold_cv_nested_tuning,4,chemical_descriptors,xgboost,13,nested,spearman,0.5612,987,246,0.533,0.3818,0.4891,0.6634,5.3478,4.9365,4.92,1.0,0.92,0.64,xgboost | chemical_descriptors
