dataset_label,base_name,selection_scope,outer_fold,comparison_name,model_type,p,tuning_mode,tuning_metric,trial_number,n_trials_planned,tuning_score,best_tuning_score_so_far,model_params
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0.0,method_scores,ridge,6,nested,spearman,0,10,0.8774,0.8774,{'alpha': 0.0419}
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0.0,method_scores,ridge,6,nested,spearman,1,10,0.8441,0.8774,{'alpha': 452.0}
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0.0,method_scores,ridge,6,nested,spearman,2,10,0.8789,0.8789,{'alpha': 13.3}
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0.0,method_scores,ridge,6,nested,spearman,3,10,0.8784,0.8789,{'alpha': 1.55}
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0.0,method_scores,ridge,6,nested,spearman,4,10,0.8774,0.8789,{'alpha': 0.00124}
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0.0,method_scores,ridge,6,nested,spearman,5,10,0.8774,0.8789,{'alpha': 0.00124}
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0.0,method_scores,ridge,6,nested,spearman,6,10,0.8774,0.8789,{'alpha': 0.000255}
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0.0,method_scores,ridge,6,nested,spearman,7,10,0.8683,0.8789,{'alpha': 116.0}
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0.0,method_scores,ridge,6,nested,spearman,8,10,0.8784,0.8789,{'alpha': 1.61}
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0.0,method_scores,ridge,6,nested,spearman,9,10,0.8794,0.8794,{'alpha': 9.05}
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0.0,method_scores,xgboost,6,nested,spearman,0,10,0.8415,0.8415,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
