dataset_label,model_type,comparison_name,p,spearman_mean,spearman_std,n_folds,row_label
fasn,ridge,method_ranks,6,0.89298,0.028783102681955573,5,fasn | ridge
fasn,ridge,method_scores,6,0.8560599999999999,0.051789168751776644,5,fasn | ridge
fasn,ridge,method_scores_plus_glide_uncertainty,7,0.8550599999999999,0.04895531636094283,5,fasn | ridge
fasn,ridge,method_scores_plus_method_ranks,12,0.89236,0.03302261346410968,5,fasn | ridge
fasn,ridge,chemical_descriptors,13,0.35474,0.13387586787767242,5,fasn | ridge
fasn,ridge,method_scores_plus_chemical_descriptors,19,0.84794,0.058960266281623916,5,fasn | ridge
fasn,ridge,method_scores_plus_method_ranks_plus_rank_summary,21,0.8844200000000001,0.034980809024377904,5,fasn | ridge
fasn,ridge,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,35,0.8791800000000001,0.03904698451865397,5,fasn | ridge
fasn,xgboost,method_ranks,6,0.8647400000000001,0.030865644331521717,5,fasn | xgboost
fasn,xgboost,method_scores,6,0.8647400000000001,0.030865644331521717,5,fasn | xgboost
fasn,xgboost,method_scores_plus_glide_uncertainty,7,0.8623,0.031889104722459684,5,fasn | xgboost
fasn,xgboost,method_scores_plus_method_ranks,12,0.86582,0.038178947078200055,5,fasn | xgboost
fasn,xgboost,chemical_descriptors,13,0.4827,0.08320036057614173,5,fasn | xgboost
fasn,xgboost,method_scores_plus_chemical_descriptors,19,0.86168,0.029916249764968872,5,fasn | xgboost
fasn,xgboost,method_scores_plus_method_ranks_plus_rank_summary,21,0.89122,0.03418372419734281,5,fasn | xgboost
fasn,xgboost,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,35,0.89176,0.03305416766460773,5,fasn | xgboost
furin,ridge,method_ranks,6,-0.04128,0.19659774159435303,5,furin | ridge
furin,ridge,method_scores,6,-0.05906,0.1730399029125941,5,furin | ridge
furin,ridge,method_scores_plus_glide_uncertainty,7,-0.02579999999999999,0.22151975081242756,5,furin | ridge
furin,ridge,method_scores_plus_method_ranks,12,-0.05772000000000001,0.13747034953036238,5,furin | ridge
furin,ridge,chemical_descriptors,13,0.07511999999999999,0.12933032127076777,5,furin | ridge
furin,ridge,method_scores_plus_chemical_descriptors,19,0.04672,0.1911416150397396,5,furin | ridge
furin,ridge,method_scores_plus_method_ranks_plus_rank_summary,21,-0.0339,0.14116467334287286,5,furin | ridge
furin,ridge,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,35,0.04528,0.11934442592764859,5,furin | ridge
furin,xgboost,method_ranks,6,-0.10872,0.07645016023528008,5,furin | xgboost
furin,xgboost,method_scores,6,-0.10872,0.07645016023528008,5,furin | xgboost
furin,xgboost,method_scores_plus_glide_uncertainty,7,-0.04112,0.06032836811981574,5,furin | xgboost
furin,xgboost,method_scores_plus_method_ranks,12,-0.07904,0.06574262696302909,5,furin | xgboost
furin,xgboost,chemical_descriptors,13,0.02998,0.17198251946055448,5,furin | xgboost
furin,xgboost,method_scores_plus_chemical_descriptors,19,0.08624,0.049451016167516716,5,furin | xgboost
furin,xgboost,method_scores_plus_method_ranks_plus_rank_summary,21,0.02048,0.1352411254020019,5,furin | xgboost
furin,xgboost,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,35,0.012,0.03862013723434964,5,furin | xgboost
na,ridge,method_scores,6,0.88738,0.014135664115986884,5,na | ridge
na,ridge,chemical_descriptors,13,0.54696,0.01680916416720354,5,na | ridge
na,ridge,method_scores_plus_target_context,20,0.8888,0.013389734874148924,5,na | ridge
na,ridge,method_scores_plus_glide_uncertainty_plus_target_context,21,0.8878999999999999,0.01226927055696468,5,na | ridge
na,ridge,method_scores_plus_chemical_descriptors_plus_target_context,33,0.88628,0.012756449349250736,5,na | ridge
na,ridge,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,35,0.91006,0.017022573248483924,5,na | ridge
na,ridge,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,49,0.90876,0.016158991305152647,5,na | ridge
na,xgboost,method_scores,6,0.9011800000000001,0.016118995005892874,5,na | xgboost
na,xgboost,chemical_descriptors,13,0.65324,0.02087661371008242,5,na | xgboost
na,xgboost,method_scores_plus_target_context,20,0.90266,0.016043783842971702,5,na | xgboost
na,xgboost,method_scores_plus_glide_uncertainty_plus_target_context,21,0.9020400000000001,0.015451310624021554,5,na | xgboost
