dataset_label,target_class_label,model_type,parameter,parameter_label,comparison_name,feature_set_label,p,parameter_bin,parameter_bin_sort,parameter_bin_lower,parameter_bin_upper,median_tuning_score,trial_count
fasn,FASN,ridge,log10_alpha,log10(alpha),method_ranks,Ranks,6,-4 to -3.13,-3.5625543411695393,-4.0,-3.1251086823390786,0.9099,29
fasn,FASN,ridge,log10_alpha,log10(alpha),method_ranks,Ranks,6,-3.13 to -2.25,-2.687663023508618,-3.1251086823390786,-2.250217364678157,0.9099,37
fasn,FASN,ridge,log10_alpha,log10(alpha),method_ranks,Ranks,6,-2.25 to -1.38,-1.8127717058476964,-2.250217364678157,-1.3753260470172357,0.9099,44
fasn,FASN,ridge,log10_alpha,log10(alpha),method_ranks,Ranks,6,-1.38 to -0.5,-0.937880388186775,-1.3753260470172357,-0.5004347293563143,0.9098,54
fasn,FASN,ridge,log10_alpha,log10(alpha),method_ranks,Ranks,6,-0.5 to 0.374,-0.06298907052585356,-0.5004347293563143,0.37445658830460715,0.8813,115
fasn,FASN,ridge,log10_alpha,log10(alpha),method_ranks,Ranks,6,0.374 to 1.25,0.8119022471350679,0.37445658830460715,1.2493479059655286,0.901,135
fasn,FASN,ridge,log10_alpha,log10(alpha),method_ranks,Ranks,6,1.25 to 2.12,1.6867935647959893,1.2493479059655286,2.12423922362645,0.9003,64
fasn,FASN,ridge,log10_alpha,log10(alpha),method_ranks,Ranks,6,2.12 to 3,2.5616848824569107,2.12423922362645,2.999130541287371,0.86155,22
fasn,FASN,ridge,log10_alpha,log10(alpha),method_scores,Scores,6,-4 to -3.13,-3.5625543411695393,-4.0,-3.1251086823390786,0.8898,73
fasn,FASN,ridge,log10_alpha,log10(alpha),method_scores,Scores,6,-3.13 to -2.25,-2.687663023508618,-3.1251086823390786,-2.250217364678157,0.8898,28
fasn,FASN,ridge,log10_alpha,log10(alpha),method_scores,Scores,6,-2.25 to -1.38,-1.8127717058476964,-2.250217364678157,-1.3753260470172357,0.8774,19
fasn,FASN,ridge,log10_alpha,log10(alpha),method_scores,Scores,6,-1.38 to -0.5,-0.937880388186775,-1.3753260470172357,-0.5004347293563143,0.8775,16
fasn,FASN,ridge,log10_alpha,log10(alpha),method_scores,Scores,6,-0.5 to 0.374,-0.06298907052585356,-0.5004347293563143,0.37445658830460715,0.8781,58
