dataset_label,base_name,selection_scope,outer_fold,comparison_name,model_type,p,tuning_mode,tuning_metric,trial_number,n_trials_planned,tuning_score,best_tuning_score_so_far,model_params,param_alpha,param_log10_alpha,param_signature,feature_set_label,target_class_label
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,0,100,0.3661,0.3661,{'alpha': 0.0419},0.0419,-1.3777859770337046,alpha=0.0419,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,1,100,0.4368,0.4368,{'alpha': 452.0},452.0,2.655138434811382,alpha=452.0,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,2,100,0.4456,0.4456,{'alpha': 13.3},13.3,1.1238516409670858,alpha=13.3,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,3,100,0.3938,0.4456,{'alpha': 1.55},1.55,0.1903316981702915,alpha=1.55,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,4,100,0.3639,0.4456,{'alpha': 0.00124},0.00124,-2.906578314837765,alpha=0.00124,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,5,100,0.3639,0.4456,{'alpha': 0.00124},0.00124,-2.906578314837765,alpha=0.00124,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,6,100,0.3643,0.4456,{'alpha': 0.000255},0.000255,-3.593459819566045,alpha=0.000255,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,7,100,0.4441,0.4456,{'alpha': 116.0},116.0,2.0644579892269186,alpha=116.0,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,8,100,0.3946,0.4456,{'alpha': 1.61},1.61,0.20682587603184974,alpha=1.61,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,9,100,0.436,0.4456,{'alpha': 9.05},9.05,0.9566485792052033,alpha=9.05,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,10,100,0.3651,0.4456,{'alpha': 0.0378},0.0378,-1.4225082001627747,alpha=0.0378,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,11,100,0.4406,0.4456,{'alpha': 234.0},234.0,2.369215857410143,alpha=234.0,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,12,100,0.4443,0.4456,{'alpha': 14.1},14.1,1.14921911265538,alpha=14.1,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,13,100,0.4448,0.4456,{'alpha': 14.4},14.4,1.1583624920952498,alpha=14.4,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,14,100,0.371,0.4456,{'alpha': 0.216},0.216,-0.6655462488490691,alpha=0.216,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,15,100,0.452,0.452,{'alpha': 24.0},24.0,1.380211241711606,alpha=24.0,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,16,100,0.4476,0.452,{'alpha': 63.4},63.4,1.8020892578817327,alpha=63.4,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,17,100,0.4453,0.452,{'alpha': 73.4},73.4,1.8656960599160706,alpha=73.4,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,18,100,0.3849,0.452,{'alpha': 0.986},0.986,-0.0061230850587887945,alpha=0.986,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,19,100,0.4366,0.452,{'alpha': 935.0},935.0,2.9708116108725178,alpha=935.0,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,20,100,0.448,0.452,{'alpha': 65.3},65.3,1.8149131812750738,alpha=65.3,Chem. descriptors,FASN
