dataset_label,base_name,selection_scope,outer_fold,comparison_name,model_type,p,tuning_mode,tuning_metric,trial_number,n_trials_planned,tuning_score,best_tuning_score_so_far,model_params,param_alpha,param_log10_alpha,param_signature,outer_fold_spearman,feature_set_label,target_class_label
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,65,100,0.4531,0.4531,{'alpha': 23.4},23.4,1.3692158574101427,alpha=23.4,0.3625,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_1,1,chemical_descriptors,ridge,13,nested,spearman,71,100,0.3969,0.3969,{'alpha': 28.4},28.4,1.4533183400470377,alpha=28.4,0.3129,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_2,2,chemical_descriptors,ridge,13,nested,spearman,3,100,0.381,0.381,{'alpha': 1.55},1.55,0.1903316981702915,alpha=1.55,0.5099,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_3,3,chemical_descriptors,ridge,13,nested,spearman,71,100,0.4303,0.4303,{'alpha': 953.0},953.0,2.979092900638326,alpha=953.0,0.1555,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_4,4,chemical_descriptors,ridge,13,nested,spearman,23,100,0.3464,0.3464,{'alpha': 943.0},943.0,2.9745116927373285,alpha=943.0,0.4329,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,method_ranks,ridge,6,nested,spearman,27,100,0.9042,0.9042,{'alpha': 17.8},17.8,1.250420002308894,alpha=17.8,0.889,Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_1,1,method_ranks,ridge,6,nested,spearman,72,100,0.8802,0.8802,{'alpha': 4.61},4.61,0.6637009253896482,alpha=4.61,0.9289,Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_2,2,method_ranks,ridge,6,nested,spearman,53,100,0.9121,0.9121,{'alpha': 1.92},1.92,0.28330122870354957,alpha=1.92,0.8579,Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_3,3,method_ranks,ridge,6,nested,spearman,0,100,0.9099,0.9099,{'alpha': 0.0419},0.0419,-1.3777859770337046,alpha=0.0419,0.8749,Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_4,4,method_ranks,ridge,6,nested,spearman,45,100,0.8814,0.8814,{'alpha': 3.1},3.1,0.4913616938342727,alpha=3.1,0.9142,Ranks,FASN
