dataset_label,target_class_label,model_type,parameter,parameter_label,comparison_name,feature_set_label,p,parameter_bin,parameter_bin_sort,parameter_bin_lower,parameter_bin_upper,median_tuning_score,trial_count
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_ranks,Ranks,6,-3 to -2.69,-2.8452705507297233,-3.0,-2.6905411014594462,0.8164,19
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_ranks,Ranks,6,-2.69 to -2.38,-2.535811652189169,-2.6905411014594462,-2.3810822029188925,0.8552,21
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_ranks,Ranks,6,-2.38 to -2.07,-2.226352753648616,-2.3810822029188925,-2.071623304378339,0.87615,48
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_ranks,Ranks,6,-2.07 to -1.76,-1.916893855108062,-2.071623304378339,-1.7621644058377852,0.8775,93
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_ranks,Ranks,6,-1.76 to -1.45,-1.6074349565675083,-1.7621644058377852,-1.4527055072972315,0.87515,146
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_ranks,Ranks,6,-1.45 to -1.14,-1.2979760580269546,-1.4527055072972315,-1.143246608756678,0.8621,101
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_ranks,Ranks,6,-1.14 to -0.834,-0.9885171594864011,-1.143246608756678,-0.8337877102161242,0.8554999999999999,50
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_ranks,Ranks,6,-0.834 to -0.524,-0.6790582609458473,-0.8337877102161242,-0.5243288116755703,0.8344,22
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores,Scores,6,-3 to -2.69,-2.8452705507297233,-3.0,-2.6905411014594462,0.8164,19
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores,Scores,6,-2.69 to -2.38,-2.535811652189169,-2.6905411014594462,-2.3810822029188925,0.8552,21
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores,Scores,6,-2.38 to -2.07,-2.226352753648616,-2.3810822029188925,-2.071623304378339,0.87615,48
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores,Scores,6,-2.07 to -1.76,-1.916893855108062,-2.071623304378339,-1.7621644058377852,0.8775,93
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores,Scores,6,-1.76 to -1.45,-1.6074349565675083,-1.7621644058377852,-1.4527055072972315,0.87515,146
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores,Scores,6,-1.45 to -1.14,-1.2979760580269546,-1.4527055072972315,-1.143246608756678,0.8621,101
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores,Scores,6,-1.14 to -0.834,-0.9885171594864011,-1.143246608756678,-0.8337877102161242,0.8554999999999999,50
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores,Scores,6,-0.834 to -0.524,-0.6790582609458473,-0.8337877102161242,-0.5243288116755703,0.8344,22
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_glide_uncertainty,Scores + Glide uncertainty,7,-3 to -2.69,-2.8452705507297233,-3.0,-2.6905411014594462,0.8205,20
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_glide_uncertainty,Scores + Glide uncertainty,7,-2.69 to -2.38,-2.535811652189169,-2.6905411014594462,-2.3810822029188925,0.8562000000000001,26
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_glide_uncertainty,Scores + Glide uncertainty,7,-2.38 to -2.07,-2.226352753648616,-2.3810822029188925,-2.071623304378339,0.8624,49
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_glide_uncertainty,Scores + Glide uncertainty,7,-2.07 to -1.76,-1.916893855108062,-2.071623304378339,-1.7621644058377852,0.86965,116
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_glide_uncertainty,Scores + Glide uncertainty,7,-1.76 to -1.45,-1.6074349565675083,-1.7621644058377852,-1.4527055072972315,0.8782,165
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_glide_uncertainty,Scores + Glide uncertainty,7,-1.45 to -1.14,-1.2979760580269546,-1.4527055072972315,-1.143246608756678,0.8693,80
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_glide_uncertainty,Scores + Glide uncertainty,7,-1.14 to -0.834,-0.9885171594864011,-1.143246608756678,-0.8337877102161242,0.85985,28
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_glide_uncertainty,Scores + Glide uncertainty,7,-0.834 to -0.524,-0.6790582609458473,-0.8337877102161242,-0.5243288116755703,0.8351,16
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_method_ranks,Scores + Ranks,12,-3 to -2.69,-2.8452705507297233,-3.0,-2.6905411014594462,0.7938000000000001,14
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_method_ranks,Scores + Ranks,12,-2.69 to -2.38,-2.535811652189169,-2.6905411014594462,-2.3810822029188925,0.85135,22
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_method_ranks,Scores + Ranks,12,-2.38 to -2.07,-2.226352753648616,-2.3810822029188925,-2.071623304378339,0.86205,54
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_method_ranks,Scores + Ranks,12,-2.07 to -1.76,-1.916893855108062,-2.071623304378339,-1.7621644058377852,0.8713,129
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_method_ranks,Scores + Ranks,12,-1.76 to -1.45,-1.6074349565675083,-1.7621644058377852,-1.4527055072972315,0.8739,159
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_method_ranks,Scores + Ranks,12,-1.45 to -1.14,-1.2979760580269546,-1.4527055072972315,-1.143246608756678,0.8725499999999999,86
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_method_ranks,Scores + Ranks,12,-1.14 to -0.834,-0.9885171594864011,-1.143246608756678,-0.8337877102161242,0.8624,24
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_method_ranks,Scores + Ranks,12,-0.834 to -0.524,-0.6790582609458473,-0.8337877102161242,-0.5243288116755703,0.8297,12
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),chemical_descriptors,Chem. descriptors,13,-3 to -2.69,-2.8452705507297233,-3.0,-2.6905411014594462,0.4416,39
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),chemical_descriptors,Chem. descriptors,13,-2.69 to -2.38,-2.535811652189169,-2.6905411014594462,-2.3810822029188925,0.4464,79
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),chemical_descriptors,Chem. descriptors,13,-2.38 to -2.07,-2.226352753648616,-2.3810822029188925,-2.071623304378339,0.4631,121
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),chemical_descriptors,Chem. descriptors,13,-2.07 to -1.76,-1.916893855108062,-2.071623304378339,-1.7621644058377852,0.46140000000000003,94
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),chemical_descriptors,Chem. descriptors,13,-1.76 to -1.45,-1.6074349565675083,-1.7621644058377852,-1.4527055072972315,0.45575,52
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),chemical_descriptors,Chem. descriptors,13,-1.45 to -1.14,-1.2979760580269546,-1.4527055072972315,-1.143246608756678,0.4535,59
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),chemical_descriptors,Chem. descriptors,13,-1.14 to -0.834,-0.9885171594864011,-1.143246608756678,-0.8337877102161242,0.4447,34
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),chemical_descriptors,Chem. descriptors,13,-0.834 to -0.524,-0.6790582609458473,-0.8337877102161242,-0.5243288116755703,0.40195000000000003,22
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_chemical_descriptors,Scores + Chem. descriptors,19,-3 to -2.69,-2.8452705507297233,-3.0,-2.6905411014594462,0.7963,18
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_chemical_descriptors,Scores + Chem. descriptors,19,-2.69 to -2.38,-2.535811652189169,-2.6905411014594462,-2.3810822029188925,0.84005,24
fasn,FASN,xgboost,log10_learning_rate,log10(learning rate),method_scores_plus_chemical_descriptors,Scores + Chem. descriptors,19,-2.38 to -2.07,-2.226352753648616,-2.3810822029188925,-2.071623304378339,0.8549,57
