dataset_label,base_name,selection_scope,outer_fold,comparison_name,model_type,p,tuning_mode,tuning_metric,trial_number,n_trials_planned,tuning_score,best_tuning_score_so_far,model_params,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,param_log10_learning_rate,param_signature,outer_fold_spearman,feature_set_label,target_class_label
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,xgboost,13,nested,spearman,85,100,0.4847,0.4847,"{'learning_rate': 0.0081, 'max_depth': 6, 'n_estimators': 550, 'subsample': 0.514}",0.0081,6.0,550.0,0.514,-2.0915149811213505,learning_rate=0.0081;max_depth=6;n_estimators=550;subsample=0.514,0.4869,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_1,1,chemical_descriptors,xgboost,13,nested,spearman,5,100,0.4482,0.4482,"{'learning_rate': 0.00529, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.683}",0.00529,2.0,400.0,0.683,-2.2765443279648143,learning_rate=0.00529;max_depth=2;n_estimators=400;subsample=0.683,0.3886,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_2,2,chemical_descriptors,xgboost,13,nested,spearman,63,100,0.4773,0.4773,"{'learning_rate': 0.00772, 'max_depth': 6, 'n_estimators': 550, 'subsample': 0.546}",0.00772,6.0,550.0,0.546,-2.1123826996642636,learning_rate=0.00772;max_depth=6;n_estimators=550;subsample=0.546,0.5338,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_3,3,chemical_descriptors,xgboost,13,nested,spearman,27,100,0.4963,0.4963,"{'learning_rate': 0.0045, 'max_depth': 5, 'n_estimators': 450, 'subsample': 0.566}",0.0045,5.0,450.0,0.566,-2.3467874862246565,learning_rate=0.0045;max_depth=5;n_estimators=450;subsample=0.566,0.4142,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_4,4,chemical_descriptors,xgboost,13,nested,spearman,94,100,0.4827,0.4827,"{'learning_rate': 0.0564, 'max_depth': 8, 'n_estimators': 600, 'subsample': 0.798}",0.0564,8.0,600.0,0.798,-1.2487208960166578,learning_rate=0.0564;max_depth=8;n_estimators=600;subsample=0.798,0.59,Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,method_ranks,xgboost,6,nested,spearman,94,100,0.8866,0.8866,"{'learning_rate': 0.00956, 'max_depth': 2, 'n_estimators': 600, 'subsample': 0.595}",0.00956,2.0,600.0,0.595,-2.0195421077239,learning_rate=0.00956;max_depth=2;n_estimators=600;subsample=0.595,0.8588,Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_1,1,method_ranks,xgboost,6,nested,spearman,7,100,0.8545,0.8545,"{'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585}",0.032,2.0,400.0,0.585,-1.494850021680094,learning_rate=0.032;max_depth=2;n_estimators=400;subsample=0.585,0.9074,Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_2,2,method_ranks,xgboost,6,nested,spearman,52,100,0.8884,0.8884,"{'learning_rate': 0.0283, 'max_depth': 2, 'n_estimators': 550, 'subsample': 0.505}",0.0283,2.0,550.0,0.505,-1.5482135644757098,learning_rate=0.0283;max_depth=2;n_estimators=550;subsample=0.505,0.8232,Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_3,3,method_ranks,xgboost,6,nested,spearman,96,100,0.886,0.886,"{'learning_rate': 0.0332, 'max_depth': 2, 'n_estimators': 450, 'subsample': 0.526}",0.0332,2.0,450.0,0.526,-1.4788619162959638,learning_rate=0.0332;max_depth=2;n_estimators=450;subsample=0.526,0.8567,Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_4,4,method_ranks,xgboost,6,nested,spearman,81,100,0.8659,0.8659,"{'learning_rate': 0.0592, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.702}",0.0592,3.0,100.0,0.702,-1.2276782932770802,learning_rate=0.0592;max_depth=3;n_estimators=100;subsample=0.702,0.8776,Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores,xgboost,6,nested,spearman,94,100,0.8866,0.8866,"{'learning_rate': 0.00956, 'max_depth': 2, 'n_estimators': 600, 'subsample': 0.595}",0.00956,2.0,600.0,0.595,-2.0195421077239,learning_rate=0.00956;max_depth=2;n_estimators=600;subsample=0.595,0.8588,Scores,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores,xgboost,6,nested,spearman,7,100,0.8545,0.8545,"{'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585}",0.032,2.0,400.0,0.585,-1.494850021680094,learning_rate=0.032;max_depth=2;n_estimators=400;subsample=0.585,0.9074,Scores,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores,xgboost,6,nested,spearman,52,100,0.8884,0.8884,"{'learning_rate': 0.0283, 'max_depth': 2, 'n_estimators': 550, 'subsample': 0.505}",0.0283,2.0,550.0,0.505,-1.5482135644757098,learning_rate=0.0283;max_depth=2;n_estimators=550;subsample=0.505,0.8232,Scores,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores,xgboost,6,nested,spearman,96,100,0.886,0.886,"{'learning_rate': 0.0332, 'max_depth': 2, 'n_estimators': 450, 'subsample': 0.526}",0.0332,2.0,450.0,0.526,-1.4788619162959638,learning_rate=0.0332;max_depth=2;n_estimators=450;subsample=0.526,0.8567,Scores,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores,xgboost,6,nested,spearman,81,100,0.8659,0.8659,"{'learning_rate': 0.0592, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.702}",0.0592,3.0,100.0,0.702,-1.2276782932770802,learning_rate=0.0592;max_depth=3;n_estimators=100;subsample=0.702,0.8776,Scores,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,85,100,0.8887,0.8887,"{'learning_rate': 0.013, 'max_depth': 2, 'n_estimators': 600, 'subsample': 0.561}",0.013,2.0,600.0,0.561,-1.8860566476931633,learning_rate=0.013;max_depth=2;n_estimators=600;subsample=0.561,0.864,Scores + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,91,100,0.8448,0.8448,"{'learning_rate': 0.0289, 'max_depth': 2, 'n_estimators': 500, 'subsample': 0.576}",0.0289,2.0,500.0,0.576,-1.5391021572434522,learning_rate=0.0289;max_depth=2;n_estimators=500;subsample=0.576,0.9069,Scores + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,82,100,0.8876,0.8876,"{'learning_rate': 0.024, 'max_depth': 2, 'n_estimators': 450, 'subsample': 0.514}",0.024,2.0,450.0,0.514,-1.6197887582883939,learning_rate=0.024;max_depth=2;n_estimators=450;subsample=0.514,0.8263,Scores + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,41,100,0.878,0.878,"{'learning_rate': 0.0449, 'max_depth': 2, 'n_estimators': 250, 'subsample': 0.656}",0.0449,2.0,250.0,0.656,-1.3477536589966768,learning_rate=0.0449;max_depth=2;n_estimators=250;subsample=0.656,0.8455,Scores + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,91,100,0.8617,0.8617,"{'learning_rate': 0.00881, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.859}",0.00881,3.0,500.0,0.859,-2.0550240915879523,learning_rate=0.00881;max_depth=3;n_estimators=500;subsample=0.859,0.8657,Scores + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,54,100,0.8876,0.8876,"{'learning_rate': 0.0171, 'max_depth': 2, 'n_estimators': 300, 'subsample': 0.527}",0.0171,2.0,300.0,0.527,-1.7670038896078462,learning_rate=0.0171;max_depth=2;n_estimators=300;subsample=0.527,0.8557,Scores + Glide uncertainty,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,7,100,0.8565,0.8565,"{'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585}",0.032,2.0,400.0,0.585,-1.494850021680094,learning_rate=0.032;max_depth=2;n_estimators=400;subsample=0.585,0.905,Scores + Glide uncertainty,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,40,100,0.8851,0.8851,"{'learning_rate': 0.0397, 'max_depth': 2, 'n_estimators': 450, 'subsample': 0.532}",0.0397,2.0,450.0,0.532,-1.401209493236885,learning_rate=0.0397;max_depth=2;n_estimators=450;subsample=0.532,0.8257,Scores + Glide uncertainty,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,53,100,0.8873,0.8873,"{'learning_rate': 0.0173, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.515}",0.0173,3.0,500.0,0.515,-1.7619538968712045,learning_rate=0.0173;max_depth=3;n_estimators=500;subsample=0.515,0.8418,Scores + Glide uncertainty,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,92,100,0.867,0.867,"{'learning_rate': 0.0188, 'max_depth': 3, 'n_estimators': 600, 'subsample': 0.579}",0.0188,3.0,600.0,0.579,-1.7258421507363202,learning_rate=0.0188;max_depth=3;n_estimators=600;subsample=0.579,0.8833,Scores + Glide uncertainty,FASN
