dataset_label,dataset_display,id,predicted_mean_pkd,predicted_middle_pkd,predicted_max_pkd,worst_strain,worst_strain_display,worst_strain_pred_pkd,predicted_strain_range,in_experimental_data_any,pred_mean_ph1n1,pred_mean_h3n2,pred_mean_h5n1
na,NA,1041434-82-5,6.806733333333334,6.7899,6.8461,ph1n1,pH1N1,6.7842,0.06189999999999962,1,6.7842,6.8461,6.7899
na,NA,139110-80-8,6.681,6.6628,6.7754,ph1n1,pH1N1,6.6048,0.1706000000000003,1,6.6048,6.7754,6.6628
na,NA,204255-11-8,6.628433333333334,6.6344,6.712,h3n2,H3N2,6.5389,0.1730999999999998,1,6.712,6.5389,6.6344
na,NA,1407-03-0,6.6063,6.5333,6.8204,ph1n1,pH1N1,6.4652,0.35519999999999996,1,6.4652,6.8204,6.5333
na,NA,79217-60-0,6.544766666666668,6.5631,6.6195,ph1n1,pH1N1,6.4517,0.16780000000000062,1,6.4517,6.5631,6.6195
na,NA,873857-62-6,6.408633333333333,6.3744,6.5248,h5n1,H5N1,6.3267,0.19810000000000016,1,6.5248,6.3744,6.3267
na,NA,56180-94-0,6.409299999999999,6.4703,6.5019,ph1n1,pH1N1,6.2557,0.24619999999999997,0,6.2557,6.5019,6.4703
na,NA,1405-89-6,6.228833333333333,6.21,6.2675,h5n1,H5N1,6.209,0.05850000000000044,1,6.21,6.2675,6.209
na,NA,55-06-1,6.3449333333333335,6.3917,6.4397,h5n1,H5N1,6.2034,0.23629999999999995,1,6.3917,6.4397,6.2034
na,NA,1404-93-9,6.5492333333333335,6.686,6.7849,ph1n1,pH1N1,6.1768,0.6081000000000003,1,6.1768,6.7849,6.686
na,NA,1004316-88-4,6.333100000000001,6.3745,6.4612,h3n2,H3N2,6.1636,0.2976000000000001,1,6.4612,6.1636,6.3745
na,NA,1400-61-9,6.2250000000000005,6.255,6.2771,h5n1,H5N1,6.1429,0.13419999999999987,1,6.255,6.2771,6.1429
na,NA,1397-89-3,6.227266666666666,6.1853,6.3649,ph1n1,pH1N1,6.1316,0.23329999999999984,0,6.1316,6.3649,6.1853
na,NA,229975-97-7,6.198133333333334,6.1808,6.3297,ph1n1,pH1N1,6.0839,0.24580000000000002,1,6.0839,6.3297,6.1808
na,NA,135459-87-9,6.190533333333334,6.2051,6.2841,h5n1,H5N1,6.0824,0.20169999999999977,1,6.2841,6.2051,6.0824
na,NA,630-60-4,6.240100000000001,6.276,6.3806,ph1n1,pH1N1,6.0637,0.3169000000000004,0,6.0637,6.276,6.3806
na,NA,1263-89-4,6.141666666666667,6.0733,6.291,h3n2,H3N2,6.0607,0.23030000000000062,1,6.291,6.0607,6.0733
na,NA,122841-12-7,6.065,6.0597,6.0938,ph1n1,pH1N1,6.0415,0.05229999999999979,1,6.0415,6.0938,6.0597
na,NA,51-48-9,6.244133333333333,6.3006,6.4253,h3n2,H3N2,6.0065,0.41880000000000006,1,6.4253,6.0065,6.3006
na,NA,138926-19-9,6.136433333333333,6.1402,6.2794,ph1n1,pH1N1,5.9897,0.28969999999999985,1,5.9897,6.1402,6.2794
na,NA,7681-93-8,6.1708,6.1851,6.3907,h3n2,H3N2,5.9366,0.4540999999999995,1,6.3907,5.9366,6.1851
na,NA,81131-70-6,6.066733333333334,6.0486,6.2387,h3n2,H3N2,5.9129,0.3258000000000001,0,6.0486,5.9129,6.2387
na,NA,31282-04-9,6.145933333333333,6.132,6.397,h5n1,H5N1,5.9088,0.48819999999999997,1,6.397,6.132,5.9088
na,NA,64228-81-5,5.918966666666666,5.9113,5.9821,h3n2,H3N2,5.8635,0.11859999999999982,0,5.9113,5.8635,5.9821
na,NA,173334-58-2,6.008866666666666,6.0107,6.1533,h5n1,H5N1,5.8626,0.2907000000000002,1,6.1533,6.0107,5.8626
na,NA,1405-10-3,6.011400000000001,6.0424,6.1386,h5n1,H5N1,5.8532,0.2854000000000001,1,6.0424,6.1386,5.8532
na,NA,33069-62-4,6.0374333333333325,6.0483,6.2384,h5n1,H5N1,5.8256,0.4128000000000007,0,6.2384,6.0483,5.8256
na,NA,80433-71-2,5.885833333333333,5.8663,5.9759,h5n1,H5N1,5.8153,0.16060000000000052,1,5.9759,5.8663,5.8153
na,NA,133868-46-9,5.9422999999999995,5.9975,6.0278,h5n1,H5N1,5.8016,0.2262000000000004,1,6.0278,5.9975,5.8016
na,NA,83-88-5,5.983666666666667,5.9817,6.2025,h3n2,H3N2,5.7668,0.43569999999999975,0,5.9817,5.7668,6.2025
na,NA,68-19-9,6.071333333333333,5.8476,6.6212,h5n1,H5N1,5.7452,0.8760000000000003,0,5.8476,6.6212,5.7452
na,NA,121268-17-5,5.866599999999999,5.8396,6.0249,ph1n1,pH1N1,5.7353,0.2896000000000001,0,5.7353,6.0249,5.8396
na,NA,7279-75-6,5.934833333333334,6.0106,6.0685,h5n1,H5N1,5.7254,0.3431000000000006,1,6.0106,6.0685,5.7254
