dataset_label,dataset_display,id,target_a,target_b,strain_a,strain_b,strain_a_display,strain_b_display,strain_pair,label_pkd_a,label_pkd_b,pred_mean_a,pred_mean_b,observed_delta_pkd,predicted_delta_pkd,observed_pair_divergence,predicted_pair_divergence,delta_residual,abs_delta_error,outer_fold_a,outer_fold_b
na,NA,103577-45-3,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.11,4.47,4.1805,3.9798,-0.35999999999999943,0.20070000000000032,0.35999999999999943,0.20070000000000032,-0.5606999999999998,0.5606999999999998,0.0,0.0
na,NA,105956-97-6,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,5.075,4.612,4.7857,4.2791,0.4630000000000001,0.5066000000000006,0.4630000000000001,0.5066000000000006,-0.04360000000000053,0.04360000000000053,1.0,4.0
na,NA,106308-44-5,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.825,3.823,3.8098,3.6802,0.002000000000000224,0.12959999999999994,0.002000000000000224,0.12959999999999994,-0.1275999999999997,0.1275999999999997,1.0,0.0
na,NA,106685-40-9,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.241,4.007,4.5155,4.6241,0.23399999999999999,-0.10860000000000003,0.23399999999999999,0.10860000000000003,0.3426,0.3426,0.0,4.0
na,NA,107-35-7,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.786,3.971,4.2109,4.0404,-0.18500000000000005,0.17049999999999965,0.18500000000000005,0.17049999999999965,-0.3554999999999997,0.3554999999999997,1.0,1.0
na,NA,107868-30-4,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.983,4.743,4.8108,4.6708,0.23999999999999932,0.14000000000000057,0.23999999999999932,0.14000000000000057,0.09999999999999876,0.09999999999999876,2.0,0.0
na,NA,109-57-9,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.172,3.881,3.8672,4.2673,-0.7089999999999996,-0.4000999999999997,0.7089999999999996,0.4000999999999997,-0.30889999999999995,0.30889999999999995,1.0,3.0
na,NA,1115-70-4,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.419,3.591,3.4677,3.6667,-0.17200000000000015,-0.1990000000000003,0.17200000000000015,0.1990000000000003,0.027000000000000135,0.027000000000000135,3.0,4.0
na,NA,115-46-8,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.3,4.143,4.5481,4.3038,0.15700000000000003,0.24429999999999996,0.15700000000000003,0.24429999999999996,-0.08729999999999993,0.08729999999999993,1.0,2.0
na,NA,115550-35-1,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.113,3.489,4.0863,3.6357,0.6240000000000006,0.45059999999999967,0.6240000000000006,0.45059999999999967,0.1734000000000009,0.1734000000000009,0.0,0.0
na,NA,116209-55-3,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.258,4.624,4.6868,4.2958,-0.36599999999999966,0.391,0.36599999999999966,0.391,-0.7569999999999997,0.7569999999999997,1.0,4.0
na,NA,120011-70-3,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.81,4.006,4.8362,4.5138,0.8039999999999994,0.3224,0.8039999999999994,0.3224,0.48159999999999936,0.48159999999999936,4.0,2.0
na,NA,1218-35-5,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.849,4.094,4.163,4.1956,-0.2450000000000001,-0.03259999999999952,0.2450000000000001,0.03259999999999952,-0.2124000000000006,0.2124000000000006,2.0,3.0
na,NA,122841-12-7,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,6.385,5.466,5.9696,6.1863,0.9189999999999996,-0.21670000000000034,0.9189999999999996,0.21670000000000034,1.1357,1.1357,1.0,3.0
na,NA,123524-52-7,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,5.783,5.372,5.5624,5.5671,0.4110000000000005,-0.004699999999999704,0.4110000000000005,0.004699999999999704,0.4157000000000002,0.4157000000000002,3.0,1.0
na,NA,126-27-2,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.344,3.989,4.2176,4.0051,0.3550000000000004,0.21250000000000036,0.3550000000000004,0.21250000000000036,0.14250000000000007,0.14250000000000007,3.0,4.0
na,NA,1264-72-8,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,5.473,4.946,4.9578,5.3789,0.5270000000000001,-0.42110000000000003,0.5270000000000001,0.42110000000000003,0.9481000000000002,0.9481000000000002,1.0,4.0
na,NA,127-79-7,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.082,3.216,3.7818,3.658,0.8659999999999997,0.12380000000000013,0.8659999999999997,0.12380000000000013,0.7421999999999995,0.7421999999999995,0.0,0.0
na,NA,130641-38-2,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.661,4.487,4.3686,4.2379,0.1739999999999995,0.13070000000000004,0.1739999999999995,0.13070000000000004,0.04329999999999945,0.04329999999999945,1.0,1.0
