dataset_label,dataset_display,id,observed_mean_pkd,predicted_mean_pkd,observed_worst_strain,observed_worst_strain_display,predicted_worst_strain,predicted_worst_strain_display,observed_worst_pkd,predicted_worst_pkd,observed_strain_range,predicted_strain_range,heatmap_row,label_pkd_ph1n1,pred_mean_ph1n1,residual_ph1n1,abs_error_ph1n1,label_pkd_h3n2,pred_mean_h3n2,residual_h3n2,abs_error_h3n2,label_pkd_h5n1,pred_mean_h5n1,residual_h5n1,abs_error_h5n1
na,NA,1400-61-9,6.195333333333333,6.265333333333333,h3n2,H3N2,h5n1,H5N1,6.002,6.0569,0.37400000000000055,0.38569999999999993,1,6.376,6.2965,0.07950000000000035,0.07950000000000035,6.002,6.4426,-0.4405999999999999,0.4405999999999999,6.208,6.0569,0.15110000000000046,0.15110000000000046
na,NA,28395-03-1,5.974,5.738433333333333,ph1n1,pH1N1,h3n2,H3N2,5.638,5.3086,0.5220000000000002,0.9528999999999996,2,5.638,5.6452,-0.007200000000000095,0.007200000000000095,6.16,5.3086,0.8513999999999999,0.8513999999999999,6.124,6.2615,-0.13750000000000018,0.13750000000000018
na,NA,122841-12-7,5.930666666666666,6.0992,h3n2,H3N2,ph1n1,pH1N1,5.466,5.9696,0.9189999999999996,0.21670000000000034,3,6.385,5.9696,0.4154,0.4154,5.466,6.1863,-0.7202999999999999,0.7202999999999999,5.941,6.1417,-0.20070000000000032,0.20070000000000032
na,NA,14919-77-8,5.789666666666666,5.515833333333333,ph1n1,pH1N1,ph1n1,pH1N1,5.193,5.3628,1.0620000000000003,0.3151999999999999,4,5.193,5.3628,-0.1698000000000004,0.1698000000000004,5.921,5.678,0.24300000000000033,0.24300000000000033,6.255,5.5067,0.7482999999999995,0.7482999999999995
na,NA,745-65-3,5.638999999999999,5.559966666666667,ph1n1,pH1N1,h3n2,H3N2,5.431,5.3666,0.367,0.3631000000000002,5,5.431,5.7297,-0.2987000000000002,0.2987000000000002,5.798,5.3666,0.4314,0.4314,5.688,5.5836,0.10440000000000005,0.10440000000000005
na,NA,63-45-6,5.597666666666666,5.098166666666667,h3n2,H3N2,h3n2,H3N2,5.33,4.9114,0.5149999999999997,0.43459999999999965,6,5.618,5.0371,0.5809000000000006,0.5809000000000006,5.33,4.9114,0.41859999999999964,0.41859999999999964,5.845,5.346,0.49899999999999967,0.49899999999999967
na,NA,123524-52-7,5.473,5.461066666666667,h5n1,H5N1,h5n1,H5N1,5.264,5.2537,0.5190000000000001,0.3133999999999997,7,5.783,5.5624,0.22060000000000013,0.22060000000000013,5.372,5.5671,-0.19510000000000005,0.19510000000000005,5.264,5.2537,0.010299999999999976,0.010299999999999976
na,NA,27741-01-1,5.440333333333332,5.4513,ph1n1,pH1N1,h3n2,H3N2,5.175,5.2368,0.5330000000000004,0.5188000000000006,8,5.175,5.3615,-0.18650000000000055,0.18650000000000055,5.438,5.2368,0.20120000000000005,0.20120000000000005,5.708,5.7556,-0.04760000000000009,0.04760000000000009
na,NA,57808-65-8,5.401000000000001,5.591333333333334,h3n2,H3N2,h3n2,H3N2,4.629,5.2001,1.2340000000000009,0.6124999999999998,9,5.863,5.7613,0.10170000000000012,0.10170000000000012,4.629,5.2001,-0.5711000000000004,0.5711000000000004,5.711,5.8126,-0.10159999999999947,0.10159999999999947
na,NA,156897-06-2,5.397666666666667,4.9969,ph1n1,pH1N1,h5n1,H5N1,5.115,4.6324,0.5729999999999995,0.6533000000000007,10,5.115,5.0726,0.04239999999999977,0.04239999999999977,5.688,5.2857,0.40229999999999944,0.40229999999999944,5.39,4.6324,0.7576,0.7576
na,NA,96036-03-2,5.352,5.247166666666667,h5n1,H5N1,h5n1,H5N1,5.139,4.6492,0.625,1.0140999999999991,11,5.153,5.429,-0.2760000000000007,0.2760000000000007,5.764,5.6633,0.10070000000000068,0.10070000000000068,5.139,4.6492,0.4897999999999998,0.4897999999999998
na,NA,4759-48-2,5.2796666666666665,5.4243,ph1n1,pH1N1,ph1n1,pH1N1,4.862,5.2931,0.6539999999999999,0.3601000000000001,12,4.862,5.2931,-0.4310999999999998,0.4310999999999998,5.461,5.3266,0.1344000000000003,0.1344000000000003,5.516,5.6532,-0.1372,0.1372
na,NA,15686-71-2,5.154,5.2693,ph1n1,pH1N1,h5n1,H5N1,4.956,5.2253,0.492,0.12300000000000022,13,4.956,5.3483,-0.39229999999999965,0.39229999999999965,5.448,5.2343,0.21370000000000022,0.21370000000000022,5.058,5.2253,-0.1673,0.1673
na,NA,76095-16-4,4.953,4.8856,h3n2,H3N2,h3n2,H3N2,4.564,4.6288,0.5880000000000001,0.3871000000000002,14,5.152,5.0121,0.1398999999999999,0.1398999999999999,4.564,4.6288,-0.06479999999999997,0.06479999999999997,5.143,5.0159,0.12709999999999955,0.12709999999999955
na,NA,54527-84-3,4.919333333333333,4.814,h5n1,H5N1,ph1n1,pH1N1,4.455,4.6737,0.8780000000000001,0.36739999999999995,15,4.97,4.6737,0.29629999999999956,0.29629999999999956,5.333,5.0411,0.29190000000000005,0.29190000000000005,4.455,4.7272,-0.2721999999999998,0.2721999999999998
na,NA,135-07-9,4.861666666666667,4.8086,ph1n1,pH1N1,h3n2,H3N2,4.365,4.7801,1.431,0.04940000000000033,16,4.365,4.8295,-0.46450000000000014,0.46450000000000014,5.796,4.7801,1.0159000000000002,1.0159000000000002,4.424,4.8162,-0.3921999999999999,0.3921999999999999
na,NA,56-85-9,4.837666666666667,4.7508333333333335,h3n2,H3N2,h3n2,H3N2,4.587,4.5802,0.4460000000000006,0.4099000000000004,17,4.893,4.6822,0.21079999999999988,0.21079999999999988,4.587,4.5802,0.006800000000000139,0.006800000000000139,5.033,4.9901,0.04290000000000038,0.04290000000000038
na,NA,105956-97-6,4.748,4.5584,h5n1,H5N1,h3n2,H3N2,4.557,4.2791,0.5179999999999998,0.5066000000000006,18,5.075,4.7857,0.2892999999999999,0.2892999999999999,4.612,4.2791,0.3329000000000004,0.3329000000000004,4.557,4.6104,-0.05339999999999989,0.05339999999999989
na,NA,405165-61-9,4.7459999999999996,4.574866666666667,ph1n1,pH1N1,ph1n1,pH1N1,4.131,4.2447,1.0889999999999995,0.6703999999999999,19,4.131,4.2447,-0.11369999999999969,0.11369999999999969,5.22,4.9151,0.30489999999999995,0.30489999999999995,4.887,4.5648,0.3221999999999996,0.3221999999999996
na,NA,83881-52-1,4.725666666666666,4.693533333333334,h3n2,H3N2,h3n2,H3N2,3.996,3.961,1.2929999999999997,1.1115,20,5.289,5.0471,0.24189999999999934,0.24189999999999934,3.996,3.961,0.03500000000000014,0.03500000000000014,4.892,5.0725,-0.18049999999999944,0.18049999999999944
na,NA,2192-20-3,4.674333333333333,4.598133333333333,h3n2,H3N2,h3n2,H3N2,4.123,4.0835,1.0649999999999995,0.8167999999999997,21,4.712,4.8106,-0.09860000000000024,0.09860000000000024,4.123,4.0835,0.03950000000000031,0.03950000000000031,5.188,4.9003,0.28770000000000007,0.28770000000000007
na,NA,503612-47-3,4.643999999999999,4.338466666666666,h3n2,H3N2,h3n2,H3N2,4.136,4.0374,1.2009999999999996,0.5109000000000004,22,5.337,4.5483,0.7886999999999995,0.7886999999999995,4.136,4.0374,0.09860000000000024,0.09860000000000024,4.459,4.4297,0.029299999999999216,0.029299999999999216
na,NA,959-24-0,4.629333333333334,4.5942333333333325,h3n2,H3N2,h3n2,H3N2,4.284,4.4087,0.5220000000000002,0.29879999999999995,23,4.798,4.7075,0.09050000000000047,0.09050000000000047,4.284,4.4087,-0.12469999999999981,0.12469999999999981,4.806,4.6665,0.13949999999999996,0.13949999999999996
na,NA,183133-96-2,4.599333333333334,4.9825333333333335,h5n1,H5N1,h5n1,H5N1,4.463,4.9461,0.3179999999999996,0.10559999999999992,24,4.554,5.0517,-0.49770000000000003,0.49770000000000003,4.781,4.9498,-0.16880000000000006,0.16880000000000006,4.463,4.9461,-0.4831000000000003,0.4831000000000003
na,NA,61413-54-5,4.571666666666666,4.467533333333333,h3n2,H3N2,h3n2,H3N2,4.267,3.9763,0.7210000000000001,0.8087,25,4.988,4.6413,0.34670000000000023,0.34670000000000023,4.267,3.9763,0.2907000000000002,0.2907000000000002,4.46,4.785,-0.3250000000000002,0.3250000000000002
na,NA,116209-55-3,4.474333333333333,4.639733333333333,ph1n1,pH1N1,h3n2,H3N2,4.258,4.2958,0.36599999999999966,0.6408000000000005,26,4.258,4.6868,-0.42879999999999985,0.42879999999999985,4.624,4.2958,0.3281999999999998,0.3281999999999998,4.541,4.9366,-0.39559999999999995,0.39559999999999995
na,NA,69655-05-6,4.473,4.471900000000001,ph1n1,pH1N1,h3n2,H3N2,4.298,4.231,0.31099999999999994,0.5452000000000004,27,4.298,4.4085,-0.11050000000000004,0.11050000000000004,4.512,4.231,0.2809999999999997,0.2809999999999997,4.609,4.7762,-0.16720000000000024,0.16720000000000024
na,NA,85371-64-8,4.435666666666666,4.162166666666667,ph1n1,pH1N1,ph1n1,pH1N1,4.023,3.8097,0.9889999999999999,0.7746,28,4.023,3.8097,0.21329999999999982,0.21329999999999982,4.272,4.0925,0.1795,0.1795,5.012,4.5843,0.42769999999999975,0.42769999999999975
na,NA,140462-76-6,4.425666666666666,4.765766666666667,h3n2,H3N2,h3n2,H3N2,3.647,4.3695,2.1,1.0615999999999994,29,3.883,4.4967,-0.6136999999999997,0.6136999999999997,3.647,4.3695,-0.7225000000000006,0.7225000000000006,5.747,5.4311,0.31590000000000007,0.31590000000000007
na,NA,518048-05-0,4.398666666666667,4.5974,h3n2,H3N2,h3n2,H3N2,4.067,4.3424,0.5439999999999996,0.7313000000000001,30,4.611,5.0737,-0.4626999999999999,0.4626999999999999,4.067,4.3424,-0.2753999999999994,0.2753999999999994,4.518,4.3761,0.1418999999999997,0.1418999999999997
na,NA,120011-70-3,4.3823333333333325,4.721699999999999,h3n2,H3N2,h3n2,H3N2,4.006,4.5138,0.8039999999999994,0.3224,31,4.81,4.8362,-0.026200000000000223,0.026200000000000223,4.006,4.5138,-0.5077999999999996,0.5077999999999996,4.331,4.8151,-0.48409999999999975,0.48409999999999975
na,NA,50-91-9,4.313666666666666,4.464166666666667,h3n2,H3N2,h3n2,H3N2,3.991,4.3162,0.7259999999999995,0.41829999999999945,32,4.233,4.3418,-0.10880000000000045,0.10880000000000045,3.991,4.3162,-0.32520000000000016,0.32520000000000016,4.717,4.7345,-0.01750000000000007,0.01750000000000007
na,NA,72509-76-3,4.312666666666667,4.1309000000000005,h5n1,H5N1,h5n1,H5N1,3.845,3.8595,0.7349999999999999,0.4434999999999998,33,4.58,4.2302,0.3498000000000001,0.3498000000000001,4.513,4.303,0.20999999999999996,0.20999999999999996,3.845,3.8595,-0.014499999999999957,0.014499999999999957
na,NA,320-67-2,4.304666666666667,4.196466666666667,ph1n1,pH1N1,ph1n1,pH1N1,3.945,4.0169,0.6240000000000001,0.4510000000000005,34,3.945,4.0169,-0.07189999999999985,0.07189999999999985,4.569,4.4679,0.10109999999999975,0.10109999999999975,4.4,4.1046,0.2954000000000008,0.2954000000000008
na,NA,5987-82-6,4.279,4.253633333333333,ph1n1,pH1N1,ph1n1,pH1N1,4.077,4.141,0.4950000000000001,0.28249999999999975,35,4.077,4.141,-0.06400000000000006,0.06400000000000006,4.572,4.1964,0.3756000000000004,0.3756000000000004,4.188,4.4235,-0.23550000000000004,0.23550000000000004
na,NA,33342-05-1,4.277333333333334,4.2741999999999996,ph1n1,pH1N1,ph1n1,pH1N1,3.862,4.0825,0.7400000000000002,0.3266,36,3.862,4.0825,-0.22049999999999947,0.22049999999999947,4.368,4.331,0.03699999999999992,0.03699999999999992,4.602,4.4091,0.19290000000000074,0.19290000000000074
na,NA,83905-01-5,4.275666666666667,4.305033333333333,h5n1,H5N1,ph1n1,pH1N1,4.039,4.2055,0.593,0.21550000000000047,37,4.156,4.2055,-0.0495000000000001,0.0495000000000001,4.632,4.2886,0.3433999999999999,0.3433999999999999,4.039,4.421,-0.38200000000000056,0.38200000000000056
na,NA,659-18-7,4.263333333333333,4.629233333333333,h3n2,H3N2,h3n2,H3N2,3.842,4.4201,0.8189999999999995,0.5784000000000002,38,4.661,4.4691,0.19189999999999952,0.19189999999999952,3.842,4.4201,-0.5780999999999996,0.5780999999999996,4.287,4.9985,-0.7115,0.7115
na,NA,70024-40-7,4.261333333333334,4.240600000000001,h3n2,H3N2,h3n2,H3N2,3.809,3.7546,0.9020000000000001,0.8898000000000001,39,4.264,4.3228,-0.05879999999999974,0.05879999999999974,3.809,3.7546,0.054400000000000226,0.054400000000000226,4.711,4.6444,0.06660000000000021,0.06660000000000021
na,NA,107-35-7,4.259666666666667,4.362,ph1n1,pH1N1,h3n2,H3N2,3.786,4.0404,1.2360000000000002,0.7942999999999998,40,3.786,4.2109,-0.4248999999999996,0.4248999999999996,3.971,4.0404,-0.0693999999999999,0.0693999999999999,5.022,4.8347,0.18730000000000047,0.18730000000000047
na,NA,168273-06-1,4.243666666666667,4.207,h5n1,H5N1,h3n2,H3N2,4.155,4.0022,0.1719999999999997,0.4923000000000002,41,4.249,4.1243,0.12469999999999981,0.12469999999999981,4.327,4.0022,0.32479999999999976,0.32479999999999976,4.155,4.4945,-0.33950000000000014,0.33950000000000014
na,NA,50357-45-4,4.229333333333333,4.4634,h3n2,H3N2,h3n2,H3N2,4.018,4.2865,0.42600000000000016,0.3304,42,4.226,4.4868,-0.2607999999999997,0.2607999999999997,4.018,4.2865,-0.2685000000000004,0.2685000000000004,4.444,4.6169,-0.17290000000000028,0.17290000000000028
na,NA,7240-38-2,4.194333333333334,4.050233333333334,h3n2,H3N2,h3n2,H3N2,4.128,3.7864,0.10899999999999999,0.49339999999999984,43,4.218,4.2798,-0.061799999999999855,0.061799999999999855,4.128,3.7864,0.3416000000000001,0.3416000000000001,4.237,4.0845,0.15249999999999986,0.15249999999999986
na,NA,446-86-6,4.191666666666666,4.1107,ph1n1,pH1N1,ph1n1,pH1N1,4.109,3.9749,0.19500000000000028,0.26839999999999975,44,4.109,3.9749,0.1341000000000001,0.1341000000000001,4.304,4.1139,0.19010000000000016,0.19010000000000016,4.162,4.2433,-0.0812999999999997,0.0812999999999997
na,NA,23674-86-4,4.126333333333334,4.314433333333334,ph1n1,pH1N1,ph1n1,pH1N1,3.704,4.0306,0.8930000000000002,0.7843,45,3.704,4.0306,-0.32659999999999956,0.32659999999999956,4.597,4.8149,-0.21789999999999932,0.21789999999999932,4.078,4.0978,-0.01980000000000004,0.01980000000000004
na,NA,71720-56-4,4.094666666666666,4.131966666666667,h3n2,H3N2,h3n2,H3N2,3.887,3.8261,0.32299999999999995,0.5287999999999999,46,4.187,4.2149,-0.027899999999999814,0.027899999999999814,3.887,3.8261,0.060900000000000176,0.060900000000000176,4.21,4.3549,-0.1448999999999998,0.1448999999999998
na,NA,636-54-4,4.0633333333333335,4.121966666666666,h5n1,H5N1,h5n1,H5N1,3.882,3.9063,0.5219999999999998,0.4546000000000001,47,3.904,4.0987,-0.1947000000000001,0.1947000000000001,4.404,4.3609,0.043099999999999916,0.043099999999999916,3.882,3.9063,-0.024299999999999766,0.024299999999999766
na,NA,68-41-7,3.9966666666666666,3.9073000000000007,h3n2,H3N2,h3n2,H3N2,3.786,3.8426,0.40900000000000025,0.1656000000000004,48,4.195,3.8711,0.3239000000000001,0.3239000000000001,3.786,3.8426,-0.056599999999999984,0.056599999999999984,4.009,4.0082,0.0007999999999999119,0.0007999999999999119
na,NA,1218-35-5,3.9843333333333333,4.258333333333333,ph1n1,pH1N1,ph1n1,pH1N1,3.849,4.163,0.2450000000000001,0.25340000000000007,49,3.849,4.163,-0.31400000000000006,0.31400000000000006,4.094,4.1956,-0.10159999999999947,0.10159999999999947,4.01,4.4164,-0.40640000000000054,0.40640000000000054
na,NA,164656-23-9,3.9,4.0878000000000005,h5n1,H5N1,h5n1,H5N1,3.447,3.9312,0.7850000000000001,0.30889999999999995,50,4.232,4.2401,-0.008099999999999774,0.008099999999999774,4.021,4.0921,-0.07110000000000039,0.07110000000000039,3.447,3.9312,-0.48419999999999996,0.48419999999999996
na,NA,73231-34-2,3.8876666666666666,3.9424000000000006,ph1n1,pH1N1,h3n2,H3N2,3.616,3.8318,0.565,0.2615000000000003,51,3.616,4.0933,-0.47730000000000006,0.47730000000000006,4.181,3.8318,0.3492000000000002,0.3492000000000002,3.866,3.9021,-0.0360999999999998,0.0360999999999998
na,NA,630-93-3,3.8526666666666665,3.9799,ph1n1,pH1N1,ph1n1,pH1N1,3.475,3.6672,0.9549999999999996,0.5282000000000004,52,3.475,3.6672,-0.1921999999999997,0.1921999999999997,4.43,4.1954,0.23459999999999948,0.23459999999999948,3.653,4.0771,-0.4240999999999997,0.4240999999999997
na,NA,20559-55-1,3.8393333333333337,3.8347,ph1n1,pH1N1,ph1n1,pH1N1,3.27,3.5899,0.919,0.5624000000000002,53,3.27,3.5899,-0.3199000000000001,0.3199000000000001,4.059,3.7619,0.29710000000000036,0.29710000000000036,4.189,4.1523,0.03669999999999973,0.03669999999999973
na,NA,55-97-0,3.7936666666666667,3.8016,h3n2,H3N2,h5n1,H5N1,3.699,3.6612,0.22199999999999998,0.40859999999999985,54,3.761,3.6738,0.08720000000000017,0.08720000000000017,3.699,4.0698,-0.3708,0.3708,3.921,3.6612,0.2597999999999998,0.2597999999999998
na,NA,95635-55-5,3.7886666666666664,4.009966666666667,h3n2,H3N2,h3n2,H3N2,3.532,3.7738,0.4820000000000002,0.39439999999999964,55,3.82,4.0879,-0.26790000000000047,0.26790000000000047,3.532,3.7738,-0.24180000000000001,0.24180000000000001,4.014,4.1682,-0.15419999999999945,0.15419999999999945
na,NA,58186-27-9,3.764,3.9798333333333336,ph1n1,pH1N1,h5n1,H5N1,3.512,3.9741,0.3799999999999999,0.010000000000000231,56,3.512,3.9841,-0.4721000000000002,0.4721000000000002,3.888,3.9813,-0.09330000000000016,0.09330000000000016,3.892,3.9741,-0.08210000000000006,0.08210000000000006
na,NA,23076-35-9,3.7006666666666668,3.8678666666666666,h5n1,H5N1,ph1n1,pH1N1,3.572,3.6357,0.2519999999999998,0.39039999999999964,57,3.706,3.6357,0.07030000000000003,0.07030000000000003,3.824,4.0261,-0.20209999999999972,0.20209999999999972,3.572,3.9418,-0.36980000000000013,0.36980000000000013
na,NA,498-45-3,3.6876666666666664,3.909666666666667,ph1n1,pH1N1,h5n1,H5N1,3.61,3.8854,0.15700000000000003,0.0479999999999996,58,3.61,3.9334,-0.3233999999999999,0.3233999999999999,3.767,3.9102,-0.14320000000000022,0.14320000000000022,3.686,3.8854,-0.19940000000000024,0.19940000000000024
na,NA,2022-85-7,3.658333333333333,3.6036333333333332,ph1n1,pH1N1,ph1n1,pH1N1,3.31,3.5424,0.6469999999999998,0.18009999999999993,59,3.31,3.5424,-0.23240000000000016,0.23240000000000016,3.957,3.546,0.41100000000000003,0.41100000000000003,3.708,3.7225,-0.014499999999999957,0.014499999999999957
