dataset_label,dataset_display,disagreement_column,disagreement_bin,n,disagreement_min,disagreement_q25,disagreement_median,disagreement_q75,disagreement_max,residual_q25,residual_median,residual_q75,abs_error_q25,abs_error_median,abs_error_q75
fasn,FASN,branch_rank_sd,1,30,0.003,0.050175,0.0583,0.073275,0.0818,-0.13965000000000016,0.07374999999999976,0.2793000000000003,0.12507500000000027,0.2654000000000001,0.39189999999999947
fasn,FASN,branch_rank_sd,2,30,0.0835,0.0921,0.097,0.1038,0.1128,-0.26329999999999965,-0.06875000000000009,0.19395000000000018,0.12847500000000023,0.2258,0.40482500000000066
fasn,FASN,branch_rank_sd,3,30,0.1131,0.11977499999999999,0.12840000000000001,0.135475,0.1425,-0.30135000000000023,0.016149999999999887,0.24432500000000035,0.09909999999999974,0.29940000000000033,0.46140000000000014
fasn,FASN,branch_rank_sd,4,30,0.1429,0.148225,0.15385,0.1567,0.1676,-0.1794749999999995,-0.038349999999999884,0.2651749999999995,0.09140000000000004,0.19524999999999926,0.29659999999999953
fasn,FASN,branch_rank_sd,5,30,0.1677,0.177525,0.18545,0.1896,0.1996,-0.16769999999999974,-0.0018499999999996852,0.20217499999999955,0.110375,0.17344999999999988,0.2923
fasn,FASN,branch_rank_sd,6,30,0.2027,0.213125,0.22125,0.226425,0.2345,-0.2753749999999997,-0.05315000000000003,0.25865000000000027,0.1272749999999998,0.26670000000000016,0.477525
fasn,FASN,branch_rank_sd,7,30,0.2348,0.23979999999999999,0.25045,0.258675,0.2621,-0.36895,-0.09739999999999993,0.0644250000000004,0.09095000000000009,0.26224999999999987,0.42092499999999977
fasn,FASN,branch_rank_sd,8,30,0.2627,0.269825,0.27595000000000003,0.28402499999999997,0.292,-0.25285,-0.08425000000000016,0.09495000000000031,0.09492500000000015,0.1854,0.44132499999999997
fasn,FASN,branch_rank_sd,9,30,0.2933,0.304775,0.3208,0.328975,0.3362,-0.3807750000000004,-0.12234999999999996,0.07515000000000005,0.11292500000000016,0.3194499999999998,0.4203250000000003
fasn,FASN,branch_rank_sd,10,30,0.3363,0.3472,0.37134999999999996,0.419325,0.4643,-0.2851999999999999,-0.08929999999999971,0.1124999999999996,0.10662499999999975,0.1755,0.3564999999999998
furin,Furin,branch_rank_sd,1,30,0.0195,0.033825,0.0519,0.06895,0.0849,-0.6908500000000002,-0.1188499999999999,0.17654999999999998,0.18092499999999978,0.6363500000000002,0.8939500000000004
furin,Furin,branch_rank_sd,2,30,0.0857,0.098525,0.11280000000000001,0.120925,0.1364,-0.49289999999999967,-0.0475500000000002,0.5399500000000006,0.24762499999999998,0.5488999999999997,0.8639250000000003
furin,Furin,branch_rank_sd,3,30,0.1411,0.14675,0.1565,0.160225,0.1649,-0.4428500000000002,-0.17785000000000006,0.09660000000000024,0.14347500000000024,0.42894999999999994,0.6059749999999996
furin,Furin,branch_rank_sd,4,30,0.1651,0.1696,0.1776,0.183375,0.1907,-0.6541000000000001,-0.3471999999999995,0.19522499999999954,0.34374999999999933,0.5528,0.7111499999999998
furin,Furin,branch_rank_sd,5,30,0.192,0.201325,0.2068,0.2108,0.2156,-0.6224249999999996,-0.1295999999999995,0.3461000000000005,0.2809750000000004,0.46044999999999936,0.7955750000000001
furin,Furin,branch_rank_sd,6,30,0.2169,0.221625,0.2255,0.22835,0.2396,-0.6174499999999998,-0.1273000000000004,0.24445000000000006,0.22712500000000047,0.3705999999999996,0.7385000000000003
